Iter:0, max:691.0645751953125, mean:450.6645202636719, min:261.0189208984375, std:64.10169219970703
Iter:1, max:736.80712890625, mean:463.92498779296875, min:276.1495056152344, std:60.007633209228516
Iter:2, max:726.1886596679688, mean:466.8896179199219, min:278.12091064453125, std:56.513240814208984
Iter:3, max:786.3638305664062, mean:477.31268310546875, min:258.68902587890625, std:62.94223403930664
Iter:4, max:758.441162109375, mean:494.5703125, min:235.42376708984375, std:75.7538833618164
Iter:5, max:1208.00048828125, mean:520.7886962890625, min:242.05418395996094, std:100.78611755371094
Iter:6, max:912.8692626953125, mean:507.53851318359375, min:291.8022155761719, std:76.12370300292969
Iter:7, max:710.765380859375, mean:453.0155334472656, min:300.1727294921875, std:43.624568939208984
Iter:8, max:1015.0516967773438, mean:519.8506469726562, min:240.06907653808594, std:108.77033233642578
Iter:9, max:1087.9976806640625, mean:507.36383056640625, min:280.9849853515625, std:84.84712982177734
Iter:10, max:1139.2586669921875, mean:522.457763671875, min:289.25079345703125, std:86.9194107055664
Iter:11, max:1444.181396484375, mean:532.2466430664062, min:255.62078857421875, std:111.34976959228516
Iter:12, max:1145.676025390625, mean:511.10552978515625, min:238.85353088378906, std:119.98487854003906
Iter:13, max:1237.079345703125, mean:542.2711181640625, min:276.3040771484375, std:115.32897186279297
Iter:14, max:1147.6597900390625, mean:542.7296142578125, min:322.63739013671875, std:116.36056518554688
Iter:15, max:1310.49609375, mean:544.872314453125, min:303.3438720703125, std:133.5439453125
Iter:16, max:1169.516357421875, mean:548.521728515625, min:269.4211120605469, std:122.65696716308594
Iter:17, max:1266.5238037109375, mean:552.2251586914062, min:301.5552673339844, std:126.52593231201172
Iter:18, max:1323.521484375, mean:528.5833129882812, min:311.0024108886719, std:121.06570434570312
Iter:19, max:1338.861572265625, mean:553.8233642578125, min:324.7069396972656, std:127.90499114990234
Iter:20, max:1667.7806396484375, mean:544.278076171875, min:281.1287841796875, std:131.37747192382812
Iter:21, max:1130.173583984375, mean:496.1679382324219, min:280.3921203613281, std:116.1653060913086
Iter:22, max:1608.9490966796875, mean:545.631591796875, min:280.3768615722656, std:133.50799560546875
Iter:23, max:1509.9569091796875, mean:514.4195556640625, min:287.4422912597656, std:130.7451629638672
Iter:24, max:1370.9534912109375, mean:507.2138977050781, min:271.8168029785156, std:132.84027099609375
Iter:25, max:1254.526611328125, mean:528.4276123046875, min:185.16201782226562, std:135.61996459960938
Iter:26, max:1091.376953125, mean:457.230712890625, min:189.8378143310547, std:121.7975845336914
Iter:27, max:1235.2225341796875, mean:468.2753601074219, min:277.3280944824219, std:123.75789642333984
Iter:28, max:1144.16552734375, mean:440.0697326660156, min:188.69308471679688, std:114.01838684082031
Iter:29, max:1211.19775390625, mean:507.59393310546875, min:189.6197967529297, std:126.63321685791016
Iter:30, max:1228.8175048828125, mean:513.1492919921875, min:187.3961944580078, std:127.60472869873047
Iter:31, max:1328.0924072265625, mean:541.1224365234375, min:201.14028930664062, std:125.70043182373047
Iter:32, max:1221.1259765625, mean:534.837158203125, min:272.8642272949219, std:132.23544311523438
Iter:33, max:1510.2811279296875, mean:515.9679565429688, min:189.1056671142578, std:130.13400268554688
Iter:34, max:1269.486083984375, mean:524.3838500976562, min:185.44207763671875, std:126.27716064453125
Iter:35, max:1153.2589111328125, mean:524.3426513671875, min:191.06991577148438, std:121.97199249267578
Iter:36, max:1188.799072265625, mean:512.5110473632812, min:184.69232177734375, std:126.78971099853516
Iter:37, max:1058.6961669921875, mean:522.7904052734375, min:188.8057403564453, std:122.96522521972656
Iter:38, max:1126.7110595703125, mean:526.3497314453125, min:190.75155639648438, std:122.40697479248047
Iter:39, max:1117.1336669921875, mean:535.0178833007812, min:186.5425262451172, std:124.67607116699219
Iter:40, max:1295.3157958984375, mean:534.9434814453125, min:194.32534790039062, std:127.63771057128906
Iter:41, max:1335.8392333984375, mean:517.4237060546875, min:182.45208740234375, std:124.45346069335938
Iter:42, max:1169.83447265625, mean:505.2645263671875, min:195.0912322998047, std:126.71163940429688
Iter:43, max:1280.050048828125, mean:524.8801879882812, min:188.51559448242188, std:123.99127960205078
Iter:44, max:1023.5761108398438, mean:499.12371826171875, min:185.99496459960938, std:118.80492401123047
Iter:45, max:1371.9388427734375, mean:531.3179931640625, min:184.03048706054688, std:128.4427490234375
Iter:46, max:1146.30908203125, mean:511.4591064453125, min:185.5396728515625, std:131.2524871826172
Iter:47, max:1393.0068359375, mean:534.49267578125, min:184.113037109375, std:130.24293518066406
Iter:48, max:1407.9407958984375, mean:540.08984375, min:184.67166137695312, std:127.41213989257812
Iter:49, max:1492.8436279296875, mean:550.31640625, min:185.32159423828125, std:130.66964721679688
Iter:50, max:1209.93505859375, mean:548.0150146484375, min:188.96568298339844, std:128.24520874023438
Iter:51, max:1652.9736328125, mean:542.7066040039062, min:191.94300842285156, std:135.0222625732422
Iter:52, max:1368.386962890625, mean:564.17138671875, min:187.3388671875, std:127.4198226928711
Iter:53, max:1291.2501220703125, mean:520.166259765625, min:286.98681640625, std:122.31959533691406
Iter:54, max:1231.281005859375, mean:571.470703125, min:277.3612976074219, std:135.13153076171875
Iter:55, max:1213.4639892578125, mean:487.950439453125, min:191.4157257080078, std:98.43830871582031
Iter:56, max:1277.6180419921875, mean:558.2219848632812, min:182.6380157470703, std:132.21493530273438
Iter:57, max:1183.4150390625, mean:542.5509643554688, min:187.86334228515625, std:118.91277313232422
Iter:58, max:1202.0870361328125, mean:506.0979919433594, min:182.4709014892578, std:111.06604766845703
Iter:59, max:1358.1524658203125, mean:549.3678588867188, min:191.33087158203125, std:134.5301513671875
Iter:60, max:1152.1253662109375, mean:511.65850830078125, min:184.25123596191406, std:106.52472686767578
Iter:61, max:1514.9412841796875, mean:590.0908203125, min:259.9197998046875, std:124.53007507324219
Iter:62, max:1147.9776611328125, mean:553.1522827148438, min:184.5492401123047, std:121.13375091552734
Iter:63, max:1313.02392578125, mean:574.4505004882812, min:183.1931610107422, std:129.28016662597656
Iter:64, max:1253.9793701171875, mean:538.7735595703125, min:263.9015197753906, std:126.88572692871094
Iter:65, max:1187.5797119140625, mean:596.549072265625, min:176.43002319335938, std:130.7556915283203
Iter:66, max:1249.2059326171875, mean:545.3179931640625, min:178.39031982421875, std:127.16716766357422
Iter:67, max:1098.342041015625, mean:455.52392578125, min:233.27232360839844, std:101.24134826660156
Iter:68, max:1182.2767333984375, mean:606.2998657226562, min:179.42681884765625, std:125.82860565185547
Iter:69, max:1255.032958984375, mean:571.54638671875, min:331.26812744140625, std:130.322265625
Iter:70, max:1244.074462890625, mean:610.4332885742188, min:183.6599884033203, std:128.35792541503906
Iter:71, max:1264.1658935546875, mean:571.791259765625, min:316.48785400390625, std:133.1260223388672
Iter:72, max:1277.559814453125, mean:484.291748046875, min:286.61553955078125, std:112.55320739746094
Iter:73, max:1446.3203125, mean:611.3234252929688, min:304.2276916503906, std:140.2466583251953
Iter:74, max:1409.9168701171875, mean:617.314208984375, min:179.14813232421875, std:148.82846069335938
Iter:75, max:1388.357177734375, mean:568.1146240234375, min:297.7479553222656, std:145.9401397705078
Iter:76, max:1785.28515625, mean:611.6632690429688, min:170.97604370117188, std:137.19110107421875
Iter:77, max:1297.7086181640625, mean:596.2987060546875, min:262.113037109375, std:136.53880310058594
Iter:78, max:1495.9893798828125, mean:589.3873291015625, min:280.8181457519531, std:128.89280700683594
Iter:79, max:1257.7393798828125, mean:601.08447265625, min:173.38914489746094, std:137.63778686523438
Iter:80, max:1456.6326904296875, mean:618.2349853515625, min:245.20077514648438, std:134.09152221679688
Iter:81, max:1427.571533203125, mean:627.7942504882812, min:301.98052978515625, std:142.98989868164062
Iter:82, max:1311.6195068359375, mean:591.7002563476562, min:328.85992431640625, std:141.33714294433594
Iter:83, max:1336.0455322265625, mean:632.115234375, min:335.454345703125, std:141.9882354736328
Iter:84, max:1320.0838623046875, mean:590.5508422851562, min:176.88497924804688, std:138.92788696289062
Iter:85, max:1144.8023681640625, mean:496.81219482421875, min:296.2298889160156, std:88.7842025756836
Iter:86, max:1467.799560546875, mean:630.581298828125, min:301.6236267089844, std:145.16864013671875
Iter:87, max:1574.1357421875, mean:636.09130859375, min:313.133544921875, std:144.3241729736328
Iter:88, max:1312.0323486328125, mean:581.8699340820312, min:302.4730224609375, std:124.99159240722656
Iter:89, max:1304.516845703125, mean:517.844970703125, min:287.09564208984375, std:101.20073699951172
Iter:90, max:1494.5345458984375, mean:637.8085327148438, min:321.09906005859375, std:144.1546173095703
Iter:91, max:906.9417724609375, mean:479.3059387207031, min:293.469482421875, std:76.26205444335938
Iter:92, max:1550.796875, mean:646.6636962890625, min:181.0341339111328, std:143.49241638183594
Iter:93, max:1428.404541015625, mean:616.2427368164062, min:309.7664794921875, std:130.6385498046875
Iter:94, max:1370.675048828125, mean:647.2869873046875, min:333.85003662109375, std:148.51620483398438
Iter:95, max:1469.474609375, mean:590.3508911132812, min:172.91722106933594, std:126.53146362304688
Iter:96, max:1287.2000732421875, mean:598.8764038085938, min:334.2206726074219, std:121.91170501708984
Iter:97, max:1261.751953125, mean:642.04833984375, min:328.386474609375, std:143.77757263183594
Iter:98, max:1313.7823486328125, mean:590.9559326171875, min:271.2987365722656, std:121.91483306884766
Iter:99, max:1321.658203125, mean:651.951904296875, min:319.9502258300781, std:152.68899536132812
Iter:100, max:1371.9677734375, mean:658.0030517578125, min:326.3548889160156, std:143.003662109375
Iter:101, max:1480.2965087890625, mean:658.4093017578125, min:333.2171325683594, std:153.17892456054688
Iter:102, max:1239.5816650390625, mean:615.5233764648438, min:344.403076171875, std:130.33309936523438
Iter:103, max:1540.0052490234375, mean:661.0704345703125, min:380.47314453125, std:152.326904296875
Iter:104, max:1339.9825439453125, mean:664.5989379882812, min:393.4198303222656, std:133.17100524902344
