Total time, 405.53s, 100.00%
	,Train time, 328.52s, 81.01%
	,	,Evaluation time, 327.62s, 99.72%
	,	,Ask time, 0.35s, 0.11%
	,	,Tell time, 0.56s, 0.17%
	,Test time, 75.27s, 18.56%
	,Logging time, 1.18s, 0.29%
	,Writing time, 0.57s, 0.14%
Iter:0, train:13.39s, eval:96%, ask:2%, tell:3%
Iter:1, train:5.51s, eval:100%, ask:0%, tell:0%
Iter:2, train:7.32s, eval:100%, ask:0%, tell:0%
Iter:3, train:6.15s, eval:100%, ask:0%, tell:0%
Iter:4, train:2.86s, eval:100%, ask:0%, tell:0%
Iter:5, train:5.51s, eval:100%, ask:0%, tell:0%
Iter:6, train:3.63s, eval:100%, ask:0%, tell:0%
Iter:7, train:2.43s, eval:100%, ask:0%, tell:0%
Iter:8, train:2.44s, eval:100%, ask:0%, tell:0%
Iter:9, train:2.67s, eval:100%, ask:0%, tell:0%
Iter:10, train:2.75s, eval:100%, ask:0%, tell:0%
Iter:11, train:2.68s, eval:100%, ask:0%, tell:0%
Iter:12, train:3.35s, eval:100%, ask:0%, tell:0%
Iter:13, train:5.32s, eval:100%, ask:0%, tell:0%
Iter:14, train:4.68s, eval:100%, ask:0%, tell:0%
Iter:15, train:3.41s, eval:100%, ask:0%, tell:0%
Iter:16, train:6.99s, eval:100%, ask:0%, tell:0%
Iter:17, train:4.15s, eval:100%, ask:0%, tell:0%
Iter:18, train:2.64s, eval:100%, ask:0%, tell:0%
Iter:19, train:2.82s, eval:100%, ask:0%, tell:0%
Iter:20, train:2.33s, eval:100%, ask:0%, tell:0%
Iter:21, train:3.86s, eval:100%, ask:0%, tell:0%
Iter:22, train:5.53s, eval:100%, ask:0%, tell:0%
Iter:23, train:4.29s, eval:100%, ask:0%, tell:0%
Iter:24, train:3.85s, eval:100%, ask:0%, tell:0%
Iter:25, train:4.07s, eval:100%, ask:0%, tell:0%
Iter:26, train:2.39s, eval:100%, ask:0%, tell:0%
Iter:27, train:2.56s, eval:100%, ask:0%, tell:0%
Iter:28, train:2.36s, eval:100%, ask:0%, tell:0%
Iter:29, train:2.57s, eval:100%, ask:0%, tell:0%
Iter:30, train:2.48s, eval:100%, ask:0%, tell:0%
Iter:31, train:2.41s, eval:100%, ask:0%, tell:0%
Iter:32, train:2.36s, eval:100%, ask:0%, tell:0%
Iter:33, train:2.42s, eval:100%, ask:0%, tell:0%
Iter:34, train:5.61s, eval:100%, ask:0%, tell:0%
Iter:35, train:2.40s, eval:100%, ask:0%, tell:0%
Iter:36, train:2.59s, eval:100%, ask:0%, tell:0%
Iter:37, train:2.36s, eval:100%, ask:0%, tell:0%
Iter:38, train:2.41s, eval:100%, ask:0%, tell:0%
Iter:39, train:2.39s, eval:100%, ask:0%, tell:0%
Iter:40, train:3.64s, eval:100%, ask:0%, tell:0%
Iter:41, train:2.59s, eval:100%, ask:0%, tell:0%
Iter:42, train:2.52s, eval:100%, ask:0%, tell:0%
Iter:43, train:2.41s, eval:100%, ask:0%, tell:0%
Iter:44, train:2.43s, eval:100%, ask:0%, tell:0%
Iter:45, train:2.48s, eval:100%, ask:0%, tell:0%
Iter:46, train:2.46s, eval:100%, ask:0%, tell:0%
Iter:47, train:2.44s, eval:100%, ask:0%, tell:0%
Iter:48, train:2.84s, eval:100%, ask:0%, tell:0%
Iter:49, train:2.45s, eval:100%, ask:0%, tell:0%
Iter:50, train:2.47s, eval:100%, ask:0%, tell:0%
Iter:51, train:2.87s, eval:100%, ask:0%, tell:0%
Iter:52, train:2.94s, eval:100%, ask:0%, tell:0%
Iter:53, train:3.22s, eval:100%, ask:0%, tell:0%
Iter:54, train:2.37s, eval:100%, ask:0%, tell:0%
Iter:55, train:4.45s, eval:100%, ask:0%, tell:0%
Iter:56, train:2.46s, eval:100%, ask:0%, tell:0%
Iter:57, train:2.42s, eval:100%, ask:0%, tell:0%
Iter:58, train:2.63s, eval:100%, ask:0%, tell:0%
Iter:59, train:2.45s, eval:100%, ask:0%, tell:0%
Iter:60, train:2.45s, eval:100%, ask:0%, tell:0%
Iter:61, train:5.70s, eval:100%, ask:0%, tell:0%
Iter:62, train:2.46s, eval:100%, ask:0%, tell:0%
Iter:63, train:3.69s, eval:100%, ask:0%, tell:0%
Iter:64, train:2.49s, eval:100%, ask:0%, tell:0%
Iter:65, train:2.55s, eval:100%, ask:0%, tell:0%
Iter:66, train:2.46s, eval:100%, ask:0%, tell:0%
Iter:67, train:2.77s, eval:100%, ask:0%, tell:0%
Iter:68, train:2.41s, eval:100%, ask:0%, tell:0%
Iter:69, train:2.49s, eval:100%, ask:0%, tell:0%
Iter:70, train:2.48s, eval:100%, ask:0%, tell:0%
Iter:71, train:2.59s, eval:100%, ask:0%, tell:0%
Iter:72, train:2.76s, eval:100%, ask:0%, tell:0%
Iter:73, train:2.41s, eval:100%, ask:0%, tell:0%
Iter:74, train:3.51s, eval:100%, ask:0%, tell:0%
Iter:75, train:2.59s, eval:100%, ask:0%, tell:0%
Iter:76, train:3.55s, eval:100%, ask:0%, tell:0%
Iter:77, train:3.68s, eval:100%, ask:0%, tell:0%
Iter:78, train:3.89s, eval:100%, ask:0%, tell:0%
Iter:79, train:2.41s, eval:100%, ask:0%, tell:0%
Iter:80, train:3.47s, eval:100%, ask:0%, tell:0%
Iter:81, train:4.19s, eval:100%, ask:0%, tell:0%
Iter:82, train:2.41s, eval:100%, ask:0%, tell:0%
Iter:83, train:2.48s, eval:100%, ask:0%, tell:0%
Iter:84, train:2.48s, eval:100%, ask:0%, tell:0%
Iter:85, train:5.82s, eval:100%, ask:0%, tell:0%
Iter:86, train:2.32s, eval:100%, ask:0%, tell:0%
Iter:87, train:3.49s, eval:100%, ask:0%, tell:0%
Iter:88, train:2.67s, eval:100%, ask:0%, tell:0%
Iter:89, train:5.70s, eval:100%, ask:0%, tell:0%
Iter:90, train:4.44s, eval:100%, ask:0%, tell:0%
Iter:91, train:3.79s, eval:100%, ask:0%, tell:0%
Iter:92, train:2.47s, eval:100%, ask:0%, tell:0%
Iter:93, train:2.45s, eval:100%, ask:0%, tell:0%
Iter:94, train:2.47s, eval:100%, ask:0%, tell:0%
Iter:95, train:2.40s, eval:100%, ask:0%, tell:0%
Iter:96, train:2.44s, eval:100%, ask:0%, tell:0%
Iter:97, train:2.50s, eval:100%, ask:0%, tell:0%
Iter:98, train:2.32s, eval:100%, ask:0%, tell:0%
Iter:99, train:2.42s, eval:100%, ask:0%, tell:0%
Iter:5, test:11.45s
Iter:10, test:4.01s
Iter:15, test:5.24s
Iter:20, test:2.59s
Iter:25, test:2.52s
Iter:30, test:2.39s
Iter:35, test:2.41s
Iter:40, test:3.50s
Iter:45, test:2.60s
Iter:50, test:5.22s
Iter:55, test:2.46s
Iter:60, test:5.06s
Iter:65, test:2.46s
Iter:70, test:2.45s
Iter:75, test:3.06s
Iter:80, test:6.00s
Iter:85, test:4.39s
Iter:90, test:2.42s
Iter:95, test:2.55s
Iter:99, test:2.50s
Iter:0, logging:0.28s
Iter:1, logging:0.01s
Iter:2, logging:0.00s
Iter:3, logging:0.00s
Iter:4, logging:0.00s
Iter:5, logging:0.01s
Iter:5, logging:0.29s
Iter:6, logging:0.00s
Iter:7, logging:0.00s
Iter:8, logging:0.00s
Iter:9, logging:0.00s
Iter:10, logging:0.00s
Iter:10, logging:0.00s
Iter:11, logging:0.00s
Iter:12, logging:0.00s
Iter:13, logging:0.01s
Iter:14, logging:0.01s
Iter:15, logging:0.00s
Iter:15, logging:0.00s
Iter:16, logging:0.01s
Iter:17, logging:0.00s
Iter:18, logging:0.00s
Iter:19, logging:0.00s
Iter:20, logging:0.00s
Iter:20, logging:0.00s
Iter:21, logging:0.00s
Iter:22, logging:0.01s
Iter:23, logging:0.00s
Iter:24, logging:0.00s
Iter:25, logging:0.00s
Iter:25, logging:0.00s
Iter:26, logging:0.01s
