Iter:0, max:2136.095947265625, mean:401.23297119140625, min:137.97352600097656, std:285.05572509765625
Iter:1, max:1071.3038330078125, mean:368.0823974609375, min:203.12130737304688, std:119.05305480957031
Iter:2, max:1135.457275390625, mean:369.2180480957031, min:203.2729949951172, std:123.28419494628906
Iter:3, max:937.2311401367188, mean:370.57763671875, min:194.12574768066406, std:125.02188873291016
Iter:4, max:1024.1982421875, mean:376.630126953125, min:184.60829162597656, std:141.69674682617188
Iter:5, max:1069.2734375, mean:389.6746520996094, min:175.53955078125, std:153.73583984375
Iter:6, max:1196.7147216796875, mean:426.97833251953125, min:175.26792907714844, std:182.55709838867188
Iter:7, max:1415.9979248046875, mean:486.69866943359375, min:165.9649200439453, std:208.9063720703125
Iter:8, max:1549.36328125, mean:563.888427734375, min:165.81838989257812, std:216.87942504882812
Iter:9, max:1802.0374755859375, mean:629.0507202148438, min:166.01361083984375, std:193.66847229003906
Iter:10, max:1688.2451171875, mean:751.8042602539062, min:184.59996032714844, std:240.86611938476562
Iter:11, max:1360.605712890625, mean:753.9209594726562, min:221.43731689453125, std:156.45962524414062
Iter:12, max:2036.9354248046875, mean:901.6162719726562, min:240.03648376464844, std:227.61862182617188
Iter:13, max:1651.1474609375, mean:950.2664794921875, min:286.28424072265625, std:204.16709899902344
Iter:14, max:1579.8172607421875, mean:875.68408203125, min:332.4610900878906, std:163.45407104492188
Iter:15, max:2392.849853515625, mean:974.1506958007812, min:406.159912109375, std:189.5460662841797
Iter:16, max:1943.8792724609375, mean:1006.7283325195312, min:526.3225708007812, std:184.2230987548828
Iter:17, max:1726.1998291015625, mean:1031.74267578125, min:599.5081176757812, std:193.57237243652344
Iter:18, max:1868.51953125, mean:1013.8287353515625, min:704.2145385742188, std:172.94203186035156
Iter:19, max:1815.8157958984375, mean:944.9130859375, min:700.392333984375, std:149.72198486328125
Iter:20, max:1943.7359619140625, mean:1090.853515625, min:705.258544921875, std:192.083740234375
Iter:21, max:2222.40576171875, mean:1075.2138671875, min:738.8247680664062, std:186.7060089111328
Iter:22, max:1836.0321044921875, mean:1125.76416015625, min:783.5595092773438, std:180.40634155273438
Iter:23, max:2130.1806640625, mean:1160.9349365234375, min:787.6192016601562, std:193.00408935546875
Iter:24, max:2383.137939453125, mean:1246.485107421875, min:813.4138793945312, std:211.59669494628906
Iter:25, max:2879.89404296875, mean:1242.1173095703125, min:795.400634765625, std:244.5773162841797
Iter:26, max:1998.178955078125, mean:1218.505126953125, min:815.2898559570312, std:148.88528442382812
Iter:27, max:2397.646728515625, mean:1366.6954345703125, min:816.3038940429688, std:220.3154754638672
Iter:28, max:2232.582763671875, mean:1241.8182373046875, min:826.843505859375, std:159.13575744628906
Iter:29, max:2200.763916015625, mean:1284.4197998046875, min:845.91064453125, std:181.31198120117188
Iter:30, max:3344.837890625, mean:1292.9322509765625, min:871.9521484375, std:208.16209411621094
Iter:31, max:2717.937744140625, mean:1251.3280029296875, min:872.2582397460938, std:228.9254150390625
Iter:32, max:2935.98974609375, mean:1411.355712890625, min:794.2753295898438, std:348.9972229003906
Iter:33, max:2837.89892578125, mean:1294.19873046875, min:784.6848754882812, std:286.42718505859375
Iter:34, max:2873.69482421875, mean:1384.7760009765625, min:802.8324584960938, std:361.96832275390625
Iter:35, max:2573.98193359375, mean:1383.67333984375, min:846.5014038085938, std:288.74493408203125
