Iter:0, max:1003.6309814453125, mean:993.868896484375, min:971.80712890625, std:4.5715012550354
Iter:1, max:999.6366577148438, mean:989.104248046875, min:968.0839233398438, std:4.744822025299072
Iter:2, max:1004.2528076171875, mean:993.75732421875, min:975.08984375, std:4.543549537658691
Iter:3, max:1005.8584594726562, mean:994.2166748046875, min:967.92626953125, std:4.946110248565674
Iter:4, max:1004.5035400390625, mean:992.750732421875, min:967.8572387695312, std:5.000643730163574
Iter:5, max:1005.9429931640625, mean:992.8157958984375, min:969.0513916015625, std:5.270084381103516
Iter:6, max:1005.8405151367188, mean:992.8953247070312, min:971.6277465820312, std:5.19044828414917
Iter:7, max:1004.3289794921875, mean:994.0225830078125, min:969.838134765625, std:5.022666931152344
Iter:8, max:1003.73193359375, mean:991.7535400390625, min:963.8793334960938, std:5.340277194976807
Iter:9, max:1004.728515625, mean:992.4789428710938, min:973.502685546875, std:5.3861260414123535
Iter:10, max:1003.39697265625, mean:991.0474243164062, min:960.9122924804688, std:5.805398941040039
Iter:11, max:1004.162841796875, mean:991.7880249023438, min:969.3350830078125, std:5.499472618103027
Iter:12, max:1006.4456176757812, mean:992.0738525390625, min:966.9898681640625, std:5.590493202209473
Iter:13, max:1005.1275634765625, mean:991.1975708007812, min:964.631103515625, std:5.746372222900391
Iter:14, max:1018.2793579101562, mean:991.0838623046875, min:960.90869140625, std:6.0321574211120605
Iter:15, max:1005.7576904296875, mean:989.2013549804688, min:960.1192016601562, std:6.421921730041504
Iter:16, max:1006.9168090820312, mean:989.662841796875, min:964.12548828125, std:6.534981727600098
Iter:17, max:1008.95751953125, mean:988.719970703125, min:955.68017578125, std:6.963287353515625
Iter:18, max:1011.7296752929688, mean:987.1309814453125, min:954.32958984375, std:6.68119478225708
Iter:19, max:1014.3924560546875, mean:987.8108520507812, min:942.1253051757812, std:7.356263637542725
Iter:20, max:1008.93115234375, mean:989.0449829101562, min:947.589599609375, std:7.883824348449707
Iter:21, max:1029.4222412109375, mean:985.0250244140625, min:952.209228515625, std:8.325982093811035
Iter:22, max:1012.7288818359375, mean:988.1748657226562, min:930.3560791015625, std:8.389643669128418
Iter:23, max:1052.753662109375, mean:984.8072509765625, min:943.45849609375, std:8.732924461364746
Iter:24, max:1058.43798828125, mean:985.953125, min:939.7520141601562, std:9.482010841369629
Iter:25, max:1016.6510620117188, mean:987.9444580078125, min:942.06591796875, std:9.626601219177246
Iter:26, max:1028.775146484375, mean:984.5579223632812, min:946.8681640625, std:9.992552757263184
Iter:27, max:1029.3251953125, mean:984.32958984375, min:896.725830078125, std:11.584437370300293
Iter:28, max:1026.7869873046875, mean:982.4779052734375, min:924.5579223632812, std:11.860267639160156
Iter:29, max:1041.1800537109375, mean:981.6688842773438, min:923.2780151367188, std:11.914936065673828
Iter:30, max:1043.1053466796875, mean:986.6080322265625, min:934.1923828125, std:12.271718978881836
Iter:31, max:1051.364501953125, mean:985.0042724609375, min:923.39404296875, std:13.61019515991211
Iter:32, max:1086.3707275390625, mean:983.69580078125, min:895.281494140625, std:16.34858512878418
Iter:33, max:1067.4786376953125, mean:987.9339599609375, min:80.47325134277344, std:32.69065856933594
Iter:34, max:1152.78515625, mean:988.7720336914062, min:825.5743408203125, std:19.246700286865234
Iter:35, max:1094.8094482421875, mean:987.544921875, min:894.7852172851562, std:19.526330947875977
