Iter:0, max:1001.638916015625, mean:993.4733276367188, min:981.5322875976562, std:4.40563440322876
Iter:1, max:999.100341796875, mean:988.5810546875, min:971.25048828125, std:4.64844274520874
Iter:2, max:1003.4027709960938, mean:994.5299072265625, min:983.197998046875, std:3.889493703842163
Iter:3, max:1003.6865234375, mean:994.5113525390625, min:977.2101440429688, std:4.553377628326416
Iter:4, max:1001.7362060546875, mean:992.8382568359375, min:977.35888671875, std:5.2229533195495605
Iter:5, max:1002.2723388671875, mean:993.0073852539062, min:974.4652099609375, std:5.4401984214782715
Iter:6, max:1002.035888671875, mean:992.5367431640625, min:973.5685424804688, std:4.639835357666016
Iter:7, max:1005.9564819335938, mean:993.5977783203125, min:977.3195190429688, std:4.80922269821167
Iter:8, max:1000.244873046875, mean:990.9638061523438, min:975.0368041992188, std:4.921295166015625
Iter:9, max:1002.4718017578125, mean:993.9073486328125, min:975.4360961914062, std:5.283828258514404
Iter:10, max:1001.9639282226562, mean:991.8577880859375, min:973.9308471679688, std:5.253993988037109
Iter:11, max:1001.4384765625, mean:992.2583618164062, min:975.7067260742188, std:5.3664422035217285
Iter:12, max:1002.4097290039062, mean:992.114990234375, min:979.4745483398438, std:5.036311626434326
Iter:13, max:1001.0121459960938, mean:990.3062133789062, min:968.8482666015625, std:5.913181781768799
Iter:14, max:1001.1134033203125, mean:990.1283569335938, min:973.3828735351562, std:6.226102828979492
Iter:15, max:1001.4599609375, mean:989.499267578125, min:967.9564208984375, std:5.944525718688965
Iter:16, max:1001.4194946289062, mean:988.4493408203125, min:961.14404296875, std:6.611565113067627
Iter:17, max:1001.7009887695312, mean:987.8477783203125, min:967.991943359375, std:7.094610691070557
Iter:18, max:1022.51123046875, mean:984.7562866210938, min:957.353759765625, std:9.200606346130371
Iter:19, max:1006.7449951171875, mean:985.8590087890625, min:957.8607177734375, std:7.904526233673096
Iter:20, max:1007.4537353515625, mean:985.9334716796875, min:954.2310180664062, std:9.09453010559082
Iter:21, max:998.1276245117188, mean:982.9979248046875, min:919.2454223632812, std:9.835883140563965
Iter:22, max:1000.0152587890625, mean:984.2037963867188, min:956.6177368164062, std:7.931643486022949
Iter:23, max:1019.9268798828125, mean:980.5284423828125, min:947.0211181640625, std:11.26095962524414
Iter:24, max:1018.5328979492188, mean:982.7840576171875, min:929.4524536132812, std:11.216780662536621
Iter:25, max:1033.8865966796875, mean:981.68603515625, min:939.9229125976562, std:12.758349418640137
Iter:26, max:1000.1638793945312, mean:976.8081665039062, min:923.6929931640625, std:14.222748756408691
Iter:27, max:1000.9937744140625, mean:979.1738891601562, min:925.4196166992188, std:12.463324546813965
Iter:28, max:994.8594360351562, mean:973.7996215820312, min:935.77978515625, std:11.781654357910156
Iter:29, max:1002.482421875, mean:971.3326416015625, min:909.0109252929688, std:16.17943572998047
Iter:30, max:1003.7603759765625, mean:974.5271606445312, min:912.82275390625, std:15.22041130065918
Iter:31, max:1010.2474975585938, mean:972.567138671875, min:938.29931640625, std:13.110713958740234
Iter:32, max:1010.5264282226562, mean:969.8604736328125, min:905.2826538085938, std:17.196876525878906
Iter:33, max:998.8889770507812, mean:970.9476318359375, min:862.9067993164062, std:19.92755889892578
Iter:34, max:1001.6320190429688, mean:972.59033203125, min:898.8367919921875, std:17.271923065185547
Iter:35, max:1037.55029296875, mean:964.2669067382812, min:900.9957885742188, std:20.118698120117188
Iter:36, max:1015.568603515625, mean:961.1490478515625, min:849.761962890625, std:24.700183868408203
Iter:37, max:1011.7842407226562, mean:963.31884765625, min:880.8033447265625, std:21.2726993560791
Iter:38, max:999.4226684570312, mean:960.1948852539062, min:868.5177612304688, std:22.58560562133789
Iter:39, max:1022.7190551757812, mean:963.818115234375, min:890.8446044921875, std:22.36211395263672
Iter:40, max:1009.99609375, mean:959.7398681640625, min:774.0046997070312, std:30.945863723754883
Iter:41, max:1017.6212768554688, mean:954.8937377929688, min:865.5138549804688, std:26.110660552978516
Iter:42, max:1027.9425048828125, mean:953.6679077148438, min:856.802734375, std:28.99120330810547
Iter:43, max:1040.434326171875, mean:955.3981323242188, min:847.5993041992188, std:30.524246215820312
Iter:44, max:1082.1297607421875, mean:950.2101440429688, min:854.8640747070312, std:30.1048641204834
Iter:45, max:1032.052001953125, mean:957.4683837890625, min:842.1521606445312, std:30.505229949951172
Iter:46, max:1032.2099609375, mean:953.1239013671875, min:840.7140502929688, std:36.14156723022461
Iter:47, max:1018.9472045898438, mean:948.656982421875, min:763.5650024414062, std:37.189842224121094
Iter:48, max:1024.7711181640625, mean:951.6813354492188, min:820.8399047851562, std:34.694114685058594
Iter:49, max:1020.9934692382812, mean:944.53955078125, min:817.8740234375, std:38.25411605834961
Iter:50, max:1029.4166259765625, mean:948.8021240234375, min:652.6100463867188, std:44.0716552734375
Iter:51, max:1056.8817138671875, mean:950.2339477539062, min:815.7752685546875, std:33.027523040771484
Iter:52, max:1049.643310546875, mean:945.0942993164062, min:662.312744140625, std:46.136688232421875
Iter:53, max:1010.2468872070312, mean:941.0240478515625, min:763.9385375976562, std:37.133148193359375
Iter:54, max:1066.83544921875, mean:941.3365478515625, min:795.3604736328125, std:37.189613342285156
Iter:55, max:1026.0927734375, mean:942.2425537109375, min:709.6861572265625, std:46.07798385620117
Iter:56, max:1070.7012939453125, mean:941.010498046875, min:776.7522583007812, std:42.06413269042969
Iter:57, max:1025.0703125, mean:939.074462890625, min:843.327880859375, std:38.341644287109375
Iter:58, max:1153.879638671875, mean:945.0930786132812, min:808.5966796875, std:45.35862350463867
Iter:59, max:1070.0111083984375, mean:949.6621704101562, min:767.657958984375, std:44.59455490112305
Iter:60, max:1044.0804443359375, mean:935.226318359375, min:776.5045776367188, std:47.75981140136719
Iter:61, max:1110.0667724609375, mean:935.2697143554688, min:761.883056640625, std:48.69450759887695
Iter:62, max:1071.7918701171875, mean:924.5841064453125, min:80.49722290039062, std:88.90264892578125
Iter:63, max:1079.0382080078125, mean:939.105224609375, min:817.908203125, std:45.49776077270508
Iter:64, max:1100.4381103515625, mean:932.345703125, min:774.7608642578125, std:59.89643096923828
Iter:65, max:1083.176025390625, mean:934.0601806640625, min:666.1218872070312, std:61.53488540649414
Iter:66, max:1152.833984375, mean:936.0147705078125, min:765.8080444335938, std:63.54254913330078
Iter:67, max:1185.306640625, mean:936.0736694335938, min:607.0371704101562, std:71.1715316772461
Iter:68, max:1101.270263671875, mean:923.6634521484375, min:692.7650146484375, std:60.9927864074707
Iter:69, max:1071.2635498046875, mean:935.9327392578125, min:775.5357055664062, std:63.98436737060547
Iter:70, max:1092.364501953125, mean:925.6616821289062, min:771.6010131835938, std:60.08790588378906
Iter:71, max:1157.535400390625, mean:924.901123046875, min:428.58245849609375, std:78.41890716552734
Iter:72, max:1146.865234375, mean:935.7730712890625, min:728.9390869140625, std:69.99480438232422
Iter:73, max:1104.372314453125, mean:925.0211791992188, min:744.4242553710938, std:63.58498764038086
Iter:74, max:1161.1234130859375, mean:927.6187133789062, min:473.824462890625, std:88.67005157470703
Iter:75, max:1207.0108642578125, mean:921.6336669921875, min:707.2589111328125, std:83.35916900634766
Iter:76, max:1153.4652099609375, mean:930.243896484375, min:712.3377075195312, std:83.77333068847656
Iter:77, max:1261.8475341796875, mean:914.9058227539062, min:684.143798828125, std:88.41132354736328
Iter:78, max:1211.4990234375, mean:932.4691162109375, min:714.6865844726562, std:89.5069580078125
Iter:79, max:1164.4124755859375, mean:913.078857421875, min:684.9584350585938, std:89.01457977294922
Iter:80, max:1135.9132080078125, mean:915.2589111328125, min:728.0108032226562, std:82.17511749267578
Iter:81, max:1148.1202392578125, mean:921.0968627929688, min:688.6080932617188, std:93.22428131103516
Iter:82, max:1171.4146728515625, mean:923.505615234375, min:585.1687622070312, std:104.00467681884766
Iter:83, max:1180.83056640625, mean:906.9583740234375, min:672.5489501953125, std:97.94467163085938
Iter:84, max:1199.6436767578125, mean:921.31201171875, min:608.303466796875, std:97.88737487792969
Iter:85, max:1223.9775390625, mean:917.143798828125, min:669.6249389648438, std:113.69743347167969
Iter:86, max:1264.81201171875, mean:904.927490234375, min:629.9585571289062, std:114.721435546875
Iter:87, max:1410.0006103515625, mean:900.333251953125, min:559.0755615234375, std:129.94668579101562
Iter:88, max:1260.2808837890625, mean:899.649658203125, min:613.0003662109375, std:105.87593078613281
Iter:89, max:1191.701416015625, mean:912.0467529296875, min:540.734375, std:126.8894271850586
Iter:90, max:1306.343505859375, mean:876.4818115234375, min:545.632568359375, std:129.20864868164062
Iter:91, max:1264.70068359375, mean:898.805419921875, min:466.5370178222656, std:137.08499145507812
Iter:92, max:1291.006591796875, mean:898.3937377929688, min:582.9826049804688, std:137.22068786621094
Iter:93, max:1242.8067626953125, mean:897.8159790039062, min:502.42059326171875, std:125.92127990722656
