Iter:0, max:1002.656494140625, mean:994.26025390625, min:980.0880737304688, std:4.295960426330566
Iter:1, max:999.3427734375, mean:989.0214233398438, min:976.5458374023438, std:4.5140061378479
Iter:2, max:1002.8800048828125, mean:993.7269287109375, min:977.3695678710938, std:4.055233478546143
Iter:3, max:1004.1129150390625, mean:994.5166015625, min:979.5243530273438, std:4.595656394958496
Iter:4, max:1002.5650634765625, mean:992.4923095703125, min:965.188720703125, std:5.226934432983398
Iter:5, max:1003.8284912109375, mean:992.96630859375, min:970.8267822265625, std:4.857449054718018
Iter:6, max:1002.7509155273438, mean:992.190673828125, min:973.3794555664062, std:5.548607349395752
Iter:7, max:1005.1641235351562, mean:993.869873046875, min:975.5791625976562, std:5.5788116455078125
Iter:8, max:1002.0370483398438, mean:991.3641357421875, min:973.0784301757812, std:5.239587306976318
Iter:9, max:1004.7219848632812, mean:993.031494140625, min:977.1752319335938, std:5.205918312072754
Iter:10, max:1002.678466796875, mean:991.93310546875, min:975.1152954101562, std:5.164797306060791
Iter:11, max:1002.3642578125, mean:991.7730102539062, min:972.193603515625, std:5.52631950378418
Iter:12, max:1002.113525390625, mean:991.5318603515625, min:970.1876831054688, std:5.042571067810059
Iter:13, max:1002.177978515625, mean:989.63134765625, min:971.8530883789062, std:6.330777168273926
Iter:14, max:1001.4384155273438, mean:990.5765991210938, min:961.3231201171875, std:6.5494232177734375
Iter:15, max:1002.4039306640625, mean:987.45849609375, min:957.7139892578125, std:6.876924991607666
Iter:16, max:1001.2094116210938, mean:987.6842651367188, min:942.3592529296875, std:6.884178638458252
Iter:17, max:1003.7074584960938, mean:985.5771484375, min:961.4931640625, std:7.044281482696533
Iter:18, max:1003.342529296875, mean:983.4296875, min:944.7327270507812, std:7.5485615730285645
Iter:19, max:1019.23974609375, mean:985.1783447265625, min:951.6134643554688, std:8.736485481262207
Iter:20, max:1006.4141235351562, mean:984.5465698242188, min:950.7265625, std:8.841607093811035
Iter:21, max:1008.2462158203125, mean:981.6454467773438, min:952.1378173828125, std:8.82973861694336
