Iter:0, max:1002.7532958984375, mean:993.8945922851562, min:976.9515380859375, std:4.432334899902344
Iter:1, max:999.910888671875, mean:988.8017578125, min:970.7901000976562, std:4.829376697540283
Iter:2, max:1003.9443359375, mean:993.45849609375, min:971.083984375, std:4.488478660583496
Iter:3, max:1004.5985717773438, mean:994.100830078125, min:976.8007202148438, std:4.511102676391602
Iter:4, max:1003.8207397460938, mean:992.2637939453125, min:968.8438110351562, std:5.2853312492370605
Iter:5, max:1004.4203491210938, mean:992.5234375, min:973.570068359375, std:5.024664402008057
Iter:6, max:1004.1021728515625, mean:993.5543212890625, min:970.335205078125, std:5.132367134094238
Iter:7, max:1005.4006958007812, mean:994.2864379882812, min:972.3169555664062, std:4.981921195983887
Iter:8, max:1002.542724609375, mean:992.56494140625, min:972.540283203125, std:4.91162633895874
Iter:9, max:1003.888916015625, mean:992.6724853515625, min:973.6500854492188, std:5.0413665771484375
Iter:10, max:1002.969970703125, mean:991.6429443359375, min:962.7442016601562, std:5.373643398284912
Iter:11, max:1002.6109008789062, mean:992.5422973632812, min:968.7316284179688, std:4.922387599945068
Iter:12, max:1004.7925415039062, mean:992.041748046875, min:971.9999389648438, std:5.366355895996094
Iter:13, max:1003.4114990234375, mean:991.1810302734375, min:975.0167236328125, std:5.439945697784424
Iter:14, max:1004.5093383789062, mean:991.6084594726562, min:960.1659545898438, std:5.713624477386475
Iter:15, max:1001.8722534179688, mean:989.9912719726562, min:964.2742309570312, std:5.854833602905273
Iter:16, max:1004.1827392578125, mean:989.4217529296875, min:961.5416259765625, std:6.161927223205566
Iter:17, max:1003.0708618164062, mean:988.6298828125, min:960.7245483398438, std:6.219796657562256
Iter:18, max:1001.7453002929688, mean:986.8358154296875, min:960.083740234375, std:6.942715644836426
Iter:19, max:1017.1138916015625, mean:986.7245483398438, min:933.4641723632812, std:7.854646682739258
Iter:20, max:1007.0453491210938, mean:987.74951171875, min:939.6945190429688, std:7.7151079177856445
Iter:21, max:1001.825927734375, mean:983.5438842773438, min:936.1566162109375, std:8.811012268066406
Iter:22, max:1010.3486328125, mean:986.366455078125, min:949.1360473632812, std:8.663334846496582
Iter:23, max:1015.7676391601562, mean:983.2479858398438, min:957.6051635742188, std:8.216304779052734
Iter:24, max:1001.8464965820312, mean:983.52392578125, min:944.7832641601562, std:8.639644622802734
Iter:25, max:1039.1700439453125, mean:985.78759765625, min:924.9118041992188, std:9.936782836914062
Iter:26, max:1021.9227905273438, mean:981.3431396484375, min:936.0750122070312, std:10.676619529724121
Iter:27, max:1007.8742065429688, mean:982.27783203125, min:936.8817749023438, std:10.384260177612305
Iter:28, max:1016.4910278320312, mean:979.0857543945312, min:942.3662719726562, std:11.2809476852417
Iter:29, max:1033.586181640625, mean:978.9676513671875, min:941.2118530273438, std:10.907864570617676
Iter:30, max:1026.7010498046875, mean:981.414794921875, min:910.801513671875, std:11.832355499267578
Iter:31, max:1059.6287841796875, mean:979.458740234375, min:909.8047485351562, std:12.043054580688477
Iter:32, max:1030.4173583984375, mean:977.1221923828125, min:901.3834228515625, std:13.368288040161133
Iter:33, max:1045.3426513671875, mean:981.6144409179688, min:900.3787841796875, std:13.606993675231934
Iter:34, max:1023.6231689453125, mean:978.811279296875, min:914.5591430664062, std:13.150524139404297
Iter:35, max:1046.7747802734375, mean:976.2542114257812, min:919.3970947265625, std:14.438653945922852
Iter:36, max:1052.2789306640625, mean:973.0387573242188, min:874.3135986328125, std:16.31136703491211
Iter:37, max:1037.9158935546875, mean:977.9600219726562, min:868.7353515625, std:16.902481079101562
Iter:38, max:1049.6444091796875, mean:976.452880859375, min:910.6090698242188, std:17.132747650146484
Iter:39, max:1047.2630615234375, mean:975.4647216796875, min:798.5014038085938, std:20.500593185424805
Iter:40, max:1169.826171875, mean:977.50146484375, min:872.1912231445312, std:22.714170455932617
Iter:41, max:1092.1156005859375, mean:977.755126953125, min:863.0738525390625, std:21.301225662231445
Iter:42, max:1209.965576171875, mean:979.8035888671875, min:862.3795166015625, std:25.274398803710938
Iter:43, max:1119.2147216796875, mean:979.46728515625, min:834.1923828125, std:29.703405380249023
Iter:44, max:1229.264892578125, mean:980.6905517578125, min:861.1159057617188, std:32.342926025390625
Iter:45, max:1113.303466796875, mean:983.4853515625, min:885.4664916992188, std:29.29021644592285
Iter:46, max:1140.726318359375, mean:985.2098388671875, min:841.9483032226562, std:36.47798156738281
Iter:47, max:1174.47900390625, mean:983.496337890625, min:834.0423583984375, std:37.784278869628906
Iter:48, max:1204.1341552734375, mean:999.020263671875, min:843.2317504882812, std:47.423397064208984
Iter:49, max:1316.389404296875, mean:1001.4981689453125, min:841.4332885742188, std:55.93215560913086
Iter:50, max:1238.0662841796875, mean:1006.163330078125, min:781.3336791992188, std:58.84900665283203
Iter:51, max:1292.7647705078125, mean:1002.6155395507812, min:790.0906372070312, std:62.99233627319336
Iter:52, max:1293.27978515625, mean:1017.1113891601562, min:478.3705139160156, std:78.83238220214844
Iter:53, max:1327.200439453125, mean:1016.6177368164062, min:767.4805908203125, std:81.10089111328125
Iter:54, max:1460.5426025390625, mean:1017.9383544921875, min:714.1229248046875, std:95.60657501220703
Iter:55, max:1378.9488525390625, mean:1023.84130859375, min:569.5752563476562, std:108.33134460449219
Iter:56, max:1484.263916015625, mean:1041.9482421875, min:327.2286682128906, std:128.37574768066406
Iter:57, max:1640.043701171875, mean:1031.03271484375, min:459.7129821777344, std:131.51646423339844
Iter:58, max:1531.587890625, mean:1042.30419921875, min:548.568603515625, std:141.77906799316406
Iter:59, max:1520.805419921875, mean:1038.9443359375, min:179.11148071289062, std:151.4361572265625
Iter:60, max:1517.8203125, mean:1048.42626953125, min:146.89828491210938, std:176.9175567626953
Iter:61, max:1534.1553955078125, mean:1037.5870361328125, min:443.91363525390625, std:174.9171600341797
Iter:62, max:1666.5753173828125, mean:1069.0738525390625, min:434.8338623046875, std:172.79644775390625
Iter:63, max:1676.534912109375, mean:1064.91064453125, min:441.5803527832031, std:176.55752563476562
Iter:64, max:1677.8983154296875, mean:1051.0958251953125, min:157.7689666748047, std:190.33770751953125
Iter:65, max:1567.827392578125, mean:1071.11474609375, min:72.65887451171875, std:197.61158752441406
Iter:66, max:1585.143798828125, mean:1082.42822265625, min:92.43046569824219, std:193.33128356933594
Iter:67, max:1493.8675537109375, mean:1082.5693359375, min:366.20672607421875, std:189.0927734375
Iter:68, max:1566.179443359375, mean:1065.6378173828125, min:220.08583068847656, std:206.89894104003906
Iter:69, max:1545.3994140625, mean:1063.0908203125, min:452.7073669433594, std:199.2401885986328
Iter:70, max:1510.3858642578125, mean:1071.675537109375, min:501.2630920410156, std:187.92845153808594
Iter:71, max:1618.0556640625, mean:1071.649169921875, min:172.64915466308594, std:201.8729705810547
Iter:72, max:1596.0120849609375, mean:1069.0224609375, min:318.46490478515625, std:190.49119567871094
Iter:73, max:1533.075439453125, mean:1052.0712890625, min:53.807613372802734, std:196.07830810546875
Iter:74, max:1581.1121826171875, mean:1087.058837890625, min:79.3975830078125, std:193.4612579345703
Iter:75, max:1531.9132080078125, mean:1073.45458984375, min:58.8664436340332, std:186.8740997314453
Iter:76, max:1567.79931640625, mean:1085.4937744140625, min:64.18356323242188, std:181.7626953125
Iter:77, max:1543.753173828125, mean:1085.01123046875, min:361.2607421875, std:175.79617309570312
