Iter:0, max:1003.651123046875, mean:993.8707885742188, min:971.7922973632812, std:4.577489852905273
Iter:1, max:999.5347900390625, mean:988.7178344726562, min:968.140380859375, std:4.80551815032959
Iter:2, max:1003.543701171875, mean:992.724609375, min:971.091064453125, std:4.796467304229736
Iter:3, max:1004.26318359375, mean:992.3005981445312, min:966.5850830078125, std:5.321122169494629
Iter:4, max:1004.5717163085938, mean:992.1571655273438, min:970.7598266601562, std:4.976916313171387
Iter:5, max:1005.0438842773438, mean:992.0529174804688, min:968.6175537109375, std:5.3569841384887695
Iter:6, max:1004.8343505859375, mean:993.307373046875, min:972.6531372070312, std:5.147387981414795
Iter:7, max:1005.8572387695312, mean:993.5490112304688, min:972.6732788085938, std:5.194120407104492
Iter:8, max:1002.508056640625, mean:991.362060546875, min:967.3302001953125, std:5.48225212097168
Iter:9, max:1003.7603759765625, mean:991.6647338867188, min:963.2200317382812, std:5.553839683532715
Iter:10, max:1003.4985961914062, mean:990.0636596679688, min:966.6715698242188, std:6.208160400390625
Iter:11, max:1004.4774169921875, mean:990.4923095703125, min:954.4284057617188, std:6.061141490936279
Iter:12, max:1017.2783203125, mean:989.60009765625, min:959.7198486328125, std:6.935877799987793
Iter:13, max:1005.2528686523438, mean:987.986572265625, min:951.426513671875, std:7.370490074157715
Iter:14, max:1010.242919921875, mean:987.7998657226562, min:953.345947265625, std:7.463803768157959
Iter:15, max:1027.787353515625, mean:985.5, min:931.133544921875, std:8.16962718963623
Iter:16, max:1018.4562377929688, mean:984.8087158203125, min:944.1199340820312, std:8.838325500488281
Iter:17, max:1010.3150634765625, mean:983.6889038085938, min:940.45703125, std:9.415485382080078
Iter:18, max:1043.3948974609375, mean:980.7789306640625, min:928.248291015625, std:10.999771118164062
Iter:19, max:1023.9105834960938, mean:981.321044921875, min:907.248779296875, std:11.00053882598877
Iter:20, max:1034.8280029296875, mean:982.841552734375, min:904.491455078125, std:12.756196975708008
Iter:21, max:1059.7362060546875, mean:978.309326171875, min:895.8265991210938, std:13.874490737915039
Iter:22, max:1029.8040771484375, mean:981.435302734375, min:887.6649169921875, std:14.264368057250977
Iter:23, max:1075.94482421875, mean:977.0003051757812, min:858.3054809570312, std:16.005308151245117
Iter:24, max:1088.287109375, mean:978.3192749023438, min:866.7547607421875, std:18.073707580566406
Iter:25, max:1064.8782958984375, mean:978.75048828125, min:805.8107299804688, std:20.77886199951172
Iter:26, max:1105.814453125, mean:977.125732421875, min:878.5067749023438, std:20.113893508911133
Iter:27, max:1094.68603515625, mean:978.18505859375, min:851.5150146484375, std:22.70003318786621
Iter:28, max:1101.8551025390625, mean:972.12890625, min:40.65620803833008, std:45.73103332519531
Iter:29, max:1110.4217529296875, mean:973.5615844726562, min:66.4794921875, std:38.1873893737793
Iter:30, max:1126.386474609375, mean:978.0609130859375, min:809.8626098632812, std:28.47035789489746
Iter:31, max:1126.7498779296875, mean:974.7350463867188, min:762.5990600585938, std:30.2147274017334
Iter:32, max:1162.09228515625, mean:973.109375, min:406.62432861328125, std:39.380496978759766
Iter:33, max:1148.3873291015625, mean:975.661376953125, min:750.8085327148438, std:37.36100769042969
Iter:34, max:1134.190673828125, mean:972.3319091796875, min:766.436767578125, std:37.428558349609375
Iter:35, max:1142.4622802734375, mean:969.0836181640625, min:372.8544921875, std:43.94504165649414
Iter:36, max:1127.8074951171875, mean:965.9295043945312, min:770.7512817382812, std:40.876773834228516
Iter:37, max:1184.5472412109375, mean:963.1495971679688, min:436.03839111328125, std:49.42560577392578
Iter:38, max:1195.7764892578125, mean:961.5487060546875, min:734.4874877929688, std:50.042518615722656
Iter:39, max:1202.2274169921875, mean:960.0247192382812, min:697.7578125, std:51.70589828491211
Iter:40, max:1185.815185546875, mean:955.62109375, min:518.9839477539062, std:54.08114242553711
Iter:41, max:1216.482421875, mean:950.9503784179688, min:553.1654052734375, std:59.7149658203125
Iter:42, max:1163.6722412109375, mean:946.980712890625, min:289.2007141113281, std:64.64960479736328
