Iter:0, max:1003.6263427734375, mean:993.8685302734375, min:971.7969360351562, std:4.574423789978027
Iter:1, max:1000.966064453125, mean:989.0789794921875, min:969.5984497070312, std:4.640529632568359
Iter:2, max:1003.6065063476562, mean:993.4295654296875, min:973.5494995117188, std:4.564245223999023
Iter:3, max:1005.8286743164062, mean:993.8087768554688, min:970.4564819335938, std:5.0617995262146
Iter:4, max:1004.3884887695312, mean:992.163330078125, min:966.843017578125, std:5.180105686187744
Iter:5, max:1004.359375, mean:992.1488037109375, min:964.5957641601562, std:5.316775321960449
Iter:6, max:1004.5983276367188, mean:992.27294921875, min:965.7529907226562, std:5.424255847930908
Iter:7, max:1006.0252075195312, mean:992.5438232421875, min:963.9645385742188, std:5.521143913269043
Iter:8, max:1004.3338623046875, mean:989.0731201171875, min:956.3158569335938, std:6.164161682128906
Iter:9, max:1032.0963134765625, mean:988.0916137695312, min:954.323486328125, std:7.410894393920898
Iter:10, max:1009.3125610351562, mean:984.116455078125, min:939.7246704101562, std:9.137959480285645
Iter:11, max:1021.5551147460938, mean:980.4815673828125, min:917.1992797851562, std:11.793205261230469
Iter:12, max:1047.956787109375, mean:976.4527587890625, min:908.7520751953125, std:13.851425170898438
Iter:13, max:1041.0211181640625, mean:969.6943969726562, min:875.9790649414062, std:16.788179397583008
Iter:14, max:1045.6336669921875, mean:964.5971069335938, min:818.9759521484375, std:20.912643432617188
Iter:15, max:1040.903076171875, mean:957.1193237304688, min:776.7216186523438, std:24.990097045898438
Iter:16, max:1106.20166015625, mean:950.4521484375, min:724.8803100585938, std:30.704811096191406
Iter:17, max:1110.6114501953125, mean:944.3910522460938, min:658.5967407226562, std:34.687522888183594
Iter:18, max:1094.867919921875, mean:932.0352783203125, min:727.8143920898438, std:38.77145004272461
Iter:19, max:1096.6043701171875, mean:925.2108154296875, min:637.60205078125, std:46.29640197753906
Iter:20, max:1140.73779296875, mean:924.0570678710938, min:538.9591674804688, std:53.14582824707031
Iter:21, max:1142.4967041015625, mean:910.4017944335938, min:677.7749633789062, std:58.40326690673828
Iter:22, max:1273.36328125, mean:901.8651123046875, min:558.0149536132812, std:66.48143768310547
Iter:23, max:1208.2445068359375, mean:889.170166015625, min:512.0476684570312, std:72.90242767333984
Iter:24, max:1208.09423828125, mean:878.4451904296875, min:469.1885986328125, std:81.99925994873047
Iter:25, max:1295.281982421875, mean:863.5328979492188, min:335.5066223144531, std:87.65621185302734
Iter:26, max:1347.6146240234375, mean:843.81884765625, min:288.6693115234375, std:93.41951751708984
Iter:27, max:1262.082763671875, mean:827.58837890625, min:436.3734436035156, std:100.77652740478516
Iter:28, max:1200.594482421875, mean:802.1533203125, min:90.54732513427734, std:109.0813217163086
Iter:29, max:1187.1383056640625, mean:772.3135375976562, min:48.92327880859375, std:116.5824966430664
Iter:30, max:1255.796630859375, mean:765.9620361328125, min:149.9740447998047, std:124.90142059326172
Iter:31, max:1128.1776123046875, mean:752.2852783203125, min:170.3065948486328, std:123.48100280761719
Iter:32, max:1170.6380615234375, mean:735.0228271484375, min:-440.1872863769531, std:129.08277893066406
Iter:33, max:1139.6063232421875, mean:726.074462890625, min:46.491966247558594, std:127.82673645019531
Iter:34, max:1061.10400390625, mean:716.560546875, min:-426.31756591796875, std:133.2720489501953
Iter:35, max:1152.6370849609375, mean:701.8078002929688, min:-452.4552917480469, std:134.70509338378906
Iter:36, max:1089.78466796875, mean:689.251953125, min:31.603965759277344, std:122.89588928222656
Iter:37, max:1169.4473876953125, mean:673.486328125, min:65.65458679199219, std:132.89938354492188
Iter:38, max:1018.7445068359375, mean:664.319580078125, min:-146.2340850830078, std:133.93994140625
Iter:39, max:1027.2039794921875, mean:643.8941040039062, min:39.34745407104492, std:134.62193298339844
Iter:40, max:1128.0206298828125, mean:638.01513671875, min:102.75901794433594, std:133.22186279296875
Iter:41, max:1042.8333740234375, mean:611.1458129882812, min:54.200923919677734, std:139.1236572265625
Iter:42, max:1106.581298828125, mean:604.48291015625, min:15.952864646911621, std:143.31204223632812
Iter:43, max:1071.531982421875, mean:580.1368408203125, min:16.15725326538086, std:146.36387634277344
Iter:44, max:1141.3756103515625, mean:568.8072509765625, min:-79.99945068359375, std:153.09019470214844
Iter:45, max:1303.3243408203125, mean:555.5656127929688, min:5.20731258392334, std:157.3251190185547
Iter:46, max:1291.1190185546875, mean:555.3267211914062, min:-161.00511169433594, std:155.38558959960938
Iter:47, max:1248.374755859375, mean:535.0610961914062, min:-26.37346649169922, std:154.31520080566406
Iter:48, max:1205.38427734375, mean:517.8027954101562, min:-182.51185607910156, std:160.34616088867188
Iter:49, max:1162.629638671875, mean:507.2497253417969, min:-307.9306335449219, std:162.23655700683594
Iter:50, max:1010.8497314453125, mean:509.09527587890625, min:-81.43702697753906, std:156.86248779296875
Iter:51, max:1073.341064453125, mean:493.60321044921875, min:-71.17710876464844, std:156.0019073486328
Iter:52, max:1100.0096435546875, mean:469.2462158203125, min:-40.51462173461914, std:158.5205078125
Iter:53, max:1008.6996459960938, mean:469.13946533203125, min:-289.2548828125, std:157.46444702148438
Iter:54, max:952.2981567382812, mean:452.08685302734375, min:-415.4975891113281, std:157.5803985595703
Iter:55, max:891.3379516601562, mean:452.3554992675781, min:-153.81214904785156, std:150.43507385253906
Iter:56, max:897.9457397460938, mean:435.97174072265625, min:-273.3910217285156, std:153.8352813720703
Iter:57, max:844.4842529296875, mean:438.2738952636719, min:-57.85401153564453, std:138.20118713378906
Iter:58, max:827.0274047851562, mean:425.5538330078125, min:-477.8611145019531, std:145.35874938964844
Iter:59, max:870.4756469726562, mean:421.6361389160156, min:-181.61721801757812, std:149.07998657226562
Iter:60, max:973.4423828125, mean:420.4892578125, min:-379.2955017089844, std:146.61521911621094
Iter:61, max:849.1174926757812, mean:405.7703857421875, min:-150.59776306152344, std:146.79861450195312
Iter:62, max:782.1310424804688, mean:399.11273193359375, min:-154.17868041992188, std:150.6277618408203
Iter:63, max:963.2534790039062, mean:403.3443603515625, min:-225.6429443359375, std:150.5349884033203
Iter:64, max:951.640625, mean:398.67230224609375, min:-226.4768829345703, std:150.37379455566406
Iter:65, max:960.052734375, mean:401.2118835449219, min:-113.16349792480469, std:156.91586303710938
Iter:66, max:809.7260131835938, mean:397.9328308105469, min:-242.55368041992188, std:153.83529663085938
Iter:67, max:839.0189208984375, mean:385.35113525390625, min:-237.98208618164062, std:167.04444885253906
Iter:68, max:791.4879150390625, mean:382.40057373046875, min:-270.70513916015625, std:163.92230224609375
Iter:69, max:812.4183349609375, mean:383.2568054199219, min:-312.4641418457031, std:161.9307403564453
Iter:70, max:930.5206909179688, mean:370.140625, min:-314.13128662109375, std:174.80953979492188
Iter:71, max:823.4566040039062, mean:373.72406005859375, min:-139.61273193359375, std:170.04672241210938
Iter:72, max:812.9149169921875, mean:368.88641357421875, min:-261.8272399902344, std:173.56524658203125
Iter:73, max:826.2918701171875, mean:364.4683837890625, min:-312.4221496582031, std:177.67820739746094
Iter:74, max:885.0784912109375, mean:379.2147521972656, min:-264.17633056640625, std:178.04953002929688
Iter:75, max:848.6753540039062, mean:381.14422607421875, min:-363.8016052246094, std:175.44808959960938
Iter:76, max:791.6124877929688, mean:386.329833984375, min:-764.4214477539062, std:178.71437072753906
Iter:77, max:863.485595703125, mean:384.2959899902344, min:-484.6717834472656, std:175.310546875
Iter:78, max:796.0272216796875, mean:396.7110595703125, min:-286.45758056640625, std:176.40126037597656
Iter:79, max:805.7191772460938, mean:394.9652404785156, min:-326.41766357421875, std:174.7130126953125
Iter:80, max:854.5357666015625, mean:405.6431579589844, min:-327.3941955566406, std:174.6251983642578
Iter:81, max:874.8892211914062, mean:412.55621337890625, min:-265.76605224609375, std:177.49122619628906
Iter:82, max:818.4024047851562, mean:422.38726806640625, min:-261.9820251464844, std:169.7290802001953
Iter:83, max:860.323974609375, mean:434.36212158203125, min:-414.5863037109375, std:178.5601806640625
Iter:84, max:833.9274291992188, mean:443.1690673828125, min:-406.2121276855469, std:173.49818420410156
Iter:85, max:918.1883544921875, mean:439.60784912109375, min:-357.2525939941406, std:175.9326171875
Iter:86, max:861.1742553710938, mean:455.31671142578125, min:-330.4156799316406, std:178.39361572265625
Iter:87, max:956.5947875976562, mean:466.1899719238281, min:-385.3240051269531, std:175.73094177246094
Iter:88, max:989.3302001953125, mean:464.673828125, min:-335.9892272949219, std:174.6033477783203
Iter:89, max:901.1976928710938, mean:463.1569519042969, min:-388.9292297363281, std:185.74635314941406
Iter:90, max:888.3475341796875, mean:469.2890930175781, min:-442.551025390625, std:186.84666442871094
Iter:91, max:900.9793701171875, mean:480.73199462890625, min:-342.8735046386719, std:183.40403747558594
Iter:92, max:973.0509643554688, mean:471.60430908203125, min:-287.8629455566406, std:194.58493041992188
Iter:93, max:903.2661743164062, mean:466.79705810546875, min:-428.1560974121094, std:193.22210693359375
Iter:94, max:999.8251953125, mean:468.74822998046875, min:-451.2484436035156, std:199.63864135742188
Iter:95, max:939.0132446289062, mean:458.1381530761719, min:-455.9264221191406, std:210.11949157714844
Iter:96, max:936.3209228515625, mean:461.6593322753906, min:-493.13604736328125, std:203.864990234375
Iter:97, max:1068.5382080078125, mean:459.5242004394531, min:-319.1026611328125, std:209.65179443359375
Iter:98, max:1086.2608642578125, mean:466.9489440917969, min:-200.3479461669922, std:200.3097381591797
Iter:99, max:1044.4639892578125, mean:477.6430358886719, min:-312.350341796875, std:213.02053833007812
Iter:100, max:1057.5064697265625, mean:485.705078125, min:-551.3286743164062, std:210.38980102539062
Iter:101, max:1133.8076171875, mean:470.0379333496094, min:-278.5976257324219, std:211.51666259765625
Iter:102, max:1005.723876953125, mean:489.9093322753906, min:-721.8667602539062, std:222.775146484375
Iter:103, max:1133.6536865234375, mean:498.113525390625, min:-757.4188232421875, std:225.52601623535156
Iter:104, max:1087.127197265625, mean:490.2753601074219, min:-310.4281005859375, std:225.22921752929688
Iter:105, max:1117.588134765625, mean:506.0787048339844, min:-392.4106140136719, std:228.1874542236328
Iter:106, max:1089.754638671875, mean:494.35626220703125, min:-755.9483642578125, std:229.33351135253906
Iter:107, max:1175.285400390625, mean:499.7803649902344, min:-697.2047119140625, std:236.908935546875
Iter:108, max:1139.7557373046875, mean:518.7711181640625, min:-329.0726013183594, std:235.373046875
Iter:109, max:1201.1512451171875, mean:513.208740234375, min:-274.8903503417969, std:230.3513946533203
Iter:110, max:1158.9349365234375, mean:519.0853271484375, min:-1352.0592041015625, std:253.4925994873047
Iter:111, max:1294.994873046875, mean:541.094482421875, min:-467.6258239746094, std:229.1324005126953
Iter:112, max:1089.0938720703125, mean:518.7361450195312, min:-953.263671875, std:251.02342224121094
Iter:113, max:1157.7197265625, mean:540.4267578125, min:-722.4488525390625, std:252.72970581054688
Iter:114, max:1109.9091796875, mean:532.716552734375, min:-551.8717041015625, std:251.38400268554688
Iter:115, max:1148.3638916015625, mean:544.27587890625, min:-931.9631958007812, std:244.75881958007812
Iter:116, max:1155.354736328125, mean:533.415771484375, min:-990.489013671875, std:244.49124145507812
Iter:117, max:1154.3448486328125, mean:545.04443359375, min:-907.2125244140625, std:257.82757568359375
Iter:118, max:1180.583740234375, mean:553.995849609375, min:-429.6748352050781, std:235.16494750976562
Iter:119, max:1120.047607421875, mean:568.88037109375, min:-601.8798828125, std:235.89430236816406
Iter:120, max:1154.9205322265625, mean:555.0639038085938, min:-163.6961212158203, std:231.09938049316406
Iter:121, max:1066.694580078125, mean:562.713134765625, min:-220.1802520751953, std:229.32139587402344
Iter:122, max:1094.29931640625, mean:564.5614013671875, min:-948.432861328125, std:231.6885223388672
Iter:123, max:1115.3848876953125, mean:545.427734375, min:-570.4893188476562, std:237.35020446777344
Iter:124, max:1136.85205078125, mean:552.7015380859375, min:-529.0429077148438, std:238.76943969726562
Iter:125, max:1152.6571044921875, mean:550.7552490234375, min:-404.089111328125, std:236.28028869628906
Iter:126, max:1118.5574951171875, mean:546.7379150390625, min:-214.74232482910156, std:220.06103515625
Iter:127, max:1132.360107421875, mean:541.984619140625, min:-305.0431213378906, std:236.15847778320312
