Iter:0, max:1003.6309814453125, mean:993.8695678710938, min:971.80712890625, std:4.569416522979736
Iter:1, max:999.3411865234375, mean:989.10302734375, min:967.9610595703125, std:4.741626739501953
Iter:2, max:1004.1338500976562, mean:993.76025390625, min:974.7220458984375, std:4.561147689819336
Iter:3, max:1005.8901977539062, mean:994.2525634765625, min:968.2522583007812, std:4.950101375579834
Iter:4, max:1003.8328857421875, mean:992.756591796875, min:967.87109375, std:4.974048614501953
Iter:5, max:1004.8027954101562, mean:992.7623901367188, min:969.0270385742188, std:5.290414333343506
Iter:6, max:1005.2903442382812, mean:992.822509765625, min:972.3533935546875, std:5.201272010803223
Iter:7, max:1005.9021606445312, mean:993.9360961914062, min:970.4959106445312, std:5.012750148773193
Iter:8, max:1002.6298828125, mean:991.7221069335938, min:962.39990234375, std:5.325271129608154
Iter:9, max:1004.4061889648438, mean:992.4984741210938, min:974.2163696289062, std:5.340303897857666
Iter:10, max:1004.9155883789062, mean:991.0833740234375, min:962.2093505859375, std:5.825334072113037
Iter:11, max:1005.4019165039062, mean:991.6597900390625, min:971.0159912109375, std:5.483031272888184
Iter:12, max:1009.8612060546875, mean:991.958740234375, min:967.2677612304688, std:5.564809799194336
Iter:13, max:1013.5394897460938, mean:991.01806640625, min:960.9125366210938, std:5.937866687774658
Iter:14, max:1016.3587646484375, mean:990.9410400390625, min:958.099853515625, std:6.0335893630981445
Iter:15, max:1003.492919921875, mean:989.0994873046875, min:961.4301147460938, std:6.322839260101318
Iter:16, max:1006.9144897460938, mean:989.4339599609375, min:964.2423095703125, std:6.424283027648926
Iter:17, max:1009.3475952148438, mean:988.5008544921875, min:959.7454833984375, std:6.931258678436279
Iter:18, max:1023.6797485351562, mean:987.0762939453125, min:955.3849487304688, std:6.64906120300293
Iter:19, max:1016.4986572265625, mean:987.4774169921875, min:926.15234375, std:7.627516269683838
Iter:20, max:1019.7424926757812, mean:988.801025390625, min:938.0780029296875, std:7.974145889282227
Iter:21, max:1010.045654296875, mean:985.1674194335938, min:944.4401245117188, std:7.777759075164795
Iter:22, max:1008.8472290039062, mean:987.9725952148438, min:947.730712890625, std:7.8772406578063965
Iter:23, max:1014.564697265625, mean:984.6998291015625, min:946.978759765625, std:8.397462844848633
Iter:24, max:1030.8370361328125, mean:985.7637939453125, min:931.4891967773438, std:9.062451362609863
Iter:25, max:1042.1817626953125, mean:987.76318359375, min:940.0467529296875, std:9.398551940917969
Iter:26, max:1031.188232421875, mean:984.2579345703125, min:921.6568603515625, std:10.023181915283203
