Iter:0, max:1004.0361328125, mean:993.9072875976562, min:971.5971069335938, std:4.572840213775635
Iter:1, max:999.313232421875, mean:988.73388671875, min:968.9246826171875, std:4.725168704986572
Iter:2, max:1003.146728515625, mean:993.6888427734375, min:975.6180419921875, std:4.536851406097412
Iter:3, max:1004.407958984375, mean:993.9842529296875, min:968.7190551757812, std:4.854809284210205
Iter:4, max:1003.013916015625, mean:992.7296752929688, min:965.8670043945312, std:4.978378772735596
Iter:5, max:1003.8765258789062, mean:992.7462158203125, min:969.1798706054688, std:5.266199111938477
Iter:6, max:1005.6551513671875, mean:992.7791748046875, min:972.1140747070312, std:5.22176456451416
Iter:7, max:1005.6845703125, mean:993.7638549804688, min:966.7044677734375, std:5.10205602645874
Iter:8, max:1002.462646484375, mean:991.84130859375, min:963.4091796875, std:5.326459884643555
Iter:9, max:1004.467529296875, mean:992.666748046875, min:971.8700561523438, std:5.312221527099609
Iter:10, max:1004.4547119140625, mean:991.1383056640625, min:963.76123046875, std:5.759950160980225
Iter:11, max:1003.8442993164062, mean:991.6796264648438, min:968.5948486328125, std:5.501563549041748
Iter:12, max:1007.6483154296875, mean:992.0388793945312, min:967.7982177734375, std:5.521313667297363
Iter:13, max:1004.6544799804688, mean:991.17919921875, min:962.9764404296875, std:5.8945112228393555
Iter:14, max:1003.6153564453125, mean:990.9769287109375, min:967.2452392578125, std:5.732980728149414
Iter:15, max:1003.119384765625, mean:989.278564453125, min:961.806640625, std:6.207549095153809
Iter:16, max:1005.8756713867188, mean:989.66552734375, min:958.0370483398438, std:6.439877986907959
Iter:17, max:1078.34423828125, mean:988.5650634765625, min:948.2650756835938, std:7.762150287628174
Iter:18, max:1007.0537719726562, mean:987.0518188476562, min:961.7543334960938, std:6.677129745483398
Iter:19, max:1005.2100830078125, mean:987.1209106445312, min:933.602783203125, std:7.8483123779296875
Iter:20, max:1009.6635131835938, mean:988.4120483398438, min:949.6007080078125, std:8.318352699279785
Iter:21, max:1050.24072265625, mean:985.4156494140625, min:954.5818481445312, std:8.288049697875977
