Iter:0, max:1003.6263427734375, mean:993.86767578125, min:971.7969360351562, std:4.573978900909424
Iter:1, max:999.3949584960938, mean:989.0859985351562, min:968.2874145507812, std:4.761429309844971
Iter:2, max:1004.0265502929688, mean:993.7206420898438, min:975.8289794921875, std:4.596810817718506
Iter:3, max:1005.1097412109375, mean:994.2966918945312, min:971.1736450195312, std:4.864176273345947
Iter:4, max:1002.6015014648438, mean:992.7843017578125, min:971.2257080078125, std:4.976266860961914
Iter:5, max:1003.3134765625, mean:992.7845458984375, min:968.3392333984375, std:5.136009693145752
Iter:6, max:1003.792236328125, mean:993.0414428710938, min:973.6336669921875, std:5.126552104949951
Iter:7, max:1004.4320678710938, mean:993.8455810546875, min:967.1907348632812, std:5.18977689743042
Iter:8, max:1003.2552490234375, mean:991.75439453125, min:966.104248046875, std:5.340356826782227
Iter:9, max:1003.2236938476562, mean:992.8074951171875, min:969.1914672851562, std:5.235105037689209
Iter:10, max:1002.8319091796875, mean:991.3582763671875, min:956.42333984375, std:5.801249980926514
Iter:11, max:1003.2810668945312, mean:991.8961791992188, min:970.8743896484375, std:5.386376857757568
Iter:12, max:1003.470703125, mean:992.1466064453125, min:961.2431640625, std:5.494964122772217
Iter:13, max:1003.9278564453125, mean:991.57177734375, min:961.15087890625, std:5.740354537963867
Iter:14, max:1005.0938720703125, mean:991.7574462890625, min:966.9121704101562, std:5.4370436668396
Iter:15, max:1003.4566040039062, mean:989.9189453125, min:954.4943237304688, std:5.745828151702881
Iter:16, max:1009.5225830078125, mean:990.5720825195312, min:966.1028442382812, std:6.077192306518555
Iter:17, max:1002.90869140625, mean:989.4554443359375, min:959.3622436523438, std:6.186103343963623
Iter:18, max:1005.524169921875, mean:987.842041015625, min:951.5936279296875, std:6.187414646148682
Iter:19, max:1006.9457397460938, mean:987.7448120117188, min:957.6202392578125, std:6.8852386474609375
Iter:20, max:1011.8333740234375, mean:988.4929809570312, min:957.8062133789062, std:7.032519817352295
Iter:21, max:1006.5828247070312, mean:984.5009765625, min:936.58740234375, std:7.760193347930908
Iter:22, max:1010.853759765625, mean:986.363037109375, min:941.9672241210938, std:7.7876434326171875
Iter:23, max:1001.7407836914062, mean:984.4264526367188, min:943.4642944335938, std:7.941550254821777
Iter:24, max:1002.8179321289062, mean:984.96484375, min:953.3157348632812, std:8.07544231414795
Iter:25, max:1020.6641845703125, mean:986.9412841796875, min:942.1373901367188, std:8.211878776550293
Iter:26, max:1007.6200561523438, mean:982.9640502929688, min:907.9826049804688, std:9.680511474609375
Iter:27, max:1062.5191650390625, mean:983.93017578125, min:929.372314453125, std:9.74454116821289
Iter:28, max:1012.5153198242188, mean:981.3580322265625, min:900.7367553710938, std:10.067143440246582
Iter:29, max:1036.8836669921875, mean:979.04296875, min:850.5791015625, std:11.751167297363281
Iter:30, max:1050.139404296875, mean:982.57275390625, min:900.4671630859375, std:11.074052810668945
Iter:31, max:1020.4713134765625, mean:979.5717163085938, min:901.9805908203125, std:11.969324111938477
Iter:32, max:1019.6194458007812, mean:977.9617919921875, min:920.8458862304688, std:11.810286521911621
Iter:33, max:1022.4198608398438, mean:980.3841552734375, min:870.3673706054688, std:12.804830551147461
Iter:34, max:1059.38427734375, mean:977.8436279296875, min:906.7568359375, std:13.721096992492676
Iter:35, max:1013.5743408203125, mean:975.8905639648438, min:915.1166381835938, std:12.906604766845703
Iter:36, max:1015.9756469726562, mean:974.4207763671875, min:862.4509887695312, std:14.484522819519043
Iter:37, max:1039.1068115234375, mean:975.6148071289062, min:904.0776977539062, std:13.987741470336914
Iter:38, max:1038.9725341796875, mean:972.240966796875, min:875.359619140625, std:15.871561050415039
Iter:39, max:1042.42041015625, mean:971.8767700195312, min:900.7107543945312, std:16.463363647460938
Iter:40, max:1020.33837890625, mean:970.8111572265625, min:843.068603515625, std:17.020915985107422
Iter:41, max:1059.9505615234375, mean:968.9937744140625, min:812.87646484375, std:17.171308517456055
Iter:42, max:1102.204833984375, mean:968.8099365234375, min:856.0906982421875, std:18.884347915649414
Iter:43, max:1070.489013671875, mean:969.844482421875, min:827.5187377929688, std:19.938922882080078
Iter:44, max:1100.987060546875, mean:965.149169921875, min:862.2631225585938, std:19.722558975219727
Iter:45, max:1070.234130859375, mean:968.517333984375, min:866.5955810546875, std:20.680498123168945
Iter:46, max:1088.3424072265625, mean:964.8138427734375, min:730.8782958984375, std:22.867111206054688
Iter:47, max:1058.5076904296875, mean:962.2832641601562, min:802.7752685546875, std:21.256399154663086
Iter:48, max:1078.7008056640625, mean:962.55517578125, min:65.3714828491211, std:76.00553894042969
Iter:49, max:1053.9990234375, mean:965.251953125, min:857.1179809570312, std:22.311386108398438
Iter:50, max:1037.9073486328125, mean:963.0765380859375, min:827.9481201171875, std:23.757944107055664
Iter:51, max:1058.984130859375, mean:963.0419311523438, min:873.73193359375, std:22.51892852783203
Iter:52, max:1052.1187744140625, mean:961.533203125, min:766.4912109375, std:23.978221893310547
Iter:53, max:1162.1226806640625, mean:961.0443115234375, min:780.3726806640625, std:25.660850524902344
Iter:54, max:1080.0206298828125, mean:960.0158081054688, min:821.431884765625, std:25.053184509277344
Iter:55, max:1157.783203125, mean:965.066650390625, min:807.2501831054688, std:27.082223892211914
Iter:56, max:1079.6451416015625, mean:957.7044677734375, min:776.0022583007812, std:27.453359603881836
Iter:57, max:1168.495849609375, mean:960.3291625976562, min:814.7130126953125, std:29.269319534301758
Iter:58, max:1145.7239990234375, mean:961.5028686523438, min:67.871337890625, std:40.32817840576172
Iter:59, max:1101.55078125, mean:961.833251953125, min:839.80419921875, std:29.32520294189453
Iter:60, max:1136.172607421875, mean:958.144775390625, min:848.2202758789062, std:30.085899353027344
Iter:61, max:1115.880615234375, mean:956.1541748046875, min:814.4089965820312, std:31.5665225982666
Iter:62, max:1081.956298828125, mean:954.39208984375, min:78.85260009765625, std:47.69104766845703
Iter:63, max:1109.23828125, mean:954.6627197265625, min:794.7430419921875, std:34.699703216552734
Iter:64, max:1170.336181640625, mean:953.837646484375, min:45.31758117675781, std:44.098777770996094
Iter:65, max:1134.4754638671875, mean:958.0838623046875, min:385.6368103027344, std:39.27949905395508
Iter:66, max:1107.4852294921875, mean:957.5066528320312, min:798.6508178710938, std:36.822269439697266
Iter:67, max:1163.619873046875, mean:955.42919921875, min:775.995849609375, std:41.66046142578125
Iter:68, max:1276.755859375, mean:956.4808349609375, min:483.4725646972656, std:45.4763298034668
Iter:69, max:1171.3367919921875, mean:951.2839965820312, min:746.0496215820312, std:44.409629821777344
Iter:70, max:1104.6805419921875, mean:955.98486328125, min:750.4354858398438, std:41.03555679321289
Iter:71, max:1132.0611572265625, mean:956.6383056640625, min:787.3873291015625, std:46.04415512084961
Iter:72, max:1250.1485595703125, mean:958.0399780273438, min:776.9234008789062, std:48.41045379638672
Iter:73, max:1137.96337890625, mean:951.50732421875, min:663.7221069335938, std:49.233333587646484
Iter:74, max:1142.644287109375, mean:955.5111083984375, min:728.8301391601562, std:50.91870880126953
