Iter:0, max:19.73615074157715, mean:-0.7007251381874084, min:-13.53304672241211, std:4.89982271194458
Iter:1, max:19.047393798828125, mean:-0.6653691530227661, min:-16.257339477539062, std:4.6685709953308105
Iter:2, max:19.89354133605957, mean:1.2025843858718872, min:-16.17804718017578, std:5.843665599822998
Iter:3, max:18.070632934570312, mean:0.5038763284683228, min:-15.36418628692627, std:4.825299263000488
Iter:4, max:20.20197868347168, mean:4.058235168457031, min:-15.289761543273926, std:6.009781837463379
Iter:5, max:19.36588478088379, mean:6.681972503662109, min:-15.703190803527832, std:6.567850589752197
Iter:6, max:21.444332122802734, mean:11.259521484375, min:-10.40339469909668, std:5.0631914138793945
Iter:7, max:20.354122161865234, mean:9.230810165405273, min:-6.529414176940918, std:5.015589237213135
Iter:8, max:18.347890853881836, mean:10.641654968261719, min:-15.852980613708496, std:3.9141170978546143
Iter:9, max:18.83763885498047, mean:10.7218599319458, min:-5.00335168838501, std:3.2379164695739746
Iter:10, max:18.455381393432617, mean:9.936326026916504, min:-12.575074195861816, std:3.6547138690948486
Iter:11, max:18.42950439453125, mean:10.850030899047852, min:-3.883512020111084, std:3.4468657970428467
Iter:12, max:20.3427791595459, mean:11.843358039855957, min:-18.98331642150879, std:4.280957221984863
Iter:13, max:17.471660614013672, mean:10.63017463684082, min:-17.38916015625, std:3.902358055114746
Iter:14, max:17.282716751098633, mean:9.337900161743164, min:-15.29205322265625, std:3.6700925827026367
Iter:15, max:19.985450744628906, mean:10.76511001586914, min:-23.056964874267578, std:7.688083648681641
Iter:16, max:19.937171936035156, mean:11.387322425842285, min:-21.359216690063477, std:6.554908752441406
Iter:17, max:19.433570861816406, mean:9.10175609588623, min:-25.050434112548828, std:9.875038146972656
Iter:18, max:25.538013458251953, mean:4.768310546875, min:-22.670095443725586, std:11.70862102508545
Iter:19, max:20.876785278320312, mean:5.599087715148926, min:-23.544706344604492, std:11.714317321777344
Iter:20, max:18.476715087890625, mean:-0.24833525717258453, min:-40.79408264160156, std:13.065046310424805
Iter:21, max:31.72943115234375, mean:4.000364303588867, min:-29.6944580078125, std:12.244579315185547
Iter:22, max:20.535715103149414, mean:1.9654793739318848, min:-40.84381103515625, std:11.154190063476562
Iter:23, max:22.12074089050293, mean:1.9097169637680054, min:-42.13969421386719, std:9.985634803771973
Iter:24, max:18.42654037475586, mean:1.0431851148605347, min:-58.20195388793945, std:10.53337287902832
Iter:25, max:21.38311195373535, mean:5.89910888671875, min:-51.28401184082031, std:10.502837181091309
Iter:26, max:59.99383544921875, mean:3.829813003540039, min:-44.79228210449219, std:10.197897911071777
Iter:27, max:36.5218391418457, mean:4.9506354331970215, min:-94.79659271240234, std:9.433545112609863
Iter:28, max:39.347328186035156, mean:6.298620223999023, min:-94.36128997802734, std:9.110084533691406
Iter:29, max:47.1871337890625, mean:8.285181999206543, min:-129.47422790527344, std:9.652128219604492
Iter:30, max:85.55379486083984, mean:8.380537986755371, min:-58.51594924926758, std:9.181597709655762
Iter:31, max:63.60182189941406, mean:8.914501190185547, min:-134.96792602539062, std:8.909220695495605
Iter:32, max:40.7185173034668, mean:8.953386306762695, min:-65.56058502197266, std:7.496762275695801
Iter:33, max:118.01666259765625, mean:8.869386672973633, min:-55.2892951965332, std:9.021345138549805
Iter:34, max:55.32379150390625, mean:9.024863243103027, min:-71.55245208740234, std:9.048430442810059
Iter:35, max:54.68571853637695, mean:5.18692684173584, min:-59.61188888549805, std:9.400985717773438
Iter:36, max:93.9588394165039, mean:7.454068183898926, min:-100.72857666015625, std:11.39876937866211
Iter:37, max:60.64898681640625, mean:6.221390724182129, min:-100.73555755615234, std:11.456222534179688
Iter:38, max:53.08972930908203, mean:7.730430603027344, min:-61.67821502685547, std:10.628637313842773
Iter:39, max:64.99919128417969, mean:4.4943084716796875, min:-72.51119995117188, std:11.702339172363281
Iter:40, max:93.32328796386719, mean:7.081628799438477, min:-63.84790802001953, std:12.903107643127441
Iter:41, max:124.60299682617188, mean:9.448081970214844, min:-60.89276885986328, std:15.213747024536133
Iter:42, max:110.194091796875, mean:7.666463375091553, min:-145.90367126464844, std:17.985532760620117
Iter:43, max:97.81440734863281, mean:9.940028190612793, min:-65.86528015136719, std:18.65032958984375
Iter:44, max:157.95584106445312, mean:6.974871635437012, min:-112.34893035888672, std:23.89189910888672
Iter:45, max:138.47457885742188, mean:11.44852352142334, min:-90.71080017089844, std:24.278249740600586
Iter:46, max:176.71176147460938, mean:12.178254127502441, min:-100.25325012207031, std:27.2711238861084
Iter:47, max:213.72267150878906, mean:15.061755180358887, min:-88.70368194580078, std:31.455541610717773
Iter:48, max:178.2986297607422, mean:21.81040382385254, min:-99.1668472290039, std:35.31434631347656
Iter:49, max:203.8645782470703, mean:27.442615509033203, min:-82.5208511352539, std:39.238582611083984
Iter:50, max:220.92799377441406, mean:37.55830764770508, min:-131.34934997558594, std:43.04985046386719
Iter:51, max:275.4633483886719, mean:43.7335205078125, min:-103.88140869140625, std:55.030433654785156
Iter:52, max:301.5036926269531, mean:64.30907440185547, min:-87.79106903076172, std:60.26491165161133
Iter:53, max:326.54302978515625, mean:75.90567016601562, min:-104.83749389648438, std:70.32342529296875
Iter:54, max:412.7549133300781, mean:102.60041809082031, min:-89.01268005371094, std:78.32197570800781
Iter:55, max:414.0574951171875, mean:129.44451904296875, min:-82.16339111328125, std:91.16315460205078
Iter:56, max:461.5635070800781, mean:171.02684020996094, min:-73.98194122314453, std:99.8369140625
Iter:57, max:519.7319946289062, mean:231.0355987548828, min:-47.416988372802734, std:95.6810073852539
Iter:58, max:529.9624633789062, mean:277.6392822265625, min:-40.673004150390625, std:91.83361053466797
Iter:59, max:634.8104248046875, mean:334.12158203125, min:-66.9444351196289, std:97.49757385253906
Iter:60, max:684.3258666992188, mean:389.44989013671875, min:-28.71469497680664, std:92.0074462890625
Iter:61, max:688.828369140625, mean:446.49078369140625, min:-41.87032699584961, std:89.98020935058594
Iter:62, max:751.8805541992188, mean:501.69622802734375, min:248.0719451904297, std:77.57583618164062
Iter:63, max:816.3025512695312, mean:549.0576171875, min:-39.635398864746094, std:80.94478607177734
Iter:64, max:808.609130859375, mean:598.3779907226562, min:281.82098388671875, std:76.68333435058594
Iter:65, max:844.5350341796875, mean:630.6607666015625, min:395.0802917480469, std:76.16883850097656
Iter:66, max:883.4055786132812, mean:650.0833129882812, min:406.2724914550781, std:73.24653625488281
Iter:67, max:894.7462768554688, mean:656.7430419921875, min:347.6815185546875, std:79.20285034179688
Iter:68, max:1000.3556518554688, mean:667.322998046875, min:-68.68366241455078, std:89.98853302001953
Iter:69, max:928.3724365234375, mean:670.7982788085938, min:310.8388671875, std:93.87903594970703
Iter:70, max:920.5162353515625, mean:674.2221069335938, min:375.0028076171875, std:95.0106430053711
Iter:71, max:940.6718139648438, mean:664.9593505859375, min:-70.3603744506836, std:102.26298522949219
Iter:72, max:937.8709716796875, mean:676.622314453125, min:268.89154052734375, std:101.10026550292969
Iter:73, max:921.651611328125, mean:663.551025390625, min:-41.23525619506836, std:102.50312042236328
Iter:74, max:1008.3903198242188, mean:672.7316284179688, min:274.4617919921875, std:102.28984069824219
Iter:75, max:1000.666259765625, mean:685.96875, min:332.72601318359375, std:97.8944320678711
Iter:76, max:953.9618530273438, mean:691.7531127929688, min:47.511497497558594, std:105.37713623046875
Iter:77, max:1018.2232055664062, mean:713.5180053710938, min:381.3868713378906, std:106.30464935302734
Iter:78, max:996.1592407226562, mean:727.540771484375, min:276.9530944824219, std:106.29467010498047
Iter:79, max:1092.0721435546875, mean:745.5703735351562, min:394.11529541015625, std:104.56237030029297
Iter:80, max:1058.9417724609375, mean:765.9522705078125, min:230.21737670898438, std:108.22479248046875
Iter:81, max:1109.5880126953125, mean:783.3006591796875, min:-16.36903953552246, std:110.00713348388672
Iter:82, max:1112.3526611328125, mean:796.9917602539062, min:480.42620849609375, std:99.15728759765625
Iter:83, max:1109.44775390625, mean:809.759033203125, min:285.66058349609375, std:106.22244262695312
Iter:84, max:1157.55322265625, mean:822.761962890625, min:-106.1682357788086, std:116.40266418457031
Iter:85, max:1151.6676025390625, mean:826.9953002929688, min:23.534372329711914, std:108.08710479736328
Iter:86, max:1134.60888671875, mean:837.9368896484375, min:-135.5140380859375, std:120.19869995117188
Iter:87, max:1182.8956298828125, mean:843.9920654296875, min:-195.1806640625, std:123.49057006835938
Iter:88, max:1173.6392822265625, mean:837.720947265625, min:-205.79248046875, std:124.27362823486328
Iter:89, max:1158.644775390625, mean:843.9910888671875, min:1.342616319656372, std:108.53453826904297
Iter:90, max:1162.172607421875, mean:840.3483276367188, min:-112.27190399169922, std:128.5224151611328
Iter:91, max:1210.700439453125, mean:838.6492919921875, min:-171.34466552734375, std:122.88394165039062
Iter:92, max:1214.4207763671875, mean:838.1845703125, min:-2.8006229400634766, std:127.90132141113281
Iter:93, max:1169.491455078125, mean:841.912109375, min:-118.62295532226562, std:128.74313354492188
Iter:94, max:1204.1531982421875, mean:847.583251953125, min:-138.43295288085938, std:124.60651397705078
Iter:95, max:1237.3135986328125, mean:864.0271606445312, min:-82.6292724609375, std:125.42964935302734
Iter:96, max:1291.748779296875, mean:889.8936157226562, min:-111.50489807128906, std:130.8795623779297
Iter:97, max:1331.2569580078125, mean:892.94287109375, min:-174.87911987304688, std:132.10635375976562
Iter:98, max:1342.776123046875, mean:922.8658447265625, min:-139.72747802734375, std:133.19671630859375
Iter:99, max:1283.8314208984375, mean:937.7982177734375, min:-167.97740173339844, std:132.3508758544922
Iter:100, max:1333.3037109375, mean:968.8516845703125, min:-96.23804473876953, std:126.20254516601562
Iter:101, max:1331.0552978515625, mean:992.8538818359375, min:214.8140411376953, std:119.6839828491211
Iter:102, max:1364.62841796875, mean:1029.5426025390625, min:627.7410278320312, std:113.18003845214844
Iter:103, max:1442.687744140625, mean:1040.3486328125, min:-66.02371215820312, std:124.95925903320312
Iter:104, max:1409.147216796875, mean:1060.609619140625, min:526.9279174804688, std:120.81427001953125
Iter:105, max:1501.330322265625, mean:1084.224853515625, min:50.20519256591797, std:135.6190948486328
Iter:106, max:1454.360107421875, mean:1089.09326171875, min:-235.6803741455078, std:143.3782958984375
Iter:107, max:1456.099853515625, mean:1109.49072265625, min:611.996826171875, std:123.35797119140625
Iter:108, max:1449.364013671875, mean:1118.7760009765625, min:-199.28656005859375, std:150.00343322753906
Iter:109, max:1523.873291015625, mean:1127.2952880859375, min:-334.0179138183594, std:137.77378845214844
Iter:110, max:1517.4547119140625, mean:1141.57763671875, min:-310.97412109375, std:142.0726776123047
Iter:111, max:1511.962890625, mean:1140.3802490234375, min:-234.25404357910156, std:143.10440063476562
Iter:112, max:1486.9547119140625, mean:1151.773193359375, min:-293.5931701660156, std:162.33599853515625
Iter:113, max:1512.97216796875, mean:1165.02392578125, min:-282.37493896484375, std:156.38890075683594
Iter:114, max:1536.2877197265625, mean:1165.6630859375, min:-348.570068359375, std:179.69459533691406
Iter:115, max:1536.6507568359375, mean:1157.217529296875, min:-279.4151916503906, std:232.02513122558594
Iter:116, max:1533.9989013671875, mean:1176.1824951171875, min:-280.9274597167969, std:206.80213928222656
Iter:117, max:1595.903564453125, mean:1170.8258056640625, min:-293.66064453125, std:230.5371856689453
Iter:118, max:1626.0328369140625, mean:1206.216552734375, min:-387.6632995605469, std:166.82855224609375
Iter:119, max:1620.1614990234375, mean:1182.3251953125, min:-321.173583984375, std:259.1720275878906
Iter:120, max:1654.091552734375, mean:1199.000244140625, min:-339.8838195800781, std:239.7792205810547
Iter:121, max:1596.475341796875, mean:1153.9356689453125, min:-313.3082580566406, std:375.31451416015625
Iter:122, max:1631.7415771484375, mean:1158.537353515625, min:-314.7908020019531, std:390.59356689453125
Iter:123, max:1610.3367919921875, mean:1199.650634765625, min:-336.5810241699219, std:339.53472900390625
Iter:124, max:1656.8935546875, mean:1164.1993408203125, min:-332.3277282714844, std:422.4607849121094
Iter:125, max:1668.715576171875, mean:1236.1494140625, min:-334.9582824707031, std:319.8879089355469
Iter:126, max:1609.2760009765625, mean:1261.49365234375, min:-311.4560241699219, std:308.5874328613281
Iter:127, max:1697.6602783203125, mean:1285.8826904296875, min:-321.57269287109375, std:289.6383972167969
