Iter:0, max:19.730581283569336, mean:-0.7039458155632019, min:-13.571188926696777, std:4.898482799530029
Iter:1, max:18.936477661132812, mean:-0.6578689217567444, min:-16.886398315429688, std:4.765969276428223
Iter:2, max:19.231088638305664, mean:0.9497253894805908, min:-16.420019149780273, std:5.7106242179870605
Iter:3, max:19.034303665161133, mean:0.3286702036857605, min:-18.695390701293945, std:4.8520097732543945
Iter:4, max:20.578855514526367, mean:3.8547229766845703, min:-15.197145462036133, std:5.961297512054443
Iter:5, max:18.764970779418945, mean:6.338798999786377, min:-16.5450382232666, std:7.221347808837891
Iter:6, max:21.095504760742188, mean:10.925901412963867, min:-12.688016891479492, std:6.223538398742676
Iter:7, max:19.5849666595459, mean:8.75846004486084, min:-16.859159469604492, std:6.486378192901611
Iter:8, max:19.550796508789062, mean:10.834325790405273, min:-18.013465881347656, std:6.098799705505371
Iter:9, max:20.406824111938477, mean:12.273006439208984, min:-19.657211303710938, std:4.039250373840332
Iter:10, max:19.927492141723633, mean:11.375720024108887, min:-16.393896102905273, std:4.225990295410156
Iter:11, max:19.052459716796875, mean:11.27970027923584, min:-21.54283905029297, std:4.657652378082275
Iter:12, max:21.333948135375977, mean:12.006546974182129, min:-19.412376403808594, std:5.180449962615967
Iter:13, max:34.65264892578125, mean:10.282915115356445, min:-28.903419494628906, std:5.133370399475098
Iter:14, max:24.042776107788086, mean:9.103318214416504, min:-37.713714599609375, std:3.9887001514434814
Iter:15, max:20.715496063232422, mean:10.49384880065918, min:-21.049348831176758, std:7.044820785522461
Iter:16, max:32.138484954833984, mean:10.76830005645752, min:-18.37569236755371, std:5.627223014831543
Iter:17, max:74.3821029663086, mean:10.465947151184082, min:-21.10898208618164, std:6.954655170440674
Iter:18, max:72.12451934814453, mean:7.577868938446045, min:-27.020336151123047, std:10.316912651062012
Iter:19, max:57.234310150146484, mean:8.02871322631836, min:-42.82830810546875, std:10.53636360168457
Iter:20, max:45.30487823486328, mean:3.6442110538482666, min:-66.29905700683594, std:12.226987838745117
Iter:21, max:105.57073974609375, mean:5.647096633911133, min:-38.53687286376953, std:12.54864501953125
Iter:22, max:86.28929138183594, mean:-0.11684603244066238, min:-122.18097686767578, std:13.96164608001709
