Iter:0, max:19.832321166992188, mean:-0.6944497227668762, min:-13.555194854736328, std:4.8931498527526855
Iter:1, max:18.286956787109375, mean:-1.0470050573349, min:-17.94704246520996, std:4.810263633728027
Iter:2, max:19.0408992767334, mean:1.093043327331543, min:-16.668489456176758, std:6.110612869262695
Iter:3, max:19.2122802734375, mean:0.8357712030410767, min:-11.436363220214844, std:5.125977993011475
Iter:4, max:21.46995735168457, mean:3.852423667907715, min:-6.602937698364258, std:5.552329063415527
Iter:5, max:18.439451217651367, mean:5.661592960357666, min:-12.3997220993042, std:6.617727756500244
Iter:6, max:21.144033432006836, mean:9.6926908493042, min:-6.64384126663208, std:5.706814765930176
Iter:7, max:34.30270004272461, mean:8.106439590454102, min:-9.411635398864746, std:5.729440212249756
Iter:8, max:51.73735427856445, mean:8.744272232055664, min:-21.880374908447266, std:5.548612117767334
Iter:9, max:50.21409606933594, mean:8.698036193847656, min:-54.96649169921875, std:6.575239181518555
Iter:10, max:76.7590560913086, mean:6.962428092956543, min:-56.71350860595703, std:7.757462978363037
Iter:11, max:96.12931060791016, mean:7.197904586791992, min:-68.5275650024414, std:10.492127418518066
Iter:12, max:74.47503662109375, mean:7.416214942932129, min:-68.9476089477539, std:10.672057151794434
Iter:13, max:80.62332153320312, mean:5.34883975982666, min:-69.19371795654297, std:11.555710792541504
Iter:14, max:84.76286315917969, mean:4.022495269775391, min:-79.8202133178711, std:12.97158432006836
Iter:15, max:123.56690979003906, mean:2.2742533683776855, min:-88.7270736694336, std:16.87921142578125
Iter:16, max:147.0473175048828, mean:2.797806739807129, min:-89.25837707519531, std:17.27056312561035
Iter:17, max:173.14068603515625, mean:2.343064308166504, min:-86.15554809570312, std:20.35643196105957
Iter:18, max:185.43582153320312, mean:1.867236852645874, min:-144.7519073486328, std:23.813871383666992
Iter:19, max:230.02545166015625, mean:3.628101348876953, min:-149.4208221435547, std:27.66511344909668
Iter:20, max:160.12078857421875, mean:2.9884748458862305, min:-237.67306518554688, std:30.311424255371094
Iter:21, max:211.8987274169922, mean:8.249197959899902, min:-156.54925537109375, std:35.301109313964844
