Iter:0, max:19.73615074157715, mean:-0.7007251381874084, min:-13.53304672241211, std:4.89982271194458
Iter:1, max:19.0699520111084, mean:-0.6732245683670044, min:-16.25502586364746, std:4.665448188781738
Iter:2, max:19.552160263061523, mean:1.2368710041046143, min:-16.18811798095703, std:5.850628852844238
Iter:3, max:18.05606460571289, mean:0.5427378416061401, min:-15.43865966796875, std:4.861935138702393
Iter:4, max:20.04938316345215, mean:3.9899466037750244, min:-15.30749225616455, std:5.979091167449951
Iter:5, max:19.35271453857422, mean:6.658984184265137, min:-15.763325691223145, std:6.6049017906188965
Iter:6, max:20.67843246459961, mean:11.276910781860352, min:-10.769911766052246, std:5.074808597564697
Iter:7, max:20.06951141357422, mean:9.194156646728516, min:-7.133025169372559, std:5.041360378265381
Iter:8, max:18.848968505859375, mean:10.704760551452637, min:-15.792485237121582, std:3.8705108165740967
Iter:9, max:18.722156524658203, mean:10.733859062194824, min:-4.204227447509766, std:3.221196413040161
Iter:10, max:18.506086349487305, mean:9.844305038452148, min:-12.89786148071289, std:3.6650733947753906
Iter:11, max:18.436792373657227, mean:10.747852325439453, min:-3.459470272064209, std:3.4384992122650146
Iter:12, max:19.979454040527344, mean:11.875638961791992, min:-7.421419143676758, std:4.073094367980957
Iter:13, max:17.322004318237305, mean:10.577731132507324, min:-16.2011661529541, std:3.8154847621917725
Iter:14, max:17.247657775878906, mean:9.431571960449219, min:-12.765857696533203, std:3.5312559604644775
Iter:15, max:19.641632080078125, mean:11.045644760131836, min:-23.177234649658203, std:7.38609504699707
Iter:16, max:20.569175720214844, mean:11.622529983520508, min:-21.063522338867188, std:6.244982719421387
Iter:17, max:20.42972183227539, mean:9.635942459106445, min:-24.079641342163086, std:9.521129608154297
Iter:18, max:22.522354125976562, mean:5.390953063964844, min:-25.36614990234375, std:11.650886535644531
Iter:19, max:20.85883331298828, mean:6.103573322296143, min:-24.944929122924805, std:11.480696678161621
Iter:20, max:18.518234252929688, mean:0.3788607716560364, min:-44.41667556762695, std:12.889254570007324
Iter:21, max:19.68013572692871, mean:4.1715593338012695, min:-34.109840393066406, std:11.990701675415039
Iter:22, max:21.601314544677734, mean:2.025879383087158, min:-38.34103012084961, std:11.127273559570312
Iter:23, max:20.440568923950195, mean:1.7640271186828613, min:-44.919734954833984, std:9.703694343566895
Iter:24, max:20.374059677124023, mean:0.42763108015060425, min:-45.59497833251953, std:10.7635498046875
Iter:25, max:29.48105239868164, mean:5.693092346191406, min:-62.19700241088867, std:10.713239669799805
Iter:26, max:46.49689483642578, mean:2.582606792449951, min:-36.8349494934082, std:10.025283813476562
Iter:27, max:26.994613647460938, mean:4.26055908203125, min:-109.35558319091797, std:9.890451431274414
Iter:28, max:68.79021453857422, mean:5.366616249084473, min:-95.55359649658203, std:9.843534469604492
Iter:29, max:72.46145629882812, mean:7.709880352020264, min:-82.48252868652344, std:9.870579719543457
Iter:30, max:130.8103485107422, mean:7.450741767883301, min:-59.198997497558594, std:10.50293254852295
