Iter:0, max:19.730581283569336, mean:-0.704655647277832, min:-13.571188926696777, std:4.900821208953857
Iter:1, max:18.98072052001953, mean:-0.6869220733642578, min:-16.94335174560547, std:4.780846118927002
Iter:2, max:20.253435134887695, mean:1.1575686931610107, min:-15.741341590881348, std:5.812813758850098
Iter:3, max:17.70042610168457, mean:0.47334975004196167, min:-15.48694133758545, std:4.790329933166504
Iter:4, max:19.544198989868164, mean:3.8309996128082275, min:-15.051435470581055, std:5.894914150238037
Iter:5, max:19.452558517456055, mean:6.433136940002441, min:-15.927541732788086, std:6.720437526702881
Iter:6, max:20.716100692749023, mean:11.171011924743652, min:-10.539460182189941, std:5.228938579559326
Iter:7, max:18.96335792541504, mean:9.00992488861084, min:-6.258774757385254, std:5.236782550811768
Iter:8, max:18.670167922973633, mean:10.842700958251953, min:-15.99234676361084, std:4.034321308135986
Iter:9, max:18.636905670166016, mean:10.989282608032227, min:-5.562280178070068, std:3.1497344970703125
Iter:10, max:18.386098861694336, mean:10.09237289428711, min:-12.630805969238281, std:3.6260247230529785
Iter:11, max:17.883935928344727, mean:10.90192985534668, min:-4.358602523803711, std:3.479433536529541
Iter:12, max:20.19761085510254, mean:11.877307891845703, min:-9.523653984069824, std:4.25808572769165
Iter:13, max:17.667598724365234, mean:10.624090194702148, min:-16.974313735961914, std:3.956254005432129
Iter:14, max:17.473648071289062, mean:9.390786170959473, min:-18.415298461914062, std:3.5956034660339355
Iter:15, max:19.927005767822266, mean:10.937505722045898, min:-21.52805519104004, std:7.45028829574585
Iter:16, max:20.811416625976562, mean:11.34343433380127, min:-20.84060287475586, std:6.351210117340088
Iter:17, max:20.547449111938477, mean:9.778342247009277, min:-21.260387420654297, std:8.950398445129395
Iter:18, max:24.990707397460938, mean:5.331035614013672, min:-21.875038146972656, std:11.233075141906738
Iter:19, max:20.745960235595703, mean:6.0572052001953125, min:-24.016693115234375, std:11.127619743347168
Iter:20, max:19.79490852355957, mean:0.10608483850955963, min:-27.19075584411621, std:12.270048141479492
Iter:21, max:28.506729125976562, mean:3.5253190994262695, min:-25.536893844604492, std:11.706783294677734
Iter:22, max:20.24745750427246, mean:1.4395571947097778, min:-25.95987319946289, std:10.609128952026367
Iter:23, max:32.010093688964844, mean:1.1093389987945557, min:-28.114749908447266, std:9.176301002502441
Iter:24, max:18.0428524017334, mean:-0.7017945051193237, min:-29.224401473999023, std:10.100970268249512
Iter:25, max:20.584835052490234, mean:5.182516098022461, min:-43.9266242980957, std:10.36052131652832
Iter:26, max:25.224340438842773, mean:2.3428759574890137, min:-67.95929718017578, std:9.959282875061035
Iter:27, max:21.208717346191406, mean:3.4486865997314453, min:-77.50344848632812, std:9.65268325805664
Iter:28, max:63.61317825317383, mean:4.27735710144043, min:-103.90198516845703, std:10.413331985473633
Iter:29, max:35.81342315673828, mean:7.543151378631592, min:-166.35646057128906, std:11.151369094848633
Iter:30, max:35.339149475097656, mean:7.360590934753418, min:-129.32077026367188, std:10.831563949584961
Iter:31, max:45.431549072265625, mean:8.643415451049805, min:-101.50375366210938, std:9.605637550354004
Iter:32, max:158.50875854492188, mean:8.946720123291016, min:-68.45394134521484, std:10.224504470825195
Iter:33, max:78.14641571044922, mean:7.926505088806152, min:-114.93547821044922, std:10.750861167907715
Iter:34, max:55.794654846191406, mean:8.562467575073242, min:-84.72976684570312, std:9.727828025817871
Iter:35, max:35.17424392700195, mean:4.173408508300781, min:-82.83263397216797, std:10.647439002990723
Iter:36, max:46.62166213989258, mean:6.688881874084473, min:-91.5211181640625, std:10.914545059204102
Iter:37, max:159.655517578125, mean:5.255122184753418, min:-104.74459838867188, std:12.286974906921387
Iter:38, max:67.73127746582031, mean:6.690845489501953, min:-103.87846374511719, std:10.962932586669922
Iter:39, max:65.4511947631836, mean:2.8948402404785156, min:-116.36386108398438, std:11.184601783752441
Iter:40, max:129.12269592285156, mean:7.106990814208984, min:-75.38465881347656, std:11.816925048828125
Iter:41, max:107.7958755493164, mean:7.387479782104492, min:-67.06217193603516, std:12.491117477416992
Iter:42, max:137.52886962890625, mean:6.0757293701171875, min:-86.6457748413086, std:13.181668281555176
Iter:43, max:129.02244567871094, mean:7.825592994689941, min:-61.0489616394043, std:14.646937370300293
Iter:44, max:110.09365844726562, mean:5.220369338989258, min:-100.03861236572266, std:17.66598129272461
Iter:45, max:88.51415252685547, mean:7.0322184562683105, min:-106.29608917236328, std:18.280567169189453
Iter:46, max:142.16819763183594, mean:6.900459289550781, min:-127.67463684082031, std:20.451799392700195
Iter:47, max:103.48248291015625, mean:7.432291030883789, min:-102.7198257446289, std:21.224210739135742
Iter:48, max:131.01316833496094, mean:10.070035934448242, min:-78.69780731201172, std:22.27899932861328
Iter:49, max:185.8592529296875, mean:12.439314842224121, min:-119.74467468261719, std:26.33333396911621
Iter:50, max:182.860107421875, mean:15.208661079406738, min:-139.3891143798828, std:27.268878936767578
Iter:51, max:246.68148803710938, mean:11.625707626342773, min:-183.22122192382812, std:34.85637283325195
Iter:52, max:171.21641540527344, mean:21.27425765991211, min:-156.40579223632812, std:34.90595626831055
Iter:53, max:166.82736206054688, mean:23.54540252685547, min:-115.23371124267578, std:40.7798957824707
Iter:54, max:242.24122619628906, mean:31.976089477539062, min:-102.18973541259766, std:46.761165618896484
Iter:55, max:204.6280059814453, mean:34.00822448730469, min:-225.60792541503906, std:52.77361297607422
Iter:56, max:260.9776611328125, mean:46.99976348876953, min:-164.37344360351562, std:55.79738235473633
Iter:57, max:239.587158203125, mean:71.14729309082031, min:-180.15878295898438, std:58.05729675292969
Iter:58, max:342.3481140136719, mean:92.02075958251953, min:-100.93692016601562, std:59.77268981933594
Iter:59, max:330.05743408203125, mean:110.62100219726562, min:-103.72918701171875, std:61.452476501464844
Iter:60, max:560.6292114257812, mean:136.30804443359375, min:-85.943359375, std:67.5468978881836
Iter:61, max:431.282470703125, mean:168.9833984375, min:-71.08257293701172, std:69.7052993774414
Iter:62, max:407.3465270996094, mean:198.8500518798828, min:-45.551902770996094, std:66.30213928222656
Iter:63, max:508.37347412109375, mean:236.55511474609375, min:-25.563934326171875, std:71.64818572998047
