Iter:0, max:17.93680763244629, mean:-0.801099419593811, min:-15.743550300598145, std:5.498140811920166
Iter:1, max:16.337013244628906, mean:-1.1561356782913208, min:-14.79911994934082, std:3.844343662261963
Iter:2, max:17.194318771362305, mean:0.08812949061393738, min:-12.053433418273926, std:3.860891580581665
Iter:3, max:17.945541381835938, mean:-0.430520236492157, min:-9.410714149475098, std:3.701862335205078
Iter:4, max:17.08779525756836, mean:1.7568440437316895, min:-10.245858192443848, std:2.8251941204071045
Iter:5, max:17.905778884887695, mean:1.9932081699371338, min:-6.680190086364746, std:5.655015468597412
Iter:6, max:18.78907585144043, mean:6.871126174926758, min:-5.243315696716309, std:6.626115322113037
Iter:7, max:18.51117515563965, mean:4.112338066101074, min:-3.3138351440429688, std:6.453338623046875
Iter:8, max:18.12569808959961, mean:6.960086345672607, min:-8.966643333435059, std:6.990286350250244
Iter:9, max:19.33380699157715, mean:10.210676193237305, min:-3.481262445449829, std:6.289581298828125
Iter:10, max:18.287172317504883, mean:10.655267715454102, min:-9.140533447265625, std:5.298170566558838
Iter:11, max:17.700822830200195, mean:10.92830753326416, min:-4.533436298370361, std:4.702877998352051
Iter:12, max:19.01203727722168, mean:11.430959701538086, min:-3.992490530014038, std:4.806255340576172
Iter:13, max:16.87629508972168, mean:9.45388126373291, min:-4.937165260314941, std:4.511857986450195
Iter:14, max:14.926898002624512, mean:8.026347160339355, min:-7.663452625274658, std:3.184835910797119
Iter:15, max:18.43758773803711, mean:10.65945053100586, min:-2.5700414180755615, std:4.349089622497559
Iter:16, max:16.69400405883789, mean:8.45879077911377, min:-7.787693500518799, std:4.669528961181641
Iter:17, max:17.12201690673828, mean:8.617167472839355, min:-2.3439323902130127, std:3.780334711074829
Iter:18, max:18.44524574279785, mean:9.455921173095703, min:-8.184762001037598, std:4.977468013763428
Iter:19, max:16.78143310546875, mean:8.874176025390625, min:-9.680356979370117, std:4.637907981872559
Iter:20, max:15.591743469238281, mean:7.666349411010742, min:-14.907815933227539, std:4.717378616333008
Iter:21, max:16.286298751831055, mean:10.337823867797852, min:-5.444873332977295, std:3.3707008361816406
Iter:22, max:30.569679260253906, mean:8.860334396362305, min:-13.728133201599121, std:6.657525062561035
Iter:23, max:20.41024398803711, mean:7.062143325805664, min:-21.6832275390625, std:9.36387825012207
Iter:24, max:20.807878494262695, mean:4.077427387237549, min:-28.782550811767578, std:8.572901725769043
Iter:25, max:16.595226287841797, mean:9.033224105834961, min:-18.59890365600586, std:6.96160888671875
Iter:26, max:20.95026206970215, mean:2.4622080326080322, min:-26.734018325805664, std:9.479034423828125
Iter:27, max:22.72015953063965, mean:0.32314515113830566, min:-47.43363952636719, std:10.371932029724121
Iter:28, max:69.11723327636719, mean:2.1910951137542725, min:-51.652854919433594, std:12.946589469909668
Iter:29, max:77.23834991455078, mean:3.4175968170166016, min:-51.89481735229492, std:13.700268745422363
Iter:30, max:45.51518630981445, mean:0.8702549934387207, min:-51.571102142333984, std:11.850098609924316
Iter:31, max:98.65401458740234, mean:4.402791976928711, min:-18.584657669067383, std:14.870467185974121
Iter:32, max:26.56475257873535, mean:4.886496543884277, min:-29.675439834594727, std:9.290409088134766
Iter:33, max:30.143144607543945, mean:0.2279493808746338, min:-67.51365661621094, std:12.406607627868652
Iter:34, max:45.2692756652832, mean:-0.24480760097503662, min:-42.28949737548828, std:12.684175491333008
Iter:35, max:57.44228744506836, mean:4.0464019775390625, min:-25.324981689453125, std:10.99677848815918
Iter:36, max:45.01472473144531, mean:1.7432386875152588, min:-40.34040832519531, std:12.113243103027344
Iter:37, max:37.95083999633789, mean:3.0393855571746826, min:-61.34572219848633, std:12.131284713745117
Iter:38, max:58.322513580322266, mean:2.7739248275756836, min:-93.69751739501953, std:16.650503158569336
Iter:39, max:58.241939544677734, mean:-0.13336652517318726, min:-109.36288452148438, std:18.987178802490234
Iter:40, max:101.34629821777344, mean:3.5991897583007812, min:-62.03379440307617, std:16.193328857421875
Iter:41, max:46.05241012573242, mean:-0.2113211452960968, min:-123.47938537597656, std:19.45068359375
Iter:42, max:110.75749969482422, mean:-2.3983609676361084, min:-95.5024642944336, std:20.575294494628906
Iter:43, max:61.35791778564453, mean:1.6422628164291382, min:-97.76393127441406, std:15.558210372924805
Iter:44, max:66.05089569091797, mean:-2.312112808227539, min:-136.6814422607422, std:23.21698760986328
Iter:45, max:66.86849975585938, mean:-3.0093722343444824, min:-79.20523071289062, std:21.485292434692383
Iter:46, max:185.4811248779297, mean:-0.36694425344467163, min:-119.9580307006836, std:27.456478118896484
Iter:47, max:162.87344360351562, mean:-0.7308443784713745, min:-66.06275939941406, std:22.4141788482666
Iter:48, max:48.865867614746094, mean:0.286845326423645, min:-69.92081451416016, std:18.219926834106445
Iter:49, max:69.96977233886719, mean:-5.063830375671387, min:-89.66106414794922, std:20.035764694213867
Iter:50, max:48.34837341308594, mean:-3.8084516525268555, min:-59.175453186035156, std:14.722257614135742
Iter:51, max:78.0495834350586, mean:-6.714488983154297, min:-168.50914001464844, std:31.338165283203125
Iter:52, max:112.98912048339844, mean:-8.611465454101562, min:-87.56951904296875, std:26.626951217651367
Iter:53, max:65.42933654785156, mean:-1.714860200881958, min:-105.34501647949219, std:20.587364196777344
Iter:54, max:90.40477752685547, mean:-4.506757736206055, min:-100.8291244506836, std:23.83977699279785
Iter:55, max:248.73135375976562, mean:-6.482167720794678, min:-108.75870513916016, std:31.44093132019043
Iter:56, max:228.52151489257812, mean:-5.412263870239258, min:-116.6462173461914, std:37.919368743896484
Iter:57, max:185.47317504882812, mean:-5.700433254241943, min:-122.34992980957031, std:36.90671157836914
Iter:58, max:125.7061767578125, mean:-9.08824634552002, min:-189.34718322753906, std:36.2701530456543
