Total time, 7883.58s, 100.00%
	,Train time, 7573.46s, 96.07%
	,	,Evaluation time, 7570.68s, 99.96%
	,	,Ask time, 1.23s, 0.02%
	,	,Tell time, 1.54s, 0.02%
	,Test time, 308.23s, 3.91%
	,Logging time, 1.87s, 0.02%
	,Writing time, 0.03s, 0.00%
Iter:0, train:26.79s, eval:97%, ask:1%, tell:2%
Iter:1, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:2, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:3, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:4, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:5, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:6, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:7, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:8, train:7.54s, eval:100%, ask:0%, tell:0%
Iter:9, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:10, train:7.54s, eval:100%, ask:0%, tell:0%
Iter:11, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:12, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:13, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:14, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:15, train:7.54s, eval:100%, ask:0%, tell:0%
Iter:16, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:17, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:18, train:7.54s, eval:100%, ask:0%, tell:0%
Iter:19, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:20, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:21, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:22, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:23, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:24, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:25, train:7.57s, eval:100%, ask:0%, tell:0%
Iter:26, train:7.57s, eval:100%, ask:0%, tell:0%
Iter:27, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:28, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:29, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:30, train:7.57s, eval:100%, ask:0%, tell:0%
Iter:31, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:32, train:7.54s, eval:100%, ask:0%, tell:0%
Iter:33, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:34, train:7.57s, eval:100%, ask:0%, tell:0%
Iter:35, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:36, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:37, train:7.54s, eval:100%, ask:0%, tell:0%
Iter:38, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:39, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:40, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:41, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:42, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:43, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:44, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:45, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:46, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:47, train:7.57s, eval:100%, ask:0%, tell:0%
Iter:48, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:49, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:50, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:51, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:52, train:7.54s, eval:100%, ask:0%, tell:0%
Iter:53, train:7.54s, eval:100%, ask:0%, tell:0%
Iter:54, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:55, train:7.54s, eval:100%, ask:0%, tell:0%
Iter:56, train:7.54s, eval:100%, ask:0%, tell:0%
Iter:57, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:58, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:59, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:60, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:61, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:62, train:7.57s, eval:100%, ask:0%, tell:0%
Iter:63, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:64, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:65, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:66, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:67, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:68, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:69, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:70, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:71, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:72, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:73, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:74, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:75, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:76, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:77, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:78, train:7.57s, eval:100%, ask:0%, tell:0%
Iter:79, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:80, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:81, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:82, train:7.57s, eval:100%, ask:0%, tell:0%
Iter:83, train:7.54s, eval:100%, ask:0%, tell:0%
Iter:84, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:85, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:86, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:87, train:7.56s, eval:100%, ask:0%, tell:0%
Iter:88, train:7.55s, eval:100%, ask:0%, tell:0%
Iter:89, train:7.55s, eval:100%, ask:0%, tell:0%
