Iter:0, max:20.151639938354492, mean:-0.5627986788749695, min:-12.61798095703125, std:4.74900484085083
Iter:1, max:18.652795791625977, mean:-0.9516603946685791, min:-14.919316291809082, std:4.659112453460693
Iter:2, max:18.06488800048828, mean:1.270212173461914, min:-17.455408096313477, std:5.76078462600708
Iter:3, max:18.017940521240234, mean:0.7276400327682495, min:-10.308206558227539, std:5.606689453125
Iter:4, max:20.627832412719727, mean:3.460789442062378, min:-4.830631256103516, std:5.299035549163818
Iter:5, max:17.591276168823242, mean:4.789425373077393, min:-14.449531555175781, std:6.758237361907959
Iter:6, max:19.178354263305664, mean:9.949548721313477, min:-1.2896844148635864, std:6.121355056762695
Iter:7, max:19.439083099365234, mean:7.574646949768066, min:-17.882919311523438, std:6.7802653312683105
Iter:8, max:18.55042266845703, mean:10.55618953704834, min:-9.68231201171875, std:5.501424312591553
Iter:9, max:19.154035568237305, mean:12.123102188110352, min:-2.412607192993164, std:3.9696102142333984
Iter:10, max:18.728694915771484, mean:11.061257362365723, min:-4.771466255187988, std:3.9487850666046143
Iter:11, max:17.842214584350586, mean:11.607659339904785, min:-2.51599383354187, std:3.5582120418548584
Iter:12, max:18.812950134277344, mean:12.05165958404541, min:-16.225889205932617, std:4.006664276123047
Iter:13, max:16.674694061279297, mean:10.418571472167969, min:-3.07794451713562, std:3.3978707790374756
Iter:14, max:15.9701566696167, mean:8.77808952331543, min:-4.650921821594238, std:3.1379952430725098
Iter:15, max:17.932964324951172, mean:11.444275856018066, min:-17.166101455688477, std:3.9853312969207764
Iter:16, max:18.80965232849121, mean:11.058660507202148, min:-3.6853187084198, std:3.9754316806793213
Iter:17, max:18.481611251831055, mean:10.974430084228516, min:-5.961529731750488, std:4.093603610992432
Iter:18, max:20.32418441772461, mean:10.975279808044434, min:-18.185256958007812, std:6.44270133972168
Iter:19, max:19.885587692260742, mean:11.621152877807617, min:-16.608516693115234, std:4.96705436706543
Iter:20, max:17.522390365600586, mean:7.19805383682251, min:-23.42731285095215, std:8.631688117980957
Iter:21, max:18.53130531311035, mean:10.448188781738281, min:-23.842784881591797, std:7.6546196937561035
Iter:22, max:20.255666732788086, mean:7.668551445007324, min:-25.001619338989258, std:9.49657917022705
Iter:23, max:27.438434600830078, mean:5.410721778869629, min:-41.96379470825195, std:12.079669952392578
Iter:24, max:65.31751251220703, mean:2.986318826675415, min:-26.035757064819336, std:12.481354713439941
Iter:25, max:21.131969451904297, mean:3.943305015563965, min:-24.998619079589844, std:12.635854721069336
Iter:26, max:110.48187255859375, mean:2.0094010829925537, min:-26.61667823791504, std:15.14163875579834
Iter:27, max:53.56045150756836, mean:2.1276965141296387, min:-65.97923278808594, std:14.125791549682617
Iter:28, max:83.08279418945312, mean:1.180004358291626, min:-31.466461181640625, std:13.907879829406738
Iter:29, max:111.07601928710938, mean:3.0176830291748047, min:-49.518367767333984, std:15.815025329589844
Iter:30, max:99.87028503417969, mean:1.706026554107666, min:-38.72362518310547, std:14.902422904968262
Iter:31, max:159.893310546875, mean:5.212320804595947, min:-66.08248138427734, std:20.2264347076416
Iter:32, max:177.1219482421875, mean:9.394801139831543, min:-44.28977584838867, std:20.4390869140625
Iter:33, max:89.86675262451172, mean:5.843958377838135, min:-194.36524963378906, std:21.963085174560547
Iter:34, max:190.29380798339844, mean:7.097485542297363, min:-50.322654724121094, std:19.051042556762695
Iter:35, max:127.89421844482422, mean:7.231525421142578, min:-83.84965515136719, std:20.242544174194336
Iter:36, max:200.89678955078125, mean:11.383804321289062, min:-49.093013763427734, std:23.313770294189453
Iter:37, max:311.10986328125, mean:9.399404525756836, min:-149.23927307128906, std:36.19295883178711
Iter:38, max:114.69872283935547, mean:8.079153060913086, min:-105.72924041748047, std:18.633502960205078
Iter:39, max:246.54681396484375, mean:8.683162689208984, min:-84.7040023803711, std:22.553911209106445
Iter:40, max:206.24220275878906, mean:11.683399200439453, min:-90.78892517089844, std:25.683208465576172
Iter:41, max:187.9621124267578, mean:14.003341674804688, min:-67.49248504638672, std:29.20730209350586
Iter:42, max:209.7261505126953, mean:12.919756889343262, min:-43.86095428466797, std:33.54613494873047
Iter:43, max:340.0889892578125, mean:19.321598052978516, min:-51.740657806396484, std:44.253414154052734
Iter:44, max:290.367919921875, mean:19.176877975463867, min:-103.46746826171875, std:43.09754180908203
Iter:45, max:298.1490478515625, mean:22.42745590209961, min:-72.00749206542969, std:45.55711364746094
Iter:46, max:335.22882080078125, mean:29.795997619628906, min:-177.68893432617188, std:63.79215621948242
Iter:47, max:453.70916748046875, mean:41.396148681640625, min:-47.529666900634766, std:68.5678482055664
Iter:48, max:408.300537109375, mean:56.467384338378906, min:-125.95824432373047, std:87.65122985839844
Iter:49, max:454.4415588378906, mean:64.90653991699219, min:-110.66346740722656, std:96.46294403076172
Iter:50, max:524.109130859375, mean:85.25641632080078, min:-60.26353073120117, std:108.64647674560547
Iter:51, max:536.744873046875, mean:119.81742858886719, min:-87.37933349609375, std:122.33592987060547
Iter:52, max:535.67724609375, mean:156.73892211914062, min:-36.79726028442383, std:131.59629821777344
Iter:53, max:550.0934448242188, mean:192.345458984375, min:-46.989749908447266, std:143.6768798828125
Iter:54, max:560.353271484375, mean:250.17919921875, min:-41.92341232299805, std:147.01661682128906
Iter:55, max:664.5591430664062, mean:294.5732421875, min:-41.03770446777344, std:141.34112548828125
Iter:56, max:602.056640625, mean:338.720458984375, min:-16.294496536254883, std:145.6204833984375
Iter:57, max:687.1773681640625, mean:372.28399658203125, min:-4.763407230377197, std:131.87937927246094
Iter:58, max:674.4136352539062, mean:409.69500732421875, min:2.2855844497680664, std:119.13594055175781
Iter:59, max:690.3352661132812, mean:440.1287841796875, min:-16.908428192138672, std:119.67855072021484
Iter:60, max:672.5757446289062, mean:444.38201904296875, min:0.27764666080474854, std:115.3669204711914
Iter:61, max:717.7606811523438, mean:454.3363952636719, min:28.546092987060547, std:111.79435729980469
Iter:62, max:704.9315795898438, mean:470.95745849609375, min:-5.214179992675781, std:113.92017364501953
Iter:63, max:775.9391479492188, mean:455.484130859375, min:-36.15060043334961, std:134.52809143066406
Iter:64, max:728.054931640625, mean:464.04425048828125, min:28.226428985595703, std:136.16798400878906
Iter:65, max:745.6329345703125, mean:476.5995178222656, min:64.21260070800781, std:126.59584045410156
Iter:66, max:842.6019897460938, mean:474.0123291015625, min:-21.752973556518555, std:127.6054458618164
Iter:67, max:831.986083984375, mean:492.8091125488281, min:91.66236114501953, std:126.5089111328125
Iter:68, max:818.5140380859375, mean:502.711669921875, min:16.321086883544922, std:134.320556640625
Iter:69, max:848.92822265625, mean:504.9839172363281, min:-5.9628987312316895, std:142.22213745117188
Iter:70, max:798.2069091796875, mean:547.708251953125, min:144.66839599609375, std:111.97418975830078
Iter:71, max:854.3536376953125, mean:554.1890869140625, min:-11.94162368774414, std:126.73609924316406
Iter:72, max:886.4619140625, mean:586.9385986328125, min:277.35687255859375, std:106.77313232421875
Iter:73, max:835.6075439453125, mean:598.5447998046875, min:214.41220092773438, std:108.22704315185547
Iter:74, max:884.5956420898438, mean:626.22314453125, min:123.61808013916016, std:109.99250793457031
Iter:75, max:851.83642578125, mean:630.1087646484375, min:127.08735656738281, std:100.31108093261719
Iter:76, max:908.5966186523438, mean:648.3218994140625, min:235.57142639160156, std:108.52654266357422
Iter:77, max:954.03662109375, mean:665.4072265625, min:310.2091369628906, std:107.26824188232422
Iter:78, max:956.4810791015625, mean:683.0703125, min:11.987674713134766, std:109.90149688720703
Iter:79, max:963.3477783203125, mean:694.9193115234375, min:34.76692581176758, std:111.63125610351562
Iter:80, max:1027.031494140625, mean:706.218994140625, min:122.55066680908203, std:103.09854888916016
Iter:81, max:965.7313842773438, mean:728.2896728515625, min:-37.008201599121094, std:113.55535888671875
Iter:82, max:936.7118530273438, mean:729.1295776367188, min:463.7218322753906, std:97.283447265625
Iter:83, max:942.1126098632812, mean:728.9468994140625, min:348.79931640625, std:101.79529571533203
Iter:84, max:1038.7713623046875, mean:768.1287841796875, min:323.9317321777344, std:106.39523315429688
Iter:85, max:1082.8199462890625, mean:755.4403076171875, min:402.7620849609375, std:106.73082733154297
Iter:86, max:1026.3551025390625, mean:779.3246459960938, min:-11.974135398864746, std:125.84362030029297
Iter:87, max:1042.56005859375, mean:780.5255126953125, min:-16.770843505859375, std:135.256103515625
Iter:88, max:1048.9342041015625, mean:803.7392578125, min:-47.998252868652344, std:125.03610229492188
Iter:89, max:1084.1715087890625, mean:819.7094116210938, min:156.81874084472656, std:118.33672332763672
Iter:90, max:1101.827880859375, mean:825.2784423828125, min:81.39446258544922, std:131.2499237060547
Iter:91, max:1088.437744140625, mean:840.9879150390625, min:480.329833984375, std:114.33563995361328
Iter:92, max:1129.89697265625, mean:871.7725830078125, min:166.60586547851562, std:134.14779663085938
Iter:93, max:1144.6983642578125, mean:881.5234375, min:-37.39506530761719, std:130.56846618652344
Iter:94, max:1168.385986328125, mean:918.127685546875, min:125.18341064453125, std:127.18317413330078
Iter:95, max:1258.391845703125, mean:927.2586669921875, min:-53.84263610839844, std:139.16293334960938
Iter:96, max:1265.5467529296875, mean:911.1904296875, min:-113.15404510498047, std:211.2202606201172
Iter:97, max:1209.0718994140625, mean:924.9171752929688, min:-75.6531753540039, std:207.33505249023438
Iter:98, max:1304.7183837890625, mean:960.09375, min:103.59396362304688, std:168.58929443359375
Iter:99, max:1294.330078125, mean:982.6253051757812, min:-106.71857452392578, std:150.26416015625
Iter:100, max:1245.1849365234375, mean:1007.3699340820312, min:-105.51339721679688, std:160.97900390625
Iter:101, max:1305.220947265625, mean:1012.5255126953125, min:-42.53603744506836, std:156.3403778076172
Iter:102, max:1335.384521484375, mean:1004.3193969726562, min:-28.60239601135254, std:176.2228240966797
Iter:103, max:1365.1873779296875, mean:1005.4443359375, min:-143.8993377685547, std:210.26480102539062
Iter:104, max:1355.6483154296875, mean:1045.17041015625, min:-99.56249237060547, std:180.87985229492188
Iter:105, max:1382.3052978515625, mean:1050.794921875, min:-111.9478530883789, std:206.3316650390625
Iter:106, max:1303.400146484375, mean:1063.1162109375, min:180.67636108398438, std:134.88681030273438
Iter:107, max:1355.65673828125, mean:1088.419921875, min:121.2636489868164, std:160.17160034179688
Iter:108, max:1359.93896484375, mean:1091.595703125, min:113.6789779663086, std:145.1617431640625
