Iter:0, max:20.754894256591797, mean:-0.5683413743972778, min:-15.6614990234375, std:4.451085567474365
Iter:1, max:17.972679138183594, mean:-0.853890061378479, min:-16.244958877563477, std:4.731886863708496
Iter:2, max:19.781343460083008, mean:0.7779320478439331, min:-16.009822845458984, std:5.128238201141357
Iter:3, max:17.1635684967041, mean:-0.33366087079048157, min:-7.142291069030762, std:4.1811628341674805
Iter:4, max:20.575838088989258, mean:2.696157455444336, min:-7.379453659057617, std:4.853606700897217
Iter:5, max:17.742504119873047, mean:5.474273681640625, min:-10.713788986206055, std:6.712707042694092
Iter:6, max:20.876033782958984, mean:9.863529205322266, min:-9.684807777404785, std:6.136936187744141
Iter:7, max:18.353975296020508, mean:7.899935245513916, min:-5.148133754730225, std:5.884167671203613
Iter:8, max:19.0629940032959, mean:10.817963600158691, min:-5.032625198364258, std:4.33675479888916
Iter:9, max:18.063690185546875, mean:11.148223876953125, min:-3.2252919673919678, std:3.257493019104004
Iter:10, max:18.020130157470703, mean:10.295884132385254, min:-1.210587501525879, std:3.2159512042999268
Iter:11, max:17.622438430786133, mean:10.340583801269531, min:-5.071722030639648, std:3.7970328330993652
Iter:12, max:18.816608428955078, mean:10.917622566223145, min:-4.045688629150391, std:4.022700786590576
Iter:13, max:17.691177368164062, mean:9.632750511169434, min:-2.370086431503296, std:3.470940113067627
Iter:14, max:14.905716896057129, mean:8.222723007202148, min:-3.481067419052124, std:3.121751308441162
Iter:15, max:18.87735939025879, mean:11.060449600219727, min:-4.610161304473877, std:3.8410072326660156
Iter:16, max:19.607337951660156, mean:10.838038444519043, min:-9.039773941040039, std:4.268135070800781
Iter:17, max:19.169221878051758, mean:11.328369140625, min:-4.964167594909668, std:3.6972498893737793
Iter:18, max:24.185712814331055, mean:11.284229278564453, min:-17.914514541625977, std:6.112933158874512
Iter:19, max:19.25727653503418, mean:10.76974105834961, min:-22.374462127685547, std:6.1146440505981445
Iter:20, max:18.78375816345215, mean:8.040609359741211, min:-20.619911193847656, std:7.690549850463867
Iter:21, max:20.14673614501953, mean:8.728231430053711, min:-21.96250343322754, std:9.31822681427002
Iter:22, max:25.182573318481445, mean:5.997823715209961, min:-22.270427703857422, std:10.71203327178955
Iter:23, max:67.98074340820312, mean:3.0616605281829834, min:-30.150346755981445, std:12.2028226852417
Iter:24, max:42.08246612548828, mean:2.4270057678222656, min:-26.62744903564453, std:11.710880279541016
Iter:25, max:34.51816177368164, mean:4.601276397705078, min:-23.094661712646484, std:12.037294387817383
Iter:26, max:59.910545349121094, mean:-0.41375190019607544, min:-35.541481018066406, std:12.707555770874023
Iter:27, max:35.01343536376953, mean:0.18866398930549622, min:-44.8669319152832, std:12.101778030395508
Iter:28, max:138.99278259277344, mean:0.9533318877220154, min:-68.15579223632812, std:14.350565910339355
Iter:29, max:55.15910720825195, mean:2.7810726165771484, min:-33.82801818847656, std:12.629764556884766
Iter:30, max:35.83047103881836, mean:0.7092891335487366, min:-80.30123138427734, std:12.137533187866211
Iter:31, max:106.65477752685547, mean:5.141331195831299, min:-45.767127990722656, std:13.172344207763672
Iter:32, max:74.95130157470703, mean:7.568559169769287, min:-66.94111633300781, std:12.321831703186035
Iter:33, max:85.23170471191406, mean:5.837892055511475, min:-65.3085708618164, std:13.393152236938477
Iter:34, max:84.93006896972656, mean:7.5333967208862305, min:-57.556243896484375, std:13.802689552307129
Iter:35, max:109.4368667602539, mean:8.537801742553711, min:-56.83992385864258, std:11.814323425292969
Iter:36, max:86.73095703125, mean:8.69552230834961, min:-84.83238220214844, std:13.536994934082031
Iter:37, max:147.0527801513672, mean:8.207001686096191, min:-111.54669952392578, std:15.201048851013184
Iter:38, max:139.3842315673828, mean:9.298454284667969, min:-91.3900375366211, std:14.560044288635254
Iter:39, max:75.30011749267578, mean:5.237178325653076, min:-74.02000427246094, std:13.857601165771484
Iter:40, max:154.17103576660156, mean:8.030324935913086, min:-96.10478973388672, std:17.694082260131836
Iter:41, max:146.03627014160156, mean:8.437769889831543, min:-106.43278503417969, std:19.150094985961914
Iter:42, max:127.86277770996094, mean:5.921597957611084, min:-87.10617065429688, std:16.376737594604492
Iter:43, max:206.69366455078125, mean:9.22902774810791, min:-76.7025146484375, std:23.996389389038086
Iter:44, max:97.36788940429688, mean:8.170022010803223, min:-148.57228088378906, std:17.832782745361328
Iter:45, max:177.36276245117188, mean:9.283401489257812, min:-129.41107177734375, std:26.03495216369629
Iter:46, max:160.73878479003906, mean:7.852454662322998, min:-113.56854248046875, std:22.29711151123047
Iter:47, max:215.08319091796875, mean:12.322694778442383, min:-128.3865966796875, std:28.330768585205078
Iter:48, max:254.15003967285156, mean:13.466463088989258, min:-82.54611206054688, std:30.131589889526367
Iter:49, max:180.63864135742188, mean:10.307185173034668, min:-103.01191711425781, std:24.74290657043457
Iter:50, max:199.2205352783203, mean:15.676610946655273, min:-86.2727279663086, std:28.277225494384766
Iter:51, max:159.08116149902344, mean:14.526094436645508, min:-150.1676788330078, std:27.103899002075195
Iter:52, max:325.22314453125, mean:23.72384262084961, min:-143.8472900390625, std:42.9726676940918
Iter:53, max:348.5055847167969, mean:28.509563446044922, min:-78.484375, std:49.905982971191406
Iter:54, max:291.6876220703125, mean:33.139068603515625, min:-90.87451171875, std:46.274662017822266
Iter:55, max:397.34002685546875, mean:35.347564697265625, min:-64.55012512207031, std:49.48659133911133
Iter:56, max:383.7293701171875, mean:52.67044448852539, min:-115.2293701171875, std:69.19526672363281
Iter:57, max:385.2900390625, mean:65.65277862548828, min:-55.11918258666992, std:72.65387725830078
Iter:58, max:390.65020751953125, mean:86.10433959960938, min:-118.98933410644531, std:86.93685913085938
Iter:59, max:406.7866516113281, mean:111.38325500488281, min:-122.79826354980469, std:97.72020721435547
Iter:60, max:472.2982177734375, mean:138.9606475830078, min:-85.34410095214844, std:110.07450866699219
Iter:61, max:529.979248046875, mean:176.38453674316406, min:-52.71784591674805, std:110.51679992675781
Iter:62, max:452.8052062988281, mean:207.025146484375, min:-69.12703704833984, std:115.092041015625
Iter:63, max:489.66082763671875, mean:251.33778381347656, min:-50.75727081298828, std:110.37530517578125
Iter:64, max:599.66552734375, mean:287.4189453125, min:-31.88637924194336, std:105.76005554199219
Iter:65, max:567.924072265625, mean:317.68743896484375, min:-55.686561584472656, std:99.44599914550781
Iter:66, max:586.0065307617188, mean:347.2041015625, min:-158.8427276611328, std:99.70205688476562
Iter:67, max:606.27490234375, mean:357.3433837890625, min:-206.6728973388672, std:103.01517486572266
Iter:68, max:656.6845092773438, mean:385.9478759765625, min:-242.9316864013672, std:105.9451904296875
Iter:69, max:609.7918701171875, mean:403.7620849609375, min:-32.67963409423828, std:94.72103118896484
Iter:70, max:658.6180419921875, mean:424.6275329589844, min:-19.934852600097656, std:98.52396392822266
Iter:71, max:674.9376220703125, mean:442.8094482421875, min:151.47715759277344, std:85.27449035644531
Iter:72, max:726.6028442382812, mean:456.08160400390625, min:-58.07426452636719, std:89.79714965820312
Iter:73, max:744.4778442382812, mean:464.4283142089844, min:-25.841514587402344, std:89.08063507080078
