Iter:0, max:19.832321166992188, mean:-0.6944497227668762, min:-13.555194854736328, std:4.8931498527526855
Iter:1, max:18.847274780273438, mean:-0.6881029605865479, min:-16.848234176635742, std:4.7414631843566895
Iter:2, max:19.651166915893555, mean:0.9702478051185608, min:-15.380940437316895, std:5.731752872467041
Iter:3, max:18.412580490112305, mean:0.3072394132614136, min:-16.020198822021484, std:4.888905048370361
Iter:4, max:20.696447372436523, mean:3.3232734203338623, min:-15.886347770690918, std:5.717294692993164
Iter:5, max:19.233949661254883, mean:5.485978126525879, min:-15.460285186767578, std:6.891005039215088
Iter:6, max:21.71526336669922, mean:10.181037902832031, min:-3.243349075317383, std:5.951520919799805
Iter:7, max:18.960309982299805, mean:7.822309494018555, min:-8.326083183288574, std:6.006738662719727
Iter:8, max:19.092992782592773, mean:10.633285522460938, min:-14.17935848236084, std:4.883748531341553
Iter:9, max:19.498239517211914, mean:11.355831146240234, min:-2.315040349960327, std:3.580627918243408
Iter:10, max:18.444293975830078, mean:10.622855186462402, min:-11.53468132019043, std:3.374804973602295
Iter:11, max:18.381126403808594, mean:10.517609596252441, min:-4.018545150756836, std:3.665327548980713
Iter:12, max:20.0856876373291, mean:11.273313522338867, min:-10.256126403808594, std:3.865612268447876
Iter:13, max:18.708505630493164, mean:9.61871337890625, min:-5.564245223999023, std:3.4995334148406982
Iter:14, max:17.084646224975586, mean:8.294939041137695, min:-4.212494373321533, std:3.232269287109375
Iter:15, max:17.54557991027832, mean:11.342202186584473, min:-18.36872673034668, std:3.7849185466766357
Iter:16, max:19.46424674987793, mean:11.021574020385742, min:-7.102283477783203, std:3.728764295578003
Iter:17, max:18.781869888305664, mean:11.36807632446289, min:-10.507278442382812, std:3.7780745029449463
Iter:18, max:20.454227447509766, mean:12.043760299682617, min:-10.590295791625977, std:4.600383758544922
Iter:19, max:65.52368927001953, mean:12.057619094848633, min:-17.71503448486328, std:4.457616329193115
Iter:20, max:17.736927032470703, mean:9.746761322021484, min:-22.682445526123047, std:5.621643543243408
Iter:21, max:19.39566421508789, mean:11.947086334228516, min:-20.2093563079834, std:5.159681797027588
Iter:22, max:20.90946388244629, mean:9.680732727050781, min:-25.06749153137207, std:8.290590286254883
Iter:23, max:21.075740814208984, mean:7.099711894989014, min:-22.687593460083008, std:8.928635597229004
Iter:24, max:18.874895095825195, mean:4.049772262573242, min:-52.171627044677734, std:9.91123104095459
Iter:25, max:47.307098388671875, mean:7.748139381408691, min:-29.26105308532715, std:10.21556282043457
Iter:26, max:25.346403121948242, mean:3.434864044189453, min:-28.89980125427246, std:10.074175834655762
Iter:27, max:34.82159423828125, mean:2.2726268768310547, min:-28.72857666015625, std:9.766423225402832
Iter:28, max:28.3326473236084, mean:1.31929349899292, min:-63.982826232910156, std:10.166642189025879
Iter:29, max:22.752479553222656, mean:3.934123992919922, min:-36.5831184387207, std:10.873767852783203
Iter:30, max:49.424293518066406, mean:1.7824254035949707, min:-53.091468811035156, std:9.88754653930664
Iter:31, max:73.78213500976562, mean:3.509528398513794, min:-52.09678649902344, std:10.810174942016602
Iter:32, max:66.8098373413086, mean:6.06984281539917, min:-88.42121124267578, std:11.410842895507812
Iter:33, max:47.7736930847168, mean:4.137683868408203, min:-132.71287536621094, std:12.320651054382324
Iter:34, max:137.58599853515625, mean:6.524295806884766, min:-279.743408203125, std:15.678838729858398
Iter:35, max:118.56288146972656, mean:7.1476521492004395, min:-154.19093322753906, std:13.18439769744873
Iter:36, max:82.1939468383789, mean:6.909514427185059, min:-109.02821350097656, std:11.737503051757812
Iter:37, max:60.04479217529297, mean:6.021160125732422, min:-219.26661682128906, std:16.35987091064453
Iter:38, max:116.30338287353516, mean:7.532478332519531, min:-201.11395263671875, std:16.15774917602539
Iter:39, max:132.77383422851562, mean:5.142698287963867, min:-218.0448455810547, std:15.735372543334961
Iter:40, max:83.2535629272461, mean:6.621743202209473, min:-202.4732208251953, std:15.348219871520996
Iter:41, max:193.07176208496094, mean:5.827678203582764, min:-178.12840270996094, std:19.27507972717285
Iter:42, max:161.0306396484375, mean:4.579500198364258, min:-186.76153564453125, std:16.9597225189209
Iter:43, max:102.24186706542969, mean:3.870138168334961, min:-175.91973876953125, std:18.52985382080078
Iter:44, max:205.08627319335938, mean:5.790444374084473, min:-84.32525634765625, std:16.786237716674805
