Iter:0, max:1115.3402099609375, mean:237.55462646484375, min:38.69706726074219, std:178.5551300048828
Iter:1, max:1025.352294921875, mean:231.514892578125, min:40.4859733581543, std:163.7543182373047
Iter:2, max:1084.4453125, mean:244.3440704345703, min:41.90150451660156, std:156.359130859375
Iter:3, max:1012.553955078125, mean:245.8334503173828, min:44.776607513427734, std:150.93710327148438
Iter:4, max:1009.8934326171875, mean:254.83953857421875, min:44.44290542602539, std:142.21652221679688
Iter:5, max:1008.4966430664062, mean:259.5827941894531, min:51.15134811401367, std:136.65806579589844
Iter:6, max:788.5641479492188, mean:251.5175018310547, min:52.666664123535156, std:110.50189971923828
Iter:7, max:774.9913940429688, mean:259.5576477050781, min:51.23116683959961, std:102.15122985839844
Iter:8, max:910.1140747070312, mean:251.94192504882812, min:47.669776916503906, std:93.8021240234375
Iter:9, max:735.6732788085938, mean:242.21322631835938, min:41.12830352783203, std:92.06829071044922
Iter:10, max:908.1857299804688, mean:243.00439453125, min:39.78770446777344, std:94.59385681152344
Iter:11, max:518.394287109375, mean:237.06939697265625, min:42.64875411987305, std:83.56419372558594
Iter:12, max:563.1696166992188, mean:239.48924255371094, min:39.857696533203125, std:81.25287628173828
Iter:13, max:1080.1417236328125, mean:243.46192932128906, min:37.99638366699219, std:85.90992736816406
Iter:14, max:551.8461303710938, mean:242.1700439453125, min:44.7994384765625, std:78.97047424316406
Iter:15, max:635.4210815429688, mean:248.79302978515625, min:43.142154693603516, std:76.61132049560547
Iter:16, max:987.1073608398438, mean:245.90232849121094, min:44.15273666381836, std:83.57959747314453
Iter:17, max:1027.937744140625, mean:248.83511352539062, min:40.40709686279297, std:85.74642181396484
Iter:18, max:760.1427001953125, mean:246.61392211914062, min:47.24108123779297, std:85.78533935546875
Iter:19, max:868.5325317382812, mean:250.1300048828125, min:46.70412063598633, std:88.27796173095703
Iter:20, max:620.6622314453125, mean:248.8459014892578, min:35.2576904296875, std:90.6575927734375
Iter:21, max:888.5853881835938, mean:247.4278564453125, min:45.25532913208008, std:95.0106201171875
Iter:22, max:893.69677734375, mean:261.180908203125, min:42.759273529052734, std:97.28510284423828
Iter:23, max:1025.300537109375, mean:260.4247131347656, min:34.8487434387207, std:105.19174194335938
Iter:24, max:1069.1727294921875, mean:266.60015869140625, min:42.34561538696289, std:113.87484741210938
Iter:25, max:1034.8873291015625, mean:272.702880859375, min:45.13742446899414, std:114.57640075683594
Iter:26, max:1078.789306640625, mean:278.3438415527344, min:42.528079986572266, std:114.83595275878906
Iter:27, max:1122.552734375, mean:288.59368896484375, min:41.901344299316406, std:139.166259765625
Iter:28, max:1058.6787109375, mean:307.08209228515625, min:39.260948181152344, std:141.9849853515625
Iter:29, max:1085.302490234375, mean:321.806396484375, min:43.16237258911133, std:146.18292236328125
Iter:30, max:1093.8077392578125, mean:368.009033203125, min:35.18655776977539, std:178.47134399414062
Iter:31, max:1116.712890625, mean:398.7812805175781, min:48.49846267700195, std:196.09027099609375
Iter:32, max:1133.9093017578125, mean:458.78363037109375, min:45.779476165771484, std:232.04005432128906
Iter:33, max:1099.3646240234375, mean:530.3897705078125, min:45.8699951171875, std:263.8638916015625
Iter:34, max:1116.4765625, mean:591.2802734375, min:44.67245864868164, std:286.1944885253906
Iter:35, max:1134.0062255859375, mean:665.064697265625, min:46.2656135559082, std:303.2043151855469
Iter:36, max:1126.006591796875, mean:758.156982421875, min:45.237060546875, std:305.2259826660156
Iter:37, max:1140.0205078125, mean:808.761962890625, min:43.63584899902344, std:306.57989501953125
Iter:38, max:1106.57861328125, mean:867.256103515625, min:54.69453811645508, std:274.2605285644531
Iter:39, max:1134.0859375, mean:910.6006469726562, min:42.834529876708984, std:235.47747802734375
Iter:40, max:1136.2630615234375, mean:938.0699462890625, min:46.578407287597656, std:197.51480102539062
Iter:41, max:1142.8988037109375, mean:973.3972778320312, min:127.72296142578125, std:130.48678588867188
Iter:42, max:1075.6181640625, mean:994.1119384765625, min:171.78977966308594, std:63.279666900634766
Iter:43, max:1139.707763671875, mean:1001.8753662109375, min:204.03335571289062, std:33.91374969482422
Iter:44, max:1235.412109375, mean:1006.1888427734375, min:338.90234375, std:26.373737335205078
Iter:45, max:1120.7435302734375, mean:1009.404296875, min:694.360595703125, std:19.20025062561035
Iter:46, max:1136.151123046875, mean:1016.00048828125, min:912.4039306640625, std:14.17595386505127
Iter:47, max:1073.3570556640625, mean:1019.3355712890625, min:714.4721069335938, std:18.123483657836914
Iter:48, max:1070.884765625, mean:1023.5284423828125, min:131.2870330810547, std:36.83848190307617
Iter:49, max:1144.4906005859375, mean:1028.8553466796875, min:118.29351043701172, std:33.59592056274414
Iter:50, max:1152.5772705078125, mean:1034.7120361328125, min:358.9234313964844, std:30.18121910095215
Iter:51, max:1142.8583984375, mean:1035.6717529296875, min:560.9193115234375, std:36.88570785522461
Iter:52, max:1161.1632080078125, mean:1035.951171875, min:348.3642272949219, std:54.02992630004883
Iter:53, max:1165.1141357421875, mean:1019.091064453125, min:469.6283264160156, std:98.33819580078125
Iter:54, max:1172.8455810546875, mean:972.9664306640625, min:408.1875305175781, std:150.49839782714844
Iter:55, max:1154.7337646484375, mean:900.3963623046875, min:274.2295227050781, std:193.77914428710938
Iter:56, max:1152.43603515625, mean:831.0108642578125, min:255.37962341308594, std:202.50437927246094
Iter:57, max:1148.8350830078125, mean:744.0719604492188, min:379.1221008300781, std:198.76974487304688
Iter:58, max:1145.1031494140625, mean:697.74267578125, min:303.84722900390625, std:193.0042724609375
Iter:59, max:1154.2791748046875, mean:692.0007934570312, min:266.6399841308594, std:175.92025756835938
Iter:60, max:1067.5712890625, mean:678.0880126953125, min:211.1164093017578, std:179.48910522460938
Iter:61, max:1144.822265625, mean:683.4078369140625, min:272.10333251953125, std:162.45645141601562
Iter:62, max:1059.857666015625, mean:687.5867919921875, min:272.7299499511719, std:168.5349884033203
Iter:63, max:1139.4876708984375, mean:722.585693359375, min:353.70184326171875, std:174.51486206054688
Iter:64, max:1154.9825439453125, mean:750.1983032226562, min:298.2102355957031, std:169.83465576171875
Iter:65, max:1123.709228515625, mean:800.3121337890625, min:370.1500244140625, std:184.7445526123047
Iter:66, max:1150.880859375, mean:808.2982788085938, min:401.4387512207031, std:182.4732666015625
Iter:67, max:1151.637939453125, mean:835.6553955078125, min:401.7122802734375, std:188.22409057617188
Iter:68, max:1154.8782958984375, mean:874.9900512695312, min:190.91993713378906, std:185.93165588378906
Iter:69, max:1133.2984619140625, mean:865.8338012695312, min:178.03878784179688, std:194.49009704589844
Iter:70, max:1146.31201171875, mean:876.39990234375, min:429.9652099609375, std:190.6986083984375
Iter:71, max:1124.6524658203125, mean:893.0701293945312, min:19.500699996948242, std:194.15879821777344
Iter:72, max:1153.8001708984375, mean:942.4811401367188, min:342.62811279296875, std:165.58470153808594
Iter:73, max:1153.4384765625, mean:932.5744018554688, min:251.21127319335938, std:171.9901123046875
Iter:74, max:1152.014892578125, mean:965.5445556640625, min:96.46067810058594, std:152.79360961914062
Iter:75, max:1145.5069580078125, mean:989.8346557617188, min:22.390674591064453, std:135.40989685058594
Iter:76, max:1150.959228515625, mean:988.9139404296875, min:85.49090576171875, std:139.6464080810547
Iter:77, max:1160.6630859375, mean:991.4854736328125, min:108.90157318115234, std:139.76170349121094
Iter:78, max:1151.668701171875, mean:1000.77392578125, min:34.37357711791992, std:141.07362365722656
Iter:79, max:1151.9498291015625, mean:1017.5279541015625, min:91.94910430908203, std:105.77558135986328
Iter:80, max:1148.410400390625, mean:1026.298583984375, min:125.59081268310547, std:95.99261474609375
Iter:81, max:1147.6763916015625, mean:1031.65380859375, min:148.0873260498047, std:93.10865783691406
Iter:82, max:1176.261962890625, mean:1040.2252197265625, min:64.99315643310547, std:76.9958724975586
Iter:83, max:1171.5079345703125, mean:1040.93505859375, min:435.5001525878906, std:68.24408721923828
Iter:84, max:1173.4864501953125, mean:1037.8369140625, min:80.33634185791016, std:83.83197784423828
Iter:85, max:1172.937744140625, mean:1036.8831787109375, min:84.709716796875, std:75.60543060302734
Iter:86, max:1179.78466796875, mean:1023.9701538085938, min:54.47119140625, std:103.60286712646484
Iter:87, max:1189.3248291015625, mean:1025.663818359375, min:83.01463317871094, std:102.08612060546875
Iter:88, max:1186.5140380859375, mean:1002.4287109375, min:66.8540267944336, std:165.3802947998047
Iter:89, max:1191.0693359375, mean:989.10546875, min:59.47456359863281, std:205.03831481933594
Iter:90, max:1197.22509765625, mean:985.5775756835938, min:57.988014221191406, std:210.7561798095703
Iter:91, max:1159.4173583984375, mean:958.8787231445312, min:60.411460876464844, std:264.63726806640625
Iter:92, max:1193.4036865234375, mean:955.8353881835938, min:55.12531661987305, std:278.97930908203125
Iter:93, max:1198.3533935546875, mean:939.465576171875, min:55.89780807495117, std:297.5210876464844
Iter:94, max:1205.4375, mean:922.1395263671875, min:51.42555236816406, std:311.1217041015625
Iter:95, max:1198.70703125, mean:914.18310546875, min:53.27617645263672, std:320.2765808105469
Iter:96, max:1186.3817138671875, mean:925.173095703125, min:45.99990463256836, std:310.41998291015625
