Iter:0, max:1115.3402099609375, mean:238.31356811523438, min:38.69706726074219, std:180.1129150390625
Iter:1, max:1035.1680908203125, mean:230.38214111328125, min:42.72114181518555, std:160.79043579101562
Iter:2, max:1075.738037109375, mean:241.14039611816406, min:41.503082275390625, std:177.28257751464844
Iter:3, max:1078.50244140625, mean:220.92323303222656, min:42.60883712768555, std:174.01766967773438
Iter:4, max:1022.381591796875, mean:220.7649688720703, min:39.490478515625, std:167.5562744140625
Iter:5, max:1059.087890625, mean:224.6833038330078, min:42.01337432861328, std:174.52488708496094
Iter:6, max:1070.2706298828125, mean:232.0089874267578, min:42.864585876464844, std:179.01828002929688
Iter:7, max:1036.9598388671875, mean:220.01966857910156, min:42.52493667602539, std:163.94357299804688
Iter:8, max:1073.342041015625, mean:223.874267578125, min:40.893070220947266, std:173.0008087158203
Iter:9, max:1083.93408203125, mean:224.89100646972656, min:38.827392578125, std:174.9827880859375
Iter:10, max:1056.4588623046875, mean:215.69000244140625, min:40.232540130615234, std:177.835693359375
Iter:11, max:1052.18359375, mean:214.17218017578125, min:37.93453598022461, std:168.77220153808594
Iter:12, max:1037.9500732421875, mean:211.1788787841797, min:37.79364776611328, std:178.27169799804688
Iter:13, max:1043.812744140625, mean:211.4128875732422, min:38.34200668334961, std:168.0529327392578
Iter:14, max:1031.963623046875, mean:208.7705535888672, min:39.412437438964844, std:175.90692138671875
Iter:15, max:1043.289794921875, mean:212.61514282226562, min:38.941314697265625, std:179.40994262695312
Iter:16, max:1036.128662109375, mean:209.0195770263672, min:38.008018493652344, std:171.94239807128906
Iter:17, max:1023.5841064453125, mean:208.36859130859375, min:35.09585189819336, std:179.01612854003906
Iter:18, max:1099.55322265625, mean:214.238037109375, min:37.666927337646484, std:186.17202758789062
Iter:19, max:1033.107177734375, mean:216.12222290039062, min:37.409461975097656, std:180.4206085205078
Iter:20, max:1092.377197265625, mean:222.91236877441406, min:31.348308563232422, std:193.69247436523438
Iter:21, max:1069.3935546875, mean:223.30764770507812, min:37.54124450683594, std:190.60104370117188
