Iter:0, max:1116.394287109375, mean:237.58412170410156, min:38.69707107543945, std:178.59579467773438
Iter:1, max:1065.666259765625, mean:252.2452392578125, min:38.859344482421875, std:176.00753784179688
Iter:2, max:938.8756103515625, mean:254.38037109375, min:40.242042541503906, std:151.2158203125
Iter:3, max:1098.193603515625, mean:266.9417419433594, min:42.519107818603516, std:153.53111267089844
Iter:4, max:961.967041015625, mean:271.6986083984375, min:42.13075637817383, std:137.89772033691406
Iter:5, max:1062.1131591796875, mean:268.1346435546875, min:42.69198989868164, std:131.13796997070312
Iter:6, max:790.8842163085938, mean:259.0577392578125, min:43.50681686401367, std:112.22245788574219
Iter:7, max:855.5322265625, mean:251.4582061767578, min:44.66176223754883, std:102.71890258789062
Iter:8, max:810.8579711914062, mean:245.468994140625, min:45.97227478027344, std:92.33671569824219
Iter:9, max:753.8606567382812, mean:245.488037109375, min:46.047149658203125, std:89.3524398803711
Iter:10, max:730.9430541992188, mean:234.66744995117188, min:37.046077728271484, std:88.57252502441406
Iter:11, max:1112.4276123046875, mean:235.27322387695312, min:36.0442008972168, std:90.01902770996094
Iter:12, max:915.31591796875, mean:232.9342803955078, min:38.59284973144531, std:89.00208282470703
Iter:13, max:1087.906494140625, mean:235.00228881835938, min:40.751651763916016, std:92.4411849975586
Iter:14, max:1054.2958984375, mean:242.91546630859375, min:41.75925064086914, std:96.18086242675781
Iter:15, max:1070.6334228515625, mean:254.41957092285156, min:44.74311447143555, std:100.24529266357422
Iter:16, max:1136.4791259765625, mean:272.542236328125, min:44.3079719543457, std:113.70624542236328
Iter:17, max:1165.29638671875, mean:293.4338684082031, min:44.5809211730957, std:125.95549011230469
Iter:18, max:1104.7445068359375, mean:324.8953857421875, min:43.5616569519043, std:148.58531188964844
Iter:19, max:1162.4383544921875, mean:370.7452392578125, min:40.90261459350586, std:181.2619171142578
Iter:20, max:1152.21630859375, mean:424.8380126953125, min:48.981353759765625, std:192.52589416503906
Iter:21, max:1166.87353515625, mean:513.5843505859375, min:45.585166931152344, std:242.94039916992188
Iter:22, max:1189.5897216796875, mean:645.1683349609375, min:43.58058166503906, std:290.5694885253906
Iter:23, max:1174.1795654296875, mean:795.7470703125, min:43.01433181762695, std:302.9441833496094
Iter:24, max:1171.117431640625, mean:870.4383544921875, min:41.05082321166992, std:291.13519287109375
Iter:25, max:1183.84521484375, mean:888.80615234375, min:43.86625671386719, std:277.5132141113281
Iter:26, max:1147.6126708984375, mean:919.661376953125, min:45.77455139160156, std:238.1472930908203
Iter:27, max:1107.552978515625, mean:961.63330078125, min:48.438140869140625, std:166.5114288330078
Iter:28, max:1069.4859619140625, mean:987.0255126953125, min:67.98291015625, std:96.4040298461914
Iter:29, max:1053.143310546875, mean:1002.2603759765625, min:696.6268920898438, std:17.19036102294922
Iter:30, max:1053.59033203125, mean:1006.3116455078125, min:541.36962890625, std:23.305938720703125
Iter:31, max:1055.6141357421875, mean:1012.1124267578125, min:530.421142578125, std:24.330501556396484
Iter:32, max:1057.7044677734375, mean:1018.4405517578125, min:495.8538513183594, std:37.28324508666992
Iter:33, max:1082.5074462890625, mean:1025.6134033203125, min:502.4271545410156, std:46.874046325683594
Iter:34, max:1142.099609375, mean:1017.973876953125, min:455.35638427734375, std:89.14682006835938
Iter:35, max:1078.431640625, mean:992.2962646484375, min:417.4098205566406, std:146.12823486328125
Iter:36, max:1095.831298828125, mean:914.280029296875, min:403.6052551269531, std:223.84149169921875
Iter:37, max:1114.3646240234375, mean:806.1908569335938, min:391.75213623046875, std:263.59088134765625
Iter:38, max:1164.971435546875, mean:758.39111328125, min:375.5962829589844, std:262.26165771484375
Iter:39, max:1153.5245361328125, mean:679.0438232421875, min:383.5103454589844, std:250.862548828125
Iter:40, max:1170.1861572265625, mean:685.700927734375, min:355.8069763183594, std:251.33981323242188
Iter:41, max:1176.603271484375, mean:697.7274169921875, min:266.506103515625, std:248.65936279296875
Iter:42, max:1177.491455078125, mean:737.083740234375, min:247.2203369140625, std:251.9263916015625
Iter:43, max:1185.8082275390625, mean:777.543701171875, min:244.641357421875, std:244.9049530029297
Iter:44, max:1193.113037109375, mean:831.6600952148438, min:228.95924377441406, std:232.03456115722656
Iter:45, max:1196.732177734375, mean:866.384765625, min:161.05247497558594, std:217.56417846679688
Iter:46, max:1182.815673828125, mean:913.3961181640625, min:144.4083251953125, std:197.4362030029297
Iter:47, max:1194.2913818359375, mean:934.305908203125, min:139.44871520996094, std:189.7659454345703
Iter:48, max:1187.2738037109375, mean:963.42919921875, min:172.4277801513672, std:173.28866577148438
Iter:49, max:1190.4964599609375, mean:994.27392578125, min:166.1593780517578, std:146.18411254882812
Iter:50, max:1198.6531982421875, mean:1009.1866455078125, min:170.26402282714844, std:137.2162628173828
Iter:51, max:1191.74658203125, mean:1027.531494140625, min:154.837158203125, std:102.21652221679688
Iter:52, max:1176.15185546875, mean:1037.8565673828125, min:168.5855255126953, std:84.9683609008789
