Iter:0, max:1115.3402099609375, mean:237.55462646484375, min:38.69706726074219, std:178.5551300048828
Iter:1, max:1025.3533935546875, mean:231.5120849609375, min:40.48597717285156, std:163.75486755371094
Iter:2, max:1077.0390625, mean:244.34109497070312, min:41.901527404785156, std:156.35116577148438
Iter:3, max:1013.5819702148438, mean:245.8200225830078, min:44.77821350097656, std:150.89315795898438
Iter:4, max:1011.0106201171875, mean:254.83258056640625, min:44.44830322265625, std:142.15121459960938
Iter:5, max:1000.2449951171875, mean:259.47711181640625, min:51.14508056640625, std:136.22988891601562
Iter:6, max:789.896484375, mean:251.39682006835938, min:52.6672477722168, std:110.24143981933594
Iter:7, max:791.9802856445312, mean:259.5599365234375, min:51.22679138183594, std:102.13089752197266
Iter:8, max:905.2322387695312, mean:251.9234619140625, min:47.65777587890625, std:93.67717742919922
Iter:9, max:738.3738403320312, mean:242.2127227783203, min:41.12822723388672, std:92.03597259521484
Iter:10, max:922.7081298828125, mean:243.16744995117188, min:39.78097152709961, std:94.75768280029297
Iter:11, max:518.7559204101562, mean:236.89263916015625, min:42.627655029296875, std:83.34044647216797
Iter:12, max:567.4142456054688, mean:239.93727111816406, min:39.82270812988281, std:81.19953155517578
Iter:13, max:1055.650146484375, mean:243.68359375, min:37.95796203613281, std:85.63035583496094
Iter:14, max:559.59033203125, mean:242.44326782226562, min:44.71943283081055, std:78.94380950927734
Iter:15, max:638.4688110351562, mean:249.1702880859375, min:43.177860260009766, std:77.06392669677734
Iter:16, max:1020.3609619140625, mean:246.1852264404297, min:43.9708251953125, std:84.17430114746094
Iter:17, max:919.0094604492188, mean:249.02584838867188, min:40.36928939819336, std:86.45835876464844
Iter:18, max:759.8213500976562, mean:246.9044952392578, min:47.00541687011719, std:86.79952239990234
Iter:19, max:736.8101806640625, mean:250.66127014160156, min:46.498321533203125, std:89.1120376586914
Iter:20, max:667.4691162109375, mean:248.99069213867188, min:36.588279724121094, std:91.48393249511719
Iter:21, max:890.917236328125, mean:247.5490264892578, min:45.34356689453125, std:95.88407897949219
Iter:22, max:901.0625610351562, mean:261.32708740234375, min:43.94623947143555, std:97.8404769897461
Iter:23, max:1027.487060546875, mean:260.1889343261719, min:33.6506462097168, std:106.67849731445312
Iter:24, max:1062.4840087890625, mean:266.26953125, min:43.41705322265625, std:114.37026977539062
Iter:25, max:1039.35595703125, mean:273.2768249511719, min:45.00920867919922, std:114.78772735595703
Iter:26, max:1003.7594604492188, mean:279.32232666015625, min:42.69731140136719, std:116.38866424560547
Iter:27, max:1084.18310546875, mean:289.8905029296875, min:41.948204040527344, std:142.0527801513672
Iter:28, max:1087.591552734375, mean:309.00732421875, min:39.201141357421875, std:144.84912109375
Iter:29, max:1111.7996826171875, mean:324.59027099609375, min:43.32188415527344, std:149.46372985839844
Iter:30, max:1113.0172119140625, mean:370.00152587890625, min:35.08651351928711, std:177.79132080078125
Iter:31, max:1104.686279296875, mean:403.32122802734375, min:48.19583511352539, std:197.76455688476562
Iter:32, max:1132.4134521484375, mean:463.3525390625, min:45.42686462402344, std:234.8795166015625
Iter:33, max:1152.8968505859375, mean:538.8491821289062, min:46.73655319213867, std:268.2203674316406
Iter:34, max:1175.2227783203125, mean:606.2203979492188, min:43.98090744018555, std:291.1037902832031
Iter:35, max:1111.290283203125, mean:680.4188232421875, min:46.390506744384766, std:304.7241516113281
Iter:36, max:1124.216796875, mean:772.3941650390625, min:45.408199310302734, std:303.3851623535156
Iter:37, max:1141.6641845703125, mean:819.0224609375, min:43.0782470703125, std:304.20330810546875
Iter:38, max:1121.2432861328125, mean:870.7537841796875, min:54.56003189086914, std:272.15972900390625
Iter:39, max:1128.48974609375, mean:914.987548828125, min:42.86376953125, std:230.75711059570312
Iter:40, max:1071.0811767578125, mean:942.358154296875, min:46.95012283325195, std:188.81805419921875
Iter:41, max:1114.8284912109375, mean:975.447265625, min:133.14556884765625, std:121.65319061279297
Iter:42, max:1118.4478759765625, mean:994.8026733398438, min:181.27159118652344, std:59.518924713134766
Iter:43, max:1090.0406494140625, mean:1002.6959228515625, min:247.43594360351562, std:27.691818237304688
Iter:44, max:1257.3294677734375, mean:1006.3443603515625, min:300.192138671875, std:28.856599807739258
Iter:45, max:1073.11328125, mean:1009.636962890625, min:642.1749877929688, std:20.22446632385254
Iter:46, max:1110.9886474609375, mean:1016.0249633789062, min:795.4246826171875, std:16.342037200927734
Iter:47, max:1182.0384521484375, mean:1019.9228515625, min:347.2517395019531, std:26.30777931213379
Iter:48, max:1143.3011474609375, mean:1024.2413330078125, min:124.81022644042969, std:36.8854866027832
Iter:49, max:1163.9805908203125, mean:1029.5076904296875, min:702.3687133789062, std:26.26560401916504
Iter:50, max:1164.494873046875, mean:1033.228515625, min:276.0914306640625, std:42.61879348754883
Iter:51, max:1169.4547119140625, mean:1031.7890625, min:184.81199645996094, std:63.455657958984375
Iter:52, max:1136.052734375, mean:1025.448486328125, min:272.4111633300781, std:84.68304443359375
Iter:53, max:1165.2786865234375, mean:993.1189575195312, min:164.78358459472656, std:144.90980529785156
Iter:54, max:1168.5238037109375, mean:917.8224487304688, min:267.32958984375, std:198.57177734375
Iter:55, max:1167.1781005859375, mean:830.6250610351562, min:179.7124786376953, std:227.38121032714844
Iter:56, max:1163.3076171875, mean:760.9290771484375, min:173.765625, std:221.60939025878906
Iter:57, max:1155.224853515625, mean:688.7470703125, min:173.0345001220703, std:205.76031494140625
Iter:58, max:1116.786376953125, mean:657.43359375, min:226.550537109375, std:188.74061584472656
Iter:59, max:1151.120361328125, mean:662.6177978515625, min:222.16908264160156, std:180.19033813476562
Iter:60, max:1142.811767578125, mean:661.0159912109375, min:194.8397216796875, std:179.492431640625
Iter:61, max:1128.181396484375, mean:680.2808837890625, min:209.03076171875, std:164.31349182128906
Iter:62, max:1148.28857421875, mean:699.1241455078125, min:259.7694396972656, std:171.72134399414062
Iter:63, max:1159.2926025390625, mean:734.8367919921875, min:367.9015808105469, std:170.42816162109375
Iter:64, max:1089.97900390625, mean:771.4047241210938, min:200.89292907714844, std:166.39208984375
Iter:65, max:1152.50634765625, mean:819.063720703125, min:141.5487060546875, std:177.98130798339844
Iter:66, max:1163.649658203125, mean:844.4224853515625, min:373.1412658691406, std:175.6795196533203
Iter:67, max:1146.9202880859375, mean:874.2348022460938, min:260.1292724609375, std:174.53683471679688
Iter:68, max:1151.352294921875, mean:908.2632446289062, min:107.11177062988281, std:170.7246856689453
Iter:69, max:1146.946044921875, mean:925.6515502929688, min:159.60232543945312, std:166.23512268066406
Iter:70, max:1153.118896484375, mean:936.8270874023438, min:355.0296936035156, std:163.27783203125
Iter:71, max:1240.685302734375, mean:942.5678100585938, min:19.52272605895996, std:173.90972900390625
Iter:72, max:1154.67822265625, mean:970.9745483398438, min:23.15948486328125, std:153.03958129882812
Iter:73, max:1161.370361328125, mean:961.185302734375, min:29.44998550415039, std:162.35525512695312
Iter:74, max:1169.7861328125, mean:983.5975341796875, min:21.865604400634766, std:148.53936767578125
Iter:75, max:1194.0262451171875, mean:999.79638671875, min:25.498876571655273, std:130.11289978027344
Iter:76, max:1157.688720703125, mean:1008.2066650390625, min:48.83417510986328, std:121.93455505371094
Iter:77, max:1201.3795166015625, mean:1017.0673217773438, min:82.11213684082031, std:109.92815399169922
Iter:78, max:1146.3642578125, mean:1022.3103637695312, min:20.645286560058594, std:107.83392333984375
Iter:79, max:1320.0511474609375, mean:1034.22314453125, min:144.0330352783203, std:80.0124282836914
Iter:80, max:1155.6014404296875, mean:1045.899169921875, min:582.9820556640625, std:44.96656036376953
Iter:81, max:1170.56201171875, mean:1042.17138671875, min:83.43011474609375, std:67.84907531738281
Iter:82, max:1158.3902587890625, mean:1043.34228515625, min:26.109079360961914, std:82.9030990600586
Iter:83, max:1178.389892578125, mean:1036.7510986328125, min:85.02324676513672, std:74.37074279785156
Iter:84, max:1180.9366455078125, mean:1028.2557373046875, min:53.388893127441406, std:116.37006378173828
Iter:85, max:1177.861083984375, mean:1022.9111328125, min:73.09396362304688, std:142.32586669921875
Iter:86, max:1184.78564453125, mean:1011.6375732421875, min:36.09789276123047, std:157.175048828125
Iter:87, max:1175.0411376953125, mean:1013.28369140625, min:59.248592376708984, std:163.10104370117188
Iter:88, max:1189.990478515625, mean:981.6185302734375, min:49.646080017089844, std:232.1544952392578
Iter:89, max:1203.0548095703125, mean:966.9761962890625, min:57.55006790161133, std:255.07177734375
Iter:90, max:1184.4981689453125, mean:969.2412109375, min:52.219627380371094, std:256.9758605957031
Iter:91, max:1197.9605712890625, mean:945.3717041015625, min:50.52693557739258, std:293.9563293457031
Iter:92, max:1167.0498046875, mean:965.5577392578125, min:55.12631607055664, std:274.8273010253906
Iter:93, max:1181.9639892578125, mean:970.1544799804688, min:47.525856018066406, std:271.9296875
Iter:94, max:1188.0330810546875, mean:986.779052734375, min:54.99959945678711, std:238.16314697265625
Iter:95, max:1188.0272216796875, mean:1000.197265625, min:50.13713455200195, std:217.1526641845703
Iter:96, max:1177.33984375, mean:1014.6378173828125, min:43.665428161621094, std:196.536865234375
Iter:97, max:1181.3558349609375, mean:1008.1448364257812, min:48.749656677246094, std:204.98681640625
Iter:98, max:1204.1455078125, mean:1003.022705078125, min:45.60309982299805, std:210.04502868652344
Iter:99, max:1183.8013916015625, mean:1008.8785400390625, min:52.50048828125, std:195.36111450195312
Iter:100, max:1198.2919921875, mean:1005.741455078125, min:51.725399017333984, std:208.18594360351562
Iter:101, max:1193.802001953125, mean:1008.84814453125, min:33.97606658935547, std:187.84657287597656
Iter:102, max:1185.7454833984375, mean:982.3903198242188, min:34.064640045166016, std:218.63824462890625
Iter:103, max:1197.47412109375, mean:953.3365478515625, min:34.033973693847656, std:231.76364135742188
Iter:104, max:1181.04150390625, mean:977.151611328125, min:33.63264465332031, std:199.11306762695312
Iter:105, max:1185.1302490234375, mean:962.04638671875, min:33.72300338745117, std:207.11135864257812
Iter:106, max:1186.689453125, mean:979.9815673828125, min:52.18766784667969, std:188.9285125732422
Iter:107, max:1195.2342529296875, mean:958.3709716796875, min:34.487953186035156, std:201.4579315185547
Iter:108, max:1195.55029296875, mean:988.728271484375, min:37.12053298950195, std:170.76292419433594
Iter:109, max:1191.8885498046875, mean:1000.0390625, min:33.07002258300781, std:171.14285278320312
Iter:110, max:1199.9830322265625, mean:962.9940185546875, min:31.579835891723633, std:239.1311492919922
Iter:111, max:1199.3751220703125, mean:1017.210205078125, min:35.36161422729492, std:172.5368194580078
Iter:112, max:1198.08203125, mean:990.3197021484375, min:32.990234375, std:208.83782958984375
Iter:113, max:1202.3341064453125, mean:1028.612060546875, min:32.82090759277344, std:155.02151489257812
