Iter:0, max:818.8486328125, mean:216.14892578125, min:43.54126739501953, std:163.66741943359375
Iter:1, max:861.8870849609375, mean:223.37989807128906, min:45.21149826049805, std:151.4018096923828
Iter:2, max:958.6152954101562, mean:241.1721954345703, min:43.820655822753906, std:163.29754638671875
Iter:3, max:1040.8958740234375, mean:266.02679443359375, min:44.5667610168457, std:199.04266357421875
Iter:4, max:859.2293090820312, mean:256.832275390625, min:50.221920013427734, std:142.68081665039062
Iter:5, max:893.765380859375, mean:235.7392578125, min:54.604347229003906, std:134.8344268798828
Iter:6, max:1070.3497314453125, mean:247.20782470703125, min:72.31169128417969, std:132.1792449951172
Iter:7, max:778.7274780273438, mean:230.54278564453125, min:63.57221221923828, std:117.29208374023438
Iter:8, max:627.46923828125, mean:251.94027709960938, min:54.838802337646484, std:109.82305145263672
Iter:9, max:812.3633422851562, mean:249.76715087890625, min:52.42403030395508, std:109.8550796508789
Iter:10, max:533.3408813476562, mean:255.3033447265625, min:54.5545768737793, std:99.70722198486328
Iter:11, max:710.9476318359375, mean:248.8585968017578, min:49.266597747802734, std:98.80855560302734
Iter:12, max:492.54876708984375, mean:244.4796905517578, min:52.73823547363281, std:84.54517364501953
Iter:13, max:461.1854248046875, mean:232.51412963867188, min:47.20082473754883, std:87.46141815185547
Iter:14, max:441.7170104980469, mean:229.36514282226562, min:47.18119812011719, std:88.12238311767578
Iter:15, max:509.8719177246094, mean:226.61459350585938, min:46.069644927978516, std:88.22361755371094
Iter:16, max:419.1741943359375, mean:229.26382446289062, min:46.9532585144043, std:84.52743530273438
Iter:17, max:403.08746337890625, mean:228.80934143066406, min:58.66476058959961, std:74.681884765625
Iter:18, max:549.1959228515625, mean:231.47454833984375, min:61.77306365966797, std:84.78777313232422
Iter:19, max:522.9606323242188, mean:225.28187561035156, min:48.25553512573242, std:78.82750701904297
Iter:20, max:466.7034912109375, mean:227.05899047851562, min:45.82612991333008, std:75.25849914550781
Iter:21, max:398.5653076171875, mean:242.07681274414062, min:39.632381439208984, std:60.10623550415039
Iter:22, max:367.73089599609375, mean:245.14532470703125, min:52.98048400878906, std:51.51987838745117
Iter:23, max:376.9449768066406, mean:235.80596923828125, min:42.80967330932617, std:55.147552490234375
Iter:24, max:367.18463134765625, mean:249.45449829101562, min:56.18080520629883, std:50.865665435791016
Iter:25, max:449.3444519042969, mean:232.1050567626953, min:45.2603874206543, std:55.40992736816406
Iter:26, max:347.4887390136719, mean:233.42886352539062, min:59.312992095947266, std:52.28598403930664
Iter:27, max:366.6408386230469, mean:241.04605102539062, min:54.00693893432617, std:49.57786178588867
Iter:28, max:368.90191650390625, mean:242.67478942871094, min:92.55745697021484, std:47.96312713623047
Iter:29, max:364.4211730957031, mean:239.10975646972656, min:44.229827880859375, std:49.16109085083008
Iter:30, max:430.6775207519531, mean:244.61973571777344, min:88.57078552246094, std:52.131690979003906
Iter:31, max:1052.9197998046875, mean:256.4537353515625, min:45.16550064086914, std:94.16921997070312
Iter:32, max:368.7077331542969, mean:246.1247100830078, min:70.26985168457031, std:52.747440338134766
Iter:33, max:404.097412109375, mean:245.49053955078125, min:42.00790786743164, std:57.84743118286133
Iter:34, max:435.258544921875, mean:247.29290771484375, min:40.10719680786133, std:60.370628356933594
Iter:35, max:819.875244140625, mean:262.4537353515625, min:40.44676971435547, std:72.98189544677734
Iter:36, max:486.3980407714844, mean:259.39788818359375, min:35.64413833618164, std:66.86995697021484
Iter:37, max:373.0613098144531, mean:257.5513610839844, min:39.93048095703125, std:56.96284103393555
Iter:38, max:388.4728088378906, mean:254.61375427246094, min:41.308998107910156, std:62.04418182373047
Iter:39, max:477.34637451171875, mean:264.91015625, min:34.52256774902344, std:61.930294036865234
Iter:40, max:505.0224914550781, mean:259.4727478027344, min:36.01953887939453, std:76.22964477539062
Iter:41, max:364.4372253417969, mean:261.94476318359375, min:36.62955093383789, std:52.41531753540039
Iter:42, max:597.2011108398438, mean:263.50323486328125, min:31.156494140625, std:80.9726791381836
Iter:43, max:637.8848266601562, mean:270.94598388671875, min:31.362619400024414, std:86.66158294677734
Iter:44, max:501.1148681640625, mean:262.499755859375, min:28.903228759765625, std:92.04167938232422
Iter:45, max:743.9077758789062, mean:286.6856689453125, min:31.69424819946289, std:96.7046127319336
Iter:46, max:1035.0509033203125, mean:298.72540283203125, min:35.95859909057617, std:125.52446746826172
Iter:47, max:1044.4564208984375, mean:277.2880859375, min:25.964935302734375, std:133.26356506347656
Iter:48, max:998.0671997070312, mean:308.9959411621094, min:35.07640075683594, std:144.3704376220703
Iter:49, max:739.0429077148438, mean:301.9818115234375, min:28.971975326538086, std:131.0419464111328
Iter:50, max:1030.557373046875, mean:324.24566650390625, min:28.155609130859375, std:175.93678283691406
Iter:51, max:1038.55224609375, mean:323.9805603027344, min:29.19462013244629, std:195.8959503173828
Iter:52, max:1032.2135009765625, mean:335.5509033203125, min:28.86544418334961, std:195.2057342529297
Iter:53, max:1043.3475341796875, mean:362.83819580078125, min:28.740407943725586, std:225.5033416748047
Iter:54, max:1034.735595703125, mean:335.848876953125, min:28.89200210571289, std:212.00868225097656
Iter:55, max:1052.2874755859375, mean:423.7955627441406, min:31.709625244140625, std:270.1191711425781
Iter:56, max:1118.3310546875, mean:419.5438232421875, min:32.42281723022461, std:281.82086181640625
Iter:57, max:1124.4166259765625, mean:431.4258728027344, min:26.103713989257812, std:285.7829284667969
Iter:58, max:1067.2965087890625, mean:495.2148742675781, min:29.858230590820312, std:310.1866760253906
Iter:59, max:1069.218017578125, mean:539.6353759765625, min:32.31298828125, std:341.6130065917969
Iter:60, max:1173.2061767578125, mean:604.124267578125, min:32.596946716308594, std:355.48590087890625
Iter:61, max:1171.29052734375, mean:608.5247802734375, min:35.15058517456055, std:353.1943359375
Iter:62, max:1145.2144775390625, mean:662.2088623046875, min:39.981781005859375, std:343.69720458984375
Iter:63, max:1156.52880859375, mean:671.1261596679688, min:41.638702392578125, std:341.8172302246094
Iter:64, max:1156.5211181640625, mean:785.0357666015625, min:52.83346939086914, std:321.5704650878906
Iter:65, max:1164.5447998046875, mean:828.6082763671875, min:42.632938385009766, std:283.6037902832031
Iter:66, max:1143.57177734375, mean:901.774658203125, min:43.932247161865234, std:245.2071075439453
Iter:67, max:1069.33349609375, mean:854.29541015625, min:43.82020950317383, std:280.0088806152344
Iter:68, max:1160.0079345703125, mean:956.8662109375, min:139.78030395507812, std:183.27479553222656
Iter:69, max:1123.1993408203125, mean:954.7208251953125, min:102.08222198486328, std:180.74417114257812
Iter:70, max:1127.4183349609375, mean:968.96533203125, min:69.89118194580078, std:157.94595336914062
Iter:71, max:1077.90234375, mean:996.9676513671875, min:331.6041564941406, std:88.92143249511719
Iter:72, max:1048.3226318359375, mean:1003.0177001953125, min:634.7267456054688, std:53.5660400390625
Iter:73, max:1049.704833984375, mean:1008.7572021484375, min:778.5245971679688, std:28.677417755126953
Iter:74, max:1048.1407470703125, mean:1011.1299438476562, min:964.5609130859375, std:15.360459327697754
Iter:75, max:1045.740478515625, mean:1013.2988891601562, min:980.2346801757812, std:13.427990913391113
Iter:76, max:1050.888671875, mean:1013.42236328125, min:830.6437377929688, std:23.454782485961914
Iter:77, max:1042.6202392578125, mean:1015.7623291015625, min:982.7525634765625, std:12.551993370056152
Iter:78, max:1044.06103515625, mean:1016.6404418945312, min:979.029296875, std:12.095947265625
Iter:79, max:1067.6214599609375, mean:1020.5164794921875, min:991.6307373046875, std:11.24267578125
Iter:80, max:1049.1552734375, mean:1017.247802734375, min:622.7320556640625, std:36.329620361328125
Iter:81, max:1043.8946533203125, mean:1021.5125732421875, min:925.3030395507812, std:11.495903015136719
Iter:82, max:1049.2769775390625, mean:1025.85693359375, min:993.8079833984375, std:9.323833465576172
Iter:83, max:1044.8726806640625, mean:1020.9892578125, min:664.57177734375, std:41.390480041503906
Iter:84, max:1154.3623046875, mean:1030.928466796875, min:1010.8271484375, std:13.421422958374023
Iter:85, max:1047.194091796875, mean:1016.645751953125, min:394.3614501953125, std:78.11075592041016
Iter:86, max:1045.30029296875, mean:1015.5274658203125, min:408.111328125, std:95.78307342529297
Iter:87, max:1050.820556640625, mean:999.8580322265625, min:450.2859191894531, std:119.20191955566406
Iter:88, max:1049.069091796875, mean:1012.1226196289062, min:460.82244873046875, std:100.07132720947266
Iter:89, max:1053.5499267578125, mean:950.61279296875, min:344.4740905761719, std:206.97869873046875
Iter:90, max:1055.14794921875, mean:973.0299682617188, min:346.86279296875, std:171.04940795898438
Iter:91, max:1052.4591064453125, mean:889.458984375, min:359.1535949707031, std:254.2181396484375
Iter:92, max:1057.66357421875, mean:879.3031005859375, min:361.7852783203125, std:246.92710876464844
Iter:93, max:1093.6751708984375, mean:839.28173828125, min:343.6675720214844, std:265.3373718261719
Iter:94, max:1166.43798828125, mean:802.6419677734375, min:339.77288818359375, std:254.30223083496094
Iter:95, max:1117.032470703125, mean:634.7723388671875, min:318.12017822265625, std:262.4280090332031
Iter:96, max:1086.934814453125, mean:713.2672119140625, min:334.29095458984375, std:262.74761962890625
Iter:97, max:1078.2237548828125, mean:714.3460083007812, min:298.9878845214844, std:257.3144836425781
Iter:98, max:1192.8497314453125, mean:702.8731689453125, min:353.0259094238281, std:257.59619140625
Iter:99, max:1052.9019775390625, mean:669.71044921875, min:324.1063537597656, std:234.0106201171875
Iter:100, max:1059.5494384765625, mean:605.2513427734375, min:343.9675598144531, std:205.32240295410156
Iter:101, max:1182.697998046875, mean:616.5855712890625, min:367.424560546875, std:186.35330200195312
Iter:102, max:1054.7337646484375, mean:622.5943603515625, min:327.440185546875, std:180.7226104736328
Iter:103, max:1053.5142822265625, mean:622.2826538085938, min:346.5769958496094, std:176.90602111816406
Iter:104, max:1049.9482421875, mean:603.9339599609375, min:358.7226867675781, std:176.13462829589844
Iter:105, max:1052.5006103515625, mean:605.1864013671875, min:374.7339172363281, std:133.63351440429688
Iter:106, max:1055.41943359375, mean:641.47607421875, min:370.5394592285156, std:166.87319946289062
Iter:107, max:1062.5234375, mean:629.6058349609375, min:380.94970703125, std:147.0513458251953
Iter:108, max:1060.8997802734375, mean:639.344482421875, min:359.5211486816406, std:145.2703857421875
Iter:109, max:1062.740966796875, mean:643.8950805664062, min:363.7684631347656, std:163.82980346679688
Iter:110, max:1122.123046875, mean:670.6031494140625, min:362.14697265625, std:149.53707885742188
Iter:111, max:1066.8740234375, mean:648.9746704101562, min:401.86456298828125, std:157.34132385253906
Iter:112, max:1064.4508056640625, mean:642.1680908203125, min:403.86663818359375, std:151.4027557373047
Iter:113, max:1063.8330078125, mean:653.9525146484375, min:405.94451904296875, std:143.2772674560547
Iter:114, max:1142.6610107421875, mean:671.077392578125, min:422.1919250488281, std:151.25575256347656
Iter:115, max:1065.8363037109375, mean:703.8045654296875, min:425.51849365234375, std:165.50848388671875
Iter:116, max:1064.764404296875, mean:672.8619995117188, min:443.83587646484375, std:156.66229248046875
Iter:117, max:1108.138916015625, mean:704.5074462890625, min:399.8548583984375, std:170.30714416503906
Iter:118, max:1060.1932373046875, mean:689.2320556640625, min:441.5457458496094, std:134.61831665039062
Iter:119, max:1063.982421875, mean:729.6006469726562, min:449.5106201171875, std:144.50962829589844
Iter:120, max:1126.372314453125, mean:733.193115234375, min:419.4823303222656, std:169.98867797851562
Iter:121, max:1070.930419921875, mean:718.55712890625, min:418.8111267089844, std:148.7484588623047
Iter:122, max:1064.9798583984375, mean:743.9232788085938, min:426.8751220703125, std:111.05684661865234
Iter:123, max:1077.292724609375, mean:768.9653930664062, min:433.16168212890625, std:172.81663513183594
Iter:124, max:1066.7166748046875, mean:772.450439453125, min:448.76611328125, std:124.9417953491211
Iter:125, max:1210.6553955078125, mean:799.6634521484375, min:506.5421447753906, std:129.00538635253906
Iter:126, max:1194.3431396484375, mean:781.574462890625, min:307.19085693359375, std:137.30006408691406
Iter:127, max:1185.299072265625, mean:819.5205078125, min:394.5335998535156, std:153.26751708984375
Iter:128, max:1107.8909912109375, mean:827.512939453125, min:591.7546997070312, std:127.38289642333984
Iter:129, max:1093.404541015625, mean:826.4404296875, min:521.7993774414062, std:127.40994262695312
Iter:130, max:1196.4495849609375, mean:856.2693481445312, min:509.2575988769531, std:130.5999755859375
Iter:131, max:1159.3658447265625, mean:862.6017456054688, min:543.3474731445312, std:129.2224578857422
Iter:132, max:1139.677001953125, mean:892.4910888671875, min:514.0958862304688, std:128.26519775390625
Iter:133, max:1162.270751953125, mean:916.6021728515625, min:259.09393310546875, std:128.84205627441406
Iter:134, max:1124.371826171875, mean:919.9945678710938, min:318.44781494140625, std:151.61851501464844
Iter:135, max:1178.3011474609375, mean:938.2264404296875, min:448.4053955078125, std:136.14833068847656
Iter:136, max:1168.001953125, mean:988.67138671875, min:747.475830078125, std:98.39141082763672
Iter:137, max:1187.02783203125, mean:1003.6442260742188, min:364.0790710449219, std:116.18620300292969
Iter:138, max:1181.46435546875, mean:1008.850341796875, min:393.1028747558594, std:101.78724670410156
Iter:139, max:1159.4468994140625, mean:1006.0523681640625, min:280.5816650390625, std:148.92877197265625
Iter:140, max:1135.901611328125, mean:1011.4759521484375, min:221.67657470703125, std:123.79528045654297
Iter:141, max:1152.3873291015625, mean:1019.359375, min:352.6222839355469, std:118.44564056396484
Iter:142, max:1087.5692138671875, mean:1011.4310302734375, min:309.06646728515625, std:139.6905059814453
Iter:143, max:1138.7281494140625, mean:1018.47216796875, min:307.8448791503906, std:98.22777557373047
Iter:144, max:1062.34765625, mean:1019.1875610351562, min:335.8166809082031, std:106.1640625
Iter:145, max:1105.45751953125, mean:1019.5120849609375, min:270.6007385253906, std:113.16207885742188
Iter:146, max:1134.51953125, mean:1016.0951538085938, min:259.63555908203125, std:98.43923950195312
Iter:147, max:1062.072509765625, mean:1028.07958984375, min:753.3350830078125, std:44.8437385559082
Iter:148, max:1062.50244140625, mean:1015.4381103515625, min:282.0937194824219, std:109.9433364868164
Iter:149, max:1058.9996337890625, mean:1021.3233642578125, min:208.1586456298828, std:84.57547760009766
Iter:150, max:1058.87451171875, mean:1025.414306640625, min:494.5453796386719, std:70.96861267089844
Iter:151, max:1055.6275634765625, mean:1018.60546875, min:201.37432861328125, std:103.48128509521484
Iter:152, max:1054.482177734375, mean:1025.57421875, min:220.07102966308594, std:77.08790588378906
Iter:153, max:1057.7821044921875, mean:1039.70361328125, min:894.977294921875, std:17.495952606201172
Iter:154, max:1059.478515625, mean:1034.725830078125, min:854.071044921875, std:31.096086502075195
