Iter:0, max:998.2142333984375, mean:218.9184112548828, min:42.853721618652344, std:156.0032501220703
Iter:1, max:1009.882080078125, mean:248.14633178710938, min:45.15428924560547, std:169.97592163085938
Iter:2, max:1019.4931640625, mean:236.37428283691406, min:44.335506439208984, std:155.18798828125
Iter:3, max:1003.8040161132812, mean:246.81690979003906, min:45.14154815673828, std:154.97767639160156
Iter:4, max:1020.460205078125, mean:263.0338134765625, min:59.30387496948242, std:134.13265991210938
Iter:5, max:820.0179443359375, mean:245.59031677246094, min:56.20192337036133, std:124.62740325927734
Iter:6, max:879.4507446289062, mean:250.72140502929688, min:60.26765823364258, std:114.85256958007812
Iter:7, max:809.053955078125, mean:258.67041015625, min:43.4597053527832, std:104.94861602783203
Iter:8, max:734.2081298828125, mean:253.82357788085938, min:48.54007339477539, std:96.27409362792969
Iter:9, max:499.9356994628906, mean:244.52149963378906, min:35.77251052856445, std:87.96936798095703
Iter:10, max:718.3777465820312, mean:239.541259765625, min:49.75196075439453, std:96.44068908691406
Iter:11, max:551.9393920898438, mean:229.4364776611328, min:46.57170486450195, std:83.95671844482422
Iter:12, max:546.591796875, mean:226.5507354736328, min:42.42715072631836, std:85.50863647460938
Iter:13, max:414.7408142089844, mean:219.88134765625, min:40.72303009033203, std:78.70515441894531
Iter:14, max:385.6883544921875, mean:245.53347778320312, min:57.310386657714844, std:66.03582000732422
Iter:15, max:445.2272644042969, mean:230.20166015625, min:45.211769104003906, std:74.12104034423828
Iter:16, max:481.2662658691406, mean:228.69342041015625, min:48.183448791503906, std:75.39198303222656
Iter:17, max:446.3170166015625, mean:240.03225708007812, min:51.1656379699707, std:62.049781799316406
Iter:18, max:522.6421508789062, mean:234.14508056640625, min:50.47053909301758, std:64.54299926757812
Iter:19, max:479.6943664550781, mean:234.80203247070312, min:50.221778869628906, std:61.857112884521484
Iter:20, max:425.1987609863281, mean:237.80056762695312, min:62.95573806762695, std:67.01593017578125
Iter:21, max:435.48651123046875, mean:226.61656188964844, min:47.35110855102539, std:69.3305435180664
Iter:22, max:591.3692016601562, mean:237.34906005859375, min:44.67921447753906, std:73.51485443115234
Iter:23, max:518.3539428710938, mean:232.73890686035156, min:53.31705093383789, std:73.13019561767578
Iter:24, max:489.3918762207031, mean:238.8303680419922, min:52.39730453491211, std:70.65059661865234
Iter:25, max:521.17919921875, mean:245.74160766601562, min:66.26571655273438, std:75.97857666015625
Iter:26, max:477.6361389160156, mean:234.3997802734375, min:49.952117919921875, std:75.99259948730469
Iter:27, max:723.419921875, mean:253.61178588867188, min:40.1253776550293, std:90.0970458984375
Iter:28, max:528.7628173828125, mean:252.36541748046875, min:55.98370361328125, std:85.00764465332031
Iter:29, max:1028.415283203125, mean:261.5101013183594, min:41.85095977783203, std:108.69257354736328
Iter:30, max:691.068115234375, mean:257.7991638183594, min:42.88971710205078, std:101.71356201171875
Iter:31, max:1042.4483642578125, mean:272.251220703125, min:40.408233642578125, std:123.44908142089844
Iter:32, max:1017.0099487304688, mean:276.340087890625, min:42.059898376464844, std:129.9073028564453
Iter:33, max:1110.4754638671875, mean:292.8294372558594, min:36.890159606933594, std:178.8805389404297
Iter:34, max:1091.1031494140625, mean:333.21405029296875, min:38.73856735229492, std:229.87274169921875
Iter:35, max:1086.5926513671875, mean:323.3099365234375, min:39.84626007080078, std:208.594970703125
Iter:36, max:1078.2115478515625, mean:392.75921630859375, min:33.126861572265625, std:258.8498840332031
Iter:37, max:1102.0439453125, mean:394.24163818359375, min:32.01744842529297, std:244.38998413085938
Iter:38, max:1082.1806640625, mean:438.90704345703125, min:38.34591293334961, std:279.8154296875
Iter:39, max:1085.959716796875, mean:485.1256103515625, min:34.84713363647461, std:306.3311462402344
Iter:40, max:1113.8135986328125, mean:552.6857299804688, min:33.31208801269531, std:318.2334899902344
Iter:41, max:1100.3360595703125, mean:646.5977783203125, min:35.25055694580078, std:337.87420654296875
Iter:42, max:1104.05126953125, mean:733.658203125, min:38.1089973449707, std:320.3965148925781
Iter:43, max:1089.8533935546875, mean:759.371337890625, min:36.824981689453125, std:329.1270446777344
Iter:44, max:1086.7099609375, mean:818.1886596679688, min:43.063297271728516, std:303.44036865234375
Iter:45, max:1091.074462890625, mean:873.40625, min:41.17805480957031, std:285.9573669433594
Iter:46, max:1090.081787109375, mean:908.5039672851562, min:36.351295471191406, std:249.7300262451172
