Iter:0, max:1013.8626098632812, mean:225.84698486328125, min:41.856849670410156, std:181.05738830566406
Iter:1, max:1023.8257446289062, mean:238.3374481201172, min:41.921329498291016, std:161.46604919433594
Iter:2, max:1024.8167724609375, mean:254.9579315185547, min:43.25029754638672, std:164.18077087402344
Iter:3, max:1031.9259033203125, mean:258.33099365234375, min:45.205284118652344, std:141.74501037597656
Iter:4, max:855.4950561523438, mean:244.0065460205078, min:43.74188232421875, std:127.96556091308594
Iter:5, max:944.4921264648438, mean:248.41978454589844, min:45.483238220214844, std:113.97286987304688
Iter:6, max:980.344482421875, mean:250.80352783203125, min:45.90306091308594, std:112.37688446044922
Iter:7, max:739.296142578125, mean:250.68942260742188, min:56.6642951965332, std:102.93868255615234
Iter:8, max:1057.9049072265625, mean:248.49755859375, min:45.421897888183594, std:96.57368469238281
Iter:9, max:640.3156127929688, mean:247.40692138671875, min:48.30521011352539, std:85.04452514648438
Iter:10, max:587.9055786132812, mean:232.78228759765625, min:41.42529296875, std:90.04547119140625
Iter:11, max:699.6566772460938, mean:233.11517333984375, min:38.76323699951172, std:94.64396667480469
Iter:12, max:547.4537963867188, mean:228.7809600830078, min:39.0784797668457, std:86.72449493408203
Iter:13, max:515.9483642578125, mean:230.0545654296875, min:37.0301513671875, std:83.22442626953125
Iter:14, max:559.6094970703125, mean:230.7994842529297, min:40.072723388671875, std:84.36986541748047
Iter:15, max:494.4805908203125, mean:235.25552368164062, min:43.66612243652344, std:79.57918548583984
Iter:16, max:648.8480834960938, mean:245.1385040283203, min:52.41715621948242, std:78.73126983642578
Iter:17, max:557.192626953125, mean:241.07730102539062, min:48.74187469482422, std:74.91128540039062
Iter:18, max:597.1611328125, mean:247.428955078125, min:49.823062896728516, std:81.03398132324219
Iter:19, max:673.4674072265625, mean:244.130859375, min:39.91086196899414, std:78.17762756347656
Iter:20, max:765.29541015625, mean:254.67715454101562, min:62.53547668457031, std:82.5508804321289
Iter:21, max:935.3829956054688, mean:244.9945068359375, min:45.980403900146484, std:97.4936294555664
Iter:22, max:996.4105224609375, mean:258.95672607421875, min:42.37073516845703, std:95.9778060913086
Iter:23, max:767.8580322265625, mean:253.20883178710938, min:43.385868072509766, std:91.53035736083984
Iter:24, max:954.10791015625, mean:256.6859130859375, min:43.8604736328125, std:96.34961700439453
Iter:25, max:1017.4365844726562, mean:257.0047912597656, min:46.6490478515625, std:109.28944396972656
Iter:26, max:949.87841796875, mean:265.7806396484375, min:37.42710494995117, std:109.49640655517578
Iter:27, max:1006.1159057617188, mean:260.3718566894531, min:41.448673248291016, std:124.03057861328125
Iter:28, max:1031.3153076171875, mean:268.421142578125, min:45.802433013916016, std:123.91596221923828
Iter:29, max:1080.0240478515625, mean:284.94903564453125, min:34.56353759765625, std:133.8861846923828
Iter:30, max:1004.008544921875, mean:297.27813720703125, min:53.210018157958984, std:125.42381286621094
Iter:31, max:1085.771728515625, mean:315.1870422363281, min:44.154457092285156, std:147.06304931640625
Iter:32, max:1113.9884033203125, mean:354.43585205078125, min:47.63518524169922, std:173.18621826171875
Iter:33, max:1066.0914306640625, mean:374.049072265625, min:49.9776611328125, std:172.95957946777344
Iter:34, max:1090.0621337890625, mean:415.03485107421875, min:46.90090560913086, std:195.51344299316406
Iter:35, max:1096.7777099609375, mean:473.3205871582031, min:45.78709411621094, std:247.57257080078125
Iter:36, max:1109.7017822265625, mean:561.4337158203125, min:59.71147918701172, std:284.15765380859375
Iter:37, max:1121.914306640625, mean:619.0445556640625, min:42.184120178222656, std:290.9935607910156
Iter:38, max:1099.9752197265625, mean:725.4339599609375, min:46.58182144165039, std:304.8150939941406
Iter:39, max:1134.02392578125, mean:803.6527709960938, min:45.668975830078125, std:287.2464904785156
Iter:40, max:1115.84912109375, mean:849.016357421875, min:43.007633209228516, std:276.5616149902344
Iter:41, max:1101.02490234375, mean:911.050048828125, min:47.706748962402344, std:229.9893341064453
Iter:42, max:1121.66015625, mean:902.92822265625, min:45.612464904785156, std:244.72145080566406
Iter:43, max:1159.7718505859375, mean:961.262451171875, min:56.08795166015625, std:165.54293823242188
Iter:44, max:1140.2171630859375, mean:979.8419189453125, min:195.6361541748047, std:112.3808822631836
Iter:45, max:1103.103759765625, mean:979.85009765625, min:156.0825958251953, std:117.53466796875
Iter:46, max:1175.9688720703125, mean:993.97509765625, min:269.7726745605469, std:65.9097900390625
Iter:47, max:1213.20947265625, mean:998.7877197265625, min:158.7647705078125, std:56.53137969970703
Iter:48, max:1214.8970947265625, mean:1001.815185546875, min:412.87554931640625, std:43.24435806274414
Iter:49, max:1126.361572265625, mean:1000.9920654296875, min:370.4375305175781, std:44.7772216796875
Iter:50, max:1157.378662109375, mean:1002.5526733398438, min:569.6388549804688, std:44.00851058959961
Iter:51, max:1093.8719482421875, mean:1005.2783203125, min:382.7201843261719, std:43.175048828125
Iter:52, max:1110.4307861328125, mean:1006.6756591796875, min:330.9956970214844, std:55.85553741455078
Iter:53, max:1113.115234375, mean:1004.5116577148438, min:381.55816650390625, std:75.9037857055664
Iter:54, max:1158.6314697265625, mean:1011.1728515625, min:248.30532836914062, std:85.6594009399414
Iter:55, max:1098.7725830078125, mean:1014.075439453125, min:313.7940368652344, std:84.29487609863281
Iter:56, max:1134.9967041015625, mean:1007.1597900390625, min:188.90122985839844, std:114.93812561035156
