Iter:0, max:1115.3402099609375, mean:237.5546112060547, min:38.69706726074219, std:178.5551300048828
Iter:1, max:1025.637939453125, mean:231.5208740234375, min:40.496368408203125, std:163.7100067138672
Iter:2, max:1082.2255859375, mean:244.45306396484375, min:41.903953552246094, std:156.3984375
Iter:3, max:1016.9964599609375, mean:245.83204650878906, min:44.779869079589844, std:150.774658203125
Iter:4, max:1007.487548828125, mean:254.73452758789062, min:44.43968963623047, std:141.9442901611328
Iter:5, max:1094.9705810546875, mean:259.87225341796875, min:51.08604431152344, std:137.7251739501953
Iter:6, max:795.3949584960938, mean:251.42498779296875, min:52.5665397644043, std:110.31742858886719
Iter:7, max:881.0103759765625, mean:259.59674072265625, min:51.21934509277344, std:102.587158203125
Iter:8, max:895.9564819335938, mean:252.02435302734375, min:47.66615676879883, std:93.85472106933594
Iter:9, max:716.4429321289062, mean:241.99705505371094, min:41.12487030029297, std:91.60619354248047
Iter:10, max:873.072265625, mean:243.06016540527344, min:39.81000518798828, std:94.2761459350586
Iter:11, max:514.0687255859375, mean:237.27340698242188, min:42.616539001464844, std:83.18531036376953
Iter:12, max:566.694580078125, mean:239.9830322265625, min:39.82048797607422, std:81.063720703125
Iter:13, max:1076.3272705078125, mean:244.01832580566406, min:37.875667572021484, std:87.44335174560547
Iter:14, max:541.3858032226562, mean:242.28262329101562, min:44.794151306152344, std:78.84147644042969
Iter:15, max:619.4696044921875, mean:248.96958923339844, min:44.65513610839844, std:76.63911437988281
Iter:16, max:1007.8448486328125, mean:246.15219116210938, min:43.50067138671875, std:84.2624282836914
Iter:17, max:839.9500122070312, mean:248.6356201171875, min:40.309967041015625, std:84.419189453125
Iter:18, max:756.30615234375, mean:246.9925537109375, min:46.434017181396484, std:86.44561767578125
Iter:19, max:1089.2901611328125, mean:250.95791625976562, min:45.50373077392578, std:91.30828857421875
Iter:20, max:654.5173950195312, mean:249.54360961914062, min:35.35928726196289, std:91.69182586669922
Iter:21, max:909.4751586914062, mean:248.85125732421875, min:45.42215347290039, std:97.60116577148438
Iter:22, max:919.2869873046875, mean:262.1049499511719, min:43.443294525146484, std:99.2177963256836
Iter:23, max:1020.1181640625, mean:259.8228759765625, min:33.647281646728516, std:104.23187255859375
Iter:24, max:1073.7850341796875, mean:267.99481201171875, min:42.34004211425781, std:118.16661071777344
Iter:25, max:1027.7730712890625, mean:274.8991394042969, min:45.040279388427734, std:116.75479125976562
