Iter:0, max:1116.394287109375, mean:237.58412170410156, min:38.69707107543945, std:178.59579467773438
Iter:1, max:1024.9979248046875, mean:231.66543579101562, min:40.47956466674805, std:164.06068420410156
Iter:2, max:1071.8543701171875, mean:243.57650756835938, min:41.88958740234375, std:157.67979431152344
Iter:3, max:1060.779541015625, mean:246.915771484375, min:45.18997573852539, std:159.4546661376953
Iter:4, max:1021.6229248046875, mean:253.51876831054688, min:43.85561752319336, std:149.2382049560547
Iter:5, max:1102.9857177734375, mean:261.7654724121094, min:49.202579498291016, std:148.8809814453125
Iter:6, max:1087.3800048828125, mean:251.99386596679688, min:46.79668045043945, std:123.39326477050781
Iter:7, max:941.9529418945312, mean:259.00299072265625, min:51.160316467285156, std:112.93545532226562
Iter:8, max:804.6793823242188, mean:254.33973693847656, min:49.336551666259766, std:102.75012969970703
Iter:9, max:619.7864990234375, mean:250.73239135742188, min:44.20705795288086, std:96.3941421508789
Iter:10, max:608.6029052734375, mean:250.3403778076172, min:46.07123565673828, std:91.5810317993164
Iter:11, max:765.0540161132812, mean:248.8934326171875, min:39.93157958984375, std:87.87522888183594
Iter:12, max:638.266845703125, mean:241.945068359375, min:47.084381103515625, std:85.20211029052734
Iter:13, max:571.3129272460938, mean:237.81027221679688, min:41.16725540161133, std:80.00080108642578
Iter:14, max:803.6146850585938, mean:238.94943237304688, min:44.20889663696289, std:81.0169448852539
Iter:15, max:622.8901977539062, mean:242.72967529296875, min:43.84025192260742, std:72.88279724121094
Iter:16, max:576.5514526367188, mean:240.15985107421875, min:45.83460235595703, std:74.10627746582031
Iter:17, max:607.6878662109375, mean:242.1181640625, min:44.44307327270508, std:69.76156616210938
Iter:18, max:485.5498046875, mean:238.14974975585938, min:44.43812561035156, std:67.45037078857422
Iter:19, max:479.4571533203125, mean:242.26901245117188, min:42.04478454589844, std:63.715843200683594
Iter:20, max:548.7399291992188, mean:239.27285766601562, min:43.43924331665039, std:64.5830307006836
Iter:21, max:559.3428955078125, mean:240.4303436279297, min:41.43465042114258, std:64.65972137451172
Iter:22, max:463.98724365234375, mean:243.50216674804688, min:41.47378158569336, std:61.19910430908203
Iter:23, max:672.94921875, mean:242.1412353515625, min:42.04267501831055, std:63.49080276489258
Iter:24, max:540.2838745117188, mean:237.49978637695312, min:37.38035583496094, std:63.43191909790039
Iter:25, max:460.4028015136719, mean:234.1662139892578, min:34.02133560180664, std:64.12226104736328
Iter:26, max:530.2446899414062, mean:234.8946990966797, min:37.653846740722656, std:65.9826431274414
Iter:27, max:424.7353820800781, mean:235.05055236816406, min:32.94287109375, std:69.25092315673828
Iter:28, max:495.9775390625, mean:233.70806884765625, min:36.805633544921875, std:65.0565185546875
Iter:29, max:469.80224609375, mean:227.0426025390625, min:31.544706344604492, std:71.619384765625
Iter:30, max:552.7107543945312, mean:230.97288513183594, min:33.379581451416016, std:72.96221923828125
Iter:31, max:476.5252380371094, mean:229.7912139892578, min:30.608165740966797, std:71.66885375976562
Iter:32, max:435.60546875, mean:230.2244415283203, min:30.75790786743164, std:69.88095092773438
Iter:33, max:499.13665771484375, mean:239.8883056640625, min:29.134435653686523, std:65.78870391845703
Iter:34, max:460.7700500488281, mean:233.7425079345703, min:35.172027587890625, std:67.52095031738281
Iter:35, max:1020.6317138671875, mean:239.57113647460938, min:34.171241760253906, std:72.15941619873047
Iter:36, max:428.2497253417969, mean:238.39987182617188, min:37.70313262939453, std:66.38565063476562
Iter:37, max:464.8054504394531, mean:240.91351318359375, min:37.7183723449707, std:63.07194137573242
Iter:38, max:455.1631164550781, mean:238.43902587890625, min:39.61751937866211, std:62.76594924926758
Iter:39, max:451.5848388671875, mean:243.428466796875, min:29.8986873626709, std:65.86544036865234
Iter:40, max:711.0128173828125, mean:248.54849243164062, min:38.36172866821289, std:65.56816101074219
Iter:41, max:496.2939147949219, mean:245.73367309570312, min:33.893619537353516, std:66.35956573486328
Iter:42, max:502.2298889160156, mean:250.2257080078125, min:21.959720611572266, std:65.25750732421875
Iter:43, max:1043.6759033203125, mean:255.9083709716797, min:29.61817741394043, std:72.01741790771484
Iter:44, max:510.4087219238281, mean:259.7781982421875, min:30.376462936401367, std:69.64424896240234
Iter:45, max:762.0655517578125, mean:256.1976318359375, min:27.184337615966797, std:74.80127716064453
Iter:46, max:498.788330078125, mean:264.9710693359375, min:29.312387466430664, std:77.52749633789062
Iter:47, max:667.8812866210938, mean:267.03857421875, min:27.016315460205078, std:81.10186004638672
Iter:48, max:684.3754272460938, mean:267.4334716796875, min:22.428512573242188, std:88.29783630371094
Iter:49, max:993.4735717773438, mean:280.0511779785156, min:23.224830627441406, std:91.07271575927734
Iter:50, max:1101.9034423828125, mean:277.90771484375, min:24.652158737182617, std:104.75464630126953
Iter:51, max:1038.5048828125, mean:281.77984619140625, min:28.46398162841797, std:109.60601043701172
Iter:52, max:1044.5806884765625, mean:290.45159912109375, min:26.404563903808594, std:118.97895050048828
Iter:53, max:1043.2783203125, mean:295.364990234375, min:24.999794006347656, std:128.7582244873047
Iter:54, max:1035.6256103515625, mean:307.56170654296875, min:30.307159423828125, std:140.5594482421875
Iter:55, max:1075.0433349609375, mean:311.16864013671875, min:24.869274139404297, std:159.44967651367188
Iter:56, max:1144.820556640625, mean:321.6514892578125, min:34.55003356933594, std:164.39659118652344
Iter:57, max:1119.5650634765625, mean:329.5230712890625, min:28.475936889648438, std:184.35546875
Iter:58, max:1112.6177978515625, mean:354.4530944824219, min:26.866893768310547, std:199.18392944335938
Iter:59, max:1094.2252197265625, mean:374.9208984375, min:27.748538970947266, std:226.95278930664062
Iter:60, max:1153.6517333984375, mean:398.911376953125, min:29.78840446472168, std:244.86497497558594
Iter:61, max:1128.0059814453125, mean:418.0389709472656, min:30.10318946838379, std:267.3802185058594
Iter:62, max:1176.106201171875, mean:453.90948486328125, min:30.71127700805664, std:275.4079895019531
Iter:63, max:1145.3077392578125, mean:484.7135314941406, min:22.852537155151367, std:299.2879333496094
Iter:64, max:1161.9993896484375, mean:539.83740234375, min:33.7625617980957, std:305.2342529296875
Iter:65, max:1156.2164306640625, mean:594.6282958984375, min:33.58387756347656, std:323.8902893066406
Iter:66, max:1168.832763671875, mean:621.926025390625, min:28.837926864624023, std:333.6258850097656
Iter:67, max:1186.72314453125, mean:684.6044921875, min:38.82047653198242, std:330.45733642578125
Iter:68, max:1173.4874267578125, mean:733.8251342773438, min:34.31864547729492, std:327.0033874511719
Iter:69, max:1174.60302734375, mean:776.5153198242188, min:38.53483581542969, std:315.4110412597656
Iter:70, max:1161.9483642578125, mean:828.439453125, min:38.135093688964844, std:295.1949462890625
Iter:71, max:1184.4503173828125, mean:864.6853637695312, min:30.782358169555664, std:272.1113586425781
Iter:72, max:1171.6539306640625, mean:890.634521484375, min:40.46131134033203, std:254.5031280517578
Iter:73, max:1180.9287109375, mean:923.0844116210938, min:40.36305236816406, std:232.63577270507812
Iter:74, max:1184.680419921875, mean:949.1348266601562, min:40.9128303527832, std:203.3444366455078
Iter:75, max:1166.722900390625, mean:971.74951171875, min:45.86998748779297, std:159.75469970703125
Iter:76, max:1181.331298828125, mean:983.2717895507812, min:47.35383987426758, std:126.71116638183594
Iter:77, max:1167.32421875, mean:995.7169189453125, min:67.71045684814453, std:94.48945617675781
Iter:78, max:1182.01318359375, mean:1001.4229125976562, min:135.2882537841797, std:72.70963287353516
Iter:79, max:1179.4697265625, mean:1005.4376831054688, min:188.76902770996094, std:57.837806701660156
Iter:80, max:1157.915771484375, mean:1007.473876953125, min:160.75123596191406, std:48.07439041137695
Iter:81, max:1158.01953125, mean:1008.5528564453125, min:138.76071166992188, std:58.324275970458984
Iter:82, max:1153.3626708984375, mean:1012.3425903320312, min:149.8780517578125, std:64.40323638916016
Iter:83, max:1172.4248046875, mean:1013.8604125976562, min:170.29429626464844, std:58.880104064941406
Iter:84, max:1174.98828125, mean:1012.5752563476562, min:190.12550354003906, std:82.49162292480469
Iter:85, max:1157.5726318359375, mean:1011.2294311523438, min:141.8462371826172, std:102.84013366699219
Iter:86, max:1150.1685791015625, mean:1006.9805908203125, min:149.0625457763672, std:125.79737091064453
Iter:87, max:1170.2828369140625, mean:984.4459228515625, min:146.7283477783203, std:177.49073791503906
Iter:88, max:1167.24609375, mean:974.4527587890625, min:141.99508666992188, std:196.781982421875
Iter:89, max:1191.37548828125, mean:922.7442016601562, min:140.37094116210938, std:265.4950866699219
Iter:90, max:1159.5191650390625, mean:894.5789794921875, min:131.1416778564453, std:283.50115966796875
Iter:91, max:1175.6072998046875, mean:828.4260864257812, min:134.3795166015625, std:316.7090148925781
Iter:92, max:1139.4891357421875, mean:754.263671875, min:134.2914276123047, std:336.3309326171875
Iter:93, max:1176.0267333984375, mean:706.900634765625, min:136.9880828857422, std:330.86468505859375
Iter:94, max:1143.5947265625, mean:685.2906494140625, min:131.8343963623047, std:323.75457763671875
Iter:95, max:1152.6829833984375, mean:599.3988037109375, min:142.49034118652344, std:309.51287841796875
Iter:96, max:1129.0853271484375, mean:576.7498779296875, min:136.94027709960938, std:292.2757568359375
Iter:97, max:1169.3385009765625, mean:572.7900390625, min:133.24356079101562, std:283.717041015625
Iter:98, max:1161.136474609375, mean:573.1046752929688, min:144.14306640625, std:277.43414306640625
Iter:99, max:1158.0045166015625, mean:576.6015625, min:132.62249755859375, std:272.66107177734375
Iter:100, max:1161.843017578125, mean:548.8668823242188, min:149.60223388671875, std:237.92501831054688
Iter:101, max:1162.1641845703125, mean:599.9012451171875, min:140.05435180664062, std:258.77783203125
Iter:102, max:1168.7000732421875, mean:617.5966796875, min:147.72232055664062, std:256.7677917480469
Iter:103, max:1168.93212890625, mean:638.8287353515625, min:157.84225463867188, std:252.78086853027344
Iter:104, max:1147.6788330078125, mean:659.14306640625, min:147.86582946777344, std:253.32757568359375
Iter:105, max:1170.564453125, mean:679.5088500976562, min:294.76043701171875, std:251.01788330078125
Iter:106, max:1189.5823974609375, mean:740.6138305664062, min:176.92803955078125, std:253.1108856201172
Iter:107, max:1188.4342041015625, mean:794.681640625, min:277.882568359375, std:240.8719024658203
Iter:108, max:1181.7584228515625, mean:856.9631958007812, min:209.39364624023438, std:223.47457885742188
Iter:109, max:1192.561767578125, mean:896.7158813476562, min:234.36407470703125, std:205.6713409423828
Iter:110, max:1183.853271484375, mean:911.1054077148438, min:343.0179138183594, std:198.96446228027344
Iter:111, max:1192.6041259765625, mean:954.598876953125, min:329.90625, std:170.1366424560547
Iter:112, max:1193.523193359375, mean:993.89794921875, min:468.8012390136719, std:134.60629272460938
Iter:113, max:1196.10791015625, mean:1013.1641845703125, min:564.7963256835938, std:109.523193359375
Iter:114, max:1191.003662109375, mean:1024.244873046875, min:520.53271484375, std:102.1262435913086
Iter:115, max:1194.3182373046875, mean:1040.1982421875, min:586.5623168945312, std:81.14305877685547
Iter:116, max:1190.518798828125, mean:1042.912353515625, min:638.4320068359375, std:71.27398681640625
Iter:117, max:1198.6917724609375, mean:1052.3035888671875, min:400.8506774902344, std:54.734256744384766
Iter:118, max:1196.662353515625, mean:1050.881103515625, min:512.3868408203125, std:54.742401123046875
Iter:119, max:1187.0076904296875, mean:1055.00341796875, min:673.6795654296875, std:40.853599548339844
Iter:120, max:1191.6282958984375, mean:1053.277099609375, min:658.6782836914062, std:37.674903869628906
Iter:121, max:1196.4486083984375, mean:1054.548583984375, min:757.70263671875, std:34.61946487426758
