Iter:0, max:691.0673217773438, mean:450.66461181640625, min:261.0189208984375, std:64.1016845703125
Iter:1, max:737.3226928710938, mean:463.92059326171875, min:276.15557861328125, std:60.00985336303711
Iter:2, max:725.8739013671875, mean:466.978271484375, min:278.14215087890625, std:56.54241943359375
Iter:3, max:785.3444213867188, mean:477.46490478515625, min:258.61419677734375, std:62.9193229675293
Iter:4, max:754.1373901367188, mean:494.773193359375, min:235.4645538330078, std:75.76837158203125
Iter:5, max:1149.0556640625, mean:520.9447021484375, min:242.09228515625, std:100.36418914794922
Iter:6, max:913.4118041992188, mean:507.6889343261719, min:291.8025817871094, std:76.4732666015625
Iter:7, max:713.9208374023438, mean:453.2919616699219, min:300.20672607421875, std:43.69601058959961
Iter:8, max:1237.588134765625, mean:519.9576416015625, min:240.0581817626953, std:110.30036163330078
Iter:9, max:1119.4041748046875, mean:507.4432678222656, min:280.77484130859375, std:83.99327850341797
Iter:10, max:952.083251953125, mean:522.6483154296875, min:293.9789733886719, std:86.09785461425781
Iter:11, max:1373.5103759765625, mean:533.5145263671875, min:255.78109741210938, std:113.3799057006836
Iter:12, max:1259.1966552734375, mean:512.1636352539062, min:238.96987915039062, std:123.37700653076172
Iter:13, max:1551.1082763671875, mean:544.09765625, min:276.2371520996094, std:122.91246032714844
Iter:14, max:1470.87451171875, mean:544.077880859375, min:322.5720520019531, std:120.56642150878906
Iter:15, max:1167.1864013671875, mean:544.4798583984375, min:299.24627685546875, std:131.33018493652344
Iter:16, max:1212.1568603515625, mean:549.56787109375, min:265.12506103515625, std:125.05510711669922
Iter:17, max:1100.8101806640625, mean:552.5010986328125, min:301.4429626464844, std:126.80571746826172
Iter:18, max:1375.5272216796875, mean:528.58203125, min:305.5879211425781, std:120.94806671142578
Iter:19, max:1237.4991455078125, mean:554.579345703125, min:320.6341552734375, std:130.1464385986328
Iter:20, max:1713.9500732421875, mean:544.02490234375, min:281.0390625, std:132.0995330810547
Iter:21, max:1630.2327880859375, mean:497.2439270019531, min:275.2486877441406, std:121.53775024414062
Iter:22, max:1197.8433837890625, mean:543.916259765625, min:280.1836242675781, std:126.38431549072266
Iter:23, max:1484.81640625, mean:514.78125, min:290.8692321777344, std:126.47018432617188
Iter:24, max:1845.8463134765625, mean:505.7987060546875, min:272.1924743652344, std:136.76052856445312
Iter:25, max:1622.719970703125, mean:528.1112060546875, min:197.8932342529297, std:139.93829345703125
Iter:26, max:1474.9681396484375, mean:455.01690673828125, min:189.87045288085938, std:122.17282104492188
Iter:27, max:1169.8966064453125, mean:465.1229553222656, min:277.17254638671875, std:120.26282501220703
Iter:28, max:1150.3819580078125, mean:437.59228515625, min:188.47567749023438, std:112.37242126464844
Iter:29, max:1135.220947265625, mean:511.5333251953125, min:195.18301391601562, std:130.32484436035156
Iter:30, max:1440.9239501953125, mean:516.6109008789062, min:187.4586639404297, std:132.43563842773438
Iter:31, max:1257.9893798828125, mean:545.3890991210938, min:281.97918701171875, std:130.9100799560547
Iter:32, max:1305.9677734375, mean:532.2003173828125, min:269.3444519042969, std:129.38064575195312
Iter:33, max:1199.4779052734375, mean:514.9637451171875, min:189.0936737060547, std:125.9308090209961
Iter:34, max:1255.5709228515625, mean:525.7010498046875, min:186.2252655029297, std:128.37904357910156
Iter:35, max:1596.2061767578125, mean:523.8818359375, min:191.14602661132812, std:125.5226821899414
Iter:36, max:1428.6898193359375, mean:514.5697021484375, min:180.2080078125, std:129.6055450439453
Iter:37, max:1088.9500732421875, mean:523.4556274414062, min:189.4808349609375, std:123.15479278564453
Iter:38, max:1250.964111328125, mean:526.9375, min:191.2999725341797, std:123.71074676513672
Iter:39, max:1561.878662109375, mean:535.3666381835938, min:187.05955505371094, std:132.12867736816406
Iter:40, max:1274.529541015625, mean:540.6529541015625, min:273.1412048339844, std:132.86868286132812
Iter:41, max:1189.895263671875, mean:516.6436767578125, min:186.3924560546875, std:122.4596939086914
Iter:42, max:1358.980224609375, mean:506.4199523925781, min:195.7718048095703, std:128.65342712402344
Iter:43, max:1309.981201171875, mean:526.6095581054688, min:183.97549438476562, std:126.47880554199219
Iter:44, max:1134.560791015625, mean:496.57147216796875, min:186.4252471923828, std:120.70004272460938
Iter:45, max:1678.151123046875, mean:532.02880859375, min:184.46115112304688, std:132.2923583984375
Iter:46, max:1086.9339599609375, mean:509.5708923339844, min:186.45835876464844, std:126.8753433227539
Iter:47, max:1452.450439453125, mean:533.9469604492188, min:190.63986206054688, std:133.78453063964844
Iter:48, max:1610.1158447265625, mean:540.0439453125, min:192.2926788330078, std:127.18501281738281
Iter:49, max:1273.498046875, mean:548.231201171875, min:184.95242309570312, std:123.13236999511719
Iter:50, max:1090.73388671875, mean:546.105712890625, min:189.05670166015625, std:119.95576477050781
Iter:51, max:1228.1751708984375, mean:535.5458984375, min:196.66397094726562, std:128.17291259765625
Iter:52, max:1167.8870849609375, mean:563.50048828125, min:185.97116088867188, std:125.154296875
Iter:53, max:1026.8912353515625, mean:517.9703979492188, min:181.60716247558594, std:120.89622497558594
Iter:54, max:1323.907958984375, mean:565.7073974609375, min:269.87060546875, std:128.44654846191406
Iter:55, max:1050.7938232421875, mean:488.8680419921875, min:198.32083129882812, std:95.25276947021484
Iter:56, max:1217.714111328125, mean:559.233154296875, min:182.1361541748047, std:132.3125
Iter:57, max:1388.8623046875, mean:548.5771484375, min:188.46322631835938, std:126.53511810302734
