Iter:0, max:590.0526123046875, mean:450.71832275390625, min:267.12786865234375, std:61.05599594116211
Iter:1, max:578.4659423828125, mean:445.8708801269531, min:290.45184326171875, std:61.1735725402832
Iter:2, max:594.36767578125, mean:457.84466552734375, min:296.70904541015625, std:53.480857849121094
Iter:3, max:677.2378540039062, mean:459.1087341308594, min:331.7760009765625, std:58.39986801147461
Iter:4, max:675.7547607421875, mean:484.64825439453125, min:274.3382263183594, std:70.5382308959961
Iter:5, max:669.0548706054688, mean:478.5339660644531, min:302.515380859375, std:75.97593688964844
Iter:6, max:635.2640380859375, mean:464.01104736328125, min:227.85797119140625, std:66.34518432617188
Iter:7, max:516.322509765625, mean:429.20257568359375, min:286.6871337890625, std:41.45193099975586
Iter:8, max:835.0172729492188, mean:493.98583984375, min:273.76519775390625, std:85.88240051269531
Iter:9, max:607.3052368164062, mean:453.2646484375, min:254.57542419433594, std:58.17416763305664
Iter:10, max:690.8159790039062, mean:467.1629638671875, min:226.82785034179688, std:64.59026336669922
Iter:11, max:642.0654296875, mean:459.56719970703125, min:246.91139221191406, std:65.27706909179688
Iter:12, max:896.1976318359375, mean:511.8274841308594, min:298.4302673339844, std:101.7123031616211
Iter:13, max:921.9677734375, mean:484.5651550292969, min:290.775390625, std:80.6371078491211
Iter:14, max:745.4429321289062, mean:486.820068359375, min:363.7236633300781, std:64.46707153320312
Iter:15, max:795.781982421875, mean:520.9365234375, min:351.23095703125, std:82.7079086303711
Iter:16, max:831.4424438476562, mean:525.8094482421875, min:351.26507568359375, std:95.0309829711914
Iter:17, max:1058.251953125, mean:533.1542358398438, min:269.3803405761719, std:117.52532958984375
Iter:18, max:1307.2802734375, mean:506.7837219238281, min:320.0469665527344, std:113.53022003173828
Iter:19, max:938.0442504882812, mean:528.3753051757812, min:312.670654296875, std:96.55304718017578
Iter:20, max:849.7171630859375, mean:524.12548828125, min:313.3905944824219, std:103.18641662597656
Iter:21, max:844.4579467773438, mean:491.6459655761719, min:357.5450439453125, std:97.47527313232422
Iter:22, max:1038.4603271484375, mean:552.7273559570312, min:374.9095153808594, std:121.73585510253906
Iter:23, max:868.24609375, mean:516.8997802734375, min:293.695556640625, std:103.66572570800781
Iter:24, max:891.1390991210938, mean:477.70416259765625, min:284.92535400390625, std:105.272216796875
Iter:25, max:1226.641845703125, mean:533.8884887695312, min:281.1703186035156, std:130.93109130859375
