Iter:0, max:779.369384765625, mean:453.3770446777344, min:259.7885437011719, std:69.88429260253906
Iter:1, max:637.5825805664062, mean:461.5643310546875, min:289.99298095703125, std:56.25721740722656
Iter:2, max:609.4853515625, mean:459.85137939453125, min:317.0464782714844, std:52.73771286010742
Iter:3, max:682.3091430664062, mean:465.85955810546875, min:239.8748779296875, std:59.10797882080078
Iter:4, max:795.0646362304688, mean:489.8481140136719, min:268.3788146972656, std:72.60039520263672
Iter:5, max:863.8414916992188, mean:510.7697448730469, min:260.6612854003906, std:89.55149841308594
Iter:6, max:845.65185546875, mean:493.4467468261719, min:264.93963623046875, std:71.10986328125
Iter:7, max:615.869384765625, mean:442.0828857421875, min:283.32830810546875, std:39.38431167602539
Iter:8, max:966.0831909179688, mean:520.3939208984375, min:259.93572998046875, std:115.63502502441406
Iter:9, max:821.2116088867188, mean:491.2856140136719, min:326.32379150390625, std:66.0448226928711
Iter:10, max:980.5425415039062, mean:510.483154296875, min:308.8007507324219, std:79.21648406982422
Iter:11, max:1144.7615966796875, mean:527.36865234375, min:312.1083984375, std:106.69618225097656
Iter:12, max:1047.4952392578125, mean:530.0341796875, min:275.0103454589844, std:127.97097778320312
Iter:13, max:1100.54248046875, mean:548.5255126953125, min:304.6745910644531, std:116.60958099365234
Iter:14, max:1058.6722412109375, mean:530.11181640625, min:263.7463684082031, std:117.12471771240234
Iter:15, max:983.5202026367188, mean:531.3564453125, min:250.71835327148438, std:110.41328430175781
Iter:16, max:1058.490966796875, mean:549.0313720703125, min:333.8218078613281, std:121.56533813476562
Iter:17, max:1136.17333984375, mean:537.5689697265625, min:277.5421142578125, std:113.28427124023438
Iter:18, max:918.8789672851562, mean:521.4894409179688, min:298.4688720703125, std:109.71012878417969
Iter:19, max:1243.1507568359375, mean:535.819091796875, min:270.3447265625, std:129.51116943359375
Iter:20, max:949.5256958007812, mean:517.1640625, min:307.8089599609375, std:102.47405242919922
Iter:21, max:969.6884765625, mean:480.70947265625, min:317.69525146484375, std:98.18816375732422
Iter:22, max:1300.2125244140625, mean:522.2784423828125, min:277.02001953125, std:142.38369750976562
Iter:23, max:1261.3909912109375, mean:490.83795166015625, min:293.0091247558594, std:112.56623840332031
Iter:24, max:1161.9947509765625, mean:515.858642578125, min:278.1207580566406, std:136.15867614746094
Iter:25, max:939.3186645507812, mean:525.9935302734375, min:309.4627990722656, std:105.8321762084961
Iter:26, max:879.3578491210938, mean:475.37994384765625, min:266.3978271484375, std:110.1065673828125
