Iter:0, max:666.751220703125, mean:452.89453125, min:262.75860595703125, std:64.65708923339844
Iter:1, max:718.6134643554688, mean:460.7479248046875, min:271.1945495605469, std:63.167335510253906
Iter:2, max:669.1998901367188, mean:465.5576477050781, min:285.96673583984375, std:58.25619888305664
Iter:3, max:763.1934204101562, mean:479.9814147949219, min:302.4356384277344, std:60.83897399902344
Iter:4, max:751.0772094726562, mean:502.10565185546875, min:294.0751953125, std:73.48060607910156
Iter:5, max:853.0371704101562, mean:518.5914916992188, min:298.51385498046875, std:97.9321517944336
Iter:6, max:1105.78173828125, mean:499.1663513183594, min:295.7985534667969, std:81.66891479492188
Iter:7, max:676.075927734375, mean:458.60693359375, min:257.052978515625, std:46.906333923339844
Iter:8, max:985.8583984375, mean:526.741455078125, min:249.07168579101562, std:125.14976501464844
Iter:9, max:962.8690185546875, mean:495.9358825683594, min:278.5860290527344, std:73.84394073486328
Iter:10, max:898.2958984375, mean:504.85101318359375, min:295.67303466796875, std:80.74539947509766
Iter:11, max:1108.560791015625, mean:528.9371948242188, min:255.67916870117188, std:110.6499252319336
Iter:12, max:996.4498291015625, mean:504.13604736328125, min:260.67022705078125, std:117.34200286865234
Iter:13, max:1223.419921875, mean:542.9163818359375, min:285.0113830566406, std:124.87334442138672
Iter:14, max:1049.614501953125, mean:526.423828125, min:291.0601806640625, std:99.91305541992188
Iter:15, max:1062.0467529296875, mean:525.80712890625, min:258.62274169921875, std:108.42723846435547
Iter:16, max:1093.534423828125, mean:533.423583984375, min:285.6188049316406, std:122.3762435913086
Iter:17, max:1100.4423828125, mean:523.3426513671875, min:263.2712707519531, std:120.27950286865234
Iter:18, max:1222.46728515625, mean:523.550048828125, min:292.3988037109375, std:117.38139343261719
Iter:19, max:1105.1505126953125, mean:537.9681396484375, min:256.9737548828125, std:113.15680694580078
Iter:20, max:1304.9190673828125, mean:521.9102172851562, min:285.8564758300781, std:115.05109405517578
Iter:21, max:1146.34716796875, mean:477.2540588378906, min:298.3198547363281, std:92.09613800048828
Iter:22, max:1399.8165283203125, mean:520.8497314453125, min:300.4102783203125, std:112.93993377685547
Iter:23, max:981.1015625, mean:493.1863098144531, min:279.1266784667969, std:98.53751373291016
Iter:24, max:1238.767333984375, mean:527.15966796875, min:280.4869689941406, std:146.6837921142578
Iter:25, max:1378.2635498046875, mean:532.1032104492188, min:291.612548828125, std:118.39279174804688
Iter:26, max:1341.650390625, mean:498.35589599609375, min:244.938232421875, std:131.9478302001953
Iter:27, max:1295.8804931640625, mean:494.1883239746094, min:259.7187194824219, std:124.5332260131836
Iter:28, max:971.6026000976562, mean:467.16070556640625, min:273.3745422363281, std:117.49394226074219
Iter:29, max:1059.4803466796875, mean:499.2908935546875, min:278.005615234375, std:104.07543182373047
Iter:30, max:1099.741455078125, mean:504.8873291015625, min:270.0712890625, std:102.63065338134766
Iter:31, max:1337.4385986328125, mean:529.3677978515625, min:280.2510070800781, std:111.66651916503906
Iter:32, max:1189.8779296875, mean:541.3842163085938, min:330.50177001953125, std:119.87324523925781
Iter:33, max:1038.40185546875, mean:517.376953125, min:339.1165771484375, std:105.35151672363281
Iter:34, max:1124.1212158203125, mean:526.2246704101562, min:285.30474853515625, std:122.20315551757812
Iter:35, max:985.1810302734375, mean:531.55078125, min:267.6174011230469, std:112.57386016845703
Iter:36, max:1207.958251953125, mean:508.41217041015625, min:291.6738586425781, std:115.41280364990234
Iter:37, max:1147.787353515625, mean:529.0306396484375, min:315.9093322753906, std:106.64163970947266
Iter:38, max:1284.095947265625, mean:533.006103515625, min:289.6476745605469, std:115.51116180419922
Iter:39, max:1109.8525390625, mean:538.1766357421875, min:311.8346862792969, std:112.84324645996094
Iter:40, max:1416.5185546875, mean:539.4842529296875, min:222.63409423828125, std:128.2822723388672
Iter:41, max:1062.1715087890625, mean:540.176513671875, min:295.7532043457031, std:108.54962921142578
Iter:42, max:1137.4654541015625, mean:524.7393798828125, min:291.5677795410156, std:118.03326416015625
Iter:43, max:1008.624267578125, mean:521.5491943359375, min:306.04107666015625, std:110.72882843017578
Iter:44, max:1028.2763671875, mean:498.9208068847656, min:298.71173095703125, std:93.01347351074219
Iter:45, max:972.8080444335938, mean:525.9764404296875, min:212.83663940429688, std:99.64852905273438
Iter:46, max:1149.0159912109375, mean:535.33837890625, min:312.0953063964844, std:120.78321075439453
Iter:47, max:1057.7203369140625, mean:509.5453186035156, min:317.2808837890625, std:100.65908813476562
Iter:48, max:991.08056640625, mean:534.1014404296875, min:337.40753173828125, std:97.39212036132812
Iter:49, max:967.2245483398438, mean:558.2965087890625, min:196.9051055908203, std:112.74095153808594
Iter:50, max:1158.4644775390625, mean:552.6741333007812, min:318.5661926269531, std:115.48628997802734
Iter:51, max:1062.168701171875, mean:546.6204223632812, min:304.95794677734375, std:110.06869506835938
Iter:52, max:982.0459594726562, mean:543.7100830078125, min:292.05975341796875, std:104.3216323852539
Iter:53, max:1053.6396484375, mean:555.774169921875, min:314.7884216308594, std:115.87297821044922
Iter:54, max:1219.3677978515625, mean:570.0985107421875, min:278.51947021484375, std:120.84727478027344
Iter:55, max:1419.5189208984375, mean:498.39984130859375, min:319.55859375, std:100.95062255859375
Iter:56, max:1024.8680419921875, mean:557.841796875, min:285.6626892089844, std:108.66094207763672
Iter:57, max:1061.4759521484375, mean:548.80517578125, min:321.85711669921875, std:108.470458984375
Iter:58, max:992.2679443359375, mean:523.5962524414062, min:285.9860534667969, std:103.45022583007812
Iter:59, max:1165.5623779296875, mean:553.5010986328125, min:247.27420043945312, std:122.99788665771484
Iter:60, max:998.457763671875, mean:533.5001831054688, min:304.2165832519531, std:101.68531799316406
Iter:61, max:1479.078125, mean:583.107421875, min:291.0318298339844, std:129.80511474609375
Iter:62, max:1051.7384033203125, mean:560.9799194335938, min:288.2572021484375, std:125.79976654052734
Iter:63, max:1441.350341796875, mean:587.54052734375, min:313.7858581542969, std:134.67605590820312
Iter:64, max:1217.04736328125, mean:554.2175903320312, min:266.33740234375, std:128.8331756591797
Iter:65, max:1087.883544921875, mean:579.1143798828125, min:307.37127685546875, std:122.2697525024414
Iter:66, max:1119.14111328125, mean:526.9033203125, min:280.8870544433594, std:125.58141326904297
Iter:67, max:1205.556396484375, mean:519.7926635742188, min:302.48626708984375, std:131.935791015625
Iter:68, max:1096.06396484375, mean:598.7484130859375, min:238.75778198242188, std:124.35982513427734
Iter:69, max:1126.0699462890625, mean:589.8612060546875, min:336.4527282714844, std:140.8256378173828
Iter:70, max:1284.3515625, mean:604.30224609375, min:225.50112915039062, std:128.2198944091797
Iter:71, max:1075.7833251953125, mean:578.4783325195312, min:328.2382507324219, std:131.496337890625
Iter:72, max:1254.4979248046875, mean:549.183837890625, min:330.063232421875, std:139.357666015625
Iter:73, max:1222.350830078125, mean:588.0445556640625, min:342.6249694824219, std:123.77235412597656
Iter:74, max:1258.069091796875, mean:598.7904052734375, min:294.62835693359375, std:142.9521484375
Iter:75, max:1375.5360107421875, mean:574.491455078125, min:210.5719757080078, std:144.66668701171875
Iter:76, max:1303.2640380859375, mean:594.41015625, min:325.85504150390625, std:138.48272705078125
Iter:77, max:1187.2769775390625, mean:592.736328125, min:347.36859130859375, std:128.2032928466797
Iter:78, max:1206.54736328125, mean:592.0894775390625, min:190.73390197753906, std:130.41488647460938
Iter:79, max:1112.603271484375, mean:585.5728149414062, min:284.74432373046875, std:127.0074462890625
Iter:80, max:1270.6451416015625, mean:596.8990478515625, min:355.8267822265625, std:124.31964111328125
Iter:81, max:1283.4512939453125, mean:613.1078491210938, min:325.6532287597656, std:130.28213500976562
Iter:82, max:1217.477783203125, mean:572.9075317382812, min:330.2958984375, std:146.43475341796875
Iter:83, max:1231.960205078125, mean:607.8505249023438, min:263.1374816894531, std:124.93708801269531
Iter:84, max:1131.96826171875, mean:609.75634765625, min:318.23431396484375, std:124.35191345214844
Iter:85, max:1228.9085693359375, mean:541.8271484375, min:315.99566650390625, std:95.68211364746094
Iter:86, max:1245.0833740234375, mean:616.9462280273438, min:320.1472473144531, std:127.34444427490234
Iter:87, max:1294.2349853515625, mean:606.8740844726562, min:343.2364501953125, std:126.28973388671875
Iter:88, max:1061.0108642578125, mean:577.8673095703125, min:358.5971374511719, std:107.67018127441406
Iter:89, max:1059.898193359375, mean:565.164306640625, min:390.5199890136719, std:97.53276062011719
Iter:90, max:1155.58740234375, mean:607.6275634765625, min:376.1528015136719, std:110.52883911132812
Iter:91, max:1022.0042114257812, mean:516.3038330078125, min:376.8157653808594, std:75.78124237060547
Iter:92, max:1189.1822509765625, mean:606.6226806640625, min:379.1673583984375, std:124.90950775146484
Iter:93, max:1149.3377685546875, mean:590.44287109375, min:354.4711608886719, std:108.72586059570312
Iter:94, max:1269.6351318359375, mean:613.7321166992188, min:381.9905090332031, std:117.84394836425781
Iter:95, max:1320.5069580078125, mean:570.5146484375, min:385.0723571777344, std:98.82882690429688
Iter:96, max:1066.195556640625, mean:584.3569946289062, min:420.1119079589844, std:101.69158935546875
Iter:97, max:1183.04150390625, mean:607.6168823242188, min:364.188720703125, std:103.62604522705078
Iter:98, max:1032.7359619140625, mean:563.804443359375, min:404.9096984863281, std:100.49971008300781
Iter:99, max:1206.9000244140625, mean:620.5097045898438, min:367.9696044921875, std:123.20417022705078
Iter:100, max:1240.880126953125, mean:615.536865234375, min:405.68743896484375, std:117.9218521118164
Iter:101, max:1246.8392333984375, mean:635.6749267578125, min:381.966552734375, std:131.79354858398438
Iter:102, max:1188.4005126953125, mean:567.816650390625, min:369.4206848144531, std:96.99388885498047
Iter:103, max:1107.6871337890625, mean:618.918212890625, min:365.9710998535156, std:125.54840850830078
Iter:104, max:1277.5858154296875, mean:631.37060546875, min:423.5750427246094, std:114.87032318115234
Iter:105, max:1450.5611572265625, mean:591.903076171875, min:358.7584533691406, std:142.33590698242188
Iter:106, max:1187.181640625, mean:528.1754150390625, min:329.2723693847656, std:136.1062774658203
Iter:107, max:1329.8553466796875, mean:625.1293334960938, min:322.6679382324219, std:138.66049194335938
Iter:108, max:1156.6771240234375, mean:646.0479736328125, min:382.2197570800781, std:128.69467163085938
Iter:109, max:1526.0916748046875, mean:594.3150024414062, min:345.7267150878906, std:151.83047485351562
Iter:110, max:1181.7332763671875, mean:656.6087646484375, min:379.20404052734375, std:137.0524139404297
Iter:111, max:1219.356689453125, mean:626.1046142578125, min:347.27020263671875, std:121.75448608398438
Iter:112, max:1165.12353515625, mean:626.115966796875, min:371.78521728515625, std:138.0482940673828
Iter:113, max:1381.736083984375, mean:560.1248779296875, min:335.9807434082031, std:146.06451416015625
Iter:114, max:1206.67529296875, mean:512.9449462890625, min:308.6307678222656, std:115.9599609375
Iter:115, max:1339.7576904296875, mean:597.76220703125, min:332.72137451171875, std:154.84295654296875
Iter:116, max:1332.907958984375, mean:578.5510864257812, min:349.2328796386719, std:156.6397705078125
Iter:117, max:1228.24462890625, mean:648.49462890625, min:383.61566162109375, std:143.8276824951172
Iter:118, max:1285.4466552734375, mean:648.9732666015625, min:394.9944763183594, std:131.50253295898438
Iter:119, max:1192.1644287109375, mean:634.0718994140625, min:373.243896484375, std:138.9774169921875
Iter:120, max:1253.7213134765625, mean:638.7405395507812, min:375.2607727050781, std:127.33460235595703
Iter:121, max:1100.8165283203125, mean:595.4261474609375, min:357.09521484375, std:141.5603485107422
Iter:122, max:1264.5826416015625, mean:665.9371337890625, min:354.17034912109375, std:138.4750518798828
Iter:123, max:1402.1732177734375, mean:652.7381591796875, min:409.234375, std:123.69349670410156
Iter:124, max:1325.6162109375, mean:555.8197021484375, min:347.5068359375, std:136.869140625
Iter:125, max:1130.6820068359375, mean:576.7528076171875, min:375.169677734375, std:137.0293426513672
Iter:126, max:1294.8634033203125, mean:656.2879638671875, min:364.6085205078125, std:140.17185974121094
Iter:127, max:1505.78125, mean:630.1353759765625, min:358.0529479980469, std:144.87176513671875
Iter:128, max:1297.624267578125, mean:664.523681640625, min:392.5202941894531, std:116.94818878173828
Iter:129, max:1252.39892578125, mean:628.5755004882812, min:395.9201965332031, std:108.74102020263672
Iter:130, max:1239.257080078125, mean:667.925537109375, min:406.7080078125, std:128.83157348632812
Iter:131, max:1183.3035888671875, mean:639.8065185546875, min:435.3809814453125, std:112.01332092285156
Iter:132, max:1301.8095703125, mean:653.4022827148438, min:438.2485656738281, std:120.4342269897461
Iter:133, max:1313.741943359375, mean:614.750244140625, min:426.875, std:115.08526611328125
Iter:134, max:1096.48095703125, mean:625.0315551757812, min:353.2073974609375, std:138.44102478027344
Iter:135, max:1421.363525390625, mean:607.4335327148438, min:332.85272216796875, std:129.54054260253906
Iter:136, max:1180.2890625, mean:647.5927124023438, min:408.9605712890625, std:130.456787109375
Iter:137, max:1211.512451171875, mean:662.27685546875, min:438.5233459472656, std:111.49345397949219
Iter:138, max:1208.343017578125, mean:643.738525390625, min:372.5188903808594, std:116.32886505126953
Iter:139, max:1209.1700439453125, mean:672.1849975585938, min:419.1642761230469, std:123.38349151611328
Iter:140, max:1207.5230712890625, mean:602.5868530273438, min:366.53546142578125, std:95.72053527832031
Iter:141, max:1171.9088134765625, mean:664.474853515625, min:448.89886474609375, std:124.970947265625
Iter:142, max:1001.7521362304688, mean:589.7559814453125, min:387.6261901855469, std:85.82939910888672
Iter:143, max:968.8889770507812, mean:587.8021850585938, min:411.4076232910156, std:84.19204711914062
Iter:144, max:1344.0150146484375, mean:629.5762939453125, min:420.2383728027344, std:106.84647369384766
Iter:145, max:1253.3673095703125, mean:652.9556884765625, min:377.44683837890625, std:142.37893676757812
