Iter:0, max:691.0469970703125, mean:450.77496337890625, min:261.0190734863281, std:64.17422485351562
Iter:1, max:720.0943603515625, mean:461.0356140136719, min:243.1387939453125, std:72.02279663085938
Iter:2, max:784.6075439453125, mean:465.1701354980469, min:270.31256103515625, std:68.51959991455078
Iter:3, max:791.8540649414062, mean:470.6040344238281, min:236.31085205078125, std:77.95155334472656
Iter:4, max:876.34521484375, mean:472.7203674316406, min:231.47628784179688, std:97.34362030029297
Iter:5, max:1047.779296875, mean:488.3016662597656, min:241.19383239746094, std:94.87385559082031
Iter:6, max:872.3318481445312, mean:492.4236755371094, min:260.4137878417969, std:75.33609771728516
Iter:7, max:588.5128173828125, mean:444.62591552734375, min:309.6083679199219, std:39.930721282958984
Iter:8, max:1046.702392578125, mean:516.8136596679688, min:240.02218627929688, std:96.63723754882812
Iter:9, max:963.31689453125, mean:493.623291015625, min:268.11639404296875, std:66.2121353149414
Iter:10, max:918.8319702148438, mean:501.8353271484375, min:292.36865234375, std:68.8314208984375
Iter:11, max:912.220703125, mean:490.6489562988281, min:313.8599853515625, std:71.7420654296875
Iter:12, max:960.67333984375, mean:501.7897033691406, min:239.48561096191406, std:106.26289367675781
Iter:13, max:1312.2987060546875, mean:531.2252197265625, min:259.6185302734375, std:104.65119934082031
Iter:14, max:1202.0206298828125, mean:507.61456298828125, min:210.91912841796875, std:98.38963317871094
Iter:15, max:952.3466186523438, mean:523.7525024414062, min:250.00726318359375, std:106.65464782714844
Iter:16, max:998.1952514648438, mean:519.5575561523438, min:256.7524719238281, std:107.59943389892578
Iter:17, max:1133.0992431640625, mean:539.8468627929688, min:249.46951293945312, std:106.18443298339844
Iter:18, max:962.3980712890625, mean:518.8916625976562, min:276.8218078613281, std:92.17386627197266
Iter:19, max:1029.948486328125, mean:539.8855590820312, min:299.6918029785156, std:100.14618682861328
Iter:20, max:1142.1163330078125, mean:519.1309814453125, min:254.64710998535156, std:105.99481964111328
Iter:21, max:1251.40283203125, mean:494.1805114746094, min:274.20330810546875, std:80.91537475585938
Iter:22, max:981.7976684570312, mean:510.97216796875, min:265.52838134765625, std:95.23038482666016
Iter:23, max:1019.8374633789062, mean:500.1492614746094, min:288.759765625, std:86.0490493774414
Iter:24, max:1064.54150390625, mean:501.36669921875, min:268.3066711425781, std:115.2945327758789
Iter:25, max:1200.3892822265625, mean:524.0296020507812, min:259.9923400878906, std:114.51634216308594
Iter:26, max:976.2359008789062, mean:489.5154724121094, min:204.7969970703125, std:114.94945526123047
Iter:27, max:1401.6195068359375, mean:514.9760131835938, min:244.13673400878906, std:113.0108871459961
Iter:28, max:1025.7999267578125, mean:486.8290710449219, min:261.7672424316406, std:119.43281555175781
Iter:29, max:1420.1263427734375, mean:481.43603515625, min:275.4476623535156, std:85.2361831665039
Iter:30, max:1014.7627563476562, mean:489.9702453613281, min:193.23638916015625, std:87.70622253417969
Iter:31, max:1021.5138549804688, mean:513.0145263671875, min:289.7447204589844, std:100.77256774902344
Iter:32, max:1156.8790283203125, mean:531.9560546875, min:280.3392639160156, std:101.18074035644531
Iter:33, max:1442.4410400390625, mean:495.6540222167969, min:251.9268341064453, std:93.18217468261719
Iter:34, max:1239.740478515625, mean:512.98095703125, min:261.71893310546875, std:106.99739074707031
Iter:35, max:1082.9130859375, mean:522.8383178710938, min:277.4795227050781, std:106.88692474365234
