Iter:0, max:691.0477294921875, mean:450.6650390625, min:261.01904296875, std:64.1067886352539
Iter:1, max:661.6569213867188, mean:462.4961242675781, min:273.8388977050781, std:59.88664627075195
Iter:2, max:932.0849609375, mean:468.30029296875, min:282.3865051269531, std:58.72534942626953
Iter:3, max:1260.8428955078125, mean:476.5356140136719, min:264.9710998535156, std:65.21244049072266
Iter:4, max:1000.914306640625, mean:490.79461669921875, min:240.15719604492188, std:78.63153076171875
Iter:5, max:858.3328247070312, mean:500.68914794921875, min:227.8014678955078, std:96.7693862915039
Iter:6, max:972.6270751953125, mean:483.28759765625, min:229.98516845703125, std:73.57998657226562
Iter:7, max:905.5613403320312, mean:431.8939514160156, min:238.6756134033203, std:45.1318473815918
Iter:8, max:1169.9874267578125, mean:502.8367004394531, min:218.69602966308594, std:103.37031555175781
Iter:9, max:1103.7791748046875, mean:463.5940246582031, min:268.5585632324219, std:77.30663299560547
Iter:10, max:996.8761596679688, mean:470.4921875, min:209.86569213867188, std:83.01152801513672
Iter:11, max:1202.23779296875, mean:470.5840148925781, min:208.38584899902344, std:96.893310546875
Iter:12, max:1001.5494384765625, mean:467.90777587890625, min:189.52035522460938, std:115.57701873779297
Iter:13, max:1007.1945190429688, mean:483.6906433105469, min:194.72645568847656, std:111.40877532958984
Iter:14, max:967.0436401367188, mean:467.74383544921875, min:190.09133911132812, std:107.14169311523438
Iter:15, max:1122.259765625, mean:463.9092712402344, min:186.8087158203125, std:119.09423828125
Iter:16, max:939.7262573242188, mean:452.9544982910156, min:181.50852966308594, std:117.0802001953125
Iter:17, max:1287.971923828125, mean:460.4109191894531, min:186.69065856933594, std:118.5008544921875
Iter:18, max:955.73876953125, mean:463.7381591796875, min:187.88082885742188, std:111.70037078857422
Iter:19, max:1299.4456787109375, mean:466.21209716796875, min:191.17041015625, std:121.81143951416016
Iter:20, max:979.97900390625, mean:447.4088134765625, min:185.86509704589844, std:114.76334381103516
Iter:21, max:1283.3372802734375, mean:442.8203125, min:161.537353515625, std:114.4493408203125
Iter:22, max:962.2327880859375, mean:458.093505859375, min:165.89366149902344, std:110.3515625
Iter:23, max:880.1007690429688, mean:454.0547180175781, min:193.49652099609375, std:101.1721420288086
Iter:24, max:943.83740234375, mean:457.0410461425781, min:189.1590118408203, std:112.3988037109375
