Iter:0, max:691.0673217773438, mean:450.6646423339844, min:261.0189208984375, std:64.10169982910156
Iter:1, max:737.35595703125, mean:463.943603515625, min:276.1504211425781, std:60.05958557128906
Iter:2, max:720.5690307617188, mean:466.94842529296875, min:278.1439514160156, std:56.51825714111328
Iter:3, max:785.5029296875, mean:477.3768005371094, min:258.6293029785156, std:62.91267395019531
Iter:4, max:759.6282348632812, mean:494.724609375, min:235.44410705566406, std:75.74320220947266
Iter:5, max:1116.8997802734375, mean:520.7939453125, min:242.0928497314453, std:100.0677261352539
Iter:6, max:882.5587158203125, mean:507.68426513671875, min:291.81793212890625, std:75.98220825195312
Iter:7, max:691.1014404296875, mean:453.198486328125, min:298.1950378417969, std:43.62620544433594
Iter:8, max:1185.536865234375, mean:519.622802734375, min:239.981689453125, std:109.50372314453125
Iter:9, max:1052.94091796875, mean:507.32135009765625, min:285.1233825683594, std:83.30787658691406
Iter:10, max:987.5951538085938, mean:522.681884765625, min:294.06475830078125, std:86.34810638427734
Iter:11, max:1212.6942138671875, mean:533.04833984375, min:255.8199462890625, std:110.57012939453125
Iter:12, max:1106.1580810546875, mean:511.5950622558594, min:238.89645385742188, std:122.58496856689453
Iter:13, max:1295.776123046875, mean:543.0689697265625, min:276.5370788574219, std:118.46916961669922
Iter:14, max:1297.517333984375, mean:544.0974731445312, min:322.40386962890625, std:119.44595336914062
Iter:15, max:1269.8922119140625, mean:544.5368041992188, min:303.4446105957031, std:132.2693328857422
Iter:16, max:1436.7552490234375, mean:550.5298461914062, min:269.710693359375, std:130.246337890625
Iter:17, max:1118.8099365234375, mean:552.9548950195312, min:301.58209228515625, std:126.1078872680664
Iter:18, max:1198.01171875, mean:527.2652587890625, min:305.4481506347656, std:116.46018981933594
Iter:19, max:1459.826171875, mean:555.9196166992188, min:324.11553955078125, std:131.60377502441406
Iter:20, max:1452.123779296875, mean:545.9896240234375, min:280.9134521484375, std:134.4765625
Iter:21, max:1498.5914306640625, mean:498.1585998535156, min:274.6296081542969, std:124.09783935546875
Iter:22, max:1453.775634765625, mean:544.603759765625, min:280.4206237792969, std:131.48046875
Iter:23, max:1092.9061279296875, mean:514.299560546875, min:287.3116760253906, std:122.3940658569336
Iter:24, max:1270.16943359375, mean:505.302978515625, min:272.24859619140625, std:131.7525634765625
Iter:25, max:1450.750244140625, mean:527.3719482421875, min:185.31341552734375, std:134.8919677734375
Iter:26, max:1141.3043212890625, mean:453.56304931640625, min:189.874267578125, std:119.47112274169922
Iter:27, max:1261.6927490234375, mean:465.2193603515625, min:194.7392578125, std:123.50904846191406
Iter:28, max:1255.0615234375, mean:439.42681884765625, min:188.68167114257812, std:117.85406494140625
Iter:29, max:1462.680419921875, mean:510.42437744140625, min:189.92514038085938, std:130.2500457763672
Iter:30, max:1115.96923828125, mean:515.63818359375, min:187.5680389404297, std:128.3727569580078
Iter:31, max:1169.1246337890625, mean:542.1328125, min:197.0083770751953, std:128.15213012695312
Iter:32, max:1155.03759765625, mean:530.6505126953125, min:269.9495849609375, std:124.02662658691406
Iter:33, max:1145.6220703125, mean:513.7174072265625, min:189.01300048828125, std:123.36026763916016
Iter:34, max:1293.0574951171875, mean:528.261474609375, min:186.11688232421875, std:131.8079071044922
Iter:35, max:1974.801513671875, mean:526.5158081054688, min:191.30064392089844, std:130.72006225585938
Iter:36, max:1368.16162109375, mean:514.2914428710938, min:180.3681182861328, std:133.08338928222656
Iter:37, max:1268.47802734375, mean:523.9005126953125, min:184.9583282470703, std:126.86632537841797
Iter:38, max:1445.6015625, mean:530.225830078125, min:189.2884979248047, std:130.55995178222656
Iter:39, max:1056.7467041015625, mean:532.09765625, min:186.6973876953125, std:122.99958801269531
Iter:40, max:1111.8671875, mean:536.4599609375, min:278.005615234375, std:125.78295135498047
Iter:41, max:1224.0352783203125, mean:519.05712890625, min:186.39512634277344, std:124.11848449707031
Iter:42, max:1103.8603515625, mean:505.67584228515625, min:195.70375061035156, std:123.63469696044922
Iter:43, max:1297.3519287109375, mean:530.989013671875, min:180.2877960205078, std:132.98976135253906
Iter:44, max:1146.5537109375, mean:498.5244445800781, min:185.50631713867188, std:121.9451675415039
Iter:45, max:1033.9525146484375, mean:531.9738159179688, min:183.9119873046875, std:125.32624816894531
Iter:46, max:1115.4609375, mean:511.5771179199219, min:186.21875, std:127.40687561035156
Iter:47, max:1155.2239990234375, mean:531.185791015625, min:191.33815002441406, std:124.80335998535156
