Iter:0, max:691.0537109375, mean:450.6642150878906, min:261.01910400390625, std:64.09596252441406
Iter:1, max:731.345703125, mean:463.897705078125, min:276.1600646972656, std:59.974735260009766
Iter:2, max:725.8661499023438, mean:466.93585205078125, min:278.1412353515625, std:56.48239517211914
Iter:3, max:792.1317749023438, mean:477.36907958984375, min:258.680908203125, std:63.079524993896484
Iter:4, max:758.4562377929688, mean:494.6116638183594, min:235.46315002441406, std:75.76488494873047
Iter:5, max:1229.4976806640625, mean:521.0158081054688, min:242.04586791992188, std:101.47895812988281
Iter:6, max:932.9763793945312, mean:507.4539794921875, min:291.6609191894531, std:76.21839141845703
Iter:7, max:722.9134521484375, mean:453.11383056640625, min:294.67730712890625, std:43.88518142700195
Iter:8, max:1034.9443359375, mean:519.861328125, min:240.1964111328125, std:108.70869445800781
Iter:9, max:1172.298828125, mean:507.1474914550781, min:280.7698974609375, std:84.50984191894531
Iter:10, max:1272.570556640625, mean:523.004638671875, min:294.0024108886719, std:89.35620880126953
Iter:11, max:1014.67431640625, mean:531.9710693359375, min:255.79510498046875, std:107.23020935058594
Iter:12, max:1354.9912109375, mean:513.3878784179688, min:238.7960968017578, std:127.89753723144531
Iter:13, max:1219.049560546875, mean:541.7433471679688, min:280.41424560546875, std:114.27465057373047
Iter:14, max:1540.59521484375, mean:543.3822631835938, min:322.78582763671875, std:119.91179656982422
Iter:15, max:1565.9007568359375, mean:544.33447265625, min:303.18701171875, std:134.63038635253906
Iter:16, max:1161.1658935546875, mean:549.1041259765625, min:292.7729797363281, std:124.6211166381836
Iter:17, max:1185.96142578125, mean:550.9442138671875, min:297.6051025390625, std:124.53995513916016
Iter:18, max:1302.723876953125, mean:529.7535400390625, min:310.7947082519531, std:122.03953552246094
Iter:19, max:1410.943359375, mean:554.6764526367188, min:320.92724609375, std:132.47999572753906
Iter:20, max:1269.0360107421875, mean:544.632080078125, min:280.58795166015625, std:129.23255920410156
Iter:21, max:1303.5472412109375, mean:499.4002685546875, min:280.61212158203125, std:121.97027587890625
Iter:22, max:1348.7940673828125, mean:545.3802490234375, min:280.36090087890625, std:129.5563507080078
Iter:23, max:1143.897216796875, mean:514.028076171875, min:290.00286865234375, std:120.9100570678711
Iter:24, max:1246.353271484375, mean:506.01336669921875, min:273.42144775390625, std:131.3216094970703
Iter:25, max:1159.776123046875, mean:528.3892211914062, min:197.32083129882812, std:134.8829345703125
Iter:26, max:1142.8365478515625, mean:454.07635498046875, min:189.97061157226562, std:117.96456909179688
Iter:27, max:1076.5040283203125, mean:465.685546875, min:277.7889709472656, std:121.75226593017578
Iter:28, max:1262.669189453125, mean:440.05596923828125, min:189.29408264160156, std:117.95468139648438
Iter:29, max:1120.7447509765625, mean:511.55963134765625, min:189.03990173339844, std:129.16583251953125
Iter:30, max:1299.25244140625, mean:516.0585327148438, min:188.04981994628906, std:129.4889678955078
Iter:31, max:1111.045654296875, mean:544.7149658203125, min:286.322998046875, std:127.9786605834961
Iter:32, max:1248.4835205078125, mean:533.3552856445312, min:271.8401794433594, std:130.7842559814453
Iter:33, max:1375.6845703125, mean:521.2338256835938, min:193.61981201171875, std:136.98532104492188
Iter:34, max:1316.2476806640625, mean:525.5623168945312, min:189.54246520996094, std:129.32420349121094
Iter:35, max:1207.927001953125, mean:523.4073486328125, min:189.02511596679688, std:120.584716796875
Iter:36, max:1327.6572265625, mean:513.8126220703125, min:185.08587646484375, std:127.92572784423828
Iter:37, max:1330.573974609375, mean:525.66748046875, min:188.86474609375, std:134.62965393066406
Iter:38, max:1164.451416015625, mean:530.0755004882812, min:195.02931213378906, std:124.93318939208984
Iter:39, max:1142.1236572265625, mean:535.9779663085938, min:187.291259765625, std:127.3134765625
Iter:40, max:1368.828369140625, mean:536.308349609375, min:259.09814453125, std:126.06140899658203
