Iter:0, max:701.9906005859375, mean:450.57708740234375, min:261.0479736328125, std:63.89280700683594
Iter:1, max:755.8793334960938, mean:463.81951904296875, min:276.27716064453125, std:60.521766662597656
Iter:2, max:731.5023193359375, mean:465.22296142578125, min:278.3067626953125, std:56.49003219604492
Iter:3, max:784.3768310546875, mean:474.3887634277344, min:254.1322479248047, std:61.04749298095703
Iter:4, max:808.3974609375, mean:487.28509521484375, min:241.1585235595703, std:71.00260925292969
Iter:5, max:866.0235595703125, mean:508.45306396484375, min:254.6429901123047, std:88.44905090332031
Iter:6, max:1136.549072265625, mean:491.2891845703125, min:279.66900634765625, std:73.63066101074219
Iter:7, max:659.1719360351562, mean:443.31219482421875, min:291.25872802734375, std:38.55994415283203
Iter:8, max:1264.069091796875, mean:515.7379150390625, min:234.9102020263672, std:99.17678833007812
Iter:9, max:998.6158447265625, mean:482.6182861328125, min:254.39474487304688, std:64.8355484008789
Iter:10, max:940.9085693359375, mean:490.7077331542969, min:232.45529174804688, std:65.50420379638672
Iter:11, max:919.48876953125, mean:475.0028076171875, min:252.84774780273438, std:67.27906036376953
Iter:12, max:1004.2922973632812, mean:529.5888061523438, min:226.56546020507812, std:106.5821304321289
Iter:13, max:1041.5975341796875, mean:530.657470703125, min:268.7663879394531, std:95.04168701171875
Iter:14, max:1239.0867919921875, mean:514.8743286132812, min:292.18389892578125, std:91.51414489746094
Iter:15, max:1106.1739501953125, mean:530.7894897460938, min:250.50985717773438, std:100.58475494384766
Iter:16, max:1294.272216796875, mean:539.0734252929688, min:265.0706787109375, std:106.89364624023438
Iter:17, max:1229.571533203125, mean:537.2193603515625, min:214.8844757080078, std:111.78970336914062
Iter:18, max:1507.791748046875, mean:527.0968627929688, min:240.23614501953125, std:108.63287353515625
Iter:19, max:1196.6527099609375, mean:533.500732421875, min:260.0770568847656, std:106.51702880859375
Iter:20, max:1120.1666259765625, mean:527.9277954101562, min:263.437255859375, std:107.3112564086914
Iter:21, max:1056.2774658203125, mean:485.15234375, min:245.84425354003906, std:96.80796813964844
Iter:22, max:1717.9102783203125, mean:539.5148315429688, min:243.1083221435547, std:126.35551452636719
Iter:23, max:1457.7451171875, mean:510.3359375, min:297.3113098144531, std:111.30938720703125
Iter:24, max:1043.3775634765625, mean:497.6571044921875, min:261.6784362792969, std:121.40675354003906
Iter:25, max:1124.4078369140625, mean:515.5144653320312, min:248.4829864501953, std:122.4921875
Iter:26, max:1356.801513671875, mean:474.75067138671875, min:249.18641662597656, std:129.58465576171875
Iter:27, max:1277.4757080078125, mean:491.15087890625, min:223.38925170898438, std:128.34539794921875
Iter:28, max:1256.1427001953125, mean:458.8138732910156, min:240.30235290527344, std:121.8303451538086
Iter:29, max:1058.9078369140625, mean:487.0697021484375, min:187.00457763671875, std:109.99992370605469
Iter:30, max:1126.8165283203125, mean:491.4765930175781, min:286.5298156738281, std:107.18977355957031
Iter:31, max:1184.4219970703125, mean:521.152587890625, min:277.61163330078125, std:121.17887115478516
Iter:32, max:1440.2125244140625, mean:525.7229614257812, min:275.9432678222656, std:126.09288787841797
Iter:33, max:1382.3707275390625, mean:493.7799072265625, min:197.2728729248047, std:111.96031951904297
