Iter:0, max:20268.15234375, mean:7700.076171875, min:5900.90625, std:1763.7342529296875
Iter:1, max:22770.349609375, mean:8140.4228515625, min:5902.48193359375, std:1932.910400390625
Iter:2, max:20654.779296875, mean:8654.9697265625, min:5919.85986328125, std:2157.9208984375
Iter:3, max:24361.775390625, mean:9452.205078125, min:5915.73388671875, std:2902.94873046875
Iter:4, max:26264.201171875, mean:10932.986328125, min:5923.2880859375, std:3597.159912109375
Iter:5, max:26758.17578125, mean:12577.892578125, min:5927.46630859375, std:3921.867431640625
Iter:6, max:28105.92578125, mean:14090.8642578125, min:6187.0888671875, std:3566.916015625
Iter:7, max:27586.2265625, mean:15147.525390625, min:7069.42236328125, std:3371.4462890625
Iter:8, max:26610.224609375, mean:14890.109375, min:9973.986328125, std:2595.004638671875
Iter:9, max:27293.958984375, mean:14581.705078125, min:10141.59765625, std:2194.517822265625
Iter:10, max:26835.796875, mean:14554.48828125, min:10684.8056640625, std:2123.182861328125
Iter:11, max:26627.341796875, mean:14735.732421875, min:11036.3154296875, std:2109.712890625
Iter:12, max:26932.546875, mean:14937.7265625, min:11246.9150390625, std:2131.2880859375
Iter:13, max:26359.416015625, mean:15124.783203125, min:11030.8720703125, std:1984.7784423828125
Iter:14, max:24877.15625, mean:15556.7451171875, min:11156.8046875, std:2029.1627197265625
Iter:15, max:26981.3984375, mean:16029.484375, min:11073.9697265625, std:2170.48486328125
Iter:16, max:25730.423828125, mean:16345.435546875, min:11325.5625, std:2143.41064453125
Iter:17, max:26351.259765625, mean:16671.779296875, min:11227.2509765625, std:2246.269287109375
Iter:18, max:26506.47265625, mean:16955.17578125, min:11868.94140625, std:2336.30322265625
Iter:19, max:28091.720703125, mean:17157.59375, min:11730.4306640625, std:2395.4033203125
Iter:20, max:27839.466796875, mean:17505.974609375, min:10924.921875, std:2402.181884765625
Iter:21, max:31906.68359375, mean:18127.2578125, min:11807.7197265625, std:2605.461181640625
Iter:22, max:31948.794921875, mean:18500.0078125, min:11613.75390625, std:2728.59423828125
Iter:23, max:32649.857421875, mean:19291.150390625, min:10779.7197265625, std:3005.77001953125
Iter:24, max:29561.416015625, mean:20034.2109375, min:11291.056640625, std:3100.295166015625
Iter:25, max:35459.56640625, mean:20802.6796875, min:12428.4921875, std:3218.15380859375
Iter:26, max:35853.4140625, mean:21969.65234375, min:12507.2158203125, std:3404.89306640625
Iter:27, max:33337.44921875, mean:22492.140625, min:14568.0380859375, std:3111.19091796875
Iter:28, max:35277.3828125, mean:23255.970703125, min:12789.1943359375, std:3271.08447265625
