Iter:0, max:20719.4140625, mean:7698.84765625, min:5900.97412109375, std:1773.4989013671875
Iter:1, max:22722.962890625, mean:8137.17626953125, min:5902.76220703125, std:1944.662841796875
Iter:2, max:20842.5, mean:8656.7548828125, min:5920.11181640625, std:2168.364990234375
Iter:3, max:24390.41796875, mean:9428.90234375, min:5916.1318359375, std:2892.846435546875
Iter:4, max:27634.091796875, mean:10910.0146484375, min:5926.10693359375, std:3604.91845703125
Iter:5, max:27229.603515625, mean:12477.2958984375, min:5930.33154296875, std:3799.951171875
Iter:6, max:27642.927734375, mean:13944.4296875, min:6078.060546875, std:3662.3134765625
Iter:7, max:27767.65234375, mean:15000.7373046875, min:7662.1533203125, std:3520.533447265625
Iter:8, max:27516.31640625, mean:15026.7177734375, min:7604.31640625, std:3031.738525390625
Iter:9, max:27557.9609375, mean:14955.8349609375, min:7029.431640625, std:2722.741455078125
Iter:10, max:27682.33984375, mean:14684.40625, min:10184.513671875, std:2469.745361328125
Iter:11, max:27844.59765625, mean:15018.353515625, min:10849.4375, std:2406.625
Iter:12, max:28513.72265625, mean:15120.2119140625, min:11093.8291015625, std:2420.64501953125
Iter:13, max:30211.90234375, mean:15500.4560546875, min:10838.6943359375, std:2571.72021484375
Iter:14, max:27124.984375, mean:15867.1953125, min:10432.2001953125, std:2468.459716796875
Iter:15, max:28149.81640625, mean:16299.310546875, min:10960.4970703125, std:2642.70361328125
Iter:16, max:29095.53515625, mean:16791.31640625, min:10501.3115234375, std:2596.66650390625
Iter:17, max:28619.794921875, mean:17061.705078125, min:11592.3095703125, std:2610.88818359375
Iter:18, max:28940.642578125, mean:17399.404296875, min:10766.484375, std:2787.3759765625
Iter:19, max:28540.921875, mean:17190.634765625, min:10319.4599609375, std:2746.59814453125
Iter:20, max:29785.107421875, mean:17291.8125, min:11242.3154296875, std:2893.755615234375
Iter:21, max:28247.6015625, mean:17305.115234375, min:10600.1865234375, std:2852.84619140625
Iter:22, max:28426.380859375, mean:17833.015625, min:9276.7890625, std:3047.451171875
Iter:23, max:31813.701171875, mean:17720.1953125, min:10405.5009765625, std:3112.62939453125
Iter:24, max:30706.291015625, mean:18059.927734375, min:10829.3876953125, std:3278.943603515625
Iter:25, max:38646.72265625, mean:18484.10546875, min:10819.5185546875, std:3477.752197265625
Iter:26, max:32622.359375, mean:18854.28515625, min:9775.44921875, std:3443.43408203125
Iter:27, max:32333.9375, mean:19533.826171875, min:10973.9521484375, std:3472.904296875
Iter:28, max:33447.6171875, mean:20141.46875, min:11022.2607421875, std:3598.356689453125
Iter:29, max:33344.03125, mean:21195.8046875, min:10832.4765625, std:3572.97998046875
Iter:30, max:37042.84375, mean:21964.00390625, min:11201.6015625, std:3514.764892578125
Iter:31, max:41403.13671875, mean:22931.755859375, min:11631.251953125, std:3442.5185546875
Iter:32, max:39725.08984375, mean:23557.556640625, min:12959.2529296875, std:3466.6591796875
Iter:33, max:36828.90625, mean:24081.189453125, min:12308.560546875, std:3217.01953125
Iter:34, max:36907.171875, mean:24550.185546875, min:13938.3896484375, std:3212.865966796875
Iter:35, max:36641.73828125, mean:25090.693359375, min:14455.1640625, std:3054.3955078125
Iter:36, max:36908.25, mean:25530.76953125, min:16214.3642578125, std:3054.16943359375
Iter:37, max:37525.5, mean:25748.5859375, min:18035.361328125, std:3051.2314453125
Iter:38, max:41549.3046875, mean:26062.45703125, min:15246.4228515625, std:3271.11376953125
Iter:39, max:37213.8125, mean:26232.1328125, min:15208.4169921875, std:2911.009765625
Iter:40, max:42930.23046875, mean:26428.173828125, min:17817.73828125, std:3161.49560546875
Iter:41, max:40635.11328125, mean:26422.353515625, min:13735.2802734375, std:2940.28125
Iter:42, max:38342.3828125, mean:26548.576171875, min:17784.08203125, std:2968.522705078125
Iter:43, max:46977.6796875, mean:26767.41015625, min:17274.94921875, std:3230.974609375
Iter:44, max:40521.90625, mean:26783.6484375, min:19257.115234375, std:2947.00830078125
Iter:45, max:38435.71484375, mean:26780.54296875, min:16577.923828125, std:3119.750732421875
Iter:46, max:43148.109375, mean:26818.013671875, min:18233.162109375, std:3006.591064453125
Iter:47, max:44529.59765625, mean:26929.814453125, min:18126.3359375, std:3173.336181640625
Iter:48, max:41146.1640625, mean:27058.458984375, min:18443.5078125, std:3021.08642578125
Iter:49, max:38220.3203125, mean:26916.1484375, min:18438.8828125, std:2935.070068359375
Iter:50, max:42556.0546875, mean:27004.5078125, min:18122.9375, std:2928.072998046875
Iter:51, max:41857.74609375, mean:27185.94140625, min:19257.984375, std:2992.66064453125
Iter:52, max:41583.6328125, mean:27243.94140625, min:19441.0625, std:3025.237548828125
Iter:53, max:43137.9453125, mean:27191.48828125, min:14690.9765625, std:3044.48583984375
Iter:54, max:37761.43359375, mean:27329.603515625, min:14843.6943359375, std:3122.246337890625
Iter:55, max:41103.61328125, mean:27431.44140625, min:13545.759765625, std:3119.88671875
Iter:56, max:39778.87109375, mean:27421.740234375, min:16966.671875, std:3083.302490234375
Iter:57, max:41243.3046875, mean:27632.86328125, min:14347.791015625, std:3299.533935546875
Iter:58, max:43478.64453125, mean:27746.640625, min:11340.732421875, std:3250.131103515625
Iter:59, max:49407.0625, mean:27817.833984375, min:19887.65234375, std:3283.6396484375
Iter:60, max:41720.265625, mean:27800.400390625, min:17039.240234375, std:3063.793212890625
Iter:61, max:47131.21484375, mean:27998.77734375, min:19548.298828125, std:3225.212890625
Iter:62, max:40749.265625, mean:28012.17578125, min:13674.357421875, std:3291.807373046875
Iter:63, max:39088.0625, mean:28024.94140625, min:12985.708984375, std:3300.088134765625
Iter:64, max:42519.6796875, mean:28114.08203125, min:16770.40625, std:3285.9140625
Iter:65, max:42730.54296875, mean:28154.673828125, min:12577.71484375, std:3187.786865234375
Iter:66, max:43313.13671875, mean:28068.45703125, min:18690.1328125, std:3217.4716796875
Iter:67, max:39726.6015625, mean:28253.4453125, min:15962.8193359375, std:3232.333984375
Iter:68, max:43271.96484375, mean:28250.392578125, min:16093.98828125, std:3334.56298828125
Iter:69, max:44457.5546875, mean:28119.8046875, min:15542.421875, std:3269.552978515625
Iter:70, max:42331.5078125, mean:28142.21484375, min:17168.146484375, std:3316.806884765625
Iter:71, max:41533.8125, mean:28065.8359375, min:18434.978515625, std:3160.590576171875
Iter:72, max:41303.39453125, mean:28070.439453125, min:17303.390625, std:3248.689453125
