Iter:0, max:20165.921875, mean:7698.1865234375, min:5900.951171875, std:1761.378173828125
Iter:1, max:21379.353515625, mean:8050.52392578125, min:5906.41845703125, std:2037.4107666015625
Iter:2, max:23919.021484375, mean:8670.7822265625, min:5920.55712890625, std:2454.464599609375
Iter:3, max:24392.818359375, mean:9252.765625, min:5904.29541015625, std:2749.65380859375
Iter:4, max:26364.634765625, mean:10411.3671875, min:5933.3134765625, std:3305.270263671875
Iter:5, max:27025.361328125, mean:11681.9873046875, min:6041.38623046875, std:3569.361328125
Iter:6, max:27591.955078125, mean:12781.052734375, min:6126.279296875, std:3527.631103515625
Iter:7, max:27917.01171875, mean:13973.427734375, min:6001.37646484375, std:3258.723388671875
Iter:8, max:32984.62890625, mean:14719.17578125, min:8913.099609375, std:3008.01513671875
Iter:9, max:27622.072265625, mean:15077.001953125, min:9155.6201171875, std:2773.02099609375
Iter:10, max:28680.763671875, mean:15488.60546875, min:10015.5849609375, std:2808.195556640625
Iter:11, max:29008.564453125, mean:16100.427734375, min:10650.541015625, std:2826.591796875
Iter:12, max:29705.158203125, mean:16946.203125, min:10978.9892578125, std:3271.3779296875
Iter:13, max:34005.3046875, mean:17723.69140625, min:11173.3681640625, std:3660.5
Iter:14, max:43262.74609375, mean:19074.921875, min:10449.9140625, std:4049.14697265625
Iter:15, max:39168.0, mean:20052.669921875, min:10612.599609375, std:4111.68359375
Iter:16, max:42162.77734375, mean:21568.75, min:11350.369140625, std:4635.91943359375
Iter:17, max:41616.3046875, mean:22793.6875, min:13128.4501953125, std:4633.75390625
Iter:18, max:63982.48046875, mean:24121.8515625, min:12822.72265625, std:4822.7490234375
Iter:19, max:52084.86328125, mean:25151.4296875, min:12752.9990234375, std:4443.28076171875
Iter:20, max:56713.2734375, mean:26212.63671875, min:15045.42578125, std:4377.0625
Iter:21, max:44314.11328125, mean:26881.162109375, min:12839.02734375, std:4114.6220703125
Iter:22, max:50902.02734375, mean:27390.462890625, min:16562.1171875, std:4198.6552734375
Iter:23, max:44406.5546875, mean:27644.55859375, min:18036.19140625, std:4027.600830078125
Iter:24, max:43409.33203125, mean:27788.369140625, min:15487.24609375, std:3971.587158203125
Iter:25, max:48561.3203125, mean:28127.056640625, min:19432.46484375, std:3994.48779296875
Iter:26, max:47500.12109375, mean:28493.28125, min:17608.56640625, std:3893.394287109375
Iter:27, max:47132.359375, mean:28422.625, min:18405.3984375, std:3783.038330078125
Iter:28, max:47974.828125, mean:28533.734375, min:17075.845703125, std:3941.276611328125
Iter:29, max:50014.18359375, mean:29147.69921875, min:19706.34375, std:4097.37255859375
Iter:30, max:44659.00390625, mean:28946.64453125, min:17938.064453125, std:3969.753662109375
Iter:31, max:42884.19921875, mean:29311.875, min:18713.03515625, std:3847.80615234375
Iter:32, max:45563.296875, mean:29370.759765625, min:19386.44140625, std:3760.272705078125
Iter:33, max:46447.76171875, mean:29931.05859375, min:15468.251953125, std:3872.81591796875
Iter:34, max:52082.61328125, mean:29769.51171875, min:17943.263671875, std:4174.9228515625
Iter:35, max:49264.265625, mean:30093.138671875, min:18638.50390625, std:4295.4765625
Iter:36, max:52102.5078125, mean:30292.037109375, min:20628.1484375, std:4426.24267578125
Iter:37, max:54424.3671875, mean:30498.962890625, min:19556.154296875, std:4298.99267578125
Iter:38, max:48719.69140625, mean:30390.68359375, min:17817.705078125, std:4178.78857421875
Iter:39, max:54421.3359375, mean:30695.90625, min:20780.458984375, std:4511.6982421875
Iter:40, max:46784.125, mean:30739.90234375, min:19816.54296875, std:4375.80078125
Iter:41, max:49912.97265625, mean:30925.26953125, min:20209.802734375, std:4262.0556640625
Iter:42, max:48020.05859375, mean:30972.9921875, min:20020.927734375, std:4426.13916015625
Iter:43, max:54550.94921875, mean:30884.2421875, min:20200.974609375, std:4424.310546875
Iter:44, max:49211.62109375, mean:31244.798828125, min:17530.802734375, std:4472.09912109375
