Iter:0, max:18302.99609375, mean:7840.7919921875, min:5906.32080078125, std:1654.3878173828125
Iter:1, max:18824.330078125, mean:8191.7236328125, min:5925.19482421875, std:1977.244384765625
Iter:2, max:21465.7890625, mean:8671.2607421875, min:5918.30029296875, std:2449.645263671875
Iter:3, max:20047.396484375, mean:9051.78515625, min:5934.86181640625, std:2429.02001953125
Iter:4, max:21736.974609375, mean:9980.8564453125, min:6035.74365234375, std:2791.13330078125
Iter:5, max:20897.1953125, mean:10897.24609375, min:6015.1142578125, std:3087.22119140625
Iter:6, max:22100.662109375, mean:11977.646484375, min:6128.88525390625, std:3197.359375
Iter:7, max:21209.169921875, mean:12469.193359375, min:7822.67626953125, std:2819.82763671875
Iter:8, max:21242.84375, mean:12671.4453125, min:8806.0224609375, std:2133.99072265625
Iter:9, max:22832.740234375, mean:13376.4150390625, min:9450.1923828125, std:2524.492431640625
Iter:10, max:19126.033203125, mean:13588.7431640625, min:9925.3212890625, std:1944.7353515625
Iter:11, max:21761.900390625, mean:14018.10546875, min:8273.7763671875, std:2020.6422119140625
Iter:12, max:22611.20703125, mean:13879.76171875, min:9729.900390625, std:1885.4700927734375
Iter:13, max:21218.859375, mean:14335.404296875, min:10815.7080078125, std:1761.7725830078125
Iter:14, max:19037.830078125, mean:14387.205078125, min:10907.916015625, std:1604.17919921875
Iter:15, max:21469.3125, mean:14772.607421875, min:11701.6015625, std:1813.868408203125
Iter:16, max:24818.4375, mean:14963.86328125, min:11455.27734375, std:2068.2626953125
Iter:17, max:23964.525390625, mean:15025.3798828125, min:10918.6337890625, std:1840.76611328125
Iter:18, max:23107.38671875, mean:15586.34375, min:12253.44140625, std:1916.6732177734375
Iter:19, max:22704.048828125, mean:15446.6533203125, min:11499.38671875, std:2172.320556640625
Iter:20, max:22836.94140625, mean:15709.119140625, min:12546.845703125, std:2024.3782958984375
Iter:21, max:23820.98046875, mean:15721.314453125, min:11476.5634765625, std:1937.626220703125
Iter:22, max:23128.59765625, mean:16274.109375, min:12627.384765625, std:1863.0653076171875
Iter:23, max:23909.701171875, mean:16613.837890625, min:12298.59375, std:2113.7724609375
Iter:24, max:22158.458984375, mean:16290.7744140625, min:13039.3837890625, std:1953.70166015625
Iter:25, max:27173.75, mean:16743.84765625, min:13131.5087890625, std:2673.109130859375
Iter:26, max:24467.6484375, mean:17139.77734375, min:12071.7431640625, std:2569.434326171875
Iter:27, max:30291.453125, mean:17732.51953125, min:10821.6650390625, std:2897.058349609375
Iter:28, max:26396.654296875, mean:17654.7265625, min:12163.9033203125, std:3115.111083984375
Iter:29, max:31244.892578125, mean:18096.53125, min:13135.267578125, std:3057.54248046875
Iter:30, max:27087.23828125, mean:18073.64453125, min:11303.625, std:3221.99365234375
Iter:31, max:27047.328125, mean:17811.79296875, min:11549.66796875, std:2935.95654296875
Iter:32, max:31978.1171875, mean:18328.91796875, min:12218.8125, std:3619.0673828125
Iter:33, max:29348.91015625, mean:18841.705078125, min:13390.6875, std:3192.77490234375
Iter:34, max:28401.099609375, mean:18738.751953125, min:12201.3037109375, std:3323.064697265625
Iter:35, max:27766.994140625, mean:18473.642578125, min:13573.1865234375, std:2790.856201171875
Iter:36, max:27838.955078125, mean:18732.59765625, min:13647.3251953125, std:2948.850341796875
Iter:37, max:29185.169921875, mean:19089.51953125, min:13892.9423828125, std:2957.578857421875
Iter:38, max:29152.603515625, mean:19315.09765625, min:10491.7646484375, std:3383.64013671875
Iter:39, max:31567.5, mean:19911.390625, min:13707.69140625, std:3317.8232421875
Iter:40, max:28723.529296875, mean:19711.42578125, min:12507.537109375, std:3119.8212890625
Iter:41, max:31575.947265625, mean:19531.572265625, min:13224.3173828125, std:3274.62451171875
Iter:42, max:33021.45703125, mean:19873.802734375, min:12925.85546875, std:3122.374755859375
Iter:43, max:29678.158203125, mean:19846.015625, min:12996.2197265625, std:3043.4658203125
Iter:44, max:35933.71484375, mean:20201.853515625, min:13858.8984375, std:3543.9658203125
Iter:45, max:27997.865234375, mean:19944.55859375, min:13874.912109375, std:2801.277099609375
Iter:46, max:32100.623046875, mean:20938.328125, min:14037.6845703125, std:3027.662353515625
Iter:47, max:32993.125, mean:20177.533203125, min:11667.796875, std:3006.02001953125
Iter:48, max:30038.619140625, mean:20993.4609375, min:14496.4306640625, std:3056.594970703125
Iter:49, max:32395.384765625, mean:20882.17578125, min:12321.9345703125, std:3411.10302734375
Iter:50, max:28101.310546875, mean:21144.59375, min:12579.70703125, std:2936.255859375
Iter:51, max:27925.181640625, mean:20703.236328125, min:13949.5771484375, std:2944.015380859375
Iter:52, max:35817.34765625, mean:21157.57421875, min:14358.8115234375, std:3259.212646484375
Iter:53, max:33332.84765625, mean:21050.642578125, min:14785.984375, std:3271.365966796875
Iter:54, max:33154.984375, mean:21384.5078125, min:14890.0673828125, std:3347.272705078125
Iter:55, max:37213.87109375, mean:21363.548828125, min:15369.841796875, std:3164.246337890625
Iter:56, max:32474.244140625, mean:20984.32421875, min:13420.7080078125, std:3392.4248046875
Iter:57, max:30848.619140625, mean:21714.833984375, min:15460.724609375, std:3043.339599609375
Iter:58, max:27988.291015625, mean:21045.93359375, min:14412.30859375, std:2825.266845703125
Iter:59, max:29773.658203125, mean:21705.15625, min:14905.2529296875, std:3564.518798828125
Iter:60, max:30880.6171875, mean:22004.65625, min:12534.9130859375, std:3224.952880859375
Iter:61, max:31052.8046875, mean:22016.140625, min:14268.138671875, std:3227.14697265625
Iter:62, max:28984.8203125, mean:21738.1796875, min:15105.2060546875, std:2985.03662109375
Iter:63, max:30834.859375, mean:21896.890625, min:15694.2333984375, std:3004.0390625
Iter:64, max:33857.30859375, mean:22207.72265625, min:14931.55078125, std:3402.210205078125
Iter:65, max:34965.66015625, mean:22551.220703125, min:15494.5517578125, std:3402.24560546875
Iter:66, max:34109.609375, mean:22330.9453125, min:15082.5947265625, std:3396.6279296875
Iter:67, max:32217.150390625, mean:22414.91796875, min:15945.8359375, std:3263.22021484375
Iter:68, max:32470.755859375, mean:22233.1328125, min:14372.880859375, std:3352.397705078125
Iter:69, max:33727.83984375, mean:22395.625, min:14625.103515625, std:3432.16748046875
Iter:70, max:35257.21484375, mean:22289.1015625, min:15081.0439453125, std:3260.326171875
Iter:71, max:50952.8046875, mean:22854.23828125, min:14771.0166015625, std:4396.431640625
Iter:72, max:31863.0234375, mean:22247.9453125, min:13794.5615234375, std:3216.504638671875
Iter:73, max:32914.03125, mean:22217.94921875, min:16792.875, std:3347.68310546875
Iter:74, max:31593.783203125, mean:21988.681640625, min:15191.322265625, std:3330.365966796875
Iter:75, max:36468.11328125, mean:22340.72265625, min:16870.5546875, std:3180.122314453125
Iter:76, max:38765.58984375, mean:22894.029296875, min:16026.6572265625, std:4197.8076171875
Iter:77, max:34330.484375, mean:22862.67578125, min:14650.7197265625, std:3139.638427734375
Iter:78, max:37885.1640625, mean:22949.02734375, min:13474.7421875, std:3759.3154296875
Iter:79, max:33328.43359375, mean:23188.361328125, min:17012.95703125, std:3674.98095703125
Iter:80, max:35559.859375, mean:23300.109375, min:15180.388671875, std:2997.204345703125
Iter:81, max:34949.8515625, mean:22966.81640625, min:16830.35546875, std:3380.114501953125
Iter:82, max:32837.51171875, mean:22721.15625, min:14285.6767578125, std:3648.713134765625
Iter:83, max:35727.08984375, mean:23125.951171875, min:17234.451171875, std:2997.56494140625
Iter:84, max:31602.455078125, mean:22863.0859375, min:15371.7109375, std:3365.522705078125
Iter:85, max:33365.65234375, mean:22947.265625, min:14855.5361328125, std:3405.02734375
Iter:86, max:35184.875, mean:23409.365234375, min:16646.041015625, std:3186.70849609375
Iter:87, max:33605.265625, mean:23277.3671875, min:15917.8525390625, std:3444.851806640625
Iter:88, max:35354.37109375, mean:23722.1640625, min:15531.1318359375, std:3982.7890625
Iter:89, max:31111.701171875, mean:23084.890625, min:15182.7978515625, std:3372.006591796875
Iter:90, max:35907.76953125, mean:23481.708984375, min:16438.32421875, std:3503.847412109375
Iter:91, max:37720.6640625, mean:23050.73828125, min:16328.9375, std:3669.152099609375
Iter:92, max:36182.26171875, mean:23295.7265625, min:16168.7294921875, std:3730.8916015625
Iter:93, max:36822.09375, mean:23203.7109375, min:16999.107421875, std:3442.562255859375
Iter:94, max:37276.328125, mean:23871.625, min:17571.71484375, std:3585.53857421875
Iter:95, max:36019.3984375, mean:23537.162109375, min:17329.904296875, std:3252.056640625
Iter:96, max:32558.935546875, mean:23616.0078125, min:17331.556640625, std:3174.138427734375
Iter:97, max:35017.06640625, mean:23150.03125, min:15461.3037109375, std:3537.327880859375
Iter:98, max:38065.4140625, mean:23482.265625, min:15160.82421875, std:3766.6884765625
Iter:99, max:37994.1640625, mean:23775.15234375, min:15340.21875, std:3622.1162109375
Iter:100, max:39619.81640625, mean:24223.298828125, min:16535.013671875, std:3558.825439453125
Iter:101, max:34040.72265625, mean:23957.662109375, min:16696.08203125, std:3486.60546875
Iter:102, max:35826.7109375, mean:24023.822265625, min:17288.154296875, std:3550.468505859375
Iter:103, max:31297.63671875, mean:23634.15625, min:16201.47265625, std:3065.560791015625
Iter:104, max:35901.37890625, mean:23961.1875, min:16943.734375, std:3368.152587890625
Iter:105, max:38627.140625, mean:23960.90234375, min:12862.3759765625, std:3667.522216796875
Iter:106, max:35539.00390625, mean:23529.560546875, min:16888.29296875, std:3230.242919921875
Iter:107, max:41005.3515625, mean:24253.216796875, min:17182.533203125, std:3764.4970703125
Iter:108, max:36641.2890625, mean:24078.55078125, min:16826.25390625, std:3804.41455078125
Iter:109, max:33453.03125, mean:24404.94921875, min:16114.5341796875, std:3467.9453125
Iter:110, max:33156.31640625, mean:23558.2421875, min:16629.470703125, std:3413.112548828125
Iter:111, max:33884.375, mean:23665.005859375, min:14863.87890625, std:3851.380615234375
Iter:112, max:32801.89453125, mean:23637.609375, min:16035.892578125, std:3351.75048828125
Iter:113, max:34107.3828125, mean:23737.53515625, min:16112.958984375, std:3452.283935546875
