Total time, 6584.88s, 100.00%
	,Train time, 6319.89s, 95.98%
	,	,Evaluation time, 6317.28s, 99.96%
	,	,Ask time, 1.27s, 0.02%
	,	,Tell time, 1.33s, 0.02%
	,Test time, 263.06s, 3.99%
	,Logging time, 1.90s, 0.03%
	,Writing time, 0.03s, 0.00%
Iter:0, train:33.51s, eval:98%, ask:1%, tell:1%
Iter:1, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:2, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:3, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:4, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:5, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:6, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:7, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:8, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:9, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:10, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:11, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:12, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:13, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:14, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:15, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:16, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:17, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:18, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:19, train:6.31s, eval:100%, ask:0%, tell:0%
Iter:20, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:21, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:22, train:6.32s, eval:100%, ask:0%, tell:0%
Iter:23, train:6.33s, eval:100%, ask:0%, tell:0%
Iter:24, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:25, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:26, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:27, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:28, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:29, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:30, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:31, train:6.31s, eval:100%, ask:0%, tell:0%
Iter:32, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:33, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:34, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:35, train:6.31s, eval:100%, ask:0%, tell:0%
Iter:36, train:6.31s, eval:100%, ask:0%, tell:0%
Iter:37, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:38, train:6.31s, eval:100%, ask:0%, tell:0%
Iter:39, train:6.31s, eval:100%, ask:0%, tell:0%
Iter:40, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:41, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:42, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:43, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:44, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:45, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:46, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:47, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:48, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:49, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:50, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:51, train:6.31s, eval:100%, ask:0%, tell:0%
Iter:52, train:6.31s, eval:100%, ask:0%, tell:0%
Iter:53, train:6.31s, eval:100%, ask:0%, tell:0%
Iter:54, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:55, train:6.31s, eval:100%, ask:0%, tell:0%
Iter:56, train:6.31s, eval:100%, ask:0%, tell:0%
Iter:57, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:58, train:6.31s, eval:100%, ask:0%, tell:0%
Iter:59, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:60, train:6.31s, eval:100%, ask:0%, tell:0%
Iter:61, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:62, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:63, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:64, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:65, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:66, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:67, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:68, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:69, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:70, train:6.31s, eval:100%, ask:0%, tell:0%
Iter:71, train:6.31s, eval:100%, ask:0%, tell:0%
Iter:72, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:73, train:6.31s, eval:100%, ask:0%, tell:0%
Iter:74, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:75, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:76, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:77, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:78, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:79, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:80, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:81, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:82, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:83, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:84, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:85, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:86, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:87, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:88, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:89, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:90, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:91, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:92, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:93, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:94, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:95, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:96, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:97, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:98, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:99, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:100, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:101, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:102, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:103, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:104, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:105, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:106, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:107, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:108, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:109, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:110, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:111, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:112, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:113, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:114, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:115, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:116, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:117, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:118, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:119, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:120, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:121, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:122, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:123, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:124, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:125, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:126, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:127, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:128, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:129, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:130, train:6.30s, eval:100%, ask:0%, tell:0%
Iter:131, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:132, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:133, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:134, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:135, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:136, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:137, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:138, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:139, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:140, train:6.29s, eval:100%, ask:0%, tell:0%
Iter:141, train:6.29s, eval:100%, ask:0%, tell:0%
