Iter:0, max:21629.16796875, mean:7815.6923828125, min:5909.8095703125, std:1815.84716796875
Iter:1, max:19104.482421875, mean:8276.2021484375, min:5904.4677734375, std:2117.836669921875
Iter:2, max:21213.826171875, mean:9208.828125, min:5907.93603515625, std:2831.6552734375
Iter:3, max:21705.345703125, mean:10130.892578125, min:5898.1748046875, std:3315.999267578125
Iter:4, max:26281.09375, mean:11540.3828125, min:5936.12744140625, std:3992.02734375
Iter:5, max:24973.296875, mean:12846.6669921875, min:6109.2255859375, std:3964.023193359375
Iter:6, max:24198.072265625, mean:13304.07421875, min:6143.00341796875, std:3492.94189453125
Iter:7, max:27585.498046875, mean:14079.8505859375, min:6643.62451171875, std:3650.698974609375
Iter:8, max:27747.1953125, mean:14345.46875, min:8040.81494140625, std:2946.156982421875
Iter:9, max:24670.078125, mean:14534.173828125, min:7912.44091796875, std:2724.03076171875
Iter:10, max:24959.15234375, mean:14324.734375, min:9398.9501953125, std:2434.41455078125
Iter:11, max:24099.966796875, mean:14438.458984375, min:9006.853515625, std:2353.131591796875
Iter:12, max:23405.53125, mean:14651.01953125, min:8884.6279296875, std:2359.69677734375
Iter:13, max:26253.048828125, mean:15119.701171875, min:9775.5185546875, std:2463.313720703125
Iter:14, max:26722.875, mean:15332.7080078125, min:9311.251953125, std:2396.61376953125
Iter:15, max:24668.115234375, mean:15703.994140625, min:10725.365234375, std:2538.86572265625
Iter:16, max:33676.28125, mean:15960.658203125, min:11111.5576171875, std:2595.081787109375
Iter:17, max:24187.931640625, mean:16005.296875, min:10567.986328125, std:2303.2431640625
Iter:18, max:23580.986328125, mean:16672.75, min:11420.568359375, std:2341.3095703125
Iter:19, max:24268.60546875, mean:16829.53515625, min:10808.9140625, std:2402.2294921875
Iter:20, max:25934.380859375, mean:17108.83984375, min:12117.087890625, std:2312.107177734375
Iter:21, max:25901.337890625, mean:17064.390625, min:10976.6669921875, std:2280.61572265625
Iter:22, max:25225.919921875, mean:17715.04296875, min:10929.6220703125, std:2621.767578125
