Iter:0, max:21130.59765625, mean:7888.763671875, min:5907.31005859375, std:1949.2801513671875
Iter:1, max:21925.095703125, mean:8232.1982421875, min:5910.6513671875, std:2200.376953125
Iter:2, max:23502.8125, mean:8798.9970703125, min:5922.98681640625, std:2474.114013671875
Iter:3, max:24454.7578125, mean:9269.970703125, min:5918.2734375, std:2564.003662109375
Iter:4, max:24143.021484375, mean:10138.5234375, min:5917.9423828125, std:2904.421630859375
Iter:5, max:24566.9140625, mean:11093.474609375, min:5965.94384765625, std:3109.701171875
Iter:6, max:24649.947265625, mean:12080.513671875, min:6164.41552734375, std:3149.78955078125
Iter:7, max:24074.947265625, mean:12935.8583984375, min:6442.841796875, std:2871.13330078125
Iter:8, max:25692.603515625, mean:13882.1015625, min:7834.82275390625, std:3060.9697265625
Iter:9, max:26632.294921875, mean:14190.0810546875, min:8769.927734375, std:2776.23583984375
Iter:10, max:23365.97265625, mean:14364.8955078125, min:9414.072265625, std:2510.24072265625
Iter:11, max:25836.419921875, mean:14863.361328125, min:8978.974609375, std:2685.328369140625
Iter:12, max:24897.3125, mean:14724.001953125, min:9666.1884765625, std:2545.989501953125
Iter:13, max:24778.240234375, mean:15332.0625, min:10597.314453125, std:2822.60107421875
Iter:14, max:24986.22265625, mean:15521.599609375, min:10200.3349609375, std:2706.055908203125
Iter:15, max:27457.4375, mean:15592.7509765625, min:10419.9228515625, std:2822.2685546875
Iter:16, max:30247.822265625, mean:16016.7314453125, min:10346.4296875, std:3005.973876953125
Iter:17, max:27294.626953125, mean:16401.716796875, min:10664.0400390625, std:2930.14990234375
Iter:18, max:30428.81640625, mean:17023.48046875, min:11175.3134765625, std:3200.342041015625
Iter:19, max:25958.927734375, mean:17168.013671875, min:9822.2080078125, std:3079.327392578125
Iter:20, max:33147.18359375, mean:17935.728515625, min:10358.3203125, std:3529.931396484375
Iter:21, max:30939.724609375, mean:17947.54296875, min:11593.73828125, std:3226.60400390625
Iter:22, max:33345.94140625, mean:18627.72265625, min:11343.8759765625, std:3339.956298828125
Iter:23, max:30770.310546875, mean:18966.53515625, min:11440.2412109375, std:3512.419189453125
Iter:24, max:30984.52734375, mean:19630.34765625, min:10930.306640625, std:3488.43310546875
Iter:25, max:33239.1953125, mean:19774.13671875, min:12283.2236328125, std:3480.593505859375
Iter:26, max:36387.2421875, mean:20147.43359375, min:12489.853515625, std:3914.688232421875
Iter:27, max:36609.1640625, mean:20630.673828125, min:10601.326171875, std:3805.53369140625
Iter:28, max:34575.68359375, mean:21060.580078125, min:12278.3828125, std:3852.73828125
Iter:29, max:34611.2109375, mean:21314.0859375, min:12959.818359375, std:3612.626708984375
Iter:30, max:33044.6328125, mean:21809.015625, min:12825.6943359375, std:3652.144775390625
Iter:31, max:34835.6640625, mean:21926.38671875, min:13334.4306640625, std:3706.011962890625
Iter:32, max:36487.84765625, mean:22492.609375, min:13655.68359375, std:3860.12841796875
Iter:33, max:36234.3828125, mean:22794.11328125, min:11552.580078125, std:3894.02392578125
Iter:34, max:36510.7109375, mean:22976.8828125, min:11928.8203125, std:3782.377685546875
Iter:35, max:38045.23828125, mean:23559.27734375, min:13045.1064453125, std:3773.909423828125
Iter:36, max:38077.81640625, mean:23542.603515625, min:14237.8564453125, std:3908.60107421875
Iter:37, max:41279.50390625, mean:24237.05078125, min:12649.3798828125, std:4013.68115234375
Iter:38, max:41788.8125, mean:24180.45703125, min:9851.884765625, std:4105.51220703125
Iter:39, max:36270.91015625, mean:24334.880859375, min:15434.171875, std:3813.306884765625
Iter:40, max:39421.171875, mean:24602.05078125, min:13104.9052734375, std:3898.809326171875
Iter:41, max:39716.4921875, mean:24808.857421875, min:15524.521484375, std:4043.978271484375
Iter:42, max:41838.6640625, mean:24982.3359375, min:15468.4755859375, std:3846.9814453125
Iter:43, max:41986.99609375, mean:25684.478515625, min:15854.0205078125, std:4104.92919921875
Iter:44, max:44839.4453125, mean:25651.837890625, min:14901.154296875, std:3977.57568359375
Iter:45, max:47645.59375, mean:26056.23046875, min:14280.220703125, std:4089.917724609375
Iter:46, max:39095.08984375, mean:25811.076171875, min:12613.1123046875, std:4190.26513671875
Iter:47, max:44368.63671875, mean:26412.51953125, min:17030.8671875, std:4024.516357421875
Iter:48, max:39805.83984375, mean:26394.916015625, min:14378.333984375, std:4000.444580078125
Iter:49, max:39407.28125, mean:26662.4921875, min:14121.80078125, std:4045.543212890625
Iter:50, max:39506.06640625, mean:27306.35546875, min:14697.482421875, std:4047.170166015625
Iter:51, max:41732.390625, mean:27364.6875, min:15635.744140625, std:3921.890625
Iter:52, max:39148.08984375, mean:27096.033203125, min:16128.9716796875, std:4083.24072265625
Iter:53, max:55795.45703125, mean:27464.44140625, min:16064.6162109375, std:4198.23876953125
Iter:54, max:46689.96484375, mean:27215.974609375, min:16571.04296875, std:4020.1865234375
Iter:55, max:43312.5390625, mean:27687.025390625, min:15633.421875, std:4118.5966796875
Iter:56, max:45155.70703125, mean:27614.197265625, min:15244.42578125, std:4250.3115234375
Iter:57, max:45710.86328125, mean:28259.65625, min:16139.3818359375, std:4200.5390625
Iter:58, max:43175.96875, mean:28303.33203125, min:17116.07421875, std:4123.57958984375
Iter:59, max:44561.015625, mean:27808.982421875, min:13988.884765625, std:3952.026611328125
Iter:60, max:46549.98828125, mean:28311.5703125, min:16948.099609375, std:4086.238037109375
Iter:61, max:43102.98828125, mean:28231.0234375, min:17413.376953125, std:3858.38427734375
Iter:62, max:45076.9296875, mean:28724.1953125, min:18101.7421875, std:4021.28857421875
Iter:63, max:46445.171875, mean:28494.650390625, min:17315.458984375, std:4134.15283203125
Iter:64, max:41324.4921875, mean:28712.392578125, min:18104.353515625, std:3945.94189453125
Iter:65, max:48224.734375, mean:28729.7890625, min:17452.1796875, std:4121.84716796875
Iter:66, max:44276.4140625, mean:28518.87109375, min:13286.3544921875, std:4168.7314453125
Iter:67, max:44578.734375, mean:28627.265625, min:15351.94921875, std:3930.550537109375
Iter:68, max:47433.2890625, mean:29051.84375, min:19348.220703125, std:4096.37646484375
Iter:69, max:50833.71875, mean:28776.86328125, min:18252.345703125, std:4030.505615234375
Iter:70, max:42889.6015625, mean:28881.62109375, min:16539.26953125, std:4056.986328125
Iter:71, max:43857.859375, mean:28939.8828125, min:18566.263671875, std:3881.726806640625
Iter:72, max:52402.34765625, mean:28896.78125, min:15013.2138671875, std:4264.705078125
Iter:73, max:43861.96484375, mean:29230.33203125, min:17488.138671875, std:4031.7470703125
Iter:74, max:44948.1640625, mean:29109.1015625, min:16018.3974609375, std:3927.84619140625
Iter:75, max:42035.296875, mean:29014.7734375, min:17295.931640625, std:3886.688720703125
Iter:76, max:41946.15234375, mean:29406.82421875, min:18820.1953125, std:3959.740234375
Iter:77, max:40526.24609375, mean:29167.37109375, min:20713.6328125, std:3801.815673828125
Iter:78, max:45380.875, mean:29031.5625, min:17468.0234375, std:4052.952392578125
Iter:79, max:54152.75, mean:29160.92578125, min:18565.623046875, std:4313.6669921875
Iter:80, max:44107.26171875, mean:29060.8359375, min:18576.287109375, std:3870.361572265625
Iter:81, max:40319.64453125, mean:29446.04296875, min:19542.33203125, std:3736.9375
Iter:82, max:42880.65234375, mean:29275.41015625, min:19936.845703125, std:3896.081298828125
Iter:83, max:42118.41015625, mean:29382.734375, min:18591.28515625, std:3908.1494140625
Iter:84, max:43729.54296875, mean:29115.3125, min:17713.072265625, std:3667.676025390625
Iter:85, max:46312.05859375, mean:29577.197265625, min:18144.615234375, std:4194.26025390625
Iter:86, max:44406.2109375, mean:29273.33203125, min:19148.806640625, std:3910.061279296875
Iter:87, max:54767.24609375, mean:29630.095703125, min:17670.318359375, std:4081.025634765625
Iter:88, max:45635.49609375, mean:29649.58203125, min:18016.69921875, std:3861.214111328125
Iter:89, max:42914.0625, mean:29620.390625, min:18861.3203125, std:4006.60107421875
