Iter:0, max:20268.15234375, mean:7700.2177734375, min:5900.83447265625, std:1765.464111328125
Iter:1, max:22684.259765625, mean:8135.3994140625, min:5903.15478515625, std:1936.7706298828125
Iter:2, max:20765.779296875, mean:8649.986328125, min:5921.1630859375, std:2162.5947265625
Iter:3, max:24317.39453125, mean:9467.2216796875, min:5912.392578125, std:2948.68310546875
Iter:4, max:26224.34375, mean:10896.765625, min:5923.32666015625, std:3549.9833984375
Iter:5, max:27284.466796875, mean:12608.8408203125, min:5925.27392578125, std:3937.74658203125
Iter:6, max:27642.76171875, mean:14110.146484375, min:6182.32373046875, std:3509.8359375
Iter:7, max:28078.9375, mean:15232.81640625, min:7400.7890625, std:3426.007568359375
Iter:8, max:26327.921875, mean:14928.1005859375, min:9301.376953125, std:2642.898681640625
Iter:9, max:27286.958984375, mean:14641.9775390625, min:9943.431640625, std:2317.056884765625
Iter:10, max:27169.943359375, mean:14519.576171875, min:10633.912109375, std:2077.480224609375
Iter:11, max:27384.744140625, mean:14938.146484375, min:11253.529296875, std:2235.822265625
Iter:12, max:27215.138671875, mean:15086.5087890625, min:11326.3642578125, std:2109.705810546875
Iter:13, max:23421.537109375, mean:15393.517578125, min:11303.74609375, std:1994.1915283203125
Iter:14, max:26861.35546875, mean:15648.841796875, min:11374.142578125, std:2078.977783203125
Iter:15, max:24957.021484375, mean:16005.6943359375, min:11572.50390625, std:2138.7705078125
Iter:16, max:26103.951171875, mean:16550.30078125, min:11646.9345703125, std:2181.633544921875
Iter:17, max:29406.5, mean:16716.330078125, min:12235.9423828125, std:2273.1103515625
Iter:18, max:29108.455078125, mean:16911.04296875, min:12017.513671875, std:2281.203369140625
Iter:19, max:30662.771484375, mean:17311.353515625, min:11391.0791015625, std:2494.9755859375
Iter:20, max:27811.759765625, mean:17715.830078125, min:12009.7216796875, std:2541.091552734375
Iter:21, max:28489.875, mean:17968.10546875, min:12246.646484375, std:2741.254638671875
Iter:22, max:30004.42578125, mean:18511.525390625, min:12465.1904296875, std:2677.119384765625
Iter:23, max:31293.810546875, mean:19132.54296875, min:11734.529296875, std:3012.144775390625
Iter:24, max:31328.830078125, mean:19960.541015625, min:11448.10546875, std:3170.245361328125
Iter:25, max:34296.24609375, mean:20751.6796875, min:12144.15234375, std:3319.5166015625
Iter:26, max:39244.64453125, mean:21689.986328125, min:12084.7451171875, std:3481.563232421875
Iter:27, max:35836.484375, mean:22254.943359375, min:11440.021484375, std:3403.375244140625
