Iter:0, max:20722.951171875, mean:7701.2626953125, min:5901.103515625, std:1777.8433837890625
Iter:1, max:22754.673828125, mean:8139.736328125, min:5902.9267578125, std:1946.32373046875
Iter:2, max:22327.25390625, mean:8666.431640625, min:5920.59765625, std:2178.666748046875
Iter:3, max:24352.37109375, mean:9463.8251953125, min:5916.96728515625, std:2941.977294921875
Iter:4, max:26800.3046875, mean:10959.42578125, min:5925.41455078125, std:3641.0888671875
Iter:5, max:27266.7890625, mean:12543.76953125, min:5924.69091796875, std:3790.919921875
Iter:6, max:27171.1796875, mean:14141.5166015625, min:6192.1064453125, std:3494.423828125
Iter:7, max:27479.09375, mean:15247.3349609375, min:7428.6689453125, std:3413.448486328125
Iter:8, max:26917.123046875, mean:14975.380859375, min:9741.7109375, std:2734.212890625
Iter:9, max:26891.84375, mean:14682.033203125, min:10945.140625, std:2295.2568359375
Iter:10, max:27169.755859375, mean:14551.1953125, min:9729.8720703125, std:2137.09130859375
Iter:11, max:26587.822265625, mean:14821.4287109375, min:11069.7509765625, std:2105.389892578125
Iter:12, max:26803.880859375, mean:14988.1904296875, min:11377.814453125, std:2103.809326171875
Iter:13, max:25465.083984375, mean:15274.123046875, min:11072.2900390625, std:1998.04443359375
Iter:14, max:26470.400390625, mean:15659.509765625, min:11250.8974609375, std:2006.5328369140625
Iter:15, max:26626.431640625, mean:16051.0, min:11859.8134765625, std:2147.408203125
Iter:16, max:29679.423828125, mean:16431.51953125, min:11292.470703125, std:2207.8388671875
Iter:17, max:27061.53125, mean:16715.33203125, min:11028.259765625, std:2222.2197265625
Iter:18, max:26277.44140625, mean:17106.515625, min:12163.232421875, std:2403.8798828125
Iter:19, max:30406.91796875, mean:17486.72265625, min:11558.2724609375, std:2558.735107421875
Iter:20, max:32006.08203125, mean:18092.9453125, min:11269.4345703125, std:2670.0556640625
Iter:21, max:29803.125, mean:18448.4921875, min:11827.7998046875, std:2881.84423828125
Iter:22, max:33372.83203125, mean:19119.27734375, min:11838.8076171875, std:2931.797607421875
Iter:23, max:35398.05078125, mean:20019.76953125, min:11473.3408203125, std:3192.72607421875
Iter:24, max:34206.6328125, mean:20938.8203125, min:11911.955078125, std:3230.596435546875
