Iter:0, max:20764.455078125, mean:7699.95849609375, min:5901.13916015625, std:1768.739013671875
Iter:1, max:22507.90625, mean:8142.2373046875, min:5902.68505859375, std:1937.2484130859375
Iter:2, max:23108.74609375, mean:8655.17578125, min:5916.09716796875, std:2244.966552734375
Iter:3, max:26361.859375, mean:9296.587890625, min:5909.162109375, std:2844.566162109375
Iter:4, max:25995.01953125, mean:10549.4130859375, min:5918.63818359375, std:3663.193359375
Iter:5, max:26503.431640625, mean:11457.888671875, min:5936.7529296875, std:3700.098876953125
Iter:6, max:27253.466796875, mean:12896.70703125, min:5970.14013671875, std:4068.390869140625
Iter:7, max:26423.0859375, mean:13724.390625, min:5935.73095703125, std:3728.94921875
Iter:8, max:27359.62890625, mean:14356.1728515625, min:6826.91162109375, std:3480.364990234375
Iter:9, max:27142.318359375, mean:14608.658203125, min:7216.56103515625, std:3090.773681640625
Iter:10, max:27694.455078125, mean:14863.8798828125, min:7294.0576171875, std:3040.406005859375
Iter:11, max:26854.96484375, mean:14773.734375, min:8154.91650390625, std:2663.888427734375
Iter:12, max:27135.447265625, mean:14669.056640625, min:8727.146484375, std:2468.164306640625
Iter:13, max:27425.654296875, mean:14602.677734375, min:10368.3046875, std:2334.998291015625
Iter:14, max:26272.236328125, mean:14674.0703125, min:9218.0732421875, std:2172.047607421875
Iter:15, max:27039.9375, mean:14745.0712890625, min:10137.9423828125, std:2288.228271484375
Iter:16, max:26822.19140625, mean:14936.7861328125, min:10352.017578125, std:2299.65673828125
Iter:17, max:27484.03125, mean:14890.904296875, min:8663.869140625, std:2227.594482421875
Iter:18, max:26623.322265625, mean:15097.73828125, min:10680.8037109375, std:2248.29638671875
Iter:19, max:27460.998046875, mean:15234.8076171875, min:9984.576171875, std:2274.803955078125
Iter:20, max:27066.357421875, mean:15321.4296875, min:10151.23828125, std:2302.10107421875
Iter:21, max:26259.03515625, mean:15578.79296875, min:9460.7158203125, std:2340.042724609375
Iter:22, max:26509.064453125, mean:15476.7880859375, min:10150.0048828125, std:2293.04541015625
Iter:23, max:26933.583984375, mean:15738.837890625, min:9798.8623046875, std:2565.40576171875
Iter:24, max:26133.65234375, mean:15675.337890625, min:10083.65234375, std:2370.964111328125
Iter:25, max:26592.181640625, mean:15831.2939453125, min:9300.013671875, std:2476.112548828125
Iter:26, max:26758.7890625, mean:15904.6796875, min:10495.3349609375, std:2482.02685546875
Iter:27, max:26984.298828125, mean:15964.583984375, min:10568.9111328125, std:2471.56689453125
Iter:28, max:25941.05859375, mean:15986.7646484375, min:8415.3544921875, std:2535.556884765625
Iter:29, max:27254.37109375, mean:15918.9521484375, min:9617.5185546875, std:2516.354248046875
Iter:30, max:27132.046875, mean:16257.7470703125, min:10633.53515625, std:2638.504150390625
Iter:31, max:24923.732421875, mean:16086.283203125, min:9768.525390625, std:2456.292724609375
Iter:32, max:26628.32421875, mean:16185.150390625, min:10485.833984375, std:2516.0400390625
Iter:33, max:26679.734375, mean:16265.576171875, min:10558.787109375, std:2601.73193359375
Iter:34, max:25848.046875, mean:16280.64453125, min:10155.4384765625, std:2527.842041015625
Iter:35, max:26347.974609375, mean:16276.716796875, min:10136.5341796875, std:2655.926025390625
Iter:36, max:26121.73828125, mean:16300.08203125, min:10504.8359375, std:2578.460205078125
Iter:37, max:27830.197265625, mean:16444.83203125, min:10525.4228515625, std:2639.21923828125
Iter:38, max:27690.1484375, mean:16314.380859375, min:10610.0927734375, std:2668.289794921875
Iter:39, max:27360.115234375, mean:16570.0859375, min:10510.78125, std:2742.74072265625
Iter:40, max:25444.890625, mean:16366.97265625, min:10409.4208984375, std:2625.508056640625
Iter:41, max:26351.642578125, mean:16537.70703125, min:10079.583984375, std:2716.57080078125
Iter:42, max:26402.6640625, mean:16444.8203125, min:9827.2138671875, std:2629.69580078125
Iter:43, max:25335.939453125, mean:16803.8828125, min:10991.9521484375, std:2626.3544921875
Iter:44, max:30804.44921875, mean:16886.537109375, min:10718.6318359375, std:2807.015869140625
Iter:45, max:29227.05078125, mean:16856.9921875, min:10777.9521484375, std:2721.75537109375
Iter:46, max:32184.447265625, mean:17194.734375, min:10826.0888671875, std:2896.504638671875
Iter:47, max:27338.166015625, mean:17345.8359375, min:10602.2421875, std:2836.298095703125
Iter:48, max:31445.142578125, mean:17258.40234375, min:11364.701171875, std:2819.387451171875
Iter:49, max:29118.001953125, mean:17502.947265625, min:11179.4111328125, std:2849.1005859375
Iter:50, max:28539.822265625, mean:17726.46875, min:10514.8740234375, std:2948.496826171875
Iter:51, max:28495.365234375, mean:18101.0859375, min:11455.4990234375, std:2804.761962890625
Iter:52, max:29156.078125, mean:18279.390625, min:11743.1875, std:2794.069091796875
Iter:53, max:32093.833984375, mean:18530.93359375, min:10627.41015625, std:3061.44970703125
Iter:54, max:33775.05078125, mean:18723.275390625, min:12215.5, std:2895.1552734375
Iter:55, max:31931.1484375, mean:19210.46875, min:12155.623046875, std:3046.701904296875
Iter:56, max:33643.28125, mean:19193.5703125, min:12153.7451171875, std:3070.9326171875
Iter:57, max:33915.36328125, mean:19565.53515625, min:12630.6416015625, std:3069.439453125
Iter:58, max:34765.30859375, mean:19775.09765625, min:12408.73046875, std:3305.635986328125
Iter:59, max:36187.984375, mean:20161.5703125, min:13113.0908203125, std:3437.341064453125
Iter:60, max:31747.173828125, mean:20566.326171875, min:12923.9521484375, std:3314.631591796875
Iter:61, max:39238.84375, mean:21192.685546875, min:13201.384765625, std:3842.84814453125
Iter:62, max:33655.90234375, mean:21372.0859375, min:13465.447265625, std:3588.952880859375
Iter:63, max:34125.2421875, mean:21851.505859375, min:14069.15625, std:3581.76708984375
Iter:64, max:38937.359375, mean:22400.90625, min:12792.302734375, std:3635.274169921875
Iter:65, max:38510.30859375, mean:22807.36328125, min:12765.3720703125, std:3998.0673828125
Iter:66, max:40839.6015625, mean:23012.85546875, min:13486.2802734375, std:3778.302734375
Iter:67, max:36585.8671875, mean:23834.76953125, min:13698.9638671875, std:3819.56396484375
Iter:68, max:40240.72265625, mean:24170.14453125, min:14844.091796875, std:3949.859375
Iter:69, max:38656.34375, mean:24445.6875, min:14579.361328125, std:3624.8974609375
Iter:70, max:38313.5859375, mean:24693.921875, min:15168.9189453125, std:3503.3896484375
Iter:71, max:39491.40234375, mean:24919.13671875, min:15178.6943359375, std:3533.431640625
Iter:72, max:42648.71484375, mean:25287.63671875, min:16525.603515625, std:3578.612548828125
Iter:73, max:41643.5390625, mean:25476.2734375, min:14961.3466796875, std:3645.71533203125
Iter:74, max:41051.52734375, mean:25827.884765625, min:17524.0859375, std:3573.746337890625
Iter:75, max:43854.015625, mean:25762.89453125, min:16117.0927734375, std:3511.0771484375
Iter:76, max:39902.15234375, mean:25905.728515625, min:15813.333984375, std:3603.83056640625
Iter:77, max:50740.41796875, mean:25960.505859375, min:16426.08203125, std:3473.787353515625
Iter:78, max:44044.36328125, mean:26129.34765625, min:17049.013671875, std:3385.521484375
Iter:79, max:40548.73828125, mean:26378.44921875, min:15780.6865234375, std:3495.344482421875
Iter:80, max:38779.71484375, mean:26467.814453125, min:15454.6162109375, std:3281.78369140625
Iter:81, max:41582.44921875, mean:26663.6796875, min:17585.61328125, std:3376.71484375
Iter:82, max:43453.47265625, mean:26571.40234375, min:17219.716796875, std:3552.222412109375
Iter:83, max:38706.6953125, mean:26732.01171875, min:15603.62890625, std:3370.978759765625
Iter:84, max:52724.375, mean:26673.021484375, min:17855.904296875, std:3595.17333984375
Iter:85, max:41553.01171875, mean:27098.3359375, min:17463.125, std:3497.194091796875
Iter:86, max:44376.91015625, mean:26930.0703125, min:18003.787109375, std:3379.12548828125
Iter:87, max:42303.30078125, mean:26987.1015625, min:16364.3310546875, std:3395.83642578125
Iter:88, max:46851.80859375, mean:27148.3984375, min:17167.828125, std:3478.8935546875
Iter:89, max:40692.84375, mean:27154.3203125, min:16560.63671875, std:3443.7138671875
Iter:90, max:47345.671875, mean:27089.431640625, min:17019.51953125, std:3562.2734375
Iter:91, max:38703.31640625, mean:27196.375, min:18939.310546875, std:3256.95361328125
