Iter:0, max:749.6368408203125, mean:293.58636474609375, min:47.070430755615234, std:142.6157989501953
Iter:1, max:842.7882690429688, mean:319.39654541015625, min:58.08404541015625, std:123.99604034423828
Iter:2, max:821.7006225585938, mean:333.4970703125, min:57.58460998535156, std:103.99806213378906
Iter:3, max:629.5577392578125, mean:345.686279296875, min:86.68660736083984, std:77.23564147949219
Iter:4, max:671.0919799804688, mean:339.1956787109375, min:69.62794494628906, std:76.01136016845703
Iter:5, max:830.529296875, mean:337.1877746582031, min:84.3243408203125, std:81.7969741821289
Iter:6, max:818.0736083984375, mean:343.74273681640625, min:76.11164855957031, std:85.32691955566406
Iter:7, max:681.8778076171875, mean:335.71905517578125, min:37.722476959228516, std:94.03502655029297
Iter:8, max:907.16552734375, mean:329.4205627441406, min:49.356727600097656, std:106.01793670654297
Iter:9, max:649.3192749023438, mean:328.78411865234375, min:61.04301071166992, std:105.57125091552734
Iter:10, max:803.734130859375, mean:333.96612548828125, min:59.839359283447266, std:104.7573471069336
Iter:11, max:707.4208984375, mean:333.38970947265625, min:60.46371841430664, std:103.62042999267578
Iter:12, max:763.7379760742188, mean:328.5980529785156, min:56.1696891784668, std:109.62454223632812
Iter:13, max:787.8860473632812, mean:328.76300048828125, min:56.53450393676758, std:103.65245056152344
Iter:14, max:633.1026611328125, mean:339.93145751953125, min:49.71361541748047, std:93.36150360107422
Iter:15, max:795.1095581054688, mean:332.7681884765625, min:45.90510559082031, std:95.3608627319336
Iter:16, max:702.2777709960938, mean:339.1339111328125, min:51.297672271728516, std:88.28352355957031
Iter:17, max:670.4837036132812, mean:343.2839050292969, min:59.589149475097656, std:83.81688690185547
Iter:18, max:783.2105712890625, mean:336.37347412109375, min:62.163414001464844, std:87.57801055908203
Iter:19, max:733.4398803710938, mean:339.6519775390625, min:63.067352294921875, std:92.78195190429688
Iter:20, max:802.6664428710938, mean:338.42584228515625, min:57.13374710083008, std:96.76946258544922
Iter:21, max:857.604248046875, mean:336.9893798828125, min:45.486595153808594, std:103.88480377197266
Iter:22, max:854.5775756835938, mean:330.0343933105469, min:46.605098724365234, std:105.66165924072266
Iter:23, max:756.3302612304688, mean:326.4266357421875, min:61.276031494140625, std:108.43775939941406
Iter:24, max:722.6974487304688, mean:327.3760070800781, min:51.81830978393555, std:104.9643325805664
Iter:25, max:706.6670532226562, mean:332.60333251953125, min:46.14543914794922, std:112.97193145751953
Iter:26, max:807.4398193359375, mean:326.3651428222656, min:53.314964294433594, std:107.66072082519531
Iter:27, max:787.3596801757812, mean:337.74676513671875, min:45.761634826660156, std:109.7447738647461
Iter:28, max:857.0340576171875, mean:340.8215637207031, min:53.73289489746094, std:104.20762634277344
Iter:29, max:736.3331909179688, mean:340.08868408203125, min:43.71559524536133, std:106.4096450805664
Iter:30, max:685.945068359375, mean:342.131103515625, min:63.59093475341797, std:102.02809143066406
Iter:31, max:833.6485595703125, mean:345.35540771484375, min:34.261497497558594, std:109.2728500366211
Iter:32, max:973.2235717773438, mean:344.7891845703125, min:53.662681579589844, std:106.18272399902344
Iter:33, max:708.567626953125, mean:351.7479248046875, min:58.395729064941406, std:96.71473693847656
Iter:34, max:757.3508911132812, mean:356.09918212890625, min:62.069053649902344, std:98.92803955078125
Iter:35, max:833.3883666992188, mean:356.88134765625, min:73.56585693359375, std:107.00127410888672
Iter:36, max:843.5119018554688, mean:362.45855712890625, min:62.417301177978516, std:109.7973861694336
Iter:37, max:978.8887939453125, mean:367.9122009277344, min:67.26861572265625, std:111.70458221435547
Iter:38, max:780.29296875, mean:376.50787353515625, min:53.603485107421875, std:109.2717056274414
Iter:39, max:900.7396240234375, mean:373.8319091796875, min:70.08502197265625, std:125.17655181884766
Iter:40, max:961.4781494140625, mean:379.541015625, min:32.30829620361328, std:126.01664733886719
Iter:41, max:1061.55126953125, mean:389.68133544921875, min:39.39169692993164, std:136.2095184326172
Iter:42, max:998.261474609375, mean:402.9399108886719, min:73.697509765625, std:132.7996063232422
Iter:43, max:1004.1825561523438, mean:401.54071044921875, min:51.37793731689453, std:141.4557647705078
Iter:44, max:1039.2491455078125, mean:434.9809265136719, min:80.07486724853516, std:138.0475311279297
Iter:45, max:1055.8260498046875, mean:443.9085998535156, min:59.998172760009766, std:146.11170959472656
Iter:46, max:1088.6878662109375, mean:449.8055419921875, min:83.15247344970703, std:148.0309295654297
Iter:47, max:1086.49755859375, mean:468.8387451171875, min:64.71929931640625, std:159.53659057617188
Iter:48, max:1042.18701171875, mean:486.39776611328125, min:52.74490737915039, std:169.1934814453125
Iter:49, max:1040.826416015625, mean:489.76983642578125, min:37.47283172607422, std:173.96212768554688
Iter:50, max:1107.3800048828125, mean:516.0789794921875, min:67.39180755615234, std:184.96414184570312
Iter:51, max:1080.2783203125, mean:537.6785888671875, min:53.08645248413086, std:190.49777221679688
Iter:52, max:1106.7059326171875, mean:553.230224609375, min:53.41512680053711, std:221.5226287841797
Iter:53, max:1126.6964111328125, mean:578.734619140625, min:52.96791458129883, std:230.86619567871094
Iter:54, max:1085.9891357421875, mean:582.592041015625, min:64.69854736328125, std:235.82643127441406
Iter:55, max:1124.43017578125, mean:621.8448486328125, min:66.64735412597656, std:246.42588806152344
Iter:56, max:1129.5894775390625, mean:644.3639526367188, min:69.99429321289062, std:265.0184326171875
Iter:57, max:1127.6376953125, mean:674.6837768554688, min:66.99434661865234, std:283.0649108886719
Iter:58, max:1130.6649169921875, mean:693.4408569335938, min:52.49190902709961, std:297.50958251953125
Iter:59, max:1137.960693359375, mean:751.688720703125, min:44.76167678833008, std:295.1333923339844
Iter:60, max:1145.3162841796875, mean:790.9063110351562, min:54.731388092041016, std:296.43109130859375
Iter:61, max:1136.8585205078125, mean:813.2416381835938, min:80.82008361816406, std:302.4477844238281
Iter:62, max:1143.126953125, mean:839.60693359375, min:73.6222915649414, std:285.9794616699219
Iter:63, max:1141.4251708984375, mean:850.09375, min:69.3258056640625, std:279.0994567871094
Iter:64, max:1139.779052734375, mean:894.1104125976562, min:89.48869323730469, std:238.8678436279297
Iter:65, max:1142.0584716796875, mean:893.54052734375, min:100.28458404541016, std:239.6133575439453
Iter:66, max:1136.7984619140625, mean:932.9013671875, min:84.83525848388672, std:190.75157165527344
Iter:67, max:1145.468505859375, mean:946.4619140625, min:113.00749206542969, std:168.8203582763672
Iter:68, max:1156.7579345703125, mean:962.5660400390625, min:104.0105209350586, std:154.9121551513672
Iter:69, max:1149.2315673828125, mean:983.1461181640625, min:118.34681701660156, std:123.63462829589844
Iter:70, max:1153.298583984375, mean:992.4505615234375, min:137.36575317382812, std:111.8906478881836
Iter:71, max:1167.8133544921875, mean:995.2174072265625, min:203.14259338378906, std:101.3635025024414
Iter:72, max:1162.50830078125, mean:1002.7515258789062, min:303.9312744140625, std:93.54602813720703
Iter:73, max:1172.7630615234375, mean:993.2637939453125, min:238.17430114746094, std:111.28527069091797
Iter:74, max:1171.1673583984375, mean:988.8668212890625, min:350.2796325683594, std:113.97587585449219
Iter:75, max:1167.880126953125, mean:990.103271484375, min:273.066650390625, std:114.943359375
Iter:76, max:1184.989013671875, mean:989.6779174804688, min:552.9002075195312, std:117.10107421875
Iter:77, max:1172.906005859375, mean:980.5836181640625, min:193.21435546875, std:126.56743621826172
Iter:78, max:1187.701171875, mean:960.8250732421875, min:272.5784912109375, std:136.53616333007812
Iter:79, max:1184.925048828125, mean:962.6470947265625, min:204.6888427734375, std:138.90426635742188
Iter:80, max:1185.818603515625, mean:967.5135498046875, min:446.22686767578125, std:134.4442901611328
Iter:81, max:1187.3541259765625, mean:982.6590576171875, min:546.334716796875, std:127.40936279296875
Iter:82, max:1183.451416015625, mean:998.550048828125, min:469.1478271484375, std:117.94497680664062
Iter:83, max:1181.264404296875, mean:1000.185791015625, min:521.9530029296875, std:104.45629119873047
Iter:84, max:1184.4859619140625, mean:1010.566162109375, min:224.22019958496094, std:108.91670227050781
Iter:85, max:1198.5416259765625, mean:1017.6721801757812, min:461.7170104980469, std:93.34220123291016
Iter:86, max:1187.7525634765625, mean:1026.3148193359375, min:529.0940551757812, std:79.66192626953125
Iter:87, max:1198.0723876953125, mean:1028.406005859375, min:165.78533935546875, std:79.36178588867188
Iter:88, max:1195.716796875, mean:1032.818359375, min:228.7129364013672, std:60.92329025268555
Iter:89, max:1182.77880859375, mean:1031.100341796875, min:134.31922912597656, std:73.4311752319336
Iter:90, max:1194.247802734375, mean:1031.1539306640625, min:161.47952270507812, std:71.88521575927734
Iter:91, max:1184.0599365234375, mean:1034.913818359375, min:94.37824249267578, std:64.71601104736328
Iter:92, max:1180.728759765625, mean:1038.4366455078125, min:612.866943359375, std:48.95335388183594
Iter:93, max:1190.8758544921875, mean:1042.347900390625, min:142.60951232910156, std:52.49525451660156
Iter:94, max:1163.9776611328125, mean:1039.4136962890625, min:169.298828125, std:58.441810607910156
Iter:95, max:1162.7357177734375, mean:1041.7545166015625, min:587.1688842773438, std:50.07591247558594
Iter:96, max:1177.052001953125, mean:1040.15380859375, min:238.16717529296875, std:64.58663940429688
Iter:97, max:1162.902587890625, mean:1038.197509765625, min:129.94491577148438, std:77.54632568359375
Iter:98, max:1180.1611328125, mean:1035.4462890625, min:546.1607055664062, std:78.91358947753906
Iter:99, max:1174.156982421875, mean:1027.1007080078125, min:137.4697723388672, std:91.92567443847656
Iter:100, max:1179.441650390625, mean:998.6336669921875, min:540.7299194335938, std:119.83675384521484
Iter:101, max:1192.8431396484375, mean:1003.505615234375, min:146.0951385498047, std:126.4523696899414
Iter:102, max:1182.5040283203125, mean:962.3980712890625, min:484.5718688964844, std:143.7852325439453
Iter:103, max:1192.240478515625, mean:957.28173828125, min:499.754150390625, std:151.602294921875
Iter:104, max:1167.4794921875, mean:920.2623291015625, min:530.7504272460938, std:156.03477478027344
Iter:105, max:1184.7921142578125, mean:938.333740234375, min:481.8872375488281, std:160.44210815429688
Iter:106, max:1182.4276123046875, mean:945.2717895507812, min:188.02577209472656, std:156.55262756347656
Iter:107, max:1179.8555908203125, mean:949.2794189453125, min:218.65223693847656, std:156.2301025390625
Iter:108, max:1189.7669677734375, mean:943.1702880859375, min:119.32421875, std:160.8026580810547
Iter:109, max:1195.041015625, mean:972.2220458984375, min:465.0260314941406, std:148.37933349609375
Iter:110, max:1197.1304931640625, mean:984.3782958984375, min:512.9190673828125, std:141.4563751220703
Iter:111, max:1195.96044921875, mean:989.01513671875, min:86.78092193603516, std:147.1474151611328
Iter:112, max:1199.354248046875, mean:1000.8656005859375, min:152.9822540283203, std:138.0377197265625
Iter:113, max:1209.22998046875, mean:1004.6650390625, min:173.19949340820312, std:132.5929412841797
Iter:114, max:1229.445068359375, mean:1018.0146484375, min:532.2750244140625, std:117.50303649902344
Iter:115, max:1217.6778564453125, mean:1038.5126953125, min:100.82145690917969, std:113.16560363769531
Iter:116, max:1193.0355224609375, mean:1047.6593017578125, min:138.49588012695312, std:90.02889251708984
Iter:117, max:1191.0164794921875, mean:1056.350341796875, min:110.4439468383789, std:87.66681671142578
Iter:118, max:1236.6082763671875, mean:1059.8594970703125, min:101.70237731933594, std:96.80538177490234
Iter:119, max:1213.75830078125, mean:1065.3768310546875, min:83.00149536132812, std:81.26126098632812
Iter:120, max:1210.9912109375, mean:1068.0780029296875, min:272.8754577636719, std:59.72316360473633
Iter:121, max:1195.1207275390625, mean:1084.068115234375, min:491.7571716308594, std:47.12820816040039
Iter:122, max:1180.9482421875, mean:1085.406005859375, min:210.7379913330078, std:50.5068244934082
Iter:123, max:1211.175048828125, mean:1092.2962646484375, min:652.0191040039062, std:41.572811126708984
