Iter:0, max:749.6368408203125, mean:294.00201416015625, min:47.070430755615234, std:143.165283203125
Iter:1, max:736.9249267578125, mean:262.5511779785156, min:42.203094482421875, std:150.6870574951172
Iter:2, max:814.4227905273438, mean:287.93658447265625, min:40.50458908081055, std:142.9246368408203
Iter:3, max:749.7401123046875, mean:316.6051025390625, min:61.18486404418945, std:127.67822265625
Iter:4, max:838.3961791992188, mean:318.08673095703125, min:64.52182006835938, std:118.74024963378906
Iter:5, max:695.6693725585938, mean:321.8692626953125, min:55.36907196044922, std:113.78853607177734
Iter:6, max:860.15380859375, mean:331.70062255859375, min:55.94139862060547, std:105.46448516845703
Iter:7, max:808.8577880859375, mean:322.06646728515625, min:59.0450439453125, std:111.20867156982422
Iter:8, max:674.584716796875, mean:314.78948974609375, min:37.47479248046875, std:112.24568176269531
Iter:9, max:681.58544921875, mean:317.60797119140625, min:51.070770263671875, std:117.29602813720703
Iter:10, max:971.8998413085938, mean:311.507080078125, min:61.244693756103516, std:125.37442016601562
Iter:11, max:795.8480224609375, mean:306.6330261230469, min:59.198814392089844, std:125.77359008789062
Iter:12, max:730.5646362304688, mean:287.41717529296875, min:40.47458267211914, std:138.56150817871094
Iter:13, max:691.3128662109375, mean:278.7873840332031, min:43.5667610168457, std:138.07986450195312
Iter:14, max:975.6862182617188, mean:271.72308349609375, min:37.580326080322266, std:145.02040100097656
Iter:15, max:792.7108154296875, mean:257.2639465332031, min:34.173431396484375, std:145.84666442871094
Iter:16, max:797.2669677734375, mean:258.5721435546875, min:39.86491012573242, std:145.0445556640625
Iter:17, max:776.9118041992188, mean:286.0095520019531, min:42.552391052246094, std:140.6580047607422
Iter:18, max:700.3076171875, mean:302.0993347167969, min:34.520565032958984, std:128.90533447265625
Iter:19, max:841.4852905273438, mean:306.1158142089844, min:27.36684226989746, std:126.61712646484375
Iter:20, max:754.1624145507812, mean:317.7409973144531, min:54.79745864868164, std:112.09913635253906
Iter:21, max:674.3300170898438, mean:324.89312744140625, min:61.47807312011719, std:104.03962707519531
Iter:22, max:753.999755859375, mean:324.8530578613281, min:35.716651916503906, std:102.89674377441406
Iter:23, max:793.3191528320312, mean:323.7711486816406, min:53.35496139526367, std:102.10722351074219
Iter:24, max:875.2386474609375, mean:324.3664245605469, min:38.133392333984375, std:98.7540512084961
Iter:25, max:1096.399658203125, mean:327.6207275390625, min:63.176300048828125, std:110.96034240722656
Iter:26, max:762.9370727539062, mean:317.5747985839844, min:58.4060173034668, std:118.48088836669922
Iter:27, max:730.1605224609375, mean:315.7146911621094, min:28.447656631469727, std:124.22135925292969
Iter:28, max:829.1856689453125, mean:306.80108642578125, min:29.450063705444336, std:132.15977478027344
Iter:29, max:813.5708618164062, mean:280.693359375, min:33.956077575683594, std:143.80465698242188
Iter:30, max:890.2076416015625, mean:279.1125793457031, min:26.82517433166504, std:149.41384887695312
Iter:31, max:975.95458984375, mean:252.6708221435547, min:25.370689392089844, std:159.982421875
Iter:32, max:874.6129760742188, mean:235.81520080566406, min:22.418134689331055, std:149.42333984375
Iter:33, max:966.1861572265625, mean:230.00001525878906, min:11.485140800476074, std:152.84634399414062
Iter:34, max:907.2388916015625, mean:237.7894744873047, min:23.04932975769043, std:158.16397094726562
Iter:35, max:899.9097290039062, mean:249.2547149658203, min:35.886680603027344, std:161.61756896972656
Iter:36, max:871.9932861328125, mean:254.4378662109375, min:33.14546585083008, std:158.5633544921875
Iter:37, max:889.4652709960938, mean:270.0901184082031, min:30.8050537109375, std:162.4054718017578
Iter:38, max:831.8925170898438, mean:280.93414306640625, min:36.217323303222656, std:156.7598114013672
Iter:39, max:921.2875366210938, mean:293.21038818359375, min:32.92603302001953, std:160.40541076660156
Iter:40, max:912.3173828125, mean:287.69683837890625, min:36.14765167236328, std:152.81930541992188
Iter:41, max:841.8305053710938, mean:302.6413269042969, min:46.02686309814453, std:155.48512268066406
Iter:42, max:979.497314453125, mean:309.4211120605469, min:43.94865417480469, std:152.19015502929688
Iter:43, max:1121.237060546875, mean:312.3714599609375, min:25.349956512451172, std:158.4190673828125
Iter:44, max:1070.6925048828125, mean:332.9059753417969, min:28.647579193115234, std:153.1519012451172
Iter:45, max:1094.7122802734375, mean:321.7681579589844, min:27.57513427734375, std:154.29867553710938
Iter:46, max:808.9520874023438, mean:333.21038818359375, min:39.13450622558594, std:153.59974670410156
Iter:47, max:1057.761962890625, mean:331.85211181640625, min:33.61976623535156, std:167.2825927734375
Iter:48, max:1048.4354248046875, mean:340.04931640625, min:41.41163635253906, std:164.23867797851562
Iter:49, max:1083.7451171875, mean:349.8512268066406, min:37.9236946105957, std:174.8706817626953
Iter:50, max:1097.1680908203125, mean:369.42327880859375, min:37.341190338134766, std:178.4296417236328
Iter:51, max:1073.5443115234375, mean:360.8575744628906, min:45.0040168762207, std:187.04432678222656
Iter:52, max:1101.8299560546875, mean:383.2934875488281, min:24.982744216918945, std:212.1526641845703
Iter:53, max:1125.5989990234375, mean:389.6520080566406, min:34.621681213378906, std:231.2990264892578
Iter:54, max:1111.1175537109375, mean:400.0169982910156, min:19.043981552124023, std:241.558349609375
Iter:55, max:1129.00048828125, mean:404.74932861328125, min:19.545978546142578, std:259.9205627441406
Iter:56, max:1138.5426025390625, mean:424.7037658691406, min:32.511634826660156, std:286.4283752441406
Iter:57, max:1135.5675048828125, mean:429.2051086425781, min:35.20529556274414, std:312.4241027832031
Iter:58, max:1134.2249755859375, mean:437.0139465332031, min:28.065834045410156, std:329.985595703125
Iter:59, max:1137.0982666015625, mean:468.2836608886719, min:41.257999420166016, std:347.712890625
Iter:60, max:1137.7216796875, mean:423.2797546386719, min:32.2400016784668, std:347.79071044921875
Iter:61, max:1162.6844482421875, mean:446.91583251953125, min:29.241527557373047, std:365.3497009277344
Iter:62, max:1137.9044189453125, mean:396.7503662109375, min:33.24216079711914, std:359.9522705078125
Iter:63, max:1149.2855224609375, mean:403.84765625, min:25.18686866760254, std:354.2905578613281
Iter:64, max:1166.93310546875, mean:407.0894775390625, min:41.452110290527344, std:361.1494140625
Iter:65, max:1144.8531494140625, mean:415.48773193359375, min:25.934497833251953, std:367.53778076171875
Iter:66, max:1148.530517578125, mean:463.2102355957031, min:45.195499420166016, std:379.9327392578125
Iter:67, max:1141.43505859375, mean:512.5592651367188, min:40.46673583984375, std:390.5226135253906
Iter:68, max:1146.267333984375, mean:544.0493774414062, min:40.54105758666992, std:397.3704528808594
Iter:69, max:1152.349609375, mean:591.6699829101562, min:53.52889633178711, std:401.012451171875
Iter:70, max:1153.4862060546875, mean:643.8120727539062, min:54.289337158203125, std:393.9063415527344
Iter:71, max:1145.74951171875, mean:697.9713134765625, min:47.011444091796875, std:386.5505676269531
Iter:72, max:1156.643798828125, mean:749.5737915039062, min:44.69941711425781, std:366.2779541015625
Iter:73, max:1165.8575439453125, mean:769.736083984375, min:33.915191650390625, std:360.7689208984375
Iter:74, max:1159.5587158203125, mean:795.529296875, min:53.37602233886719, std:343.5715637207031
Iter:75, max:1148.3309326171875, mean:798.7072143554688, min:53.748779296875, std:331.5234069824219
Iter:76, max:1170.348388671875, mean:828.3143310546875, min:56.98765563964844, std:291.31280517578125
Iter:77, max:1155.146728515625, mean:790.198486328125, min:56.420589447021484, std:288.3946533203125
Iter:78, max:1165.8138427734375, mean:801.2467651367188, min:56.24531936645508, std:244.6709442138672
Iter:79, max:1162.8055419921875, mean:769.4373168945312, min:72.12760925292969, std:240.8563690185547
Iter:80, max:1177.9754638671875, mean:782.1729125976562, min:122.4915771484375, std:226.35006713867188
Iter:81, max:1156.5611572265625, mean:811.0142211914062, min:102.89376068115234, std:205.53709411621094
Iter:82, max:1157.9451904296875, mean:836.8008422851562, min:114.74081420898438, std:202.448974609375
Iter:83, max:1159.5301513671875, mean:862.1046752929688, min:122.49510192871094, std:205.9683380126953
Iter:84, max:1158.8369140625, mean:901.8111572265625, min:144.96279907226562, std:187.0042724609375
Iter:85, max:1178.425537109375, mean:931.2984008789062, min:82.23792266845703, std:181.2006072998047
Iter:86, max:1177.101318359375, mean:952.1312255859375, min:160.03453063964844, std:179.2199249267578
Iter:87, max:1177.50439453125, mean:975.4193725585938, min:164.2083282470703, std:149.6610107421875
Iter:88, max:1178.007568359375, mean:978.7423706054688, min:163.6071014404297, std:165.91578674316406
Iter:89, max:1168.47900390625, mean:980.7437133789062, min:134.99266052246094, std:173.1310272216797
Iter:90, max:1167.4857177734375, mean:988.8416748046875, min:141.5944061279297, std:153.52708435058594
Iter:91, max:1179.9456787109375, mean:981.6333618164062, min:131.2196502685547, std:171.9271240234375
Iter:92, max:1176.1346435546875, mean:984.8390502929688, min:170.81930541992188, std:158.13967895507812
Iter:93, max:1171.7828369140625, mean:984.905517578125, min:172.0110321044922, std:164.495849609375
Iter:94, max:1172.861572265625, mean:988.509033203125, min:129.39845275878906, std:151.39511108398438
Iter:95, max:1197.392333984375, mean:978.0474243164062, min:181.4047088623047, std:163.5454864501953
Iter:96, max:1177.3067626953125, mean:981.5426025390625, min:150.30210876464844, std:162.54637145996094
Iter:97, max:1182.272705078125, mean:971.4940795898438, min:154.26651000976562, std:161.6097869873047
Iter:98, max:1211.6788330078125, mean:966.7545166015625, min:289.966796875, std:159.33627319335938
Iter:99, max:1180.5489501953125, mean:961.0420532226562, min:186.3377227783203, std:170.78683471679688
Iter:100, max:1176.1844482421875, mean:969.7412719726562, min:134.12713623046875, std:160.6441192626953
Iter:101, max:1202.4761962890625, mean:960.9271850585938, min:287.51593017578125, std:163.63177490234375
Iter:102, max:1201.7315673828125, mean:972.8309936523438, min:196.7041473388672, std:155.61802673339844
Iter:103, max:1184.8809814453125, mean:974.9185791015625, min:265.0120544433594, std:156.8373260498047
Iter:104, max:1191.30224609375, mean:985.4393920898438, min:264.79071044921875, std:148.5621795654297
Iter:105, max:1220.9783935546875, mean:982.3334350585938, min:274.5793762207031, std:156.19664001464844
Iter:106, max:1202.677734375, mean:990.5769653320312, min:383.9399108886719, std:153.4845733642578
Iter:107, max:1192.470947265625, mean:995.3056640625, min:192.6290283203125, std:150.16465759277344
Iter:108, max:1216.1019287109375, mean:1006.5374755859375, min:496.7942810058594, std:137.07662963867188
Iter:109, max:1219.1104736328125, mean:1009.5512084960938, min:470.66729736328125, std:144.8609161376953
Iter:110, max:1215.076904296875, mean:996.7191772460938, min:462.1022644042969, std:162.41943359375
Iter:111, max:1217.5997314453125, mean:989.104248046875, min:219.24429321289062, std:167.16981506347656
Iter:112, max:1205.2786865234375, mean:998.2911987304688, min:472.28851318359375, std:159.317138671875
Iter:113, max:1205.5584716796875, mean:963.8687133789062, min:327.5877685546875, std:181.5765838623047
Iter:114, max:1221.4747314453125, mean:967.148193359375, min:352.0870666503906, std:177.86004638671875
Iter:115, max:1296.890380859375, mean:949.6240844726562, min:443.5637512207031, std:186.31198120117188
Iter:116, max:1227.478271484375, mean:957.3701171875, min:443.3575744628906, std:181.56430053710938
Iter:117, max:1236.40869140625, mean:937.7608642578125, min:429.6846923828125, std:188.88438415527344
Iter:118, max:1276.4896240234375, mean:921.9323120117188, min:455.305908203125, std:195.4305419921875
Iter:119, max:1216.3673095703125, mean:923.4609985351562, min:444.729248046875, std:189.47503662109375
Iter:120, max:1214.3929443359375, mean:914.1076049804688, min:409.5070495605469, std:198.8580780029297
Iter:121, max:1226.196044921875, mean:863.5534057617188, min:256.209228515625, std:204.7537078857422
Iter:122, max:1226.281005859375, mean:871.753662109375, min:455.4876708984375, std:217.17453002929688
Iter:123, max:1242.2816162109375, mean:903.4852294921875, min:380.3418884277344, std:207.5681915283203
Iter:124, max:1249.722412109375, mean:928.62548828125, min:428.85919189453125, std:203.08103942871094
Iter:125, max:1233.50390625, mean:979.4931640625, min:400.3995361328125, std:184.96788024902344
Iter:126, max:1231.2159423828125, mean:1014.3977661132812, min:390.5960998535156, std:159.96669006347656
Iter:127, max:1244.1011962890625, mean:1036.758056640625, min:275.7417297363281, std:144.86874389648438
Iter:128, max:1226.7261962890625, mean:1044.2933349609375, min:405.0375671386719, std:133.64630126953125
Iter:129, max:1247.95849609375, mean:1068.5902099609375, min:401.43365478515625, std:127.0606689453125
Iter:130, max:1254.0650634765625, mean:1053.00146484375, min:490.4493408203125, std:140.98330688476562
Iter:131, max:1230.52734375, mean:1049.716064453125, min:468.6434020996094, std:141.10760498046875
Iter:132, max:1254.1328125, mean:1064.48876953125, min:516.251220703125, std:135.01490783691406
Iter:133, max:1246.7698974609375, mean:1055.1314697265625, min:487.57879638671875, std:142.02931213378906
Iter:134, max:1253.2877197265625, mean:1031.3760986328125, min:210.16273498535156, std:148.81007385253906
Iter:135, max:1256.080322265625, mean:1026.8802490234375, min:261.68194580078125, std:154.04598999023438
Iter:136, max:1288.2890625, mean:1026.33251953125, min:586.1071166992188, std:152.3238067626953
Iter:137, max:1363.77783203125, mean:1021.9959716796875, min:165.93873596191406, std:162.6432647705078
Iter:138, max:1271.67578125, mean:1015.0659790039062, min:156.4215545654297, std:161.45021057128906
Iter:139, max:1274.9473876953125, mean:1011.8013916015625, min:121.74408721923828, std:169.80886840820312
Iter:140, max:1279.0303955078125, mean:1003.898193359375, min:141.539794921875, std:169.1811065673828
Iter:141, max:1256.593505859375, mean:992.1121826171875, min:116.7275390625, std:179.89051818847656
Iter:142, max:1281.64013671875, mean:990.2177734375, min:123.44410705566406, std:178.4118194580078
Iter:143, max:1270.8731689453125, mean:982.8521728515625, min:98.42098236083984, std:208.2732391357422
Iter:144, max:1287.4591064453125, mean:1007.4949340820312, min:61.32408142089844, std:211.61964416503906
Iter:145, max:1273.58154296875, mean:1015.731201171875, min:83.84893035888672, std:198.3136749267578
Iter:146, max:1266.2640380859375, mean:996.5460815429688, min:80.13799285888672, std:229.65042114257812
Iter:147, max:1307.8485107421875, mean:994.1489868164062, min:61.64081573486328, std:253.2648468017578
Iter:148, max:1284.131103515625, mean:979.364501953125, min:89.36601257324219, std:265.4615478515625
Iter:149, max:1261.6473388671875, mean:985.6109619140625, min:85.40916442871094, std:277.18133544921875
Iter:150, max:1293.3939208984375, mean:992.5869140625, min:85.90653228759766, std:295.09613037109375
Iter:151, max:1267.8238525390625, mean:1026.257080078125, min:93.1348648071289, std:259.608642578125
Iter:152, max:1363.5977783203125, mean:1039.706298828125, min:40.5333251953125, std:245.11456298828125
Iter:153, max:1292.28515625, mean:1047.8419189453125, min:85.78858184814453, std:257.9517822265625
Iter:154, max:1296.22265625, mean:1082.955078125, min:94.1451416015625, std:219.7025604248047
