Iter:0, max:751.2684326171875, mean:293.60662841796875, min:47.070438385009766, std:142.6460723876953
Iter:1, max:901.3562622070312, mean:321.5782165527344, min:47.568939208984375, std:124.74627685546875
Iter:2, max:747.4526977539062, mean:332.7093505859375, min:52.706268310546875, std:105.31256866455078
Iter:3, max:761.3117065429688, mean:338.6759033203125, min:57.78322219848633, std:86.91040802001953
Iter:4, max:815.8414306640625, mean:340.9281005859375, min:58.19166946411133, std:81.8555679321289
Iter:5, max:750.0314331054688, mean:339.42730712890625, min:56.05159378051758, std:81.73815155029297
Iter:6, max:609.9437255859375, mean:336.02288818359375, min:57.08405685424805, std:79.65631866455078
Iter:7, max:705.3634643554688, mean:331.71630859375, min:50.212074279785156, std:93.9315414428711
Iter:8, max:657.3760986328125, mean:321.2496337890625, min:42.115596771240234, std:105.98773956298828
Iter:9, max:710.9412231445312, mean:317.8358459472656, min:41.035057067871094, std:111.3053207397461
Iter:10, max:771.4743041992188, mean:309.20806884765625, min:60.87163162231445, std:112.18645477294922
Iter:11, max:775.0942993164062, mean:317.9256286621094, min:66.27240753173828, std:107.2472915649414
Iter:12, max:608.9586181640625, mean:318.2755126953125, min:65.30675506591797, std:101.98908233642578
Iter:13, max:686.0960693359375, mean:323.6104736328125, min:67.628662109375, std:88.23477935791016
Iter:14, max:641.4688720703125, mean:323.45880126953125, min:68.93829345703125, std:77.26454162597656
Iter:15, max:721.2139892578125, mean:323.0442810058594, min:65.20858001708984, std:75.70567321777344
Iter:16, max:651.7628784179688, mean:326.43096923828125, min:56.67721939086914, std:77.99946594238281
Iter:17, max:855.5266723632812, mean:327.4915771484375, min:53.35200119018555, std:83.70421600341797
Iter:18, max:789.1386108398438, mean:326.7511291503906, min:47.991146087646484, std:88.45845031738281
Iter:19, max:813.6697387695312, mean:328.4861145019531, min:40.8595085144043, std:102.28600311279297
Iter:20, max:1020.279541015625, mean:329.14630126953125, min:21.46211814880371, std:117.04287719726562
Iter:21, max:909.4793701171875, mean:326.64776611328125, min:22.177743911743164, std:128.44984436035156
Iter:22, max:793.9692993164062, mean:329.0295715332031, min:21.099246978759766, std:137.2397918701172
Iter:23, max:992.5746459960938, mean:329.33074951171875, min:20.101879119873047, std:141.65228271484375
Iter:24, max:914.7869873046875, mean:337.697021484375, min:20.961994171142578, std:141.6547393798828
Iter:25, max:974.211669921875, mean:340.3836364746094, min:24.278005599975586, std:146.66806030273438
Iter:26, max:862.6906127929688, mean:364.1724548339844, min:34.29423904418945, std:132.1446533203125
Iter:27, max:948.223388671875, mean:377.6717529296875, min:40.375343322753906, std:132.40464782714844
Iter:28, max:973.693115234375, mean:387.3526611328125, min:45.00395202636719, std:124.81687927246094
Iter:29, max:995.7233276367188, mean:398.7158203125, min:49.43702697753906, std:131.324462890625
