Iter:0, max:749.6368408203125, mean:293.58636474609375, min:47.070430755615234, std:142.6157989501953
Iter:1, max:833.0743408203125, mean:319.3746032714844, min:58.08404541015625, std:123.94937133789062
Iter:2, max:780.7219848632812, mean:333.50048828125, min:57.572486877441406, std:103.89222717285156
Iter:3, max:768.4534301757812, mean:345.9090576171875, min:87.4677963256836, std:78.0976333618164
Iter:4, max:690.3807373046875, mean:339.2015380859375, min:70.0787353515625, std:76.5758056640625
Iter:5, max:871.3104858398438, mean:337.2721862792969, min:83.81067657470703, std:81.89901733398438
Iter:6, max:685.7288208007812, mean:343.59869384765625, min:75.66303253173828, std:84.31825256347656
Iter:7, max:684.623046875, mean:335.5467224121094, min:37.80894470214844, std:93.43360900878906
Iter:8, max:1053.140869140625, mean:329.88299560546875, min:50.14796829223633, std:106.49261474609375
Iter:9, max:653.0869750976562, mean:328.82537841796875, min:60.17661666870117, std:105.56086730957031
Iter:10, max:731.4689331054688, mean:334.0965576171875, min:59.61869430541992, std:104.91763305664062
Iter:11, max:692.7481689453125, mean:333.0423278808594, min:61.74049758911133, std:102.6919174194336
Iter:12, max:736.7960205078125, mean:328.5753173828125, min:56.3947868347168, std:109.63983917236328
Iter:13, max:724.0260620117188, mean:328.6656799316406, min:56.29325485229492, std:102.81875610351562
Iter:14, max:652.3474731445312, mean:339.431640625, min:49.32486343383789, std:93.30207061767578
Iter:15, max:692.8240356445312, mean:332.7206726074219, min:44.9318733215332, std:95.13471984863281
Iter:16, max:613.9588623046875, mean:338.4709167480469, min:50.3064079284668, std:87.86492156982422
Iter:17, max:744.8029174804688, mean:344.4088134765625, min:59.71684646606445, std:87.42221069335938
Iter:18, max:772.3317260742188, mean:336.49603271484375, min:63.36711883544922, std:89.45838165283203
Iter:19, max:749.858642578125, mean:339.304931640625, min:61.82805252075195, std:93.67060852050781
Iter:20, max:762.6130981445312, mean:336.5520324707031, min:51.24734115600586, std:95.58123779296875
