Iter:0, max:749.6368408203125, mean:293.5863952636719, min:47.070430755615234, std:142.61581420898438
Iter:1, max:864.5039672851562, mean:319.8416442871094, min:58.091060638427734, std:125.36771392822266
Iter:2, max:930.2112426757812, mean:333.56787109375, min:57.48164749145508, std:104.48664855957031
Iter:3, max:777.7416381835938, mean:345.81512451171875, min:87.35861206054688, std:78.24784088134766
Iter:4, max:692.3801879882812, mean:339.1833801269531, min:69.89881896972656, std:76.31620025634766
Iter:5, max:960.9500732421875, mean:337.2451171875, min:84.600341796875, std:82.45954132080078
Iter:6, max:719.3558959960938, mean:343.4142761230469, min:75.58980560302734, std:83.84273529052734
Iter:7, max:631.6676635742188, mean:335.53973388671875, min:37.54048156738281, std:93.06758117675781
Iter:8, max:683.9957885742188, mean:329.3064270019531, min:50.44056701660156, std:104.44178009033203
Iter:9, max:670.2250366210938, mean:328.5478515625, min:61.15943908691406, std:104.6434326171875
Iter:10, max:851.8622436523438, mean:334.2054443359375, min:60.07596969604492, std:104.4330825805664
Iter:11, max:673.1028442382812, mean:333.26654052734375, min:62.0201301574707, std:102.955322265625
Iter:12, max:778.5901489257812, mean:328.96484375, min:56.469295501708984, std:111.73918151855469
Iter:13, max:765.3619384765625, mean:327.78369140625, min:57.4167366027832, std:102.04625701904297
Iter:14, max:607.4972534179688, mean:338.9469299316406, min:49.03540802001953, std:93.08304595947266
Iter:15, max:729.6256713867188, mean:331.8131408691406, min:44.26224136352539, std:94.62165832519531
Iter:16, max:677.558349609375, mean:339.4623107910156, min:50.61628723144531, std:89.44715881347656
Iter:17, max:700.65966796875, mean:343.85723876953125, min:60.04216003417969, std:85.86076354980469
Iter:18, max:765.3445434570312, mean:336.15484619140625, min:64.3482437133789, std:89.15927124023438
Iter:19, max:729.30078125, mean:338.69268798828125, min:60.31827926635742, std:93.6018295288086
Iter:20, max:735.021484375, mean:336.209228515625, min:53.125370025634766, std:96.15650939941406
Iter:21, max:864.8846435546875, mean:335.5391845703125, min:44.318702697753906, std:100.03772735595703
Iter:22, max:785.5900268554688, mean:330.4078674316406, min:46.94995880126953, std:106.33843231201172
Iter:23, max:621.9524536132812, mean:325.8638000488281, min:60.664703369140625, std:107.32447052001953
Iter:24, max:679.0232543945312, mean:327.3543701171875, min:50.206119537353516, std:104.50830078125
Iter:25, max:783.5980834960938, mean:332.11077880859375, min:44.042625427246094, std:112.73062896728516
Iter:26, max:760.79833984375, mean:326.73443603515625, min:57.26808166503906, std:106.7432632446289
Iter:27, max:696.4236450195312, mean:337.45355224609375, min:45.93810272216797, std:108.1900405883789
Iter:28, max:793.9843139648438, mean:338.5532531738281, min:55.877315521240234, std:103.73835754394531
Iter:29, max:903.8082275390625, mean:338.1199645996094, min:44.05803680419922, std:108.1390609741211
Iter:30, max:951.6768188476562, mean:341.19110107421875, min:61.5577392578125, std:103.73540496826172
Iter:31, max:786.517578125, mean:343.5233459472656, min:35.43534851074219, std:108.9500961303711
