Iter:0, max:751.2684326171875, mean:293.60662841796875, min:47.070438385009766, std:142.6460723876953
Iter:1, max:1074.2088623046875, mean:320.37274169921875, min:58.12803649902344, std:126.76519775390625
Iter:2, max:779.8942260742188, mean:333.1192932128906, min:59.38800811767578, std:105.77574920654297
Iter:3, max:716.3299560546875, mean:346.838134765625, min:80.50506591796875, std:81.25310516357422
Iter:4, max:931.2234497070312, mean:341.094970703125, min:69.09790802001953, std:78.87415313720703
Iter:5, max:585.3001708984375, mean:338.0045471191406, min:87.56403350830078, std:76.03590393066406
Iter:6, max:635.6907958984375, mean:343.02374267578125, min:68.82987976074219, std:75.45838928222656
Iter:7, max:671.9723510742188, mean:339.8757019042969, min:41.17747497558594, std:86.26492309570312
Iter:8, max:680.2748413085938, mean:337.9194641113281, min:55.83422088623047, std:93.2938003540039
Iter:9, max:666.7564697265625, mean:339.66839599609375, min:63.8215217590332, std:94.18619537353516
Iter:10, max:768.8223266601562, mean:345.06024169921875, min:66.43949127197266, std:98.7804946899414
Iter:11, max:912.8160400390625, mean:338.14617919921875, min:65.74568176269531, std:98.15619659423828
Iter:12, max:707.6503295898438, mean:332.05706787109375, min:58.44597625732422, std:109.27960968017578
Iter:13, max:632.072998046875, mean:323.5701599121094, min:62.85773849487305, std:106.87200927734375
Iter:14, max:701.1694946289062, mean:329.63433837890625, min:52.124481201171875, std:106.12103271484375
Iter:15, max:697.739501953125, mean:325.075439453125, min:59.628334045410156, std:109.54814147949219
Iter:16, max:850.9298095703125, mean:333.50604248046875, min:44.172542572021484, std:112.0650405883789
Iter:17, max:778.39990234375, mean:331.8097839355469, min:57.33401107788086, std:108.60389709472656
Iter:18, max:675.3799438476562, mean:330.69915771484375, min:65.86591339111328, std:106.20391845703125
Iter:19, max:998.25, mean:339.2843933105469, min:57.76601028442383, std:107.0571060180664
Iter:20, max:766.0678100585938, mean:336.4334411621094, min:58.590213775634766, std:94.67953491210938
Iter:21, max:786.095703125, mean:333.5955810546875, min:43.759735107421875, std:97.28328704833984
Iter:22, max:809.8756713867188, mean:333.6619873046875, min:63.26681900024414, std:97.8563461303711
Iter:23, max:743.890625, mean:339.4169921875, min:50.35703659057617, std:95.82077026367188
Iter:24, max:727.6997680664062, mean:335.1309509277344, min:59.9445915222168, std:93.03762817382812
Iter:25, max:668.3519287109375, mean:333.74066162109375, min:45.211273193359375, std:93.50025177001953
Iter:26, max:707.015380859375, mean:335.9180908203125, min:62.17788314819336, std:91.27286529541016
Iter:27, max:695.322998046875, mean:331.20050048828125, min:38.39888000488281, std:102.3727798461914
Iter:28, max:704.6343383789062, mean:332.2699890136719, min:48.03334045410156, std:99.12428283691406
Iter:29, max:695.001708984375, mean:331.36065673828125, min:39.37355041503906, std:108.06828308105469
Iter:30, max:666.231201171875, mean:314.950927734375, min:45.551883697509766, std:107.71611022949219
Iter:31, max:779.7542724609375, mean:313.78802490234375, min:30.526046752929688, std:119.81600952148438
Iter:32, max:838.4312744140625, mean:321.30987548828125, min:36.45921325683594, std:116.06610870361328
Iter:33, max:706.1010131835938, mean:322.708984375, min:46.48343276977539, std:112.26480865478516
Iter:34, max:797.836669921875, mean:315.307373046875, min:36.959815979003906, std:114.36306762695312
Iter:35, max:795.1173706054688, mean:324.99395751953125, min:47.487728118896484, std:115.61908721923828
Iter:36, max:741.8950805664062, mean:326.8585510253906, min:37.897762298583984, std:116.53360748291016
Iter:37, max:858.3040161132812, mean:321.60552978515625, min:33.04836654663086, std:115.35443878173828
Iter:38, max:832.4358520507812, mean:327.8392333984375, min:40.166378021240234, std:104.31175994873047
Iter:39, max:823.9729614257812, mean:334.2962646484375, min:39.51551818847656, std:104.83984375
Iter:40, max:866.696533203125, mean:328.78387451171875, min:29.864885330200195, std:105.66385650634766
Iter:41, max:763.14013671875, mean:328.5130310058594, min:36.76698303222656, std:106.01416778564453
Iter:42, max:705.5470581054688, mean:333.12152099609375, min:49.674007415771484, std:103.29883575439453
Iter:43, max:811.689453125, mean:335.50225830078125, min:36.664772033691406, std:108.89486694335938
