Iter:0, max:663.7401123046875, mean:311.4303894042969, min:91.68354797363281, std:141.59217834472656
Iter:1, max:661.5878295898438, mean:342.5787353515625, min:82.60079956054688, std:114.04744720458984
Iter:2, max:517.7626953125, mean:298.4356689453125, min:88.23715209960938, std:114.74793243408203
Iter:3, max:591.4990844726562, mean:343.97119140625, min:77.82975006103516, std:99.46956634521484
Iter:4, max:738.096435546875, mean:327.9333801269531, min:90.96369171142578, std:100.58777618408203
Iter:5, max:586.6478271484375, mean:328.37213134765625, min:98.61970520019531, std:90.02891540527344
Iter:6, max:620.0101318359375, mean:337.20220947265625, min:88.89763641357422, std:94.98870086669922
Iter:7, max:579.1819458007812, mean:340.12896728515625, min:91.02042388916016, std:86.12165069580078
Iter:8, max:522.2727661132812, mean:336.37152099609375, min:133.7098846435547, std:77.90795135498047
Iter:9, max:588.4127197265625, mean:346.05059814453125, min:66.08411407470703, std:68.18016815185547
Iter:10, max:493.5090637207031, mean:343.6994323730469, min:97.72489929199219, std:77.4974365234375
Iter:11, max:678.5125732421875, mean:345.117431640625, min:99.93852233886719, std:81.73080444335938
Iter:12, max:608.594482421875, mean:348.62921142578125, min:70.09442901611328, std:92.6209487915039
Iter:13, max:663.5150146484375, mean:338.6691589355469, min:103.75385284423828, std:104.8858413696289
Iter:14, max:514.8670043945312, mean:317.0653076171875, min:89.79235076904297, std:98.90498352050781
Iter:15, max:673.5810546875, mean:320.5810546875, min:85.90150451660156, std:107.82125854492188
Iter:16, max:608.6328125, mean:332.48406982421875, min:68.06101989746094, std:118.77462005615234
Iter:17, max:585.4950561523438, mean:337.11822509765625, min:66.83033752441406, std:120.73961639404297
Iter:18, max:576.657958984375, mean:303.66754150390625, min:72.24848175048828, std:121.13585662841797
Iter:19, max:654.3674926757812, mean:317.328857421875, min:64.07915496826172, std:125.9476547241211
Iter:20, max:726.1990356445312, mean:317.0186767578125, min:47.617923736572266, std:132.33042907714844
Iter:21, max:594.4219360351562, mean:317.4241027832031, min:61.445518493652344, std:119.79126739501953
Iter:22, max:845.696044921875, mean:321.9552917480469, min:60.490753173828125, std:124.7758560180664
Iter:23, max:751.8575439453125, mean:335.81134033203125, min:95.28382873535156, std:113.69306945800781
