Iter:0, max:755.067626953125, mean:305.22467041015625, min:62.39669418334961, std:141.9601287841797
Iter:1, max:547.1334838867188, mean:307.3965148925781, min:66.0675048828125, std:114.01204681396484
Iter:2, max:687.5864868164062, mean:347.693115234375, min:61.55365753173828, std:100.18602752685547
Iter:3, max:650.6231079101562, mean:342.77691650390625, min:64.58072662353516, std:89.05126953125
Iter:4, max:674.8250122070312, mean:335.9383850097656, min:93.6588134765625, std:78.7660903930664
Iter:5, max:812.4089965820312, mean:345.26116943359375, min:73.81468200683594, std:85.45501708984375
Iter:6, max:634.1856079101562, mean:344.2686767578125, min:96.51290893554688, std:74.17034912109375
Iter:7, max:604.55517578125, mean:343.50543212890625, min:103.93338012695312, std:71.15660095214844
Iter:8, max:641.9647827148438, mean:350.83563232421875, min:54.865352630615234, std:69.5892105102539
Iter:9, max:586.342041015625, mean:342.06085205078125, min:78.77104187011719, std:79.29450988769531
Iter:10, max:599.22021484375, mean:344.9297790527344, min:72.99959564208984, std:78.858154296875
Iter:11, max:641.1121826171875, mean:346.7568054199219, min:74.65337371826172, std:74.80389404296875
Iter:12, max:768.57421875, mean:353.65386962890625, min:94.70608520507812, std:85.30428314208984
Iter:13, max:717.6072998046875, mean:343.17974853515625, min:75.09801483154297, std:90.83650970458984
Iter:14, max:841.5868530273438, mean:349.5443115234375, min:93.74882507324219, std:97.14302062988281
Iter:15, max:822.545166015625, mean:345.42291259765625, min:66.59243774414062, std:112.72283935546875
Iter:16, max:645.7906494140625, mean:325.35064697265625, min:52.24588394165039, std:120.1946029663086
Iter:17, max:683.8563232421875, mean:323.7868957519531, min:62.96767807006836, std:122.526123046875
Iter:18, max:662.9791870117188, mean:332.1088562011719, min:70.57283782958984, std:112.80934143066406
Iter:19, max:939.0601806640625, mean:314.9818115234375, min:69.95951080322266, std:125.48326110839844
Iter:20, max:658.2211303710938, mean:316.9134216308594, min:56.812564849853516, std:120.25247955322266
Iter:21, max:677.962890625, mean:317.9296569824219, min:78.17204284667969, std:117.7877197265625
Iter:22, max:953.74560546875, mean:324.90380859375, min:67.11564636230469, std:122.2048110961914
Iter:23, max:767.6929321289062, mean:336.7376708984375, min:68.1061019897461, std:114.97164154052734
Iter:24, max:633.9689331054688, mean:332.4205322265625, min:65.26103973388672, std:97.67707824707031
Iter:25, max:660.9215087890625, mean:322.66094970703125, min:77.5743637084961, std:113.33805847167969
Iter:26, max:834.1828002929688, mean:333.4483642578125, min:55.106876373291016, std:111.0544662475586
Iter:27, max:572.7573852539062, mean:327.3364562988281, min:68.78450775146484, std:96.89575958251953
Iter:28, max:647.492431640625, mean:340.34417724609375, min:57.76542282104492, std:91.76823425292969
Iter:29, max:754.0575561523438, mean:346.31781005859375, min:61.294273376464844, std:90.12168884277344
Iter:30, max:673.781494140625, mean:331.2469787597656, min:63.45509338378906, std:86.4361801147461
Iter:31, max:626.2493286132812, mean:343.8914794921875, min:103.13664245605469, std:81.9837646484375
Iter:32, max:579.179931640625, mean:330.67449951171875, min:73.88692474365234, std:76.32748413085938
Iter:33, max:783.60302734375, mean:328.6841125488281, min:57.3978271484375, std:92.0758285522461
Iter:34, max:754.0593872070312, mean:330.3056640625, min:83.18680572509766, std:90.36613464355469
Iter:35, max:844.4977416992188, mean:339.2357177734375, min:70.65837860107422, std:97.85700225830078
Iter:36, max:857.0227661132812, mean:328.00042724609375, min:63.694332122802734, std:89.81147766113281
Iter:37, max:713.1027221679688, mean:326.448974609375, min:46.66761779785156, std:92.93058776855469
Iter:38, max:654.4918212890625, mean:326.0125732421875, min:66.72618865966797, std:83.95753479003906
Iter:39, max:656.753662109375, mean:338.671875, min:56.88420867919922, std:83.54986572265625
Iter:40, max:726.7435913085938, mean:318.50372314453125, min:72.5625, std:98.21066284179688
Iter:41, max:564.0765380859375, mean:307.71270751953125, min:41.77748489379883, std:104.63909149169922
Iter:42, max:762.1371459960938, mean:323.5571594238281, min:55.397972106933594, std:106.03828430175781
Iter:43, max:718.5784301757812, mean:327.341064453125, min:57.00334167480469, std:106.33175659179688
Iter:44, max:622.6529541015625, mean:318.9703369140625, min:46.13106918334961, std:102.7987289428711
Iter:45, max:609.0702514648438, mean:322.4584655761719, min:53.652767181396484, std:109.6303939819336
Iter:46, max:578.681640625, mean:315.51708984375, min:35.10547637939453, std:115.26277160644531
Iter:47, max:901.87939453125, mean:322.91766357421875, min:39.60837936401367, std:127.28330993652344
Iter:48, max:644.8951416015625, mean:320.08819580078125, min:48.6104850769043, std:124.97054290771484
Iter:49, max:860.0126953125, mean:325.58221435546875, min:61.921390533447266, std:131.68539428710938
Iter:50, max:770.6111450195312, mean:327.3695068359375, min:52.57331466674805, std:121.49105072021484
Iter:51, max:981.4915161132812, mean:314.2021484375, min:45.00481414794922, std:129.93153381347656
Iter:52, max:787.1963500976562, mean:312.32916259765625, min:32.18033981323242, std:135.43234252929688
Iter:53, max:941.211669921875, mean:322.2062683105469, min:47.06085205078125, std:136.9663543701172
Iter:54, max:946.5924682617188, mean:328.580322265625, min:41.50434494018555, std:132.6651153564453
Iter:55, max:626.857421875, mean:330.72930908203125, min:52.13481903076172, std:129.27154541015625
Iter:56, max:752.22607421875, mean:324.150390625, min:37.86886978149414, std:140.17420959472656
Iter:57, max:912.4821166992188, mean:309.745849609375, min:34.03813934326172, std:154.75331115722656
Iter:58, max:685.1851196289062, mean:301.093994140625, min:46.78147506713867, std:138.27806091308594
Iter:59, max:755.9334106445312, mean:333.82867431640625, min:31.580909729003906, std:136.38543701171875
Iter:60, max:963.9334716796875, mean:328.07470703125, min:25.872297286987305, std:153.90493774414062
Iter:61, max:708.9144287109375, mean:333.36077880859375, min:44.77497482299805, std:131.37506103515625
Iter:62, max:764.4419555664062, mean:325.6482849121094, min:44.01172637939453, std:138.5854034423828
Iter:63, max:1028.6131591796875, mean:332.72955322265625, min:25.743694305419922, std:157.08108520507812
Iter:64, max:1127.748046875, mean:348.2349853515625, min:29.637775421142578, std:154.0633544921875
Iter:65, max:740.5013427734375, mean:338.4666748046875, min:45.9000358581543, std:141.64056396484375
Iter:66, max:692.84619140625, mean:327.909423828125, min:41.58402633666992, std:141.36708068847656
Iter:67, max:820.9410400390625, mean:344.65460205078125, min:59.81576156616211, std:132.16033935546875
Iter:68, max:743.213623046875, mean:331.71759033203125, min:37.94478988647461, std:136.75439453125
Iter:69, max:760.8777465820312, mean:348.82196044921875, min:40.491024017333984, std:133.844482421875
Iter:70, max:948.0927734375, mean:350.0651550292969, min:52.6298942565918, std:139.5934600830078
Iter:71, max:900.177978515625, mean:359.72869873046875, min:34.077091217041016, std:143.10421752929688
Iter:72, max:863.45361328125, mean:370.83990478515625, min:48.31840515136719, std:131.4583740234375
Iter:73, max:678.1261596679688, mean:360.65179443359375, min:36.739322662353516, std:114.57450103759766
Iter:74, max:777.1525268554688, mean:359.8419189453125, min:53.65732192993164, std:129.7227325439453
Iter:75, max:861.11669921875, mean:361.4900817871094, min:48.6385383605957, std:128.07421875
Iter:76, max:1009.5682983398438, mean:381.2962341308594, min:37.85544967651367, std:128.59974670410156
Iter:77, max:905.6361083984375, mean:362.1135559082031, min:40.36267852783203, std:127.36361694335938
Iter:78, max:800.5738525390625, mean:372.7764892578125, min:50.77105712890625, std:130.44483947753906
Iter:79, max:1114.3406982421875, mean:374.9175109863281, min:59.70159149169922, std:134.22726440429688
Iter:80, max:942.4474487304688, mean:382.413330078125, min:65.16992950439453, std:133.4493408203125
Iter:81, max:910.016845703125, mean:379.2607421875, min:56.15895462036133, std:119.57644653320312
Iter:82, max:979.9161376953125, mean:384.845458984375, min:67.11626434326172, std:137.7195587158203
Iter:83, max:923.7316284179688, mean:384.9815673828125, min:44.18135070800781, std:145.92214965820312
Iter:84, max:841.5277709960938, mean:393.4751892089844, min:67.36604309082031, std:134.29132080078125
Iter:85, max:1059.42041015625, mean:387.24505615234375, min:71.75394439697266, std:146.45660400390625
Iter:86, max:979.3146362304688, mean:385.7121276855469, min:53.60947036743164, std:131.1195526123047
Iter:87, max:1068.8934326171875, mean:399.8544006347656, min:49.69008255004883, std:152.44479370117188
Iter:88, max:973.6842041015625, mean:393.1129150390625, min:45.05958938598633, std:153.95010375976562
Iter:89, max:976.0866088867188, mean:396.41937255859375, min:53.24258041381836, std:160.76220703125
Iter:90, max:996.652099609375, mean:396.1664733886719, min:63.123809814453125, std:170.3369903564453
Iter:91, max:1058.0166015625, mean:401.99908447265625, min:52.62903594970703, std:170.6863250732422
Iter:92, max:1001.1677856445312, mean:412.8652648925781, min:28.50351905822754, std:178.43251037597656
Iter:93, max:1004.731201171875, mean:417.53564453125, min:41.1685676574707, std:192.62989807128906
Iter:94, max:1084.746337890625, mean:423.5596923828125, min:39.64284896850586, std:204.9953155517578
Iter:95, max:1086.423828125, mean:467.29827880859375, min:63.19498062133789, std:215.62477111816406
Iter:96, max:1052.0999755859375, mean:426.2640380859375, min:34.41408920288086, std:221.79388427734375
Iter:97, max:1062.246826171875, mean:467.7122802734375, min:57.17223358154297, std:241.0544891357422
Iter:98, max:1149.48974609375, mean:446.7745666503906, min:48.80358123779297, std:230.31715393066406
Iter:99, max:1062.351318359375, mean:477.9690246582031, min:80.65555572509766, std:246.5030059814453
Iter:100, max:1119.060791015625, mean:473.90179443359375, min:45.21377944946289, std:245.2686004638672
Iter:101, max:1095.136962890625, mean:490.35247802734375, min:56.445838928222656, std:265.7860412597656
Iter:102, max:1131.612060546875, mean:494.6798095703125, min:52.61875915527344, std:271.7638854980469
Iter:103, max:1147.906005859375, mean:502.9100646972656, min:50.90066909790039, std:295.7554931640625
Iter:104, max:1125.8660888671875, mean:517.3298950195312, min:50.273929595947266, std:275.0137634277344
Iter:105, max:1145.5882568359375, mean:556.9457397460938, min:58.76649856567383, std:274.2136535644531
Iter:106, max:1136.730224609375, mean:531.3978271484375, min:24.871801376342773, std:312.6874694824219
Iter:107, max:1155.660400390625, mean:547.9134521484375, min:58.203922271728516, std:304.5481872558594
Iter:108, max:1132.1639404296875, mean:573.754638671875, min:65.479736328125, std:305.9410705566406
Iter:109, max:1150.853515625, mean:577.7821044921875, min:59.94417953491211, std:302.2901306152344
Iter:110, max:1107.9832763671875, mean:613.03369140625, min:54.9658203125, std:312.3820495605469
Iter:111, max:1122.7957763671875, mean:616.8516845703125, min:67.91160583496094, std:311.2943420410156
Iter:112, max:1089.0550537109375, mean:646.5032958984375, min:69.75089263916016, std:313.474365234375
Iter:113, max:1113.2291259765625, mean:655.5987548828125, min:58.059356689453125, std:300.79541015625
Iter:114, max:1121.4744873046875, mean:709.935302734375, min:90.43670654296875, std:318.0248718261719
Iter:115, max:1162.697998046875, mean:692.8557739257812, min:80.6413345336914, std:306.50543212890625
Iter:116, max:1140.4197998046875, mean:683.6602783203125, min:53.02748489379883, std:318.9809875488281
Iter:117, max:1144.4056396484375, mean:722.6275634765625, min:60.5324592590332, std:317.58087158203125
Iter:118, max:1146.781494140625, mean:739.8123779296875, min:78.88887023925781, std:308.9784851074219
Iter:119, max:1137.4234619140625, mean:775.7548217773438, min:70.27082061767578, std:292.8266906738281
Iter:120, max:1133.8953857421875, mean:771.8480834960938, min:71.5874252319336, std:287.5393981933594
Iter:121, max:1139.7344970703125, mean:781.2681884765625, min:63.569801330566406, std:282.85491943359375
Iter:122, max:1134.87939453125, mean:800.3140869140625, min:41.303932189941406, std:287.4595642089844
Iter:123, max:1155.2020263671875, mean:809.8294677734375, min:122.64154815673828, std:260.0880126953125
Iter:124, max:1141.344970703125, mean:817.9886474609375, min:64.99295806884766, std:268.7879333496094
Iter:125, max:1084.298828125, mean:858.3350830078125, min:96.81733703613281, std:237.04751586914062
Iter:126, max:1153.8760986328125, mean:856.3626708984375, min:117.52031707763672, std:239.45201110839844
Iter:127, max:1133.0618896484375, mean:847.8282470703125, min:70.9864273071289, std:244.44041442871094
Iter:128, max:1151.5693359375, mean:876.1716918945312, min:55.569095611572266, std:236.32400512695312
Iter:129, max:1139.64453125, mean:869.6365966796875, min:83.26995849609375, std:232.30418395996094
Iter:130, max:1107.5428466796875, mean:872.815673828125, min:110.83649444580078, std:227.48928833007812
Iter:131, max:1088.5274658203125, mean:861.967529296875, min:107.89055633544922, std:243.23228454589844
Iter:132, max:1109.3179931640625, mean:897.432373046875, min:166.8558807373047, std:192.14999389648438
Iter:133, max:1120.07763671875, mean:918.6011962890625, min:122.15454864501953, std:195.16026306152344
Iter:134, max:1116.4805908203125, mean:918.345947265625, min:113.27349853515625, std:192.95169067382812
Iter:135, max:1148.0120849609375, mean:924.980712890625, min:87.96104431152344, std:189.86947631835938
Iter:136, max:1163.11865234375, mean:933.1581420898438, min:116.38433837890625, std:177.05166625976562
Iter:137, max:1165.001708984375, mean:936.5208740234375, min:123.63159942626953, std:175.1483612060547
Iter:138, max:1125.3856201171875, mean:969.7789306640625, min:115.86814880371094, std:123.97242736816406
Iter:139, max:1114.360107421875, mean:959.4417724609375, min:114.40987396240234, std:149.61102294921875
Iter:140, max:1151.61474609375, mean:950.7335815429688, min:102.4955062866211, std:185.0478057861328
Iter:141, max:1122.64453125, mean:953.007568359375, min:117.52716827392578, std:164.24205017089844
Iter:142, max:1130.3974609375, mean:961.37060546875, min:136.08155822753906, std:170.03399658203125
Iter:143, max:1159.60595703125, mean:982.6895751953125, min:178.4075469970703, std:111.39640045166016
Iter:144, max:1144.856689453125, mean:984.9461669921875, min:155.00112915039062, std:119.50433349609375
Iter:145, max:1148.443359375, mean:982.60205078125, min:172.70079040527344, std:133.11199951171875
Iter:146, max:1145.87255859375, mean:971.7236328125, min:107.0697021484375, std:152.97238159179688
Iter:147, max:1160.9783935546875, mean:968.8252563476562, min:142.16653442382812, std:155.1612548828125
Iter:148, max:1161.936279296875, mean:977.334716796875, min:144.9549560546875, std:134.70169067382812
Iter:149, max:1165.78125, mean:964.4906616210938, min:221.3665771484375, std:156.8239288330078
Iter:150, max:1157.5679931640625, mean:993.44970703125, min:494.7388610839844, std:114.89144897460938
Iter:151, max:1167.2054443359375, mean:971.7946166992188, min:170.6796875, std:145.2814483642578
Iter:152, max:1159.747314453125, mean:950.5382080078125, min:184.63980102539062, std:159.25820922851562
Iter:153, max:1164.8583984375, mean:968.26513671875, min:162.5347137451172, std:150.0248565673828
Iter:154, max:1174.1239013671875, mean:941.5467529296875, min:380.7857360839844, std:174.2970733642578
Iter:155, max:1161.978515625, mean:947.1357421875, min:447.9977722167969, std:157.84580993652344
Iter:156, max:1163.984130859375, mean:929.6285400390625, min:400.54241943359375, std:175.4137420654297
Iter:157, max:1158.1522216796875, mean:923.8455200195312, min:444.1823425292969, std:173.32203674316406
Iter:158, max:1168.9368896484375, mean:938.1012573242188, min:436.914306640625, std:168.05783081054688
Iter:159, max:1168.000732421875, mean:937.272705078125, min:202.71543884277344, std:182.8762969970703
Iter:160, max:1155.30908203125, mean:908.95068359375, min:180.41470336914062, std:186.8695526123047
Iter:161, max:1153.4671630859375, mean:892.738037109375, min:382.2916259765625, std:184.97723388671875
Iter:162, max:1152.4481201171875, mean:917.5355834960938, min:443.04754638671875, std:179.1357879638672
Iter:163, max:1173.2618408203125, mean:865.1097412109375, min:188.0963134765625, std:206.8677978515625
Iter:164, max:1152.82421875, mean:909.3106689453125, min:291.7188415527344, std:181.3804931640625
Iter:165, max:1163.3974609375, mean:914.9090576171875, min:100.3598403930664, std:197.58409118652344
Iter:166, max:1172.6165771484375, mean:910.80615234375, min:408.4876403808594, std:192.4479217529297
Iter:167, max:1169.7655029296875, mean:928.833251953125, min:145.21099853515625, std:188.0232696533203
Iter:168, max:1161.6241455078125, mean:905.8814697265625, min:119.2188949584961, std:196.33828735351562
Iter:169, max:1164.8353271484375, mean:930.5629272460938, min:291.62298583984375, std:179.67669677734375
Iter:170, max:1150.94775390625, mean:949.4055786132812, min:418.8082580566406, std:168.31558227539062
Iter:171, max:1174.391357421875, mean:936.2760009765625, min:146.83924865722656, std:184.52688598632812
Iter:172, max:1164.7008056640625, mean:972.5887451171875, min:382.8908386230469, std:147.6912841796875
Iter:173, max:1128.3865966796875, mean:954.6964111328125, min:239.65069580078125, std:163.3853759765625
Iter:174, max:1158.333740234375, mean:985.346435546875, min:147.9001007080078, std:149.2878875732422
Iter:175, max:1138.9844970703125, mean:970.4249267578125, min:139.65509033203125, std:163.56256103515625
Iter:176, max:1151.254638671875, mean:982.793212890625, min:300.8974609375, std:151.2047882080078
Iter:177, max:1149.8170166015625, mean:978.4881591796875, min:111.61923217773438, std:172.22999572753906
Iter:178, max:1143.1175537109375, mean:983.3981323242188, min:101.52826690673828, std:152.2909698486328
Iter:179, max:1157.0281982421875, mean:982.1485595703125, min:201.5353546142578, std:158.3419647216797
Iter:180, max:1165.9578857421875, mean:956.373291015625, min:139.74159240722656, std:195.38478088378906
Iter:181, max:1166.7393798828125, mean:985.848388671875, min:150.87686157226562, std:158.58834838867188
Iter:182, max:1166.21044921875, mean:987.04150390625, min:171.991455078125, std:165.82705688476562
Iter:183, max:1161.5406494140625, mean:993.3804931640625, min:100.28719329833984, std:157.13380432128906
Iter:184, max:1174.2718505859375, mean:998.2168579101562, min:342.77069091796875, std:130.2726593017578
Iter:185, max:1140.8409423828125, mean:960.638671875, min:109.11172485351562, std:198.6347198486328
Iter:186, max:1149.642333984375, mean:980.1817626953125, min:136.51007080078125, std:169.11387634277344
Iter:187, max:1151.7066650390625, mean:982.6881103515625, min:168.43910217285156, std:167.7078399658203
Iter:188, max:1126.918212890625, mean:991.9296264648438, min:197.65122985839844, std:145.8870849609375
Iter:189, max:1158.0921630859375, mean:984.016845703125, min:132.0594482421875, std:167.10415649414062
Iter:190, max:1209.1192626953125, mean:1006.4246826171875, min:307.3147888183594, std:120.34961700439453
Iter:191, max:1158.554931640625, mean:973.6915283203125, min:102.90029907226562, std:181.9814910888672
Iter:192, max:1163.258056640625, mean:988.37353515625, min:107.90863800048828, std:172.77500915527344
Iter:193, max:1149.57275390625, mean:989.7623291015625, min:110.11007690429688, std:168.44622802734375
Iter:194, max:1170.6962890625, mean:983.9102783203125, min:107.9637222290039, std:176.43319702148438
Iter:195, max:1154.242919921875, mean:993.93310546875, min:98.80340576171875, std:164.59414672851562
Iter:196, max:1143.5062255859375, mean:994.4925537109375, min:89.49988555908203, std:164.325927734375
Iter:197, max:1154.0240478515625, mean:989.6841430664062, min:151.1800994873047, std:164.0914764404297
Iter:198, max:1154.162109375, mean:983.9517211914062, min:163.2738494873047, std:180.137451171875
Iter:199, max:1155.14501953125, mean:1000.6250610351562, min:188.43331909179688, std:137.95057678222656
Iter:200, max:1161.8992919921875, mean:997.2660522460938, min:118.78025817871094, std:156.5261993408203
Iter:201, max:1157.8115234375, mean:1015.9238891601562, min:336.5355529785156, std:122.14523315429688
Iter:202, max:1182.7496337890625, mean:998.0894775390625, min:78.30995178222656, std:152.82997131347656
Iter:203, max:1185.1939697265625, mean:1014.245361328125, min:417.2520751953125, std:123.35267639160156
Iter:204, max:1180.87744140625, mean:1003.763427734375, min:174.4036102294922, std:155.44329833984375
Iter:205, max:1153.0264892578125, mean:1016.7279052734375, min:267.34649658203125, std:124.50934600830078
Iter:206, max:1216.0362548828125, mean:1007.7926025390625, min:92.66492462158203, std:156.42164611816406
Iter:207, max:1190.3428955078125, mean:1018.751220703125, min:77.49185180664062, std:133.73553466796875
Iter:208, max:1186.4342041015625, mean:1013.6657104492188, min:314.6121826171875, std:135.37936401367188
Iter:209, max:1183.2081298828125, mean:1015.8171997070312, min:281.5513610839844, std:136.90435791015625
Iter:210, max:1280.617919921875, mean:1013.6436157226562, min:392.9244689941406, std:143.1560516357422
Iter:211, max:1218.009521484375, mean:1022.8361206054688, min:358.2388000488281, std:135.65109252929688
Iter:212, max:1225.5159912109375, mean:1009.5738525390625, min:356.1072692871094, std:150.4762725830078
Iter:213, max:1181.6248779296875, mean:1015.3082885742188, min:289.2818908691406, std:156.74093627929688
Iter:214, max:1238.03662109375, mean:1013.7301025390625, min:239.36436462402344, std:159.5728759765625
Iter:215, max:1290.6365966796875, mean:1016.943603515625, min:323.30572509765625, std:153.99349975585938
Iter:216, max:1182.236572265625, mean:1015.2621459960938, min:384.3887634277344, std:147.1471405029297
Iter:217, max:1221.7081298828125, mean:1000.7378540039062, min:446.4315490722656, std:164.2718505859375
Iter:218, max:1276.6307373046875, mean:1009.629638671875, min:142.81838989257812, std:175.63255310058594
Iter:219, max:1214.9014892578125, mean:1032.734619140625, min:455.8310852050781, std:148.7513885498047
Iter:220, max:1236.5157470703125, mean:1041.9124755859375, min:295.7201843261719, std:136.92933654785156
Iter:221, max:1208.4925537109375, mean:1040.1356201171875, min:480.60430908203125, std:141.3790283203125
Iter:222, max:1244.315185546875, mean:1033.013916015625, min:469.2271423339844, std:145.65606689453125
Iter:223, max:1265.0738525390625, mean:1041.698486328125, min:260.4412536621094, std:164.40615844726562
Iter:224, max:1263.8773193359375, mean:1044.3685302734375, min:482.83599853515625, std:148.5084991455078
Iter:225, max:1218.574462890625, mean:1024.2027587890625, min:424.9291076660156, std:163.8690948486328
Iter:226, max:1271.337158203125, mean:1050.898193359375, min:431.3552551269531, std:148.27903747558594
Iter:227, max:1321.064697265625, mean:1050.7012939453125, min:174.92701721191406, std:148.68431091308594
