Iter:0, max:767.6956787109375, mean:287.9119873046875, min:64.89563751220703, std:141.27313232421875
Iter:1, max:704.6841430664062, mean:324.304443359375, min:59.30061721801758, std:129.3360137939453
Iter:2, max:860.2760620117188, mean:347.5652160644531, min:62.05279541015625, std:114.54191589355469
Iter:3, max:670.3519897460938, mean:336.6753845214844, min:73.86271667480469, std:92.43104553222656
Iter:4, max:731.3722534179688, mean:347.0911865234375, min:70.01228332519531, std:83.7540512084961
Iter:5, max:677.3960571289062, mean:343.3431396484375, min:76.70752716064453, std:89.8685302734375
Iter:6, max:628.9483032226562, mean:346.42999267578125, min:78.54520416259766, std:81.6126480102539
Iter:7, max:747.0608520507812, mean:341.2613525390625, min:63.03461456298828, std:90.5994644165039
Iter:8, max:614.978271484375, mean:339.8172607421875, min:90.35243225097656, std:88.79623413085938
Iter:9, max:658.8649291992188, mean:339.8116455078125, min:90.07591247558594, std:93.65106964111328
Iter:10, max:642.9883422851562, mean:343.82379150390625, min:73.4993896484375, std:96.33548736572266
Iter:11, max:662.1926879882812, mean:340.7403869628906, min:75.6768569946289, std:93.1695556640625
Iter:12, max:649.0354614257812, mean:332.40985107421875, min:60.46364212036133, std:102.12164306640625
Iter:13, max:874.2759399414062, mean:331.4280700683594, min:51.929969787597656, std:101.92263793945312
Iter:14, max:709.8565063476562, mean:333.21368408203125, min:79.8845443725586, std:103.48773193359375
Iter:15, max:665.7120971679688, mean:327.8897705078125, min:60.97600555419922, std:109.60546875
Iter:16, max:605.1046142578125, mean:328.17218017578125, min:58.17262268066406, std:109.16073608398438
Iter:17, max:627.5820922851562, mean:336.0614013671875, min:54.59075927734375, std:108.20451354980469
Iter:18, max:698.3994140625, mean:333.021240234375, min:61.38080596923828, std:103.2469482421875
Iter:19, max:673.7040405273438, mean:337.35064697265625, min:62.5700798034668, std:107.76646423339844
Iter:20, max:736.3917846679688, mean:338.461669921875, min:70.21903991699219, std:102.7472152709961
Iter:21, max:722.3325805664062, mean:344.45111083984375, min:48.469478607177734, std:93.39144134521484
Iter:22, max:555.6011962890625, mean:335.130859375, min:65.75292205810547, std:90.68006896972656
Iter:23, max:734.2279052734375, mean:344.56463623046875, min:67.21783447265625, std:93.18745422363281
Iter:24, max:646.2392578125, mean:341.9747619628906, min:70.96438598632812, std:83.43960571289062
Iter:25, max:640.4055786132812, mean:337.3257751464844, min:69.90972137451172, std:97.42747497558594
Iter:26, max:677.738037109375, mean:345.42926025390625, min:67.69627380371094, std:86.5543441772461
Iter:27, max:659.2891235351562, mean:341.68994140625, min:38.237667083740234, std:92.05633544921875
Iter:28, max:738.1978149414062, mean:337.48858642578125, min:67.086669921875, std:91.1742172241211
Iter:29, max:966.2020874023438, mean:333.204345703125, min:53.07579040527344, std:104.7825698852539
Iter:30, max:648.9334106445312, mean:340.4509582519531, min:51.768104553222656, std:100.10221862792969
Iter:31, max:730.5049438476562, mean:327.50640869140625, min:58.06389236450195, std:108.69490051269531
Iter:32, max:767.2465209960938, mean:328.6885681152344, min:39.04420852661133, std:113.03907012939453
Iter:33, max:614.4702758789062, mean:331.44464111328125, min:37.23579788208008, std:111.44091033935547
Iter:34, max:662.6563720703125, mean:325.662109375, min:38.72272872924805, std:112.65306091308594
Iter:35, max:732.89306640625, mean:326.720947265625, min:62.59897232055664, std:114.76642608642578
Iter:36, max:648.9634399414062, mean:321.36627197265625, min:41.6514778137207, std:118.69100189208984
Iter:37, max:750.5962524414062, mean:313.18377685546875, min:41.715641021728516, std:122.51715087890625
Iter:38, max:875.2845458984375, mean:323.7929382324219, min:33.20132064819336, std:122.74649047851562
Iter:39, max:858.866455078125, mean:324.49676513671875, min:49.73377990722656, std:125.58439636230469
Iter:40, max:779.84033203125, mean:329.8624572753906, min:43.935298919677734, std:115.47322845458984
Iter:41, max:812.60693359375, mean:342.8898010253906, min:59.31145477294922, std:123.8790512084961
Iter:42, max:722.5074462890625, mean:345.51922607421875, min:59.89002990722656, std:110.13200378417969
Iter:43, max:820.9642944335938, mean:342.5991516113281, min:32.58065414428711, std:115.07408905029297
Iter:44, max:776.633056640625, mean:349.46722412109375, min:57.79872512817383, std:104.59809112548828
Iter:45, max:693.530029296875, mean:345.34429931640625, min:65.1739273071289, std:99.00630950927734
Iter:46, max:773.4766235351562, mean:347.562744140625, min:53.02480697631836, std:101.31639862060547
Iter:47, max:717.521728515625, mean:351.22998046875, min:37.32584762573242, std:104.77482604980469
